Data Table for Total Cases - The United States
Date generated: Thu Nov 11 2021 10:08:41 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases
United States,Nov  9 2021,46626034
United States,Nov  8 2021,46544673
United States,Nov  7 2021,46411429
United States,Nov  6 2021,46387136
United States,Nov  5 2021,46360516
United States,Nov  4 2021,46270859
United States,Nov  3 2021,46182414
United States,Nov  2 2021,46102608
United States,Nov  1 2021,46028929
United States,Oct 31 2021,45896160
United States,Oct 30 2021,45876877
United States,Oct 29 2021,45849804
United States,Oct 28 2021,45762501
United States,Oct 27 2021,45658416
United States,Oct 26 2021,45574132
United States,Oct 25 2021,45471194
United States,Oct 24 2021,45371392
United States,Oct 23 2021,45349606
United States,Oct 22 2021,45321726
United States,Oct 21 2021,45240652
United States,Oct 20 2021,45152559
United States,Oct 19 2021,45075590
United States,Oct 18 2021,44995154
United States,Oct 17 2021,44922164
United States,Oct 16 2021,44872625
United States,Oct 15 2021,44810591
United States,Oct 14 2021,44718927
United States,Oct 13 2021,44621866
United States,Oct 12 2021,44523946
United States,Oct 11 2021,44432572
United States,Oct 10 2021,44354520
United States,Oct  9 2021,44295117
United States,Oct  8 2021,44224974
United States,Oct  7 2021,44116550
United States,Oct  6 2021,44004416
United States,Oct  5 2021,43886283
United States,Oct  4 2021,43781244
United States,Oct  3 2021,43691202
United States,Oct  2 2021,43621982
United States,Oct  1 2021,43542530
United States,Sep 30 2021,43422103
United States,Sep 29 2021,43296562
United States,Sep 28 2021,43179889
United States,Sep 27 2021,43063092
United States,Sep 26 2021,42954575
United States,Sep 25 2021,42877247
United States,Sep 24 2021,42783134
United States,Sep 23 2021,42649701
United States,Sep 22 2021,42513241
United States,Sep 21 2021,42386068
United States,Sep 20 2021,42261026
United States,Sep 19 2021,42159748
United States,Sep 18 2021,42066114
United States,Sep 17 2021,41944206
United States,Sep 16 2021,41788908
United States,Sep 15 2021,41622913
United States,Sep 14 2021,41459309
United States,Sep 13 2021,41293588
United States,Sep 12 2021,41179139
United States,Sep 11 2021,41066396
United States,Sep 10 2021,40915254
United States,Sep  9 2021,40746816
United States,Sep  8 2021,40558839
United States,Sep  7 2021,40380565
United States,Sep  6 2021,40260501
United States,Sep  5 2021,40151869
United States,Sep  4 2021,40030292
United States,Sep  3 2021,39890001
United States,Sep  2 2021,39708286
United States,Sep  1 2021,39527392
United States,Aug 31 2021,39325891
United States,Aug 30 2021,39144277
United States,Aug 29 2021,39008986
United States,Aug 28 2021,38893411
United States,Aug 27 2021,38743223
United States,Aug 26 2021,38561306
United States,Aug 25 2021,38374362
United States,Aug 24 2021,38195925
United States,Aug 23 2021,38026551
United States,Aug 22 2021,37908324
United States,Aug 21 2021,37783454
United States,Aug 20 2021,37640695
United States,Aug 19 2021,37472840
United States,Aug 18 2021,37298922
United States,Aug 17 2021,37127606
United States,Aug 16 2021,36971851
United States,Aug 15 2021,36860413
United States,Aug 14 2021,36751944
United States,Aug 13 2021,36612962
United States,Aug 12 2021,36466690
United States,Aug 11 2021,36315447
United States,Aug 10 2021,36169614
United States,Aug  9 2021,36028596
United States,Aug  8 2021,35933657
United States,Aug  7 2021,35837656
United States,Aug  6 2021,35718472
United States,Aug  5 2021,35584228
United States,Aug  4 2021,35454907
United States,Aug  3 2021,35330498
United States,Aug  2 2021,35216293
United States,Aug  1 2021,35111657
United States,Jul 31 2021,35049196
United States,Jul 30 2021,34968065
United States,Jul 29 2021,34862473
United States,Jul 28 2021,34762770
United States,Jul 27 2021,34672613
United States,Jul 26 2021,34584600
United States,Jul 25 2021,34512260
United States,Jul 24 2021,34469064
United States,Jul 23 2021,34416144
United States,Jul 22 2021,34347082
United States,Jul 21 2021,34273723
United States,Jul 20 2021,34211829
United States,Jul 19 2021,34159662
United States,Jul 18 2021,34113310
United States,Jul 17 2021,34085038
United States,Jul 16 2021,34053580
United States,Jul 15 2021,34011183
United States,Jul 14 2021,33970449
United States,Jul 13 2021,33931765
United States,Jul 12 2021,33896344
United States,Jul 11 2021,33866588
United States,Jul 10 2021,33849979
United States,Jul  9 2021,33829494
United States,Jul  8 2021,33801874
United States,Jul  7 2021,33617914
United States,Jul  6 2021,33594948
United States,Jul  5 2021,33574135
United States,Jul  4 2021,33564969
United States,Jul  3 2021,33554752
United States,Jul  2 2021,33541799
United States,Jul  1 2021,33524886
United States,Jun 30 2021,33506207
United States,Jun 29 2021,33494584
United States,Jun 28 2021,33478693
United States,Jun 27 2021,33467861
United States,Jun 26 2021,33457442
United States,Jun 25 2021,33444364
United States,Jun 24 2021,33429345
United States,Jun 23 2021,33413817
United States,Jun 22 2021,33400056
United States,Jun 21 2021,33386381
United States,Jun 20 2021,33377590
United States,Jun 19 2021,33368809
United States,Jun 18 2021,33356514
United States,Jun 17 2021,33344612
United States,Jun 16 2021,33331336
United States,Jun 15 2021,33318232
United States,Jun 14 2021,33305163
United States,Jun 13 2021,33296703
United States,Jun 12 2021,33288215
United States,Jun 11 2021,33275993
United States,Jun 10 2021,33262000
United States,Jun  9 2021,33246021
United States,Jun  8 2021,33226496
United States,Jun  7 2021,33212004
United States,Jun  6 2021,33201636
United States,Jun  5 2021,33190753
United States,Jun  4 2021,33176176
United States,Jun  3 2021,33157744
United States,Jun  2 2021,33139250
United States,Jun  1 2021,33122604
United States,May 31 2021,33113591
United States,May 30 2021,33104631
United States,May 29 2021,33092815
United States,May 28 2021,33076948
United States,May 27 2021,33052687
United States,May 26 2021,33030416
United States,May 25 2021,33006828
United States,May 24 2021,32982762
United States,May 23 2021,32966425
United States,May 22 2021,32951015
United States,May 21 2021,32929272
United States,May 20 2021,32901165
United States,May 19 2021,32873433
United States,May 18 2021,32845735
United States,May 17 2021,32817160
United States,May 16 2021,32797318
United States,May 15 2021,32776709
United States,May 14 2021,32747313
United States,May 13 2021,32712092
United States,May 12 2021,32671346
United States,May 11 2021,32635588
United States,May 10 2021,32601190
United States,May  9 2021,32576208
United States,May  8 2021,32549568
United States,May  7 2021,32513117
United States,May  6 2021,32468771
United States,May  5 2021,32425668
United States,May  4 2021,32380690
United States,May  3 2021,32336562
United States,May  2 2021,32303062
United States,May  1 2021,32267171
United States,Apr 30 2021,32219447
United States,Apr 29 2021,32164544
United States,Apr 28 2021,32108300
United States,Apr 27 2021,32052962
United States,Apr 26 2021,32000629
United States,Apr 25 2021,31969524
United States,Apr 24 2021,31929895
United States,Apr 23 2021,31878889
