Data Table for Daily Case Trends - The United States
Date generated: Tue Nov 09 2021 22:16:40 GMT-0500 (Eastern Standard Time)
State,Date,New Cases,7-Day Moving Avg,Historic Cases
United States,Nov  8 2021,134072,73312,49
United States,Nov  7 2021,23139,72140,66
United States,Nov  6 2021,24734,71505,528
United States,Nov  5 2021,89826,71680,186
United States,Nov  4 2021,88395,71399,219
United States,Nov  3 2021,80097,70567,108
United States,Nov  2 2021,72926,71139,685
United States,Nov  1 2021,125866,75209,7959
United States,Oct 31 2021,18694,71468,64
United States,Oct 30 2021,25957,71893,569
United States,Oct 29 2021,87858,72098,137
United States,Oct 28 2021,82577,71087,21885
United States,Oct 27 2021,84095,71818,457
United States,Oct 26 2021,101420,70721,262
United States,Oct 25 2021,99676,67647,47
United States,Oct 24 2021,21672,63829,94
United States,Oct 23 2021,27393,67793,451
United States,Oct 22 2021,80776,72621,316
United States,Oct 21 2021,87696,74059,377
United States,Oct 20 2021,76414,75323,532
United States,Oct 19 2021,79902,78287,520
United States,Oct 18 2021,72952,79833,23
United States,Oct 17 2021,49420,80547,76
United States,Oct 16 2021,61189,81948,825
United States,Oct 15 2021,90846,83133,806
United States,Oct 14 2021,96538,85565,498
United States,Oct 13 2021,97166,87676,732
United States,Oct 12 2021,90726,89163,649
United States,Oct 11 2021,77949,91173,84
United States,Oct 10 2021,59228,92892,161
United States,Oct  9 2021,69483,94287,648
United States,Oct  8 2021,107867,95640,544
United States,Oct  7 2021,111319,97228,793
United States,Oct  6 2021,107571,99057,10536
United States,Oct  5 2021,104796,100158,238
United States,Oct  4 2021,89980,101715,29
United States,Oct  3 2021,68995,104265,207
United States,Oct  2 2021,78957,105417,493
United States,Oct  1 2021,118982,107488,1428
United States,Sep 30 2021,124119,109436,1427
United States,Sep 29 2021,115277,110985,1354
United States,Sep 28 2021,115697,112614,1069
United States,Sep 27 2021,107834,113852,613
United States,Sep 26 2021,77058,112903,239
United States,Sep 25 2021,93454,115254,646
United States,Sep 24 2021,132614,119233,781
United States,Sep 23 2021,134966,122394,1466
United States,Sep 22 2021,126679,126739,445
United States,Sep 21 2021,124359,131875,624
United States,Sep 20 2021,101193,137680,33
United States,Sep 19 2021,93516,139534,87
United States,Sep 18 2021,121310,142266,575
United States,Sep 17 2021,154739,146448,531
United States,Sep 16 2021,165377,148334,540
United States,Sep 15 2021,162635,151483,916
United States,Sep 14 2021,164992,153499,660
United States,Sep 13 2021,114172,147038,164
United States,Sep 12 2021,112639,146177,79
United States,Sep 11 2021,150585,147403,527
United States,Sep 10 2021,167939,145864,349
United States,Sep  9 2021,187419,147767,404
United States,Sep  8 2021,176751,146771,1347
United States,Sep  7 2021,119763,150255,90
United States,Sep  6 2021,108146,159014,404
United States,Sep  5 2021,121219,162877,277
United States,Sep  4 2021,139813,162043,417
United States,Sep  3 2021,181258,163472,388
United States,Sep  2 2021,180452,163533,401
United States,Sep  1 2021,201135,164421,323
United States,Aug 31 2021,181075,161139,504
United States,Aug 30 2021,135192,159412,83
United States,Aug 29 2021,115380,156974,179
United States,Aug 28 2021,149814,158318,361
United States,Aug 27 2021,181684,157256,201
United States,Aug 26 2021,186667,155002,253
United States,Aug 25 2021,178167,153150,257
United States,Aug 24 2021,168981,152020,367
United States,Aug 23 2021,118128,150095,69
United States,Aug 22 2021,124788,149120,70
United States,Aug 21 2021,142377,146778,376
United States,Aug 20 2021,165910,146269,1934
United States,Aug 19 2021,173699,143448,204
United States,Aug 18 2021,170261,140198,1040
United States,Aug 17 2021,155507,136667,250
United States,Aug 16 2021,111303,134569,130
United States,Aug 15 2021,108391,132217,74
United States,Aug 14 2021,138813,130440,167
United States,Aug 13 2021,146162,127620,97
United States,Aug 12 2021,150954,124807,266
United States,Aug 11 2021,145544,121682,270
United States,Aug 10 2021,140819,118615,183
United States,Aug  9 2021,94840,114766,82
United States,Aug  8 2021,95953,116162,42
United States,Aug  7 2021,119074,111370,99
United States,Aug  6 2021,126470,105926,7773
United States,Aug  5 2021,129079,102896,234
United States,Aug  4 2021,124072,98666,333
United States,Aug  3 2021,113880,93804,322
United States,Aug  2 2021,104608,90088,25
United States,Aug  1 2021,62411,85474,44
United States,Jul 31 2021,80966,82725,164
United States,Jul 30 2021,105257,78701,334
United States,Jul 29 2021,99473,73481,229
United States,Jul 28 2021,90036,69710,120
United States,Jul 27 2021,87871,65663,142
United States,Jul 26 2021,72304,60543,36
United States,Jul 25 2021,43169,56797,28
United States,Jul 24 2021,52797,54663,122
United States,Jul 23 2021,68718,51604,345
United States,Jul 22 2021,73076,47838,283
United States,Jul 21 2021,61710,43202,184
United States,Jul 20 2021,52031,39897,136
United States,Jul 19 2021,46084,37524,266
United States,Jul 18 2021,28227,35192,45
United States,Jul 17 2021,31387,33532,71
United States,Jul 16 2021,42355,31974,42
United States,Jul 15 2021,40621,29869,112
United States,Jul 14 2021,38578,28091,106
United States,Jul 13 2021,35421,25861,0
United States,Jul 12 2021,29755,23774,0
United States,Jul 11 2021,16609,20833,0
United States,Jul 10 2021,20485,19919,0
United States,Jul  9 2021,27620,18843,0
United States,Jul  8 2021,28174,17314,155785
United States,Jul  7 2021,22966,15957,0
United States,Jul  6 2021,20814,14337,0
United States,Jul  5 2021,9166,13634,0
United States,Jul  4 2021,10213,13872,4
United States,Jul  3 2021,12953,13901,0
United States,Jul  2 2021,16913,13919,0
United States,Jul  1 2021,18679,13648,0
United States,Jun 30 2021,11623,13198,0
United States,Jun 29 2021,15891,13504,0
United States,Jun 28 2021,10832,13187,0
United States,Jun 27 2021,10419,12895,0
United States,Jun 26 2021,13078,12661,0
United States,Jun 25 2021,15019,12550,0
United States,Jun 24 2021,15528,12104,0
United States,Jun 23 2021,13761,11782,0
United States,Jun 22 2021,13675,11689,0
United States,Jun 21 2021,8791,11602,0
United States,Jun 20 2021,8781,11555,0
United States,Jun 19 2021,12295,11513,0
United States,Jun 18 2021,11901,11502,0
United States,Jun 17 2021,13276,11801,0
United States,Jun 16 2021,13104,12187,0
United States,Jun 15 2021,13069,13038,0
United States,Jun 14 2021,8460,13241,0
United States,Jun 13 2021,8488,13514,0
United States,Jun 12 2021,12222,13856,0
United States,Jun 11 2021,13993,14193,0
United States,Jun 10 2021,15978,14827,1
United States,Jun  9 2021,19060,15186,464
United States,Jun  8 2021,14492,14841,0
United States,Jun  7 2021,10368,14058,0
United States,Jun  6 2021,10883,13857,0
United States,Jun  5 2021,14577,13990,0
