"Table 2.1. Personal Income and Its Disposition"
"[Billions of dollars] Seasonally adjusted at annual rates" 
"Bureau of Economic Analysis" 
"Last Revised on: October 28, 2021 - Next Release Date November 24, 2021"
"Line","","2019","2019","2019","2019","2020","2020","2020","2020","2021","2021","2021"
"Line","","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3"
"1","Personal income",18238.9,18345.4,18464.7,18648.5,18842.2,20348.7,19777.4,19542.0,21867.3,20575.1,20622.9
"2","    Compensation of employees",11336.1,11394.1,11453.9,11606.8,11755.5,11029.2,11539.7,11964.2,12088.9,12308.3,12575.7
"3","        Wages and salaries",9226.3,9275.4,9326.8,9465.6,9604.1,8979.0,9410.3,9783.0,9879.2,10079.1,10319.0
"4","            Private industries",7802.7,7840.4,7867.8,7982.4,8088.9,7511.3,7911.5,8286.6,8376.5,8560.0,8769.5
"5","            Government",1423.6,1435.0,1459.1,1483.3,1515.2,1467.7,1498.8,1496.4,1502.7,1519.1,1549.5
"6","        Supplements to wages and salaries",2109.7,2118.7,2127.1,2141.2,2151.4,2050.2,2129.4,2181.1,2209.7,2229.2,2256.7
"7","            Employer contributions for employee pension and insurance funds1",1466.6,1472.5,1477.4,1481.8,1483.7,1410.5,1464.9,1498.3,1510.9,1518.3,1530.9
"8","            Employer contributions for government social insurance",643.2,646.2,649.6,659.4,667.7,639.7,664.5,682.8,698.9,710.9,725.8
"9","    Proprietors' income with inventory valuation and capital consumption adjustments",1585.5,1572.8,1610.6,1626.8,1638.3,1471.1,1760.7,1730.0,1714.0,1848.2,1850.6
"10","        Farm",33.1,23.6,46.4,50.6,58.1,44.9,69.2,108.5,73.0,119.4,110.1
"11","        Nonfarm",1552.4,1549.2,1564.1,1576.1,1580.2,1426.2,1691.5,1621.5,1640.9,1728.7,1740.5
"12","    Rental income of persons with capital consumption adjustment",687.0,691.0,691.5,699.0,712.2,709.5,714.5,710.0,716.9,716.3,729.3
"13","    Personal income receipts on assets",2944.3,2972.5,2973.2,2982.1,2976.4,2910.9,2851.7,2909.6,2898.8,2932.1,2949.6
"14","        Personal interest income",1647.4,1660.5,1646.2,1654.0,1638.2,1611.3,1597.6,1610.3,1630.2,1639.4,1641.3
"15","        Personal dividend income",1296.9,1312.0,1327.0,1328.0,1338.1,1299.6,1254.2,1299.2,1268.7,1292.8,1308.4
"16","    Personal current transfer receipts",3093.8,3129.6,3157.7,3175.3,3231.8,5633.9,4369.4,3729.5,5982.5,4329.0,4106.7
"17","        Government social benefits to persons",3039.6,3074.1,3101.0,3117.9,3173.8,5570.5,4310.5,3670.2,5920.6,4257.8,4038.8
"18","            Social security2",1019.4,1026.4,1034.2,1042.9,1067.9,1074.8,1080.2,1088.8,1106.3,1109.7,1117.6
"19","            Medicare3",768.3,781.1,792.1,801.3,808.5,821.6,825.8,821.0,814.1,815.3,826.5
"20","            Medicaid",598.8,614.5,622.4,620.5,606.2,654.2,690.4,678.3,695.9,730.5,740.0
"21","            Unemployment insurance",28.4,27.8,27.4,26.8,39.5,1039.4,767.8,299.9,565.8,480.4,272.6
"22","            Veterans' benefits",125.6,128.9,132.5,136.6,140.8,144.4,147.4,149.5,152.4,156.5,162.3
"23","            Other",499.0,495.4,492.4,489.8,511.0,1836.1,799.0,632.7,2586.0,965.4,919.8
"24","        Other current transfer receipts, from business (net)",54.2,55.6,56.7,57.5,58.0,63.3,58.9,59.2,62.0,71.2,67.9
"25","    Less: Contributions for government social insurance, domestic",1407.6,1414.6,1422.0,1441.4,1472.0,1405.9,1458.7,1501.3,1533.8,1558.7,1589.0
"26","Less: Personal current taxes",2169.3,2222.8,2205.2,2223.2,2241.6,2099.0,2181.8,2259.8,2412.1,2514.8,2592.1
"27","Equals: Disposable personal income",16069.6,16122.6,16259.6,16425.3,16600.6,18249.6,17595.7,17282.2,19455.3,18060.3,18030.9
"28","Less: Personal outlays",14692.9,14928.3,15087.9,15216.9,14989.2,13477.7,14774.3,14936.8,15475.6,16165.0,16433.2
"29","    Personal consumption expenditures",14155.6,14375.7,14529.5,14653.9,14439.1,12989.7,14293.8,14467.6,15005.4,15681.7,15946.2
"30","    Personal interest payments4",330.6,339.3,346.6,345.0,337.8,273.6,274.4,255.9,255.3,267.4,267.1
"31","    Personal current transfer payments",206.8,213.2,211.8,217.9,212.3,214.4,206.1,213.2,214.8,215.9,219.8
"32","        To government",117.6,118.7,119.1,118.8,114.9,114.4,114.3,114.8,115.3,116.0,116.8
"33","        To the rest of the world (net)",89.1,94.5,92.7,99.1,97.5,100.0,91.8,98.4,99.5,99.9,103.0
"34","Equals: Personal saving",1376.7,1194.4,1171.7,1208.4,1611.4,4772.0,2821.3,2345.5,3979.7,1895.3,1597.7
"35","    Personal saving as a percentage of disposable personal income",8.6,7.4,7.2,7.4,9.7,26.1,16.0,13.6,20.5,10.5,8.9
"","Addenda:","","","","","","","","","","",""
"36","    Personal income excluding current transfer receipts, billions of chained (2012) dollars5",13882.2,13853.6,13898.3,13989.7,14070.2,13317.7,13820.2,14129.7,14061.1,14157.4,14209.7
"","    Disposable personal income:","","","","","","","","","","",""
"37","        Total, billions of chained (2012) dollars5",14729.6,14679.3,14763.1,14850.5,14962.7,16516.9,15782.4,15443.0,17221.6,15738.4,15512.8
"","        Per capita:","","","","","","","","","","",""
"38","            Current dollars",49004,49114,49462,49897,50377,55319,53261,52241,58775,54528,54391
"39","            Chained (2012) dollars",44918,44717,44910,45113,45406,50067,47772,46682,52027,47518,46795
"40","    Population (midperiod, thousands)",327923,328270,328730,329186,329529,329898,330368,330815,331011,331209,331507
"","    Percent change from preceding period:","","","","","","","","","","",""
"41","        Disposable personal income, current dollars",4.1,1.3,3.4,4.1,4.3,46.1,-13.6,-6.9,60.6,-25.7,-0.7
"42","        Disposable personal income, chained (2012) dollars",3.6,-1.4,2.3,2.4,3.1,48.5,-16.6,-8.3,54.7,-30.2,-5.6
"Legend / Footnotes:"
"1. Includes actual employer contributions and actuarially imputed employer contributions to reflect benefits accrued by defined benefit pension plan participants through service to employers in the current period."
"2. Social security benefits include old-age, survivors, and disability insurance benefits that are distributed from the federal old-age and survivors insurance trust fund and the disability insurance trust fund."
"3. Medicare benefits include hospital and supplementary medical insurance benefits that are distributed from the federal hospital insurance trust fund and the supplementary medical insurance trust fund."
