"SAPCE2 Per capita personal consumption expenditures (PCE) by major type of product 1/"
"(dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2016","2017","2018","2019","2020"
"01000","Alabama","1","Per capita personal consumption expenditures",32284,33491,34928,36217,35859
"01000","Alabama","4","      Motor vehicles and parts",1562,1598,1658,1645,1791
"01000","Alabama","5","      Furnishings and durable household equipment",777,810,863,914,1046
"01000","Alabama","6","      Recreational goods and vehicles",719,751,792,861,1015
"01000","Alabama","7","      Other durable goods",501,501,512,521,497
"01000","Alabama","9","      Food and beverages purchased for off-premises consumption",2618,2666,2746,2822,3126
"01000","Alabama","10","      Clothing and footwear",997,995,1018,1030,988
"01000","Alabama","11","      Gasoline and other energy goods",909,1007,1115,1073,787
"01000","Alabama","12","      Other nondurable goods",3500,3592,3666,3829,4093
"01000","Alabama","15","      Housing and utilities",5724,5852,6112,6336,6536
"01000","Alabama","16","      Health care",5631,5796,5990,6303,5904
"01000","Alabama","17","      Transportation services",743,769,791,844,715
"01000","Alabama","18","      Recreation services",958,987,1003,1029,788
"01000","Alabama","19","      Food services and accommodations",2148,2260,2354,2455,2135
"01000","Alabama","20","      Financial services and insurance",2159,2342,2562,2667,2732
"01000","Alabama","21","      Other services",2761,2956,3117,3302,2886
"02000","Alaska","1","Per capita personal consumption expenditures",46080,47556,49747,51499,48739
"02000","Alaska","4","      Motor vehicles and parts",1694,1730,1707,1693,1857
"02000","Alaska","5","      Furnishings and durable household equipment",1055,1076,1147,1205,1289
"02000","Alaska","6","      Recreational goods and vehicles",1490,1657,1758,1858,2170
"02000","Alaska","7","      Other durable goods",582,588,603,615,563
"02000","Alaska","9","      Food and beverages purchased for off-premises consumption",3665,3655,3723,3787,4042
"02000","Alaska","10","      Clothing and footwear",910,897,922,930,821
"02000","Alaska","11","      Gasoline and other energy goods",766,811,887,848,603
"02000","Alaska","12","      Other nondurable goods",2779,2807,2827,2888,2987
"02000","Alaska","15","      Housing and utilities",7662,7885,8143,8355,8530
"02000","Alaska","16","      Health care",9652,10062,10872,11520,10483
"02000","Alaska","17","      Transportation services",1661,1722,1805,1945,1487
"02000","Alaska","18","      Recreation services",2389,2443,2510,2588,1690
"02000","Alaska","19","      Food services and accommodations",3434,3462,3528,3671,2675
"02000","Alaska","20","      Financial services and insurance",2830,3082,3329,3424,3428
"02000","Alaska","21","      Other services",3068,3074,3234,3358,3157
"04000","Arizona","1","Per capita personal consumption expenditures",35194,36676,38167,39450,38684
"04000","Arizona","4","      Motor vehicles and parts",1454,1512,1594,1604,1830
"04000","Arizona","5","      Furnishings and durable household equipment",934,993,1059,1088,1199
"04000","Arizona","6","      Recreational goods and vehicles",910,982,1010,1109,1291
"04000","Arizona","7","      Other durable goods",679,692,707,713,678
"04000","Arizona","9","      Food and beverages purchased for off-premises consumption",2743,2840,2862,2851,3164
"04000","Arizona","10","      Clothing and footwear",1038,1045,1064,1063,997
"04000","Arizona","11","      Gasoline and other energy goods",802,901,1005,976,696
"04000","Arizona","12","      Other nondurable goods",2897,3034,3119,3295,3631
"04000","Arizona","15","      Housing and utilities",6793,6950,7164,7440,7648
"04000","Arizona","16","      Health care",5620,5839,6073,6402,6047
"04000","Arizona","17","      Transportation services",1416,1505,1560,1678,1172
"04000","Arizona","18","      Recreation services",1529,1659,1751,1782,1320
"04000","Arizona","19","      Food services and accommodations",2689,2877,3014,3118,2646
"04000","Arizona","20","      Financial services and insurance",2202,2306,2453,2468,2541
"04000","Arizona","21","      Other services",2883,2923,3073,3236,3010
"05000","Arkansas","1","Per capita personal consumption expenditures",31550,32603,33772,34568,34479
"05000","Arkansas","4","      Motor vehicles and parts",1517,1515,1519,1480,1609
"05000","Arkansas","5","      Furnishings and durable household equipment",810,847,905,939,1073
"05000","Arkansas","6","      Recreational goods and vehicles",791,796,822,849,961
"05000","Arkansas","7","      Other durable goods",421,421,426,431,421
"05000","Arkansas","9","      Food and beverages purchased for off-premises consumption",2489,2529,2551,2559,2872
"05000","Arkansas","10","      Clothing and footwear",1017,1024,1034,1027,1023
"05000","Arkansas","11","      Gasoline and other energy goods",1086,1191,1330,1266,961
"05000","Arkansas","12","      Other nondurable goods",2860,2938,2998,3135,3348
"05000","Arkansas","15","      Housing and utilities",5382,5457,5597,5660,5746
"05000","Arkansas","16","      Health care",5722,6016,6270,6555,6194
"05000","Arkansas","17","      Transportation services",667,716,739,786,692
"05000","Arkansas","18","      Recreation services",853,875,899,933,740
"05000","Arkansas","19","      Food services and accommodations",1874,1939,1996,2101,1923
"05000","Arkansas","20","      Financial services and insurance",2813,3047,3312,3453,3568
"05000","Arkansas","21","      Other services",2399,2429,2486,2538,2298
"06000","California","1","Per capita personal consumption expenditures",42178,44209,46545,48722,46636
"06000","California","4","      Motor vehicles and parts",1265,1310,1316,1266,1289
"06000","California","5","      Furnishings and durable household equipment",930,971,1041,1083,1158
"06000","California","6","      Recreational goods and vehicles",1175,1202,1307,1432,1582
"06000","California","7","      Other durable goods",688,701,730,756,719
"06000","California","9","      Food and beverages purchased for off-premises consumption",2965,3046,3123,3240,3630
"06000","California","10","      Clothing and footwear",1354,1418,1473,1533,1366
"06000","California","11","      Gasoline and other energy goods",720,838,950,938,688
"06000","California","12","      Other nondurable goods",2844,2940,3071,3242,3436
"06000","California","15","      Housing and utilities",7958,8330,8707,9111,9542
"06000","California","16","      Health care",6847,7230,7607,8060,7638
"06000","California","17","      Transportation services",1749,1822,1965,2066,1457
"06000","California","18","      Recreation services",2213,2332,2407,2562,1536
"06000","California","19","      Food services and accommodations",3158,3311,3520,3784,2999
"06000","California","20","      Financial services and insurance",3338,3532,3772,3797,3890
"06000","California","21","      Other services",3605,3778,4029,4309,3898
"08000","Colorado","1","Per capita personal consumption expenditures",42114,43899,45613,47478,46642
"08000","Colorado","4","      Motor vehicles and parts",1556,1642,1712,1692,1774
"08000","Colorado","5","      Furnishings and durable household equipment",1141,1199,1282,1332,1449
"08000","Colorado","6","      Recreational goods and vehicles",1426,1562,1665,1825,2048
"08000","Colorado","7","      Other durable goods",646,660,684,707,690
"08000","Colorado","9","      Food and beverages purchased for off-premises consumption",3306,3431,3479,3584,3980
"08000","Colorado","10","      Clothing and footwear",1166,1166,1208,1252,1167
"08000","Colorado","11","      Gasoline and other energy goods",804,926,1056,1011,751
"08000","Colorado","12","      Other nondurable goods",3116,3322,3409,3546,3857
"08000","Colorado","15","      Housing and utilities",8342,8664,8876,9486,9914
"08000","Colorado","16","      Health care",6441,6559,6689,6942,6543
"08000","Colorado","17","      Transportation services",1565,1664,1766,1893,1483
"08000","Colorado","18","      Recreation services",2198,2266,2343,2420,1751
"08000","Colorado","19","      Food services and accommodations",3287,3466,3662,3836,3049
"08000","Colorado","20","      Financial services and insurance",2968,3135,3298,3271,3350
"08000","Colorado","21","      Other services",3231,3284,3456,3678,3576
"09000","Connecticut","1","Per capita personal consumption expenditures",47462,48968,50795,51967,50437
"09000","Connecticut","4","      Motor vehicles and parts",1512,1530,1576,1540,1542
"09000","Connecticut","5","      Furnishings and durable household equipment",1149,1181,1256,1303,1364
"09000","Connecticut","6","      Recreational goods and vehicles",1252,1284,1370,1437,1584
"09000","Connecticut","7","      Other durable goods",797,791,792,795,749
"09000","Connecticut","9","      Food and beverages purchased for off-premises consumption",3299,3391,3379,3413,3770
"09000","Connecticut","10","      Clothing and footwear",1276,1258,1267,1278,1138
"09000","Connecticut","11","      Gasoline and other energy goods",729,830,920,870,623
"09000","Connecticut","12","      Other nondurable goods",4074,4261,4313,4409,4561
"09000","Connecticut","15","      Housing and utilities",8123,8209,8636,8885,9129
"09000","Connecticut","16","      Health care",7556,7691,7878,8239,7780
"09000","Connecticut","17","      Transportation services",1704,1789,1886,1944,1259
"09000","Connecticut","18","      Recreation services",1932,1974,1997,2003,1535
"09000","Connecticut","19","      Food services and accommodations",2778,2869,2965,3065,2375
"09000","Connecticut","20","      Financial services and insurance",4908,5131,5505,5601,5680
"09000","Connecticut","21","      Other services",4398,4558,4772,4985,4732
"10000","Delaware","1","Per capita personal consumption expenditures",42694,43780,45761,46960,45434
"10000","Delaware","4","      Motor vehicles and parts",1919,1945,2003,1975,1982
"10000","Delaware","5","      Furnishings and durable household equipment",1066,1087,1161,1181,1249
"10000","Delaware","6","      Recreational goods and vehicles",1197,1164,1203,1316,1462
"10000","Delaware","7","      Other durable goods",807,801,814,823,766
"10000","Delaware","9","      Food and beverages purchased for off-premises consumption",3037,3080,3168,3179,3549
"10000","Delaware","10","      Clothing and footwear",1322,1296,1299,1282,1122
"10000","Delaware","11","      Gasoline and other energy goods",914,1037,1180,1137,873
"10000","Delaware","12","      Other nondurable goods",3412,3409,3484,3561,3671
"10000","Delaware","15","      Housing and utilities",7545,7734,8190,8525,8866
"10000","Delaware","16","      Health care",8183,8339,8576,8879,8156
"10000","Delaware","17","      Transportation services",1038,1071,1120,1192,860
"10000","Delaware","18","      Recreation services",1358,1418,1486,1492,1190
"10000","Delaware","19","      Food services and accommodations",2952,2986,3120,3267,2554
"10000","Delaware","20","      Financial services and insurance",3011,3250,3511,3514,3554
"10000","Delaware","21","      Other services",3653,3849,4086,4299,4063
"11000","District of Columbia","1","Per capita personal consumption expenditures",62742,64599,67644,69633,65169
"11000","District of Columbia","4","      Motor vehicles and parts",1600,1619,1676,1673,1722
"11000","District of Columbia","5","      Furnishings and durable household equipment",1253,1267,1344,1395,1437
"11000","District of Columbia","6","      Recreational goods and vehicles",1347,1476,1654,1827,2238
"11000","District of Columbia","7","      Other durable goods",909,957,993,1030,968
"11000","District of Columbia","9","      Food and beverages purchased for off-premises consumption",5061,5207,5263,5380,5696
"11000","District of Columbia","10","      Clothing and footwear",2104,2164,2188,2342,1877
"11000","District of Columbia","11","      Gasoline and other energy goods",839,919,1091,1160,803
"11000","District of Columbia","12","      Other nondurable goods",3984,4164,4324,4475,4437
"11000","District of Columbia","15","      Housing and utilities",9696,10088,10526,10891,11355
"11000","District of Columbia","16","      Health care",10536,10736,10885,11172,10295
"11000","District of Columbia","17","      Transportation services",2617,2982,3089,3377,2343
"11000","District of Columbia","18","      Recreation services",1706,1723,1777,1844,1315
"11000","District of Columbia","19","      Food services and accommodations",5024,5129,5412,5671,3284
"11000","District of Columbia","20","      Financial services and insurance",4379,4542,4725,4671,4731
"11000","District of Columbia","21","      Other services",10246,10404,10890,11248,10089
"12000","Florida","1","Per capita personal consumption expenditures",40552,41680,43616,44991,43615
"12000","Florida","4","      Motor vehicles and parts",1562,1583,1639,1603,1690
"12000","Florida","5","      Furnishings and durable household equipment",1167,1213,1310,1361,1457
"12000","Florida","6","      Recreational goods and vehicles",1363,1430,1504,1587,1769
"12000","Florida","7","      Other durable goods",746,746,766,759,728
"12000","Florida","9","      Food and beverages purchased for off-premises consumption",3085,3157,3257,3371,3693
"12000","Florida","10","      Clothing and footwear",1023,1015,1034,1033,930
"12000","Florida","11","      Gasoline and other energy goods",687,775,850,813,580
"12000","Florida","12","      Other nondurable goods",3171,3263,3374,3503,3742
"12000","Florida","15","      Housing and utilities",8070,8267,8588,8934,9255
"12000","Florida","16","      Health care",6479,6550,6802,7140,6675
"12000","Florida","17","      Transportation services",1279,1321,1390,1471,1038
"12000","Florida","18","      Recreation services",1533,1603,1685,1741,1308
"12000","Florida","19","      Food services and accommodations",3200,3245,3392,3501,2761
"12000","Florida","20","      Financial services and insurance",3895,4156,4447,4486,4571
"12000","Florida","21","      Other services",3104,3173,3367,3540,3097
"13000","Georgia","1","Per capita personal consumption expenditures",35108,36515,38091,39193,38165
"13000","Georgia","4","      Motor vehicles and parts",1525,1562,1629,1622,1740
"13000","Georgia","5","      Furnishings and durable household equipment",806,850,920,991,1128
"13000","Georgia","6","      Recreational goods and vehicles",896,972,1020,1075,1230
"13000","Georgia","7","      Other durable goods",585,596,617,621,589
"13000","Georgia","9","      Food and beverages purchased for off-premises consumption",2873,3016,3072,3138,3483
"13000","Georgia","10","      Clothing and footwear",1127,1128,1151,1151,1059
"13000","Georgia","11","      Gasoline and other energy goods",885,1002,1112,1057,782
"13000","Georgia","12","      Other nondurable goods",3133,3285,3428,3560,3826
"13000","Georgia","15","      Housing and utilities",6213,6362,6615,6937,7190
"13000","Georgia","16","      Health care",5751,5923,6205,6399,5910
"13000","Georgia","17","      Transportation services",1395,1438,1505,1605,1170
"13000","Georgia","18","      Recreation services",1592,1668,1678,1682,1241
"13000","Georgia","19","      Food services and accommodations",2503,2622,2721,2819,2354
"13000","Georgia","20","      Financial services and insurance",2571,2726,2895,2875,2877
"13000","Georgia","21","      Other services",2881,2996,3143,3308,2959
"15000","Hawaii","1","Per capita personal consumption expenditures",41140,42881,45281,47313,45080
"15000","Hawaii","4","      Motor vehicles and parts",1311,1367,1402,1370,1417
"15000","Hawaii","5","      Furnishings and durable household equipment",920,972,1046,1070,1156
"15000","Hawaii","6","      Recreational goods and vehicles",582,585,630,685,786
"15000","Hawaii","7","      Other durable goods",550,568,609,642,600
"15000","Hawaii","9","      Food and beverages purchased for off-premises consumption",3569,3717,3898,4084,4556
"15000","Hawaii","10","      Clothing and footwear",1328,1376,1464,1476,1096
"15000","Hawaii","11","      Gasoline and other energy goods",541,613,700,654,440
"15000","Hawaii","12","      Other nondurable goods",3296,3389,3543,3754,3957
"15000","Hawaii","15","      Housing and utilities",8757,9066,9365,9840,10405
"15000","Hawaii","16","      Health care",6191,6476,6879,7337,7002
"15000","Hawaii","17","      Transportation services",1285,1394,1509,1635,940
"15000","Hawaii","18","      Recreation services",1791,1804,1891,1886,1149
"15000","Hawaii","19","      Food services and accommodations",3064,3256,3416,3613,2394
"15000","Hawaii","20","      Financial services and insurance",2870,3092,3331,3389,3417
"15000","Hawaii","21","      Other services",3197,3285,3513,3772,3304
"16000","Idaho","1","Per capita personal consumption expenditures",31891,33330,35031,35765,35459
"16000","Idaho","4","      Motor vehicles and parts",1453,1582,1638,1585,1741
"16000","Idaho","5","      Furnishings and durable household equipment",828,859,926,982,1106
"16000","Idaho","6","      Recreational goods and vehicles",1369,1434,1490,1515,1777
"16000","Idaho","7","      Other durable goods",531,536,544,542,515
"16000","Idaho","9","      Food and beverages purchased for off-premises consumption",2891,2954,2974,2997,3243
"16000","Idaho","10","      Clothing and footwear",849,845,873,869,834
"16000","Idaho","11","      Gasoline and other energy goods",1076,1231,1367,1252,941
"16000","Idaho","12","      Other nondurable goods",2331,2362,2373,2425,2615
"16000","Idaho","15","      Housing and utilities",5877,6035,6421,6637,6910
"16000","Idaho","16","      Health care",5914,6145,6467,6707,6169
"16000","Idaho","17","      Transportation services",876,939,1014,1093,932
