"SAPCE1 Personal consumption expenditures (PCE) by major type of product 1/"
"(millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2016","2017","2018","2019","2020"
"01000","Alabama","1","Personal consumption expenditures",157119.9,163367.8,170857.1,177751.0,176479.8
"01000","Alabama","4","      Motor vehicles and parts",7602.4,7793.8,8109.3,8073.1,8813.5
"01000","Alabama","5","      Furnishings and durable household equipment",3782.9,3953.3,4221.9,4485.2,5145.5
"01000","Alabama","6","      Recreational goods and vehicles",3499.0,3662.5,3872.4,4224.6,4995.4
"01000","Alabama","7","      Other durable goods",2438.7,2442.6,2504.6,2556.1,2446.1
"01000","Alabama","9","      Food and beverages purchased for off-premises consumption",12741.1,13005.9,13434.3,13852.6,15383.7
"01000","Alabama","10","      Clothing and footwear",4851.6,4855.1,4978.1,5056.6,4861.0
"01000","Alabama","11","      Gasoline and other energy goods",4421.8,4913.1,5451.9,5265.5,3875.2
"01000","Alabama","12","      Other nondurable goods",17033.4,17520.5,17933.5,18790.8,20144.1
"01000","Alabama","15","      Housing and utilities",27858.8,28544.4,29896.5,31098.2,32167.3
"01000","Alabama","16","      Health care",27404.6,28271.4,29301.7,30933.6,29057.6
"01000","Alabama","17","      Transportation services",3614.4,3752.4,3868.5,4141.5,3518.8
"01000","Alabama","18","      Recreation services",4661.5,4814.5,4904.3,5048.6,3880.2
"01000","Alabama","19","      Food services and accommodations",10455.7,11025.3,11513.3,12048.2,10505.3
"01000","Alabama","20","      Financial services and insurance",10506.8,11425.8,12534.2,13090.5,13448.0
"01000","Alabama","21","      Other services",13436.6,14418.2,15246.9,16208.2,14204.6
"02000","Alaska","1","Personal consumption expenditures",34218.2,35238.1,36644.8,37779.7,35635.7
"02000","Alaska","4","      Motor vehicles and parts",1258.1,1281.7,1257.3,1241.9,1357.6
"02000","Alaska","5","      Furnishings and durable household equipment",783.6,797.3,844.6,884.0,942.3
"02000","Alaska","6","      Recreational goods and vehicles",1106.4,1227.9,1294.8,1363.3,1586.6
"02000","Alaska","7","      Other durable goods",431.9,435.6,444.4,451.2,411.7
