Data Table for Total Cases - Alabama
Date generated: Sat Nov 20 2021 18:20:01 GMT-0500 (EST)
State,Date,Total Cases,Total Case Rate per 100k
Alabama,Nov 17 2021,841485,17162
Alabama,Nov 16 2021,840993,17152
Alabama,Nov 15 2021,840497,17141.9
Alabama,Nov 14 2021,839955,17130.8
Alabama,Nov 13 2021,839697,17125.5
Alabama,Nov 12 2021,839438,17120.3
Alabama,Nov 11 2021,838838,17108
Alabama,Nov 10 2021,838116,17093.3
Alabama,Nov  9 2021,837430,17079.3
Alabama,Nov  8 2021,837252,17075.7
Alabama,Nov  7 2021,836257,17055.4
Alabama,Nov  6 2021,836077,17051.7
Alabama,Nov  5 2021,835810,17046.3
Alabama,Nov  4 2021,835198,17033.8
Alabama,Nov  3 2021,834418,17017.9
Alabama,Nov  2 2021,833203,16993.1
Alabama,Nov  1 2021,832571,16980.2
Alabama,Oct 31 2021,831627,16961
Alabama,Oct 30 2021,831394,16956.2
Alabama,Oct 29 2021,831034,16948.9
Alabama,Oct 28 2021,830463,16937.2
Alabama,Oct 27 2021,829833,16924.4
Alabama,Oct 26 2021,827671,16880.3
Alabama,Oct 25 2021,820171,16727.3
Alabama,Oct 24 2021,819146,16706.4
Alabama,Oct 23 2021,818845,16700.3
Alabama,Oct 22 2021,818440,16692
Alabama,Oct 21 2021,817435,16671.5
Alabama,Oct 20 2021,815802,16638.2
Alabama,Oct 19 2021,814725,16616.2
Alabama,Oct 18 2021,813990,16601.3
Alabama,Oct 17 2021,812940,16579.8
Alabama,Oct 16 2021,812597,16572.8
Alabama,Oct 15 2021,812071,16562.1
Alabama,Oct 14 2021,811154,16543.4
Alabama,Oct 13 2021,810002,16519.9
Alabama,Oct 12 2021,808832,16496.1
Alabama,Oct 11 2021,807711,16473.2
Alabama,Oct 10 2021,806807,16454.8
Alabama,Oct  9 2021,806343,16445.3
Alabama,Oct  8 2021,805693,16432
Alabama,Oct  7 2021,804677,16411.3
Alabama,Oct  6 2021,803570,16388.7
Alabama,Oct  5 2021,802253,16361.9
Alabama,Oct  4 2021,800920,16334.7
Alabama,Oct  3 2021,799365,16303
Alabama,Oct  2 2021,798646,16288.3
Alabama,Oct  1 2021,797757,16270.2
Alabama,Sep 30 2021,796295,16240.4
Alabama,Sep 29 2021,794379,16201.3
Alabama,Sep 28 2021,792661,16166.2
Alabama,Sep 27 2021,790513,16122.4
Alabama,Sep 26 2021,788485,16081.1
Alabama,Sep 25 2021,787015,16051.1
Alabama,Sep 24 2021,785441,16019
Alabama,Sep 23 2021,782482,15958.6
Alabama,Sep 22 2021,779883,15905.6
Alabama,Sep 21 2021,776580,15838.3
Alabama,Sep 20 2021,773519,15775.8
Alabama,Sep 19 2021,770247,15709.1
Alabama,Sep 18 2021,768404,15671.5
Alabama,Sep 17 2021,766417,15631
Alabama,Sep 16 2021,763026,15561.8
Alabama,Sep 15 2021,759940,15498.9
Alabama,Sep 14 2021,755987,15418.3
Alabama,Sep 13 2021,752304,15343.2
Alabama,Sep 12 2021,748375,15263
Alabama,Sep 11 2021,745843,15211.4
Alabama,Sep 10 2021,743970,15173.2
Alabama,Sep  9 2021,739541,15082.9
Alabama,Sep  8 2021,734497,14980
Alabama,Sep  7 2021,730053,14889.4
Alabama,Sep  6 2021,725205,14790.5
Alabama,Sep  5 2021,722623,14737.8
Alabama,Sep  4 2021,720124,14686.9
Alabama,Sep  3 2021,717250,14628.2
Alabama,Sep  2 2021,712769,14536.9
Alabama,Sep  1 2021,707561,14430.6
Alabama,Aug 31 2021,702343,14324.2
Alabama,Aug 30 2021,697533,14226.1
Alabama,Aug 29 2021,692347,14120.4
Alabama,Aug 28 2021,689253,14057.3
Alabama,Aug 27 2021,685918,13989.2
Alabama,Aug 26 2021,679766,13863.8
Alabama,Aug 25 2021,674783,13762.1
Alabama,Aug 24 2021,670707,13679
Alabama,Aug 23 2021,667029,13604
Alabama,Aug 22 2021,663533,13532.7
Alabama,Aug 21 2021,660987,13480.8
Alabama,Aug 20 2021,657727,13414.3
Alabama,Aug 19 2021,652248,13302.5
