Data Table for Total Cases - Alaska
Date generated: Sat Nov 20 2021 18:20:14 GMT-0500 (EST)
State,Date,Total Cases,Total Case Rate per 100k
Alaska,Nov 19 2021,142717,19509
Alaska,Nov 18 2021,142203,19438.7
Alaska,Nov 17 2021,141686,19368
Alaska,Nov 16 2021,141249,19308.3
Alaska,Nov 15 2021,140904,19261.2
Alaska,Nov 14 2021,139835,19115
Alaska,Nov 13 2021,139835,19115
Alaska,Nov 12 2021,139835,19115
Alaska,Nov 11 2021,138983,18998.6
Alaska,Nov 10 2021,138983,18998.6
Alaska,Nov  9 2021,138535,18937.3
Alaska,Nov  8 2021,138161,18886.2
Alaska,Nov  7 2021,136822,18703.2
Alaska,Nov  6 2021,136822,18703.2
Alaska,Nov  5 2021,136822,18703.2
Alaska,Nov  4 2021,135966,18586.1
Alaska,Nov  3 2021,135325,18498.5
Alaska,Nov  2 2021,134658,18407.3
Alaska,Nov  1 2021,134167,18340.2
Alaska,Oct 31 2021,132645,18132.2
Alaska,Oct 30 2021,132645,18132.2
Alaska,Oct 29 2021,132645,18132.2
Alaska,Oct 28 2021,131848,18023.2
Alaska,Oct 27 2021,131056,17915
Alaska,Oct 26 2021,130482,17836.5
Alaska,Oct 25 2021,129740,17735.1
Alaska,Oct 24 2021,128084,17508.7
Alaska,Oct 23 2021,128084,17508.7
Alaska,Oct 22 2021,128084,17508.7
Alaska,Oct 21 2021,127250,17394.7
Alaska,Oct 20 2021,126250,17258
Alaska,Oct 19 2021,125445,17148
Alaska,Oct 18 2021,124751,17053.1
Alaska,Oct 17 2021,124060,16958.6
Alaska,Oct 16 2021,123369,16864.2
Alaska,Oct 15 2021,122678,16769.7
Alaska,Oct 14 2021,121710,16637.4
Alaska,Oct 13 2021,120751,16506.3
Alaska,Oct 12 2021,119546,16341.6
Alaska,Oct 11 2021,119102,16280.9
Alaska,Oct 10 2021,118189,16156.1
Alaska,Oct  9 2021,117278,16031.5
Alaska,Oct  8 2021,116367,15907
Alaska,Oct  7 2021,115543,15794.4
Alaska,Oct  6 2021,114708,15680.2
Alaska,Oct  5 2021,113857,15563.9
Alaska,Oct  4 2021,113037,15451.8
Alaska,Oct  3 2021,112308,15352.2
Alaska,Oct  2 2021,111579,15252.5
Alaska,Oct  1 2021,110850,15152.9
Alaska,Sep 30 2021,109845,15015.5
Alaska,Sep 29 2021,108608,14846.4
Alaska,Sep 28 2021,107640,14714.1
Alaska,Sep 27 2021,106976,14623.3
Alaska,Sep 26 2021,105687,14447.1
Alaska,Sep 25 2021,104400,14271.2
Alaska,Sep 24 2021,103113,14095.2
Alaska,Sep 23 2021,101384,13858.9
Alaska,Sep 22 2021,100111,13684.9
Alaska,Sep 21 2021,98891,13518.1
Alaska,Sep 20 2021,98061,13404.6
Alaska,Sep 19 2021,97374,13310.7
Alaska,Sep 18 2021,96688,13217
Alaska,Sep 17 2021,96002,13123.2
Alaska,Sep 16 2021,95132,13004.3
Alaska,Sep 15 2021,94105,12863.9
Alaska,Sep 14 2021,93039,12718.2
Alaska,Sep 13 2021,92363,12625.7
Alaska,Sep 12 2021,91890,12561.1
Alaska,Sep 11 2021,91418,12496.6
Alaska,Sep 10 2021,90946,12432
Alaska,Sep  9 2021,90271,12339.8
Alaska,Sep  8 2021,89466,12229.7
Alaska,Sep  7 2021,88658,12119.3
Alaska,Sep  6 2021,88143,12048.9
Alaska,Sep  5 2021,87628,11978.5
Alaska,Sep  4 2021,87113,11908.1
Alaska,Sep  3 2021,86598,11837.7
Alaska,Sep  2 2021,86028,11759.8
Alaska,Sep  1 2021,85358,11668.2
Alaska,Aug 31 2021,84597,11564.2
Alaska,Aug 30 2021,83991,11481.3
Alaska,Aug 29 2021,83620,11430.6
Alaska,Aug 28 2021,83250,11380
Alaska,Aug 27 2021,82880,11329.4
Alaska,Aug 26 2021,82371,11259.9
Alaska,Aug 25 2021,81671,11164.2
Alaska,Aug 24 2021,81097,11085.7
Alaska,Aug 23 2021,80533,11008.6
