Data Table for Total Cases - Arizona
Date generated: Sat Nov 20 2021 18:24:43 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Arizona,Nov 19 2021,1233146,16941.8
Arizona,Nov 18 2021,1228076,16872.1
Arizona,Nov 17 2021,1223892,16814.7
Arizona,Nov 16 2021,1220433,16767.1
Arizona,Nov 15 2021,1217193,16722.6
Arizona,Nov 14 2021,1214419,16684.5
Arizona,Nov 13 2021,1211333,16642.1
Arizona,Nov 12 2021,1207348,16587.4
Arizona,Nov 11 2021,1202901,16526.3
Arizona,Nov 10 2021,1199277,16476.5
Arizona,Nov  9 2021,1195483,16424.4
Arizona,Nov  8 2021,1192365,16381.5
Arizona,Nov  7 2021,1189708,16345
Arizona,Nov  6 2021,1186477,16300.6
Arizona,Nov  5 2021,1182885,16251.3
Arizona,Nov  4 2021,1179072,16198.9
Arizona,Nov  3 2021,1175520,16150.1
Arizona,Nov  2 2021,1173340,16120.1
Arizona,Nov  1 2021,1170990,16087.9
Arizona,Oct 31 2021,1168900,16059.1
Arizona,Oct 30 2021,1166060,16020.1
Arizona,Oct 29 2021,1163217,15981.1
Arizona,Oct 28 2021,1159526,15930.4
Arizona,Oct 27 2021,1156731,15892
Arizona,Oct 26 2021,1150432,15805.4
Arizona,Oct 25 2021,1149982,15799.2
Arizona,Oct 24 2021,1149824,15797.1
Arizona,Oct 23 2021,1148340,15776.7
Arizona,Oct 22 2021,1145196,15733.5
Arizona,Oct 21 2021,1142122,15691.3
Arizona,Oct 20 2021,1139627,15657
Arizona,Oct 19 2021,1137636,15629.6
Arizona,Oct 18 2021,1135748,15603.7
Arizona,Oct 17 2021,1133862,15577.8
Arizona,Oct 16 2021,1131976,15551.9
Arizona,Oct 15 2021,1129494,15517.8
Arizona,Oct 14 2021,1127095,15484.8
Arizona,Oct 13 2021,1124709,15452
Arizona,Oct 12 2021,1122390,15420.2
Arizona,Oct 11 2021,1120361,15392.3
Arizona,Oct 10 2021,1118601,15368.1
Arizona,Oct  9 2021,1116419,15338.1
Arizona,Oct  8 2021,1114061,15305.7
Arizona,Oct  7 2021,1111359,15268.6
Arizona,Oct  6 2021,1108830,15233.9
Arizona,Oct  5 2021,1106789,15205.8
Arizona,Oct  4 2021,1104535,15174.9
Arizona,Oct  3 2021,1102422,15145.8
Arizona,Oct  2 2021,1100167,15114.8
Arizona,Oct  1 2021,1097225,15074.4
Arizona,Sep 30 2021,1093583,15024.4
Arizona,Sep 29 2021,1090839,14986.7
Arizona,Sep 28 2021,1087451,14940.1
Arizona,Sep 27 2021,1086328,14924.7
Arizona,Sep 26 2021,1084369,14897.8
Arizona,Sep 25 2021,1081790,14862.4
Arizona,Sep 24 2021,1078874,14822.3
