Data Table for Total Cases - Arkansas
Date generated: Sat Nov 20 2021 18:24:55 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Arkansas,Nov 19 2021,523192,17336.8
Arkansas,Nov 18 2021,522460,17312.6
Arkansas,Nov 17 2021,521553,17282.5
Arkansas,Nov 16 2021,520725,17255.1
Arkansas,Nov 15 2021,519911,17228.1
Arkansas,Nov 14 2021,519760,17223.1
Arkansas,Nov 13 2021,519453,17212.9
Arkansas,Nov 12 2021,518863,17193.4
Arkansas,Nov 11 2021,518348,17176.3
Arkansas,Nov 10 2021,517675,17154
Arkansas,Nov  9 2021,517000,17131.7
Arkansas,Nov  8 2021,516386,17111.3
Arkansas,Nov  7 2021,516245,17106.6
Arkansas,Nov  6 2021,515979,17097.8
Arkansas,Nov  5 2021,515524,17082.8
Arkansas,Nov  4 2021,514967,17064.3
Arkansas,Nov  3 2021,514539,17050.1
Arkansas,Nov  2 2021,513993,17032
Arkansas,Nov  1 2021,513352,17010.8
Arkansas,Oct 31 2021,513215,17006.2
Arkansas,Oct 30 2021,512994,16998.9
Arkansas,Oct 29 2021,512530,16983.5
Arkansas,Oct 28 2021,511984,16965.4
Arkansas,Oct 27 2021,511467,16948.3
Arkansas,Oct 26 2021,510908,16929.8
Arkansas,Oct 25 2021,510406,16913.2
Arkansas,Oct 24 2021,510245,16907.8
Arkansas,Oct 23 2021,509999,16899.7
Arkansas,Oct 22 2021,509559,16885.1
Arkansas,Oct 21 2021,508937,16864.5
Arkansas,Oct 20 2021,508431,16847.7
Arkansas,Oct 19 2021,507759,16825.4
Arkansas,Oct 18 2021,507098,16803.5
Arkansas,Oct 17 2021,506956,16798.8
Arkansas,Oct 16 2021,506573,16786.1
Arkansas,Oct 15 2021,506011,16767.5
Arkansas,Oct 14 2021,505297,16743.9
Arkansas,Oct 13 2021,504516,16718
Arkansas,Oct 12 2021,503822,16695
Arkansas,Oct 11 2021,503089,16670.7
Arkansas,Oct 10 2021,502872,16663.5
Arkansas,Oct  9 2021,502405,16648
Arkansas,Oct  8 2021,501518,16618.6
Arkansas,Oct  7 2021,500779,16594.2
Arkansas,Oct  6 2021,499886,16564.6
Arkansas,Oct  5 2021,499004,16535.3
Arkansas,Oct  4 2021,498257,16510.6
Arkansas,Oct  3 2021,498062,16504.1
Arkansas,Oct  2 2021,497576,16488
Arkansas,Oct  1 2021,496934,16466.7
Arkansas,Sep 30 2021,496077,16438.3
Arkansas,Sep 29 2021,495073,16405.1
Arkansas,Sep 28 2021,493920,16366.9
Arkansas,Sep 27 2021,493120,16340.4
Arkansas,Sep 26 2021,492650,16324.8
Arkansas,Sep 25 2021,492233,16311
Arkansas,Sep 24 2021,491221,16277.4
Arkansas,Sep 23 2021,489856,16232.2
Arkansas,Sep 22 2021,488316,16181.2
Arkansas,Sep 21 2021,486853,16132.7
Arkansas,Sep 20 2021,485452,16086.3
Arkansas,Sep 19 2021,484884,16067.4
Arkansas,Sep 18 2021,484317,16048.7
Arkansas,Sep 17 2021,482743,15996.5
Arkansas,Sep 16 2021,480934,15936.6
Arkansas,Sep 15 2021,479110,15876.1
Arkansas,Sep 14 2021,477191,15812.5
Arkansas,Sep 13 2021,475647,15761.4
Arkansas,Sep 12 2021,475001,15740
Arkansas,Sep 11 2021,473885,15703
Arkansas,Sep 10 2021,472136,15645
Arkansas,Sep  9 2021,469977,15573.5
Arkansas,Sep  8 2021,467496,15491.3
Arkansas,Sep  7 2021,465315,15419
Arkansas,Sep  6 2021,464732,15399.7
Arkansas,Sep  5 2021,463795,15368.6
Arkansas,Sep  4 2021,462723,15333.1
Arkansas,Sep  3 2021,460363,15254.9
Arkansas,Sep  2 2021,458234,15184.4
Arkansas,Sep  1 2021,455781,15103.1
Arkansas,Aug 31 2021,452891,15007.3
Arkansas,Aug 30 2021,450265,14920.3
Arkansas,Aug 29 2021,449383,14891.1
Arkansas,Aug 28 2021,448596,14865
Arkansas,Aug 27 2021,446430,14793.2
Arkansas,Aug 26 2021,443564,14698.2
Arkansas,Aug 25 2021,441246,14621.4
Arkansas,Aug 24 2021,438465,14529.3
Arkansas,Aug 23 2021,436242,14455.6
Arkansas,Aug 22 2021,435256,14422.9
Arkansas,Aug 21 2021,434027,14382.2
