Data Table for Total Cases - California
Date generated: Sat Nov 20 2021 18:25:07 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
California,Nov 19 2021,5014428,12690.8
California,Nov 18 2021,5009101,12677.3
California,Nov 17 2021,5001302,12657.6
California,Nov 16 2021,4997390,12647.7
California,Nov 15 2021,4992875,12636.3
California,Nov 14 2021,4984465,12615
California,Nov 13 2021,4984465,12615
California,Nov 12 2021,4972469,12584.6
California,Nov 11 2021,4972469,12584.6
California,Nov 10 2021,4963742,12562.5
California,Nov  9 2021,4960026,12553.1
California,Nov  8 2021,4956081,12543.2
California,Nov  7 2021,4937188,12495.3
California,Nov  6 2021,4937188,12495.3
California,Nov  5 2021,4937188,12495.3
California,Nov  4 2021,4929176,12475.1
California,Nov  3 2021,4919465,12450.5
California,Nov  2 2021,4915947,12441.6
California,Nov  1 2021,4911738,12430.9
California,Oct 31 2021,4892387,12382
California,Oct 30 2021,4892387,12382
California,Oct 29 2021,4892387,12382
California,Oct 28 2021,4885289,12364
California,Oct 27 2021,4855054,12287.5
California,Oct 26 2021,4850676,12276.4
California,Oct 25 2021,4826113,12214.2
California,Oct 24 2021,4826113,12214.2
California,Oct 23 2021,4826113,12214.2
California,Oct 22 2021,4826113,12214.2
California,Oct 21 2021,4820020,12198.8
California,Oct 20 2021,4811613,12177.5
California,Oct 19 2021,4808543,12169.8
California,Oct 18 2021,4804462,12159.4
California,Oct 17 2021,4787698,12117
California,Oct 16 2021,4787698,12117
California,Oct 15 2021,4787698,12117
California,Oct 14 2021,4781510,12101.3
California,Oct 13 2021,4774247,12083
California,Oct 12 2021,4770213,12072.8
California,Oct 11 2021,4766122,12062.4
California,Oct 10 2021,4749201,12019.6
California,Oct  9 2021,4749201,12019.6
California,Oct  8 2021,4749201,12019.6
California,Oct  7 2021,4742491,12002.6
California,Oct  6 2021,4734051,11981.2
California,Oct  5 2021,4728665,11967.6
California,Oct  4 2021,4724913,11958.1
California,Oct  3 2021,4705915,11910
California,Oct  2 2021,4705915,11910
California,Oct  1 2021,4705915,11910
California,Sep 30 2021,4698046,11890.1
California,Sep 29 2021,4687825,11864.2
California,Sep 28 2021,4681332,11847.8
California,Sep 27 2021,4676579,11835.8
California,Sep 26 2021,4653610,11777.6
California,Sep 25 2021,4653610,11777.6
California,Sep 24 2021,4653610,11777.6
California,Sep 23 2021,4646334,11759.2
California,Sep 22 2021,4634791,11730
California,Sep 21 2021,4628212,11713.4
California,Sep 20 2021,4622180,11698.1
California,Sep 19 2021,4615987,11682.4
California,Sep 18 2021,4606949,11659.6
California,Sep 17 2021,4597564,11635.8
California,Sep 16 2021,4588021,11611.6
California,Sep 15 2021,4574136,11576.5
California,Sep 14 2021,4566376,11556.9
California,Sep 13 2021,4554525,11526.9
California,Sep 12 2021,4547683,11509.6
California,Sep 11 2021,4538638,11486.7
California,Sep 10 2021,4525175,11452.6
California,Sep  9 2021,4515931,11429.2
California,Sep  8 2021,4504293,11399.7
California,Sep  7 2021,4497019,11381.3
California,Sep  6 2021,4489496,11362.3
California,Sep  5 2021,4480630,11339.9
California,Sep  4 2021,4466363,11303.8
California,Sep  3 2021,4457045,11280.2
California,Sep  2 2021,4445303,11250.5
California,Sep  1 2021,4429964,11211.6
California,Aug 31 2021,4406577,11152.4
California,Aug 30 2021,4396971,11128.1
California,Aug 29 2021,4382003,11090.2
California,Aug 28 2021,4370175,11060.3
California,Aug 27 2021,4355018,11022
California,Aug 26 2021,4341233,10987.1
California,Aug 25 2021,4323858,10943.1
California,Aug 24 2021,4311959,10913
California,Aug 23 2021,4301558,10886.7
California,Aug 22 2021,4291284,10860.6
California,Aug 21 2021,4276720,10823.8
California,Aug 20 2021,4263107,10789.3
California,Aug 19 2021,4248391,10752.1
California,Aug 18 2021,4225740,10694.8
California,Aug 17 2021,4211423,10658.5
California,Aug 16 2021,4201675,10633.9
California,Aug 15 2021,4190238,10604.9
California,Aug 14 2021,4176766,10570.8
California,Aug 13 2021,4162287,10534.2
California,Aug 12 2021,4148188,10498.5
California,Aug 11 2021,4137738,10472
California,Aug 10 2021,4127813,10446.9
California,Aug  9 2021,4118188,10422.6
California,Aug  8 2021,4107763,10396.2
California,Aug  7 2021,4094492,10362.6
California,Aug  6 2021,4081576,10329.9
California,Aug  5 2021,4067174,10293.5
California,Aug  4 2021,4054132,10260.5
California,Aug  3 2021,4045580,10238.8
California,Aug  2 2021,4038262,10220.3
California,Aug  1 2021,4004855,10135.7
California,Jul 31 2021,4004855,10135.7
California,Jul 30 2021,4004855,10135.7
California,Jul 29 2021,3994499,10109.5
California,Jul 28 2021,3983721,10082.2
California,Jul 27 2021,3976872,10064.9
California,Jul 26 2021,3969141,10045.3
California,Jul 25 2021,3947201,9989.8
California,Jul 24 2021,3947201,9989.8
California,Jul 23 2021,3947201,9989.8
California,Jul 22 2021,3939217,9969.6
California,Jul 21 2021,3928255,9941.9
California,Jul 20 2021,3922970,9928.5
California,Jul 19 2021,3918247,9916.5
California,Jul 18 2021,3904150,9880.9
California,Jul 17 2021,3904150,9880.9
California,Jul 16 2021,3904150,9880.9
California,Jul 15 2021,3899499,9869.1
California,Jul 14 2021,3895877,9859.9
California,Jul 13 2021,3892784,9852.1
California,Jul 12 2021,3889528,9843.9
California,Jul 11 2021,3880618,9821.3
California,Jul 10 2021,3880618,9821.3
California,Jul  9 2021,3880618,9821.3
California,Jul  8 2021,3878207,9815.2
California,Jul  7 2021,3721006,9417.4
California,Jul  6 2021,3719674,9414
California,Jul  5 2021,3713944,9399.5
California,Jul  4 2021,3713944,9399.5
California,Jul  3 2021,3713944,9399.5
California,Jul  2 2021,3713944,9399.5
California,Jul  1 2021,3712152,9394.9
California,Jun 30 2021,3710454,9390.6
California,Jun 29 2021,3714813,9401.7
California,Jun 28 2021,3714051,9399.8
California,Jun 27 2021,3712795,9396.6
California,Jun 26 2021,3710544,9390.9
California,Jun 25 2021,3708861,9386.6
California,Jun 24 2021,3706846,9381.5
California,Jun 23 2021,3705427,9377.9
California,Jun 22 2021,3704640,9375.9
California,Jun 21 2021,3704005,9374.3
California,Jun 20 2021,3702882,9371.5
California,Jun 19 2021,3701926,9369.1
California,Jun 18 2021,3700750,9366.1
California,Jun 17 2021,3699455,9362.8
California,Jun 16 2021,3698626,9360.7
California,Jun 15 2021,3697927,9358.9
California,Jun 14 2021,3697299,9357.4
California,Jun 13 2021,3696472,9355.3
California,Jun 12 2021,3695530,9352.9
California,Jun 11 2021,3694498,9350.3
California,Jun 10 2021,3693362,9347.4
California,Jun  9 2021,3692506,9345.2
California,Jun  8 2021,3691660,9343.1
California,Jun  7 2021,3690868,9341.1
California,Jun  6 2021,3689994,9338.9
California,Jun  5 2021,3688893,9336.1
California,Jun  4 2021,3687736,9333.2
California,Jun  3 2021,3686689,9330.5
California,Jun  2 2021,3685916,9328.5
California,Jun  1 2021,3685455,9327.4
California,May 31 2021,3685032,9326.3
California,May 30 2021,3684388,9324.7
California,May 29 2021,3683309,9321.9
California,May 28 2021,3682099,9318.9
California,May 27 2021,3677235,9306.6
California,May 26 2021,3675817,9303
California,May 25 2021,3674662,9300.1
California,May 24 2021,3674044,9298.5
California,May 23 2021,3672963,9295.8
California,May 22 2021,3671655,9292.5
California,May 21 2021,3670469,9289.5
California,May 20 2021,3668842,9285.3
California,May 19 2021,3667550,9282.1
California,May 18 2021,3666591,9279.6
California,May 17 2021,3665904,9277.9
California,May 16 2021,3664909,9275.4
California,May 15 2021,3663539,9271.9
California,May 14 2021,3661675,9267.2
California,May 13 2021,3659641,9262
California,May 12 2021,3658198,9258.4
California,May 11 2021,3656967,9255.3
California,May 10 2021,3655922,9252.6
California,May  9 2021,3654545,9249.2
California,May  8 2021,3652692,9244.5
California,May  7 2021,3650747,9239.5
California,May  6 2021,3648276,9233.3
California,May  5 2021,3646729,9229.4
California,May  4 2021,3645341,9225.9
California,May  3 2021,3643992,9222.4
California,May  2 2021,3642480,9218.6
California,May  1 2021,3640226,9212.9
California,Apr 30 2021,3638132,9207.6
California,Apr 29 2021,3636235,9202.8
California,Apr 28 2021,3634778,9199.1
California,Apr 27 2021,3633185,9195.1
California,Apr 26 2021,3631740,9191.4
California,Apr 25 2021,3629624,9186.1
California,Apr 24 2021,3627885,9181.7
California,Apr 23 2021,3626656,9178.6
California,Apr 22 2021,3624838,9174
California,Apr 21 2021,3622427,9167.9
California,Apr 20 2021,3620301,9162.5
California,Apr 19 2021,3618695,9158.4
California,Apr 18 2021,3616779,9153.6
California,Apr 17 2021,3614112,9146.8
California,Apr 16 2021,3611349,9139.8
California,Apr 15 2021,3608898,9133.6
California,Apr 14 2021,3606882,9128.5
California,Apr 13 2021,3604395,9122.2
California,Apr 12 2021,3602827,9118.3
California,Apr 11 2021,3600178,9111.6
California,Apr 10 2021,3595224,9099
California,Apr  9 2021,3590758,9087.7
California,Apr  8 2021,3588152,9081.1
California,Apr  7 2021,3586059,9075.8
California,Apr  6 2021,3583830,9070.2
California,Apr  5 2021,3582463,9066.7
California,Apr  4 2021,3580351,9061.4
California,Apr  3 2021,3577951,9055.3
California,Apr  2 2021,3573074,9043
California,Apr  1 2021,3570660,9036.8
California,Mar 31 2021,3568426,9031.2
California,Mar 30 2021,3566464,9026.2
California,Mar 29 2021,3564468,9021.2
California,Mar 28 2021,3562191,9015.4
California,Mar 27 2021,3559193,9007.8
California,Mar 26 2021,3555915,8999.5
California,Mar 25 2021,3553307,8992.9
California,Mar 24 2021,3551056,8987.2
California,Mar 23 2021,3549101,8982.3
California,Mar 22 2021,3547278,8977.7
California,Mar 21 2021,3545278,8972.6
California,Mar 20 2021,3541928,8964.1
California,Mar 19 2021,3538821,8956.3
California,Mar 18 2021,3535534,8948
California,Mar 17 2021,3532496,8940.3
California,Mar 16 2021,3530055,8934.1
California,Mar 15 2021,3528795,8930.9
California,Mar 14 2021,3526335,8924.7
California,Mar 13 2021,3523563,8917.7
California,Mar 12 2021,3520333,8909.5
California,Mar 11 2021,3516862,8900.7
California,Mar 10 2021,3513678,8892.6
California,Mar  9 2021,3507266,8876.4
California,Mar  8 2021,3504652,8869.8
California,Mar  7 2021,3501394,8861.5
California,Mar  6 2021,3497578,8851.9
California,Mar  5 2021,3493126,8840.6
California,Mar  4 2021,3488467,8828.8
California,Mar  3 2021,3484963,8820
California,Mar  2 2021,3481611,8811.5
California,Mar  1 2021,3479078,8805.1
California,Feb 28 2021,3475562,8796.2
California,Feb 27 2021,3470877,8784.3
California,Feb 26 2021,3465726,8771.3
California,Feb 25 2021,3460326,8757.6
California,Feb 24 2021,3455361,8745
California,Feb 23 2021,3450058,8731.6
California,Feb 22 2021,3446611,8722.9
California,Feb 21 2021,3441946,8711.1
California,Feb 20 2021,3435186,8694
California,Feb 19 2021,3428518,8677.1
California,Feb 18 2021,3421720,8659.9
California,Feb 17 2021,3416147,8645.8
California,Feb 16 2021,3412057,8635.4
California,Feb 15 2021,3406365,8621
California,Feb 14 2021,3399878,8604.6
California,Feb 13 2021,3391036,8582.2
California,Feb 12 2021,3381615,8558.4
California,Feb 11 2021,3371556,8532.9
California,Feb 10 2021,3362981,8511.2
California,Feb  9 2021,3354591,8490
California,Feb  8 2021,3346340,8469.1
California,Feb  7 2021,3335926,8442.8
California,Feb  6 2021,3320862,8404.6
California,Feb  5 2021,3308468,8373.3
California,Feb  4 2021,3294447,8337.8
California,Feb  3 2021,3281271,8304.4
California,Feb  2 2021,3270770,8277.9
California,Feb  1 2021,3258706,8247.3
California,Jan 31 2021,3243348,8208.5
California,Jan 30 2021,3224374,8160.4
California,Jan 29 2021,3205947,8113.8
California,Jan 28 2021,3186610,8064.9
California,Jan 27 2021,3169914,8022.6
California,Jan 26 2021,3153186,7980.3
California,Jan 25 2021,3136158,7937.2
California,Jan 24 2021,3109151,7868.8
California,Jan 23 2021,3085040,7807.8
California,Jan 22 2021,3062068,7749.7
California,Jan 21 2021,3039044,7691.4
California,Jan 20 2021,3019371,7641.6
California,Jan 19 2021,2996968,7584.9
California,Jan 18 2021,2973174,7524.7
California,Jan 17 2021,2942475,7447
California,Jan 16 2021,2900246,7340.1
California,Jan 15 2021,2859624,7237.3
California,Jan 14 2021,2816969,7129.4
California,Jan 13 2021,2781039,7038.4
California,Jan 12 2021,2747288,6953
California,Jan 11 2021,2710801,6860.7
California,Jan 10 2021,2670962,6759.8
California,Jan  9 2021,2621277,6634.1
California,Jan  8 2021,2568641,6500.9
California,Jan  7 2021,2518611,6374.3
California,Jan  6 2021,2482226,6282.2
California,Jan  5 2021,2452334,6206.5
California,Jan  4 2021,2409703,6098.6
California,Jan  3 2021,2391261,6052
California,Jan  2 2021,2345909,5937.2
California,Jan  1 2021,2292568,5802.2
California,Dec 31 2020,2231552,5647.8
California,Dec 30 2020,2218142,5613.8
California,Dec 29 2020,2187221,5535.6
California,Dec 28 2020,2155976,5456.5
California,Dec 27 2020,2122806,5372.5
California,Dec 26 2020,2072665,5245.6
California,Dec 25 2020,2042290,5168.8
California,Dec 24 2020,1998115,5057
California,Dec 23 2020,1964076,4970.8
California,Dec 22 2020,1925007,4871.9
California,Dec 21 2020,1892348,4789.3
California,Dec 20 2020,1854456,4693.4
California,Dec 19 2020,1807982,4575.8
California,Dec 18 2020,1764374,4465.4
California,Dec 17 2020,1723362,4361.6
California,Dec 16 2020,1671081,4229.3
California,Dec 15 2020,1617370,4093.3
California,Dec 14 2020,1585044,4011.5
California,Dec 13 2020,1551766,3927.3
California,Dec 12 2020,1521432,3850.5
California,Dec 11 2020,1485703,3760.1
California,Dec 10 2020,1450235,3670.3
California,Dec  9 2020,1420558,3595.2
California,Dec  8 2020,1389707,3517.2
California,Dec  7 2020,1366435,3458.3
California,Dec  6 2020,1341700,3395.7
California,Dec  5 2020,1311625,3319.5
California,Dec  4 2020,1286557,3256.1
California,Dec  3 2020,1264539,3200.4
California,Dec  2 2020,1245951,3153.3
California,Dec  1 2020,1225189,3100.8
California,Nov 30 2020,1212968,3069.9
California,Nov 29 2020,1198934,3034.3
California,Nov 28 2020,1183320,2994.8
California,Nov 27 2020,1171324,2964.5
California,Nov 26 2020,1158689,2932.5
California,Nov 25 2020,1144049,2895.4
California,Nov 24 2020,1125699,2849
California,Nov 23 2020,1110370,2810.2
California,Nov 22 2020,1102033,2789.1
California,Nov 21 2020,1087714,2752.9
California,Nov 20 2020,1072272,2713.8
California,Nov 19 2020,1059267,2680.9
California,Nov 18 2020,1047789,2651.8
California,Nov 17 2020,1037978,2627
California,Nov 16 2020,1029235,2604.9
California,Nov 15 2020,1019345,2579.8
California,Nov 14 2020,1008377,2552.1
California,Nov 13 2020,998502,2527.1
California,Nov 12 2020,991609,2509.6
California,Nov 11 2020,984682,2492.1
California,Nov 10 2020,977218,2473.2
California,Nov  9 2020,971851,2459.6
California,Nov  8 2020,966500,2446.1
California,Nov  7 2020,956957,2421.9
California,Nov  6 2020,951094,2407.1
California,Nov  5 2020,944576,2390.6
California,Nov  4 2020,940010,2379
California,Nov  3 2020,934672,2365.5
California,Nov  2 2020,930628,2355.3
California,Nov  1 2020,926534,2344.9
California,Oct 31 2020,922005,2333.5
California,Oct 30 2020,916918,2320.6
California,Oct 29 2020,912904,2310.4
California,Oct 28 2020,908713,2299.8
California,Oct 27 2020,904198,2288.4
California,Oct 26 2020,901010,2280.3
California,Oct 25 2020,898029,2272.8
California,Oct 24 2020,892810,2259.6
California,Oct 23 2020,886865,2244.5
California,Oct 22 2020,880724,2229
California,Oct 21 2020,877784,2221.6
California,Oct 20 2020,874077,2212.2
California,Oct 19 2020,870791,2203.9
California,Oct 18 2020,867317,2195.1
California,Oct 17 2020,864455,2187.8
California,Oct 16 2020,861476,2180.3
California,Oct 15 2020,858401,2172.5
California,Oct 14 2020,855072,2164.1
California,Oct 13 2020,852406,2157.3
California,Oct 12 2020,850028,2151.3
California,Oct 11 2020,846579,2142.6
California,Oct 10 2020,842776,2133
California,Oct  9 2020,838606,2122.4
California,Oct  8 2020,834800,2112.8
California,Oct  7 2020,831225,2103.7
California,Oct  6 2020,828461,2096.7
California,Oct  5 2020,826784,2092.5
California,Oct  4 2020,823729,2084.7
California,Oct  3 2020,819436,2073.9
California,Oct  2 2020,817277,2068.4
California,Oct  1 2020,813687,2059.3
California,Sep 30 2020,810625,2051.6
California,Sep 29 2020,807425,2043.5
California,Sep 28 2020,805263,2038
California,Sep 27 2020,802308,2030.5
California,Sep 26 2020,798237,2020.2
California,Sep 25 2020,794040,2009.6
California,Sep 24 2020,790640,2001
California,Sep 23 2020,787470,1993
California,Sep 22 2020,784324,1985
California,Sep 21 2020,781694,1978.4
California,Sep 20 2020,778400,1970
California,Sep 19 2020,774135,1959.2
California,Sep 18 2020,769831,1948.3
California,Sep 17 2020,766201,1939.1
California,Sep 16 2020,762963,1931
California,Sep 15 2020,760013,1923.5
California,Sep 14 2020,757778,1917.8
California,Sep 13 2020,754923,1910.6
California,Sep 12 2020,750298,1898.9
California,Sep 11 2020,746191,1888.5
California,Sep 10 2020,742865,1880.1
California,Sep  9 2020,739527,1871.6
California,Sep  8 2020,737911,1867.6
California,Sep  7 2020,735235,1860.8
California,Sep  6 2020,732144,1853
California,Sep  5 2020,727239,1840.5
California,Sep  4 2020,722283,1828
California,Sep  3 2020,717177,1815.1
California,Sep  2 2020,712052,1802.1
California,Sep  1 2020,707797,1791.3
