Data Table for Total Cases - Colorado
Date generated: Sat Nov 20 2021 18:25:16 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Colorado,Nov 19 2021,804734,13974.1
Colorado,Nov 18 2021,801014,13909.5
Colorado,Nov 17 2021,796412,13829.6
Colorado,Nov 16 2021,792168,13755.9
Colorado,Nov 15 2021,789430,13708.4
Colorado,Nov 14 2021,781960,13578.7
Colorado,Nov 13 2021,781960,13578.7
Colorado,Nov 12 2021,781960,13578.7
Colorado,Nov 11 2021,778909,13525.7
Colorado,Nov 10 2021,774997,13457.8
Colorado,Nov  9 2021,771160,13391.1
Colorado,Nov  8 2021,768646,13347.5
Colorado,Nov  7 2021,760453,13205.2
Colorado,Nov  6 2021,760453,13205.2
Colorado,Nov  5 2021,760453,13205.2
Colorado,Nov  4 2021,757147,13147.8
Colorado,Nov  3 2021,752998,13075.8
Colorado,Nov  2 2021,750251,13028
Colorado,Nov  1 2021,747855,12986.4
Colorado,Oct 31 2021,740461,12858
Colorado,Oct 30 2021,740461,12858
Colorado,Oct 29 2021,740461,12858
Colorado,Oct 28 2021,737166,12800.8
Colorado,Oct 27 2021,733343,12734.4
Colorado,Oct 26 2021,729958,12675.7
Colorado,Oct 25 2021,727506,12633.1
Colorado,Oct 24 2021,720620,12513.5
Colorado,Oct 23 2021,720620,12513.5
Colorado,Oct 22 2021,720620,12513.5
Colorado,Oct 21 2021,717774,12464.1
Colorado,Oct 20 2021,714377,12405.1
Colorado,Oct 19 2021,712125,12366
Colorado,Oct 18 2021,710142,12331.6
Colorado,Oct 17 2021,708373,12300.8
Colorado,Oct 16 2021,706606,12270.2
Colorado,Oct 15 2021,704839,12239.5
Colorado,Oct 14 2021,701989,12190
Colorado,Oct 13 2021,698810,12134.8
Colorado,Oct 12 2021,696349,12092
Colorado,Oct 11 2021,694349,12057.3
Colorado,Oct 10 2021,692387,12023.2
Colorado,Oct  9 2021,690426,11989.2
Colorado,Oct  8 2021,688465,11955.1
Colorado,Oct  7 2021,685554,11904.6
Colorado,Oct  6 2021,682773,11856.3
Colorado,Oct  5 2021,680935,11824.4
Colorado,Oct  4 2021,678655,11784.8
Colorado,Oct  3 2021,676941,11755
Colorado,Oct  2 2021,675229,11725.3
Colorado,Oct  1 2021,673517,11695.6
Colorado,Sep 30 2021,671363,11658.2
Colorado,Sep 29 2021,668958,11616.4
Colorado,Sep 28 2021,667366,11588.8
