Data Table for Total Cases - Connecticut
Date generated: Sat Nov 20 2021 18:26:14 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Connecticut,Nov 19 2021,412918,11581.6
Connecticut,Nov 18 2021,412058,11557.5
Connecticut,Nov 17 2021,411311,11536.5
Connecticut,Nov 16 2021,410473,11513
Connecticut,Nov 15 2021,409929,11497.8
Connecticut,Nov 14 2021,407750,11436.7
Connecticut,Nov 13 2021,407750,11436.7
Connecticut,Nov 12 2021,407750,11436.7
Connecticut,Nov 11 2021,407292,11423.8
Connecticut,Nov 10 2021,406752,11408.7
Connecticut,Nov  9 2021,406219,11393.7
Connecticut,Nov  8 2021,405910,11385.1
Connecticut,Nov  7 2021,404969,11358.7
Connecticut,Nov  6 2021,404969,11358.7
Connecticut,Nov  5 2021,404969,11358.7
Connecticut,Nov  4 2021,404649,11349.7
Connecticut,Nov  3 2021,404218,11337.6
Connecticut,Nov  2 2021,403827,11326.6
Connecticut,Nov  1 2021,403415,11315.1
Connecticut,Oct 31 2021,402583,11291.7
Connecticut,Oct 30 2021,402583,11291.7
Connecticut,Oct 29 2021,402583,11291.7
Connecticut,Oct 28 2021,402159,11279.8
Connecticut,Oct 27 2021,401716,11267.4
Connecticut,Oct 26 2021,401379,11258
Connecticut,Oct 25 2021,401125,11250.8
Connecticut,Oct 24 2021,400226,11225.6
Connecticut,Oct 23 2021,400226,11225.6
Connecticut,Oct 22 2021,400226,11225.6
Connecticut,Oct 21 2021,399773,11212.9
Connecticut,Oct 20 2021,399363,11201.4
Connecticut,Oct 19 2021,398979,11190.7
Connecticut,Oct 18 2021,398270,11170.8
Connecticut,Oct 17 2021,397887,11160
Connecticut,Oct 16 2021,397505,11149.3
Connecticut,Oct 15 2021,397123,11138.6
Connecticut,Oct 14 2021,396629,11124.7
Connecticut,Oct 13 2021,395721,11099.3
Connecticut,Oct 12 2021,395481,11092.5
Connecticut,Oct 11 2021,395109,11082.1
Connecticut,Oct 10 2021,394742,11071.8
Connecticut,Oct  9 2021,394375,11061.5
Connecticut,Oct  8 2021,394008,11051.2
Connecticut,Oct  7 2021,393499,11037
Connecticut,Oct  6 2021,392951,11021.6
Connecticut,Oct  5 2021,392574,11011
Connecticut,Oct  4 2021,392163,10999.5
Connecticut,Oct  3 2021,391796,10989.2
Connecticut,Oct  2 2021,391431,10978.9
Connecticut,Oct  1 2021,391066,10968.7
Connecticut,Sep 30 2021,390345,10948.5
Connecticut,Sep 29 2021,390180,10943.9
Connecticut,Sep 28 2021,389730,10931.2
Connecticut,Sep 27 2021,389177,10915.7
Connecticut,Sep 26 2021,388693,10902.2
Connecticut,Sep 25 2021,388213,10888.7
Connecticut,Sep 24 2021,387733,10875.2
Connecticut,Sep 23 2021,387263,10862
Connecticut,Sep 22 2021,386672,10845.5
Connecticut,Sep 21 2021,386182,10831.7
Connecticut,Sep 20 2021,385788,10820.7
Connecticut,Sep 19 2021,385304,10807.1
Connecticut,Sep 18 2021,384823,10793.6
Connecticut,Sep 17 2021,384342,10780.1
Connecticut,Sep 16 2021,382798,10736.8
Connecticut,Sep 15 2021,381732,10706.9
Connecticut,Sep 14 2021,381331,10695.7
Connecticut,Sep 13 2021,380281,10666.2
Connecticut,Sep 12 2021,379831,10653.6
Connecticut,Sep 11 2021,379382,10641
Connecticut,Sep 10 2021,378933,10628.4
Connecticut,Sep  9 2021,378308,10610.9
Connecticut,Sep  8 2021,377682,10593.3
Connecticut,Sep  7 2021,376747,10567.1
Connecticut,Sep  6 2021,376341,10555.7
Connecticut,Sep  5 2021,375939,10544.4
Connecticut,Sep  4 2021,375537,10533.1
Connecticut,Sep  3 2021,375135,10521.9
Connecticut,Sep  2 2021,374470,10503.2
Connecticut,Sep  1 2021,373784,10484
Connecticut,Aug 31 2021,373072,10464
Connecticut,Aug 30 2021,372069,10435.9
Connecticut,Aug 29 2021,371614,10423.1
Connecticut,Aug 28 2021,371161,10410.4
Connecticut,Aug 27 2021,370708,10397.7
Connecticut,Aug 26 2021,369920,10375.6
Connecticut,Aug 25 2021,369132,10353.5
Connecticut,Aug 24 2021,368481,10335.2
Connecticut,Aug 23 2021,367410,10305.2
Connecticut,Aug 22 2021,366892,10290.7
Connecticut,Aug 21 2021,366374,10276.1
Connecticut,Aug 20 2021,365856,10261.6
Connecticut,Aug 19 2021,365425,10249.5
Connecticut,Aug 18 2021,364891,10234.5
Connecticut,Aug 17 2021,364298,10217.9
Connecticut,Aug 16 2021,363417,10193.2
Connecticut,Aug 15 2021,362890,10178.4
Connecticut,Aug 14 2021,362363,10163.6
Connecticut,Aug 13 2021,361836,10148.9
Connecticut,Aug 12 2021,361294,10133.7
Connecticut,Aug 11 2021,360552,10112.8
Connecticut,Aug 10 2021,359638,10087.2
Connecticut,Aug  9 2021,359363,10079.5
Connecticut,Aug  8 2021,358932,10067.4
Connecticut,Aug  7 2021,358504,10055.4
Connecticut,Aug  6 2021,358076,10043.4
Connecticut,Aug  5 2021,357345,10022.9
Connecticut,Aug  4 2021,356701,10004.8
Connecticut,Aug  3 2021,356164,9989.8
Connecticut,Aug  2 2021,355580,9973.4
Connecticut,Aug  1 2021,355163,9961.7
Connecticut,Jul 31 2021,354749,9950.1
Connecticut,Jul 30 2021,354335,9938.5
Connecticut,Jul 29 2021,353844,9924.7
Connecticut,Jul 28 2021,353505,9915.2
Connecticut,Jul 27 2021,353114,9904.2
Connecticut,Jul 26 2021,352626,9890.5
Connecticut,Jul 25 2021,352429,9885
Connecticut,Jul 24 2021,352233,9879.5
Connecticut,Jul 23 2021,352037,9874
Connecticut,Jul 22 2021,351825,9868.1
Connecticut,Jul 21 2021,351530,9859.8
Connecticut,Jul 20 2021,351302,9853.4
Connecticut,Jul 19 2021,351084,9847.3
Connecticut,Jul 18 2021,350945,9843.4
Connecticut,Jul 17 2021,350810,9839.6
Connecticut,Jul 16 2021,350675,9835.8
Connecticut,Jul 15 2021,350536,9831.9
Connecticut,Jul 14 2021,350386,9827.7
Connecticut,Jul 13 2021,350245,9823.8
Connecticut,Jul 12 2021,350039,9818
Connecticut,Jul 11 2021,350015,9817.3
Connecticut,Jul 10 2021,349992,9816.7
Connecticut,Jul  9 2021,349969,9816
Connecticut,Jul  8 2021,349798,9811.2
Connecticut,Jul  7 2021,349743,9809.7
Connecticut,Jul  6 2021,349651,9807.1
Connecticut,Jul  5 2021,349605,9805.8
Connecticut,Jul  4 2021,349562,9804.6
Connecticut,Jul  3 2021,349519,9803.4
Connecticut,Jul  2 2021,349476,9802.2
Connecticut,Jul  1 2021,349387,9799.7
Connecticut,Jun 30 2021,349352,9798.7
Connecticut,Jun 29 2021,349301,9797.3
Connecticut,Jun 28 2021,349261,9796.2
Connecticut,Jun 27 2021,349212,9794.8
