Data Table for Total Cases - Delaware
Date generated: Sat Nov 20 2021 18:26:23 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Delaware,Nov 19 2021,149566,15359.6
Delaware,Nov 18 2021,149096,15311.3
Delaware,Nov 17 2021,148674,15268
Delaware,Nov 16 2021,148293,15228.8
Delaware,Nov 15 2021,148149,15214.1
Delaware,Nov 14 2021,147875,15185.9
Delaware,Nov 13 2021,147533,15150.8
Delaware,Nov 12 2021,147233,15120
Delaware,Nov 11 2021,146800,15075.5
Delaware,Nov 10 2021,146484,15043.1
Delaware,Nov  9 2021,146207,15014.6
Delaware,Nov  8 2021,146139,15007.6
Delaware,Nov  7 2021,145903,14983.4
Delaware,Nov  6 2021,145612,14953.5
Delaware,Nov  5 2021,145330,14924.6
Delaware,Nov  4 2021,145056,14896.4
Delaware,Nov  3 2021,144755,14865.5
Delaware,Nov  2 2021,144473,14836.6
Delaware,Nov  1 2021,144397,14828.7
Delaware,Oct 31 2021,144198,14808.3
Delaware,Oct 30 2021,143950,14782.8
Delaware,Oct 29 2021,143563,14743.1
Delaware,Oct 28 2021,143281,14714.1
Delaware,Oct 27 2021,142969,14682.1
Delaware,Oct 26 2021,142707,14655.2
Delaware,Oct 25 2021,142600,14644.2
Delaware,Oct 24 2021,142354,14618.9
Delaware,Oct 23 2021,142058,14588.5
Delaware,Oct 22 2021,141717,14553.5
Delaware,Oct 21 2021,141323,14513.1
Delaware,Oct 20 2021,140944,14474.1
Delaware,Oct 19 2021,140651,14444.1
Delaware,Oct 18 2021,140462,14424.6
Delaware,Oct 17 2021,140167,14394.4
Delaware,Oct 16 2021,139874,14364.3
Delaware,Oct 15 2021,139380,14313.5
Delaware,Oct 14 2021,138938,14268.1
Delaware,Oct 13 2021,138444,14217.4
Delaware,Oct 12 2021,138123,14184.4
Delaware,Oct 11 2021,137958,14167.5
Delaware,Oct 10 2021,137599,14130.6
Delaware,Oct  9 2021,137288,14098.7
Delaware,Oct  8 2021,136682,14036.5
Delaware,Oct  7 2021,136166,13983.5
Delaware,Oct  6 2021,135695,13935.1
Delaware,Oct  5 2021,135267,13891.1
Delaware,Oct  4 2021,134984,13862.1
Delaware,Oct  3 2021,134619,13824.6
Delaware,Oct  2 2021,134217,13783.3
Delaware,Oct  1 2021,133599,13719.9
Delaware,Sep 30 2021,132963,13654.5
Delaware,Sep 29 2021,132432,13600
Delaware,Sep 28 2021,132138,13569.8
Delaware,Sep 27 2021,131848,13540
Delaware,Sep 26 2021,131424,13496.5
Delaware,Sep 25 2021,131043,13457.4
Delaware,Sep 24 2021,130444,13395.9
Delaware,Sep 23 2021,129874,13337.3
Delaware,Sep 22 2021,129231,13271.3
Delaware,Sep 21 2021,128964,13243.9
Delaware,Sep 20 2021,128692,13215.9
Delaware,Sep 19 2021,128253,13170.9
Delaware,Sep 18 2021,127803,13124.6
Delaware,Sep 17 2021,127222,13065
Delaware,Sep 16 2021,126604,13001.5
Delaware,Sep 15 2021,126050,12944.6
Delaware,Sep 14 2021,125798,12918.7
Delaware,Sep 13 2021,125549,12893.2
Delaware,Sep 12 2021,125105,12847.6
Delaware,Sep 11 2021,124575,12793.1
Delaware,Sep 10 2021,123958,12729.8
Delaware,Sep  9 2021,123308,12663
Delaware,Sep  8 2021,122956,12626.9
Delaware,Sep  7 2021,122718,12602.4
Delaware,Sep  6 2021,122370,12566.7
Delaware,Sep  5 2021,122111,12540.1
Delaware,Sep  4 2021,121744,12502.4
Delaware,Sep  3 2021,121283,12455.1
Delaware,Sep  2 2021,120727,12398
Delaware,Sep  1 2021,120180,12341.8
Delaware,Aug 31 2021,119852,12308.1
Delaware,Aug 30 2021,119620,12284.3
Delaware,Aug 29 2021,119226,12243.8
Delaware,Aug 28 2021,118926,12213
Delaware,Aug 27 2021,118544,12173.8
Delaware,Aug 26 2021,118016,12119.6
Delaware,Aug 25 2021,117587,12075.5
Delaware,Aug 24 2021,117246,12040.5
Delaware,Aug 23 2021,117051,12020.5
Delaware,Aug 22 2021,116771,11991.7
Delaware,Aug 21 2021,116461,11959.9
Delaware,Aug 20 2021,116073,11920
Delaware,Aug 19 2021,115665,11878.1
Delaware,Aug 18 2021,115236,11834.1
Delaware,Aug 17 2021,114912,11800.8
Delaware,Aug 16 2021,114770,11786.2
Delaware,Aug 15 2021,114486,11757.1
Delaware,Aug 14 2021,114187,11726.4
Delaware,Aug 13 2021,113853,11692.1
Delaware,Aug 12 2021,113582,11664.2
Delaware,Aug 11 2021,113251,11630.2
Delaware,Aug 10 2021,113090,11613.7
Delaware,Aug  9 2021,112967,11601.1
Delaware,Aug  8 2021,112772,11581
Delaware,Aug  7 2021,112558,11559.1
Delaware,Aug  6 2021,112298,11532.4
Delaware,Aug  5 2021,112070,11508.9
Delaware,Aug  4 2021,111884,11489.8
Delaware,Aug  3 2021,111762,11477.3
Delaware,Aug  2 2021,111681,11469
Delaware,Aug  1 2021,111563,11456.9
Delaware,Jul 31 2021,111407,11440.9
Delaware,Jul 30 2021,111275,11427.3
Delaware,Jul 29 2021,111129,11412.3
Delaware,Jul 28 2021,111016,11400.7
Delaware,Jul 27 2021,110943,11393.2
Delaware,Jul 26 2021,110862,11384.9
Delaware,Jul 25 2021,110797,11378.2
Delaware,Jul 24 2021,110729,11371.2
Delaware,Jul 23 2021,110638,11361.9
Delaware,Jul 22 2021,110573,11355.2
Delaware,Jul 21 2021,110502,11347.9
Delaware,Jul 20 2021,110457,11343.3
Delaware,Jul 19 2021,110423,11339.8
Delaware,Jul 18 2021,110387,11336.1
Delaware,Jul 17 2021,110339,11331.2
Delaware,Jul 16 2021,110270,11324.1
Delaware,Jul 15 2021,110231,11320.1
Delaware,Jul 14 2021,110182,11315.1
Delaware,Jul 13 2021,110112,11307.9
Delaware,Jul 12 2021,110093,11305.9
Delaware,Jul 11 2021,110074,11304
Delaware,Jul 10 2021,110019,11298.3
Delaware,Jul  9 2021,109986,11294.9
Delaware,Jul  8 2021,109931,11289.3
Delaware,Jul  7 2021,109915,11287.6
Delaware,Jul  6 2021,109900,11286.1
Delaware,Jul  5 2021,109891,11285.2
Delaware,Jul  4 2021,109875,11283.5
Delaware,Jul  3 2021,109846,11280.6
Delaware,Jul  2 2021,109820,11277.9
Delaware,Jul  1 2021,109770,11272.8
Delaware,Jun 30 2021,109744,11270.1
Delaware,Jun 29 2021,109712,11266.8
Delaware,Jun 28 2021,109700,11265.6
Delaware,Jun 27 2021,109682,11263.7
Delaware,Jun 26 2021,109657,11261.1
Delaware,Jun 25 2021,109636,11259
Delaware,Jun 24 2021,109620,11257.3
Delaware,Jun 23 2021,109599,11255.2
Delaware,Jun 22 2021,109577,11252.9
Delaware,Jun 21 2021,109564,11251.6
Delaware,Jun 20 2021,109556,11250.8
Delaware,Jun 19 2021,109552,11250.4
Delaware,Jun 18 2021,109548,11250
Delaware,Jun 17 2021,109470,11241.9
Delaware,Jun 16 2021,109418,11236.6
Delaware,Jun 15 2021,109421,11236.9
Delaware,Jun 14 2021,109379,11232.6
Delaware,Jun 13 2021,109358,11230.4
Delaware,Jun 12 2021,109322,11226.7
Delaware,Jun 11 2021,109296,11224.1
Delaware,Jun 10 2021,109258,11220.2
Delaware,Jun  9 2021,109225,11216.8
Delaware,Jun  8 2021,109188,11213
Delaware,Jun  7 2021,109167,11210.8
Delaware,Jun  6 2021,109126,11206.6
Delaware,Jun  5 2021,109070,11200.9
Delaware,Jun  4 2021,109005,11194.2
Delaware,Jun  3 2021,108957,11189.3
Delaware,Jun  2 2021,108911,11184.5
Delaware,Jun  1 2021,108893,11182.7
Delaware,May 31 2021,108876,11180.9
Delaware,May 30 2021,108846,11177.9
Delaware,May 29 2021,108800,11173.1
Delaware,May 28 2021,108752,11168.2
