Data Table for Total Cases - District of Columbia
Date generated: Sat Nov 20 2021 18:26:30 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
District of Columbia,Nov 19 2021,66028,9355.7
District of Columbia,Nov 18 2021,65889,9336
District of Columbia,Nov 17 2021,65793,9322.4
District of Columbia,Nov 16 2021,65707,9310.3
District of Columbia,Nov 15 2021,65623,9298.3
District of Columbia,Nov 14 2021,65371,9262.6
District of Columbia,Nov 13 2021,65371,9262.6
District of Columbia,Nov 12 2021,65371,9262.6
District of Columbia,Nov 11 2021,65159,9232.6
District of Columbia,Nov 10 2021,65159,9232.6
District of Columbia,Nov  9 2021,65094,9223.4
District of Columbia,Nov  8 2021,65050,9217.2
District of Columbia,Nov  7 2021,64799,9181.6
District of Columbia,Nov  6 2021,64799,9181.6
District of Columbia,Nov  5 2021,64799,9181.6
District of Columbia,Nov  4 2021,64708,9168.7
District of Columbia,Nov  3 2021,64602,9153.7
District of Columbia,Nov  2 2021,64541,9145
District of Columbia,Nov  1 2021,64470,9135
District of Columbia,Oct 31 2021,64240,9102.4
District of Columbia,Oct 30 2021,64240,9102.4
District of Columbia,Oct 29 2021,64240,9102.4
District of Columbia,Oct 28 2021,64108,9083.7
District of Columbia,Oct 27 2021,63990,9067
District of Columbia,Oct 26 2021,63919,9056.9
District of Columbia,Oct 25 2021,63879,9051.2
District of Columbia,Oct 24 2021,63588,9010
District of Columbia,Oct 23 2021,63588,9010
District of Columbia,Oct 22 2021,63588,9010
District of Columbia,Oct 21 2021,63474,8993.8
District of Columbia,Oct 20 2021,63400,8983.4
District of Columbia,Oct 19 2021,63345,8975.6
District of Columbia,Oct 18 2021,63305,8969.9
District of Columbia,Oct 17 2021,63194,8954.2
District of Columbia,Oct 16 2021,63085,8938.7
District of Columbia,Oct 15 2021,62976,8923.3
District of Columbia,Oct 14 2021,62852,8905.7
District of Columbia,Oct 13 2021,62750,8891.3
District of Columbia,Oct 12 2021,62702,8884.5
District of Columbia,Oct 11 2021,62593,8869
District of Columbia,Oct 10 2021,62484,8853.6
District of Columbia,Oct  9 2021,62375,8838.1
District of Columbia,Oct  8 2021,62266,8822.7
District of Columbia,Oct  7 2021,62098,8798.9
District of Columbia,Oct  6 2021,61978,8781.9
District of Columbia,Oct  5 2021,61863,8765.6
District of Columbia,Oct  4 2021,61791,8755.4
District of Columbia,Oct  3 2021,61637,8733.6
District of Columbia,Oct  2 2021,61484,8711.9
District of Columbia,Oct  1 2021,61331,8690.2
District of Columbia,Sep 30 2021,61153,8665
District of Columbia,Sep 29 2021,60996,8642.7
District of Columbia,Sep 28 2021,60898,8628.8
District of Columbia,Sep 27 2021,60772,8611
District of Columbia,Sep 26 2021,60583,8584.2
District of Columbia,Sep 25 2021,60394,8557.4
District of Columbia,Sep 24 2021,60205,8530.7
District of Columbia,Sep 23 2021,60018,8504.2
District of Columbia,Sep 22 2021,59849,8480.2
District of Columbia,Sep 21 2021,59712,8460.8
District of Columbia,Sep 20 2021,59563,8439.7
District of Columbia,Sep 19 2021,59325,8406
District of Columbia,Sep 18 2021,59088,8372.4
District of Columbia,Sep 17 2021,58851,8338.8
District of Columbia,Sep 16 2021,58649,8310.2
District of Columbia,Sep 15 2021,58440,8280.6
District of Columbia,Sep 14 2021,58146,8238.9
District of Columbia,Sep 13 2021,57771,8185.8
District of Columbia,Sep 12 2021,57424,8136.6
