Data Table for Total Cases - Florida
Date generated: Sat Nov 20 2021 18:26:36 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Florida,Nov 19 2021,3679548,17131.9
Florida,Nov 18 2021,3677967,17124.6
Florida,Nov 17 2021,3676337,17117
Florida,Nov 16 2021,3674329,17107.6
Florida,Nov 15 2021,3672616,17099.6
Florida,Nov 14 2021,3670931,17091.8
Florida,Nov 13 2021,3669896,17087
Florida,Nov 12 2021,3668749,17081.6
Florida,Nov 11 2021,3667139,17074.1
Florida,Nov 10 2021,3665628,17067.1
Florida,Nov  9 2021,3663096,17055.3
Florida,Nov  8 2021,3661582,17048.3
Florida,Nov  7 2021,3659772,17039.8
Florida,Nov  6 2021,3659501,17038.6
Florida,Nov  5 2021,3658083,17032
Florida,Nov  4 2021,3656407,17024.2
Florida,Nov  3 2021,3654683,17016.1
Florida,Nov  2 2021,3652823,17007.5
Florida,Nov  1 2021,3650961,16998.8
Florida,Oct 31 2021,3648912,16989.3
Florida,Oct 30 2021,3647972,16984.9
Florida,Oct 29 2021,3647035,16980.5
Florida,Oct 28 2021,3645279,16972.4
Florida,Oct 27 2021,3643202,16962.7
Florida,Oct 26 2021,3640848,16951.7
Florida,Oct 25 2021,3638946,16942.9
Florida,Oct 24 2021,3636908,16933.4
Florida,Oct 23 2021,3635963,16929
Florida,Oct 22 2021,3634586,16922.6
Florida,Oct 21 2021,3632325,16912
Florida,Oct 20 2021,3630255,16902.4
Florida,Oct 19 2021,3627817,16891.1
Florida,Oct 18 2021,3625157,16878.7
Florida,Oct 17 2021,3623003,16868.6
Florida,Oct 16 2021,3621170,16860.1
Florida,Oct 15 2021,3619662,16853.1
Florida,Oct 14 2021,3617026,16840.8
Florida,Oct 13 2021,3614152,16827.4
Florida,Oct 12 2021,3610709,16811.4
Florida,Oct 11 2021,3608122,16799.4
Florida,Oct 10 2021,3605447,16786.9
Florida,Oct  9 2021,3603581,16778.2
Florida,Oct  8 2021,3600711,16764.9
Florida,Oct  7 2021,3597496,16749.9
Florida,Oct  6 2021,3593569,16731.6
Florida,Oct  5 2021,3589630,16713.3
Florida,Oct  4 2021,3585873,16695.8
Florida,Oct  3 2021,3582211,16678.7
Florida,Oct  2 2021,3579497,16666.1
Florida,Oct  1 2021,3576301,16651.2
Florida,Sep 30 2021,3571800,16630.2
Florida,Sep 29 2021,3565866,16602.6
Florida,Sep 28 2021,3560872,16579.4
Florida,Sep 27 2021,3555032,16552.2
Florida,Sep 26 2021,3549916,16528.4
Florida,Sep 25 2021,3546227,16511.2
Florida,Sep 24 2021,3541167,16487.6
Florida,Sep 23 2021,3533983,16454.2
Florida,Sep 22 2021,3526155,16417.7
Florida,Sep 21 2021,3519773,16388
Florida,Sep 20 2021,3509647,16340.9
Florida,Sep 19 2021,3502669,16308.4
Florida,Sep 18 2021,3496318,16278.8
Florida,Sep 17 2021,3487603,16238.2
Florida,Sep 16 2021,3477663,16191.9
Florida,Sep 15 2021,3466146,16138.3
Florida,Sep 14 2021,3456758,16094.6
Florida,Sep 13 2021,3445949,16044.3
Florida,Sep 12 2021,3435205,15994.3
Florida,Sep 11 2021,3428707,15964
Florida,Sep 10 2021,3413315,15892.3
Florida,Sep  9 2021,3404115,15849.5
Florida,Sep  8 2021,3386232,15766.2
Florida,Sep  7 2021,3373741,15708.1
Florida,Sep  6 2021,3359884,15643.6
Florida,Sep  5 2021,3349699,15596.1
Florida,Sep  4 2021,3338576,15544.4
Florida,Sep  3 2021,3321327,15464
Florida,Sep  2 2021,3304231,15384.4
Florida,Sep  1 2021,3286162,15300.3
Florida,Aug 31 2021,3264612,15200
Florida,Aug 30 2021,3245440,15110.7
Florida,Aug 29 2021,3226742,15023.7
Florida,Aug 28 2021,3213671,14962.8
Florida,Aug 27 2021,3195957,14880.3
Florida,Aug 26 2021,3174598,14780.9
Florida,Aug 25 2021,3146848,14651.7
Florida,Aug 24 2021,3125544,14552.5
Florida,Aug 23 2021,3099218,14429.9
Florida,Aug 22 2021,3077911,14330.7
Florida,Aug 21 2021,3063235,14262.4
Florida,Aug 20 2021,3045206,14178.4
Florida,Aug 19 2021,3022970,14074.9
Florida,Aug 18 2021,2998769,13962.2
Florida,Aug 17 2021,2974568,13849.5
Florida,Aug 16 2021,2951075,13740.2
Florida,Aug 15 2021,2929353,13639
Florida,Aug 14 2021,2912147,13558.9
Florida,Aug 13 2021,2895738,13482.5
Florida,Aug 12 2021,2873478,13378.9
Florida,Aug 11 2021,2847640,13258.6
Florida,Aug 10 2021,2823775,13147.5
Florida,Aug  9 2021,2799078,13032.5
Florida,Aug  8 2021,2778646,12937.3
Florida,Aug  7 2021,2763363,12866.2
Florida,Aug  6 2021,2743837,12775.3
Florida,Aug  5 2021,2722383,12675.4
Florida,Aug  4 2021,2698262,12563.1
Florida,Aug  3 2021,2675550,12457.3
Florida,Aug  2 2021,2655395,12363.5
Florida,Aug  1 2021,2638375,12284.2
Florida,Jul 31 2021,2625260,12223.2
Florida,Jul 30 2021,2607573,12140.8
Florida,Jul 29 2021,2587863,12049
Florida,Jul 28 2021,2566225,11948.3
