Data Table for Total Cases - Georgia
Date generated: Sat Nov 20 2021 18:26:42 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Georgia,Nov 19 2021,1654649,15584.3
Georgia,Nov 18 2021,1653237,15571
Georgia,Nov 17 2021,1651952,15558.9
Georgia,Nov 16 2021,1650756,15547.6
Georgia,Nov 15 2021,1649520,15536
Georgia,Nov 14 2021,1647265,15514.7
Georgia,Nov 13 2021,1647265,15514.7
Georgia,Nov 12 2021,1647265,15514.7
Georgia,Nov 11 2021,1644997,15493.4
Georgia,Nov 10 2021,1644997,15493.4
Georgia,Nov  9 2021,1643945,15483.5
Georgia,Nov  8 2021,1641036,15456.1
Georgia,Nov  7 2021,1641036,15456.1
Georgia,Nov  6 2021,1641036,15456.1
Georgia,Nov  5 2021,1641036,15456.1
Georgia,Nov  4 2021,1639896,15445.3
Georgia,Nov  3 2021,1638606,15433.2
Georgia,Nov  2 2021,1637398,15421.8
Georgia,Nov  1 2021,1636325,15411.7
Georgia,Oct 31 2021,1634093,15390.7
Georgia,Oct 30 2021,1634093,15390.7
Georgia,Oct 29 2021,1634093,15390.7
Georgia,Oct 28 2021,1632870,15379.2
Georgia,Oct 27 2021,1631348,15364.8
Georgia,Oct 26 2021,1629337,15345.9
Georgia,Oct 25 2021,1628166,15334.9
Georgia,Oct 24 2021,1625399,15308.8
Georgia,Oct 23 2021,1625399,15308.8
Georgia,Oct 22 2021,1625399,15308.8
Georgia,Oct 21 2021,1623863,15294.3
Georgia,Oct 20 2021,1622376,15280.3
Georgia,Oct 19 2021,1620694,15264.5
Georgia,Oct 18 2021,1619015,15248.7
Georgia,Oct 17 2021,1617909,15238.2
Georgia,Oct 16 2021,1616804,15227.8
Georgia,Oct 15 2021,1615699,15217.4
Georgia,Oct 14 2021,1613794,15199.5
Georgia,Oct 13 2021,1611692,15179.7
Georgia,Oct 12 2021,1609681,15160.8
Georgia,Oct 11 2021,1607923,15144.2
Georgia,Oct 10 2021,1606171,15127.7
Georgia,Oct  9 2021,1604419,15111.2
Georgia,Oct  8 2021,1602667,15094.7
Georgia,Oct  7 2021,1599393,15063.9
Georgia,Oct  6 2021,1593640,15009.7
Georgia,Oct  5 2021,1592733,15001.1
Georgia,Oct  4 2021,1589857,14974
Georgia,Oct  3 2021,1587257,14949.6
Georgia,Oct  2 2021,1584660,14925.1
Georgia,Oct  1 2021,1582063,14900.6
Georgia,Sep 30 2021,1578716,14869.1
Georgia,Sep 29 2021,1573840,14823.2
Georgia,Sep 28 2021,1569405,14781.4
Georgia,Sep 27 2021,1565540,14745
Georgia,Sep 26 2021,1562870,14719.9
Georgia,Sep 25 2021,1560203,14694.7
Georgia,Sep 24 2021,1557536,14669.6
Georgia,Sep 23 2021,1553236,14629.1
