Data Table for Total Cases - Guam
Date generated: Sat Nov 20 2021 18:26:48 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Guam,Nov 19 2021,19065,11315.3
Guam,Nov 18 2021,19061,11312.9
Guam,Nov 17 2021,19040,11300.4
Guam,Nov 16 2021,19015,11285.6
Guam,Nov 15 2021,18983,11266.6
Guam,Nov 14 2021,18942,11242.3
Guam,Nov 13 2021,18913,11225.1
Guam,Nov 12 2021,18891,11212
Guam,Nov 11 2021,18863,11195.4
Guam,Nov 10 2021,18840,11181.7
Guam,Nov  9 2021,18813,11165.7
Guam,Nov  8 2021,18752,11129.5
Guam,Nov  7 2021,18688,11091.5
Guam,Nov  6 2021,18639,11062.4
Guam,Nov  5 2021,18624,11053.5
Guam,Nov  4 2021,18586,11031
Guam,Nov  3 2021,18507,10984.1
Guam,Nov  2 2021,18410,10926.5
Guam,Nov  1 2021,18321,10873.7
Guam,Oct 31 2021,18286,10852.9
Guam,Oct 30 2021,18187,10794.2
Guam,Oct 29 2021,18187,10794.2
Guam,Oct 28 2021,18151,10772.8
Guam,Oct 27 2021,18040,10706.9
Guam,Oct 26 2021,17944,10650
Guam,Oct 25 2021,17823,10578.1
Guam,Oct 24 2021,17671,10487.9
Guam,Oct 23 2021,17543,10412
Guam,Oct 22 2021,17508,10391.2
Guam,Oct 21 2021,17472,10369.8
Guam,Oct 20 2021,17379,10314.6
Guam,Oct 19 2021,17276,10253.5
Guam,Oct 18 2021,17154,10181.1
Guam,Oct 17 2021,16991,10084.3
Guam,Oct 16 2021,16900,10030.3
Guam,Oct 15 2021,16846,9998.3
Guam,Oct 14 2021,16795,9968
Guam,Oct 13 2021,16690,9905.7
Guam,Oct 12 2021,16595,9849.3
Guam,Oct 11 2021,16461,9769.8
Guam,Oct 10 2021,16276,9660
Guam,Oct  9 2021,16170,9597.1
Guam,Oct  8 2021,16109,9560.9
Guam,Oct  7 2021,16058,9530.6
Guam,Oct  6 2021,15927,9452.8
Guam,Oct  5 2021,15789,9370.9
Guam,Oct  4 2021,15630,9276.6
Guam,Oct  3 2021,15465,9178.6
Guam,Oct  2 2021,15362,9117.5
Guam,Oct  1 2021,15252,9052.2
Guam,Sep 30 2021,15168,9002.4
Guam,Sep 29 2021,15041,8927
Guam,Sep 28 2021,14897,8841.5
Guam,Sep 27 2021,14705,8727.6
Guam,Sep 26 2021,14536,8627.3
Guam,Sep 25 2021,14374,8531.1
Guam,Sep 24 2021,14279,8474.7
Guam,Sep 23 2021,14248,8456.3
Guam,Sep 22 2021,14098,8367.3
Guam,Sep 21 2021,13997,8307.4
Guam,Sep 20 2021,13859,8225.5
Guam,Sep 19 2021,13660,8107.4
Guam,Sep 18 2021,13532,8031.4
Guam,Sep 17 2021,13440,7976.8
Guam,Sep 16 2021,13349,7922.8
Guam,Sep 15 2021,13145,7801.7
