Data Table for Total Cases - Hawaii
Date generated: Sat Nov 20 2021 18:26:55 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Hawaii,Nov 19 2021,83684,5910.4
Hawaii,Nov 18 2021,83486,5896.4
Hawaii,Nov 17 2021,83270,5881.2
Hawaii,Nov 16 2021,83137,5871.8
Hawaii,Nov 15 2021,83079,5867.7
Hawaii,Nov 14 2021,82986,5861.1
Hawaii,Nov 13 2021,82914,5856
Hawaii,Nov 12 2021,82836,5850.5
Hawaii,Nov 11 2021,82710,5841.6
Hawaii,Nov 10 2021,82582,5832.6
Hawaii,Nov  9 2021,82454,5823.5
Hawaii,Nov  8 2021,82379,5818.3
Hawaii,Nov  7 2021,82282,5811.4
Hawaii,Nov  6 2021,82159,5802.7
Hawaii,Nov  5 2021,82071,5796.5
Hawaii,Nov  4 2021,81960,5788.7
Hawaii,Nov  3 2021,81850,5780.9
Hawaii,Nov  2 2021,81689,5769.5
Hawaii,Nov  1 2021,81650,5766.8
Hawaii,Oct 31 2021,81586,5762.2
Hawaii,Oct 30 2021,81461,5753.4
Hawaii,Oct 29 2021,81311,5742.8
Hawaii,Oct 28 2021,81168,5732.7
Hawaii,Oct 27 2021,81051,5724.5
Hawaii,Oct 26 2021,80876,5712.1
Hawaii,Oct 25 2021,80807,5707.2
Hawaii,Oct 24 2021,80722,5701.2
Hawaii,Oct 23 2021,80569,5690.4
Hawaii,Oct 22 2021,80399,5678.4
Hawaii,Oct 21 2021,80281,5670.1
Hawaii,Oct 20 2021,80139,5660
Hawaii,Oct 19 2021,80005,5650.6
Hawaii,Oct 18 2021,79941,5646.1
Hawaii,Oct 17 2021,79832,5638.4
Hawaii,Oct 16 2021,79697,5628.8
Hawaii,Oct 15 2021,79562,5619.3
Hawaii,Oct 14 2021,79411,5608.6
Hawaii,Oct 13 2021,79255,5597.6
Hawaii,Oct 12 2021,79142,5589.6
Hawaii,Oct 11 2021,79093,5586.2
Hawaii,Oct 10 2021,78986,5578.6
Hawaii,Oct  9 2021,78786,5564.5
Hawaii,Oct  8 2021,78597,5551.1
Hawaii,Oct  7 2021,78405,5537.6
Hawaii,Oct  6 2021,78127,5517.9
Hawaii,Oct  5 2021,77963,5506.4
Hawaii,Oct  4 2021,77876,5500.2
Hawaii,Oct  3 2021,77688,5486.9
Hawaii,Oct  2 2021,77412,5467.4
Hawaii,Oct  1 2021,77143,5448.4
Hawaii,Sep 30 2021,76784,5423.1
Hawaii,Sep 29 2021,76457,5400
Hawaii,Sep 28 2021,76243,5384.9
Hawaii,Sep 27 2021,76006,5368.1
Hawaii,Sep 26 2021,75758,5350.6
Hawaii,Sep 25 2021,75391,5324.7
Hawaii,Sep 24 2021,74997,5296.9
Hawaii,Sep 23 2021,74606,5269.3
Hawaii,Sep 22 2021,74169,5238.4
Hawaii,Sep 21 2021,73841,5215.2
Hawaii,Sep 20 2021,73567,5195.9
Hawaii,Sep 19 2021,73148,5166.3
Hawaii,Sep 18 2021,72687,5133.7
Hawaii,Sep 17 2021,72137,5094.9
Hawaii,Sep 16 2021,71570,5054.8
Hawaii,Sep 15 2021,70991,5013.9
Hawaii,Sep 14 2021,70504,4979.5
Hawaii,Sep 13 2021,70083,4949.8
