Data Table for Total Cases - Idaho
Date generated: Sat Nov 20 2021 18:27:01 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Idaho,Nov 19 2021,303050,16958
Idaho,Nov 18 2021,302394,16921.3
Idaho,Nov 17 2021,301841,16890.3
Idaho,Nov 16 2021,301191,16853.9
Idaho,Nov 15 2021,300527,16816.8
Idaho,Nov 14 2021,299849,16778.9
Idaho,Nov 13 2021,299849,16778.9
Idaho,Nov 12 2021,299576,16763.6
Idaho,Nov 11 2021,298634,16710.9
Idaho,Nov 10 2021,298634,16710.9
Idaho,Nov  9 2021,297910,16670.4
Idaho,Nov  8 2021,297142,16627.4
Idaho,Nov  7 2021,296299,16580.2
Idaho,Nov  6 2021,296299,16580.2
Idaho,Nov  5 2021,295950,16560.7
Idaho,Nov  4 2021,295147,16515.7
Idaho,Nov  3 2021,294485,16478.7
Idaho,Nov  2 2021,293241,16409.1
Idaho,Nov  1 2021,292317,16357.4
Idaho,Oct 31 2021,291316,16301.4
Idaho,Oct 30 2021,291252,16297.8
Idaho,Oct 29 2021,290872,16276.5
Idaho,Oct 28 2021,289796,16216.3
Idaho,Oct 27 2021,288923,16167.5
Idaho,Oct 26 2021,287679,16097.8
Idaho,Oct 25 2021,286335,16022.6
Idaho,Oct 24 2021,285245,15961.6
Idaho,Oct 23 2021,285003,15948.1
Idaho,Oct 22 2021,284278,15907.5
Idaho,Oct 21 2021,282798,15824.7
Idaho,Oct 20 2021,281470,15750.4
Idaho,Oct 19 2021,279921,15663.7
Idaho,Oct 18 2021,278457,15581.8
Idaho,Oct 17 2021,277167,15509.6
Idaho,Oct 16 2021,276862,15492.6
Idaho,Oct 15 2021,276080,15448.8
Idaho,Oct 14 2021,274560,15363.7
Idaho,Oct 13 2021,272625,15255.5
Idaho,Oct 12 2021,270601,15142.2
Idaho,Oct 11 2021,269630,15087.9
Idaho,Oct 10 2021,268660,15033.6
Idaho,Oct  9 2021,268454,15022.1
Idaho,Oct  8 2021,267664,14977.9
Idaho,Oct  7 2021,265982,14883.7
Idaho,Oct  6 2021,264661,14809.8
Idaho,Oct  5 2021,263294,14733.3
Idaho,Oct  4 2021,261459,14630.6
Idaho,Oct  3 2021,260351,14568.6
Idaho,Oct  2 2021,260012,14549.7
Idaho,Oct  1 2021,259100,14498.6
Idaho,Sep 30 2021,257322,14399.1
Idaho,Sep 29 2021,255417,14292.5
Idaho,Sep 28 2021,253733,14198.3
Idaho,Sep 27 2021,252378,14122.5
Idaho,Sep 26 2021,250955,14042.9
Idaho,Sep 25 2021,250556,14020.5
Idaho,Sep 24 2021,249740,13974.9
Idaho,Sep 23 2021,248094,13882.8
Idaho,Sep 22 2021,246749,13807.5
Idaho,Sep 21 2021,245395,13731.7
Idaho,Sep 20 2021,243565,13629.3
Idaho,Sep 19 2021,242321,13559.7
Idaho,Sep 18 2021,242021,13542.9
Idaho,Sep 17 2021,241263,13500.5
