Data Table for Total Cases - Illinois
Date generated: Sat Nov 20 2021 18:27:07 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Illinois,Nov 19 2021,1763866,13919.6
Illinois,Nov 18 2021,1758146,13874.5
Illinois,Nov 17 2021,1752502,13829.9
Illinois,Nov 16 2021,1747513,13790.5
Illinois,Nov 15 2021,1744508,13766.8
Illinois,Nov 14 2021,1735586,13696.4
Illinois,Nov 13 2021,1735586,13696.4
Illinois,Nov 12 2021,1735586,13696.4
Illinois,Nov 11 2021,1727634,13633.7
Illinois,Nov 10 2021,1727634,13633.7
Illinois,Nov  9 2021,1722590,13593.9
Illinois,Nov  8 2021,1720345,13576.1
Illinois,Nov  7 2021,1712986,13518.1
Illinois,Nov  6 2021,1712986,13518.1
Illinois,Nov  5 2021,1712986,13518.1
Illinois,Nov  4 2021,1710044,13494.9
Illinois,Nov  3 2021,1705777,13461.2
Illinois,Nov  2 2021,1704031,13447.4
Illinois,Nov  1 2021,1701649,13428.6
Illinois,Oct 31 2021,1695524,13380.3
Illinois,Oct 30 2021,1695524,13380.3
Illinois,Oct 29 2021,1695524,13380.3
Illinois,Oct 28 2021,1692875,13359.4
Illinois,Oct 27 2021,1690274,13338.8
Illinois,Oct 26 2021,1688261,13323
Illinois,Oct 25 2021,1686048,13305.5
Illinois,Oct 24 2021,1680908,13264.9
Illinois,Oct 23 2021,1680908,13264.9
Illinois,Oct 22 2021,1680908,13264.9
Illinois,Oct 21 2021,1677939,13241.5
Illinois,Oct 20 2021,1675793,13224.6
Illinois,Oct 19 2021,1673346,13205.3
Illinois,Oct 18 2021,1671275,13188.9
Illinois,Oct 17 2021,1669441,13174.4
Illinois,Oct 16 2021,1667609,13160
Illinois,Oct 15 2021,1665777,13145.5
Illinois,Oct 14 2021,1663364,13126.5
Illinois,Oct 13 2021,1660883,13106.9
Illinois,Oct 12 2021,1657970,13083.9
Illinois,Oct 11 2021,1656003,13068.4
Illinois,Oct 10 2021,1654038,13052.9
Illinois,Oct  9 2021,1652073,13037.4
Illinois,Oct  8 2021,1650108,13021.9
Illinois,Oct  7 2021,1647364,13000.2
Illinois,Oct  6 2021,1643993,12973.6
Illinois,Oct  5 2021,1641061,12950.5
Illinois,Oct  4 2021,1638003,12926.3
Illinois,Oct  3 2021,1635622,12907.6
Illinois,Oct  2 2021,1633243,12888.8
Illinois,Oct  1 2021,1630864,12870
Illinois,Sep 30 2021,1627508,12843.5
Illinois,Sep 29 2021,1624164,12817.1
Illinois,Sep 28 2021,1621175,12793.5
Illinois,Sep 27 2021,1618800,12774.8
Illinois,Sep 26 2021,1616575,12757.2
Illinois,Sep 25 2021,1614352,12739.7
Illinois,Sep 24 2021,1612129,12722.2
Illinois,Sep 23 2021,1608825,12696.1
Illinois,Sep 22 2021,1605320,12668.4
Illinois,Sep 21 2021,1601759,12640.3
Illinois,Sep 20 2021,1598757,12616.6
Illinois,Sep 19 2021,1595952,12594.5
Illinois,Sep 18 2021,1593147,12572.4
Illinois,Sep 17 2021,1590342,12550.2
Illinois,Sep 16 2021,1586741,12521.8
Illinois,Sep 15 2021,1582392,12487.5
Illinois,Sep 14 2021,1578198,12454.4
Illinois,Sep 13 2021,1573538,12417.6
Illinois,Sep 12 2021,1570486,12393.5
Illinois,Sep 11 2021,1567436,12369.5
Illinois,Sep 10 2021,1564386,12345.4
Illinois,Sep  9 2021,1559077,12303.5
Illinois,Sep  8 2021,1554336,12266.1
Illinois,Sep  7 2021,1550375,12234.8
Illinois,Sep  6 2021,1547360,12211
Illinois,Sep  5 2021,1544348,12187.3
Illinois,Sep  4 2021,1541336,12163.5
Illinois,Sep  3 2021,1538324,12139.7
Illinois,Sep  2 2021,1532344,12092.5
Illinois,Sep  1 2021,1528120,12059.2
Illinois,Aug 31 2021,1522942,12018.3
Illinois,Aug 30 2021,1518071,11979.9
Illinois,Aug 29 2021,1514715,11953.4
Illinois,Aug 28 2021,1511360,11926.9
Illinois,Aug 27 2021,1508005,11900.5
Illinois,Aug 26 2021,1503063,11861.5
Illinois,Aug 25 2021,1499022,11829.6
Illinois,Aug 24 2021,1494571,11794.4
Illinois,Aug 23 2021,1491582,11770.9
Illinois,Aug 22 2021,1488511,11746.6
Illinois,Aug 21 2021,1485440,11722.4
Illinois,Aug 20 2021,1482369,11698.2
Illinois,Aug 19 2021,1477465,11659.5
Illinois,Aug 18 2021,1474285,11634.4
Illinois,Aug 17 2021,1470452,11604.1
Illinois,Aug 16 2021,1466813,11575.4
Illinois,Aug 15 2021,1463771,11551.4
Illinois,Aug 14 2021,1460729,11527.4
Illinois,Aug 13 2021,1457687,11503.4
Illinois,Aug 12 2021,1454208,11475.9
Illinois,Aug 11 2021,1451094,11451.3
Illinois,Aug 10 2021,1447161,11420.3
Illinois,Aug  9 2021,1444211,11397
Illinois,Aug  8 2021,1441591,11376.4
Illinois,Aug  7 2021,1438972,11355.7
Illinois,Aug  6 2021,1436353,11335
Illinois,Aug  5 2021,1433313,11311
Illinois,Aug  4 2021,1430265,11287
Illinois,Aug  3 2021,1427901,11268.3
Illinois,Aug  2 2021,1425219,11247.2
Illinois,Aug  1 2021,1423349,11232.4
Illinois,Jul 31 2021,1421480,11217.6
Illinois,Jul 30 2021,1419611,11202.9
Illinois,Jul 29 2021,1417263,11184.4
Illinois,Jul 28 2021,1415572,11171
Illinois,Jul 27 2021,1413490,11154.6
Illinois,Jul 26 2021,1411821,11141.4
Illinois,Jul 25 2021,1410523,11131.2
Illinois,Jul 24 2021,1409226,11120.9
Illinois,Jul 23 2021,1407929,11110.7
Illinois,Jul 22 2021,1406459,11099.1
Illinois,Jul 21 2021,1404466,11083.4
Illinois,Jul 20 2021,1403508,11075.8
Illinois,Jul 19 2021,1402763,11069.9
Illinois,Jul 18 2021,1401824,11062.5
Illinois,Jul 17 2021,1400885,11055.1
Illinois,Jul 16 2021,1399946,11047.7
Illinois,Jul 15 2021,1399270,11042.4
Illinois,Jul 14 2021,1398409,11035.6
Illinois,Jul 13 2021,1397667,11029.7
Illinois,Jul 12 2021,1397089,11025.2
Illinois,Jul 11 2021,1396557,11021
Illinois,Jul 10 2021,1396027,11016.8
Illinois,Jul  9 2021,1395497,11012.6
Illinois,Jul  8 2021,1394852,11007.5
Illinois,Jul  7 2021,1394235,11002.6
Illinois,Jul  6 2021,1393773,10999
Illinois,Jul  5 2021,1393467,10996.6
Illinois,Jul  4 2021,1393162,10994.2
Illinois,Jul  3 2021,1392857,10991.8
Illinois,Jul  2 2021,1392552,10989.4
Illinois,Jul  1 2021,1392196,10986.6
Illinois,Jun 30 2021,1391739,10982.9
Illinois,Jun 29 2021,1391480,10980.9
Illinois,Jun 28 2021,1391179,10978.5
Illinois,Jun 27 2021,1390930,10976.6
Illinois,Jun 26 2021,1390681,10974.6
