Data Table for Total Cases - Indiana
Date generated: Sat Nov 20 2021 18:27:59 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Indiana,Nov 19 2021,1069450,15885.5
Indiana,Nov 18 2021,1065717,15830.1
Indiana,Nov 17 2021,1061791,15771.8
Indiana,Nov 16 2021,1058379,15721.1
Indiana,Nov 15 2021,1055571,15679.4
Indiana,Nov 14 2021,1049575,15590.3
Indiana,Nov 13 2021,1049575,15590.3
Indiana,Nov 12 2021,1049575,15590.3
Indiana,Nov 11 2021,1042847,15490.4
Indiana,Nov 10 2021,1039918,15446.9
Indiana,Nov  9 2021,1037109,15405.2
Indiana,Nov  8 2021,1035141,15375.9
Indiana,Nov  7 2021,1030291,15303.9
Indiana,Nov  6 2021,1030291,15303.9
Indiana,Nov  5 2021,1030291,15303.9
Indiana,Nov  4 2021,1027981,15269.6
Indiana,Nov  3 2021,1025957,15239.5
Indiana,Nov  2 2021,1023980,15210.1
Indiana,Nov  1 2021,1022609,15189.8
Indiana,Oct 31 2021,1018638,15130.8
Indiana,Oct 30 2021,1018638,15130.8
Indiana,Oct 29 2021,1018638,15130.8
Indiana,Oct 28 2021,1016722,15102.3
Indiana,Oct 27 2021,1014652,15071.6
Indiana,Oct 26 2021,1012606,15041.2
Indiana,Oct 25 2021,1011197,15020.3
Indiana,Oct 24 2021,1007681,14968
Indiana,Oct 23 2021,1007681,14968
Indiana,Oct 22 2021,1007681,14968
Indiana,Oct 21 2021,1005797,14940.1
Indiana,Oct 20 2021,1003647,14908.1
Indiana,Oct 19 2021,1001697,14879.2
Indiana,Oct 18 2021,1000163,14856.4
Indiana,Oct 17 2021,998889,14837.4
Indiana,Oct 16 2021,997615,14818.5
Indiana,Oct 15 2021,996341,14799.6
Indiana,Oct 14 2021,994079,14766
Indiana,Oct 13 2021,991460,14727.1
Indiana,Oct 12 2021,988765,14687.1
Indiana,Oct 11 2021,987164,14663.3
Indiana,Oct 10 2021,985590,14639.9
Indiana,Oct  9 2021,984017,14616.5
Indiana,Oct  8 2021,982444,14593.2
Indiana,Oct  7 2021,979000,14542
Indiana,Oct  6 2021,976802,14509.4
Indiana,Oct  5 2021,974169,14470.3
Indiana,Oct  4 2021,972067,14439
Indiana,Oct  3 2021,970038,14408.9
Indiana,Oct  2 2021,968010,14378.8
Indiana,Oct  1 2021,965982,14348.6
Indiana,Sep 30 2021,962808,14301.5
Indiana,Sep 29 2021,959409,14251
Indiana,Sep 28 2021,956548,14208.5
Indiana,Sep 27 2021,954230,14174.1
Indiana,Sep 26 2021,952126,14142.8
Indiana,Sep 25 2021,950022,14111.6
Indiana,Sep 24 2021,947918,14080.3
Indiana,Sep 23 2021,944708,14032.6
Indiana,Sep 22 2021,941120,13979.3
Indiana,Sep 21 2021,937221,13921.4
Indiana,Sep 20 2021,934586,13882.3
Indiana,Sep 19 2021,931924,13842.7
Indiana,Sep 18 2021,929264,13803.2
Indiana,Sep 17 2021,926604,13763.7
Indiana,Sep 16 2021,922320,13700.1
Indiana,Sep 15 2021,918230,13639.3
Indiana,Sep 14 2021,913528,13569.5
Indiana,Sep 13 2021,910013,13517.3
Indiana,Sep 12 2021,906622,13466.9
Indiana,Sep 11 2021,903233,13416.6
Indiana,Sep 10 2021,899844,13366.2
Indiana,Sep  9 2021,894516,13287.1
Indiana,Sep  8 2021,889362,13210.5
Indiana,Sep  7 2021,886461,13167.4
Indiana,Sep  6 2021,883215,13119.2
Indiana,Sep  5 2021,879970,13071
Indiana,Sep  4 2021,876725,13022.8
Indiana,Sep  3 2021,873480,12974.6
Indiana,Sep  2 2021,868451,12899.9
Indiana,Sep  1 2021,863299,12823.4
Indiana,Aug 31 2021,858566,12753.1
Indiana,Aug 30 2021,855031,12700.6
Indiana,Aug 29 2021,851254,12644.5
Indiana,Aug 28 2021,847477,12588.4
Indiana,Aug 27 2021,843700,12532.3
Indiana,Aug 26 2021,838869,12460.5
Indiana,Aug 25 2021,833968,12387.7
Indiana,Aug 24 2021,829010,12314.1
Indiana,Aug 23 2021,825549,12262.7
Indiana,Aug 22 2021,822749,12221.1
Indiana,Aug 21 2021,819949,12179.5
Indiana,Aug 20 2021,817149,12137.9
Indiana,Aug 19 2021,813046,12076.9
Indiana,Aug 18 2021,809545,12024.9
Indiana,Aug 17 2021,806094,11973.7
Indiana,Aug 16 2021,803403,11933.7
Indiana,Aug 15 2021,801179,11900.7
Indiana,Aug 14 2021,798956,11867.6
Indiana,Aug 13 2021,796733,11834.6
Indiana,Aug 12 2021,794077,11795.2
Indiana,Aug 11 2021,790926,11748.4
Indiana,Aug 10 2021,788468,11711.9
Indiana,Aug  9 2021,786272,11679.2
Indiana,Aug  8 2021,784622,11654.7
Indiana,Aug  7 2021,782974,11630.3
Indiana,Aug  6 2021,781326,11605.8
Indiana,Aug  5 2021,779317,11575.9
Indiana,Aug  4 2021,777417,11547.7
Indiana,Aug  3 2021,775686,11522
Indiana,Aug  2 2021,774097,11498.4
Indiana,Aug  1 2021,773163,11484.5
Indiana,Jul 31 2021,772231,11470.7
Indiana,Jul 30 2021,771299,11456.8
Indiana,Jul 29 2021,769875,11435.7
Indiana,Jul 28 2021,768624,11417.1
Indiana,Jul 27 2021,767409,11399
Indiana,Jul 26 2021,766351,11383.3
Indiana,Jul 25 2021,765716,11373.9
Indiana,Jul 24 2021,765082,11364.5
Indiana,Jul 23 2021,764448,11355.1
Indiana,Jul 22 2021,763688,11343.8
Indiana,Jul 21 2021,762837,11331.1
Indiana,Jul 20 2021,762127,11320.6
Indiana,Jul 19 2021,761472,11310.9
Indiana,Jul 18 2021,761035,11304.4
Indiana,Jul 17 2021,760599,11297.9
Indiana,Jul 16 2021,760163,11291.4
Indiana,Jul 15 2021,759618,11283.3
Indiana,Jul 14 2021,759062,11275.1
Indiana,Jul 13 2021,758479,11266.4
Indiana,Jul 12 2021,757904,11257.9
Indiana,Jul 11 2021,757622,11253.7
Indiana,Jul 10 2021,757342,11249.5
Indiana,Jul  9 2021,757062,11245.4
Indiana,Jul  8 2021,756625,11238.9
Indiana,Jul  7 2021,756070,11230.6
Indiana,Jul  6 2021,755700,11225.1
Indiana,Jul  5 2021,755456,11221.5
Indiana,Jul  4 2021,755212,11217.9
Indiana,Jul  3 2021,754968,11214.3
Indiana,Jul  2 2021,754724,11210.6
Indiana,Jul  1 2021,754317,11204.6
Indiana,Jun 30 2021,753927,11198.8
Indiana,Jun 29 2021,753528,11192.9
Indiana,Jun 28 2021,753260,11188.9
Indiana,Jun 27 2021,753073,11186.1
Indiana,Jun 26 2021,752886,11183.3
Indiana,Jun 25 2021,752699,11180.5
Indiana,Jun 24 2021,752395,11176
Indiana,Jun 23 2021,752108,11171.8
Indiana,Jun 22 2021,751826,11167.6
Indiana,Jun 21 2021,751526,11163.1
Indiana,Jun 20 2021,751455,11162.1
Indiana,Jun 19 2021,751242,11158.9
Indiana,Jun 18 2021,750837,11152.9
Indiana,Jun 17 2021,750432,11146.9
Indiana,Jun 16 2021,750170,11143
Indiana,Jun 15 2021,749835,11138
Indiana,Jun 14 2021,749532,11133.5
Indiana,Jun 13 2021,749477,11132.7
Indiana,Jun 12 2021,749097,11127
Indiana,Jun 11 2021,748654,11120.5
Indiana,Jun 10 2021,748259,11114.6
Indiana,Jun  9 2021,747799,11107.8
Indiana,Jun  8 2021,747447,11102.5
Indiana,Jun  7 2021,747083,11097.1
Indiana,Jun  6 2021,747016,11096.1
Indiana,Jun  5 2021,746554,11089.3
Indiana,Jun  4 2021,746135,11083
Indiana,Jun  3 2021,745690,11076.4
Indiana,Jun  2 2021,744474,11058.4
Indiana,Jun  1 2021,744213,11054.5
Indiana,May 31 2021,744148,11053.5
Indiana,May 30 2021,743696,11046.8
Indiana,May 29 2021,743338,11041.5
Indiana,May 28 2021,742910,11035.1
Indiana,May 27 2021,742353,11026.9
Indiana,May 26 2021,741697,11017.1
Indiana,May 25 2021,741053,11007.6
Indiana,May 24 2021,740564,11000.3
Indiana,May 23 2021,740189,10994.7
Indiana,May 22 2021,739626,10986.4
Indiana,May 21 2021,738961,10976.5
Indiana,May 20 2021,738173,10964.8
Indiana,May 19 2021,737282,10951.5
Indiana,May 18 2021,736480,10939.6
Indiana,May 17 2021,735999,10932.5
Indiana,May 16 2021,735462,10924.5
Indiana,May 15 2021,734736,10913.7
Indiana,May 14 2021,733591,10896.7
Indiana,May 13 2021,732692,10883.4
Indiana,May 12 2021,731810,10870.3
Indiana,May 11 2021,730969,10857.8
Indiana,May 10 2021,730306,10847.9
Indiana,May  9 2021,729716,10839.2
Indiana,May  8 2021,728811,10825.7
Indiana,May  7 2021,727764,10810.2
Indiana,May  6 2021,726600,10792.9
Indiana,May  5 2021,725353,10774.4
Indiana,May  4 2021,724214,10757.4
Indiana,May  3 2021,723443,10746
Indiana,May  2 2021,722646,10734.1
Indiana,May  1 2021,721577,10718.3
Indiana,Apr 30 2021,720425,10701.2
Indiana,Apr 29 2021,718948,10679.2
Indiana,Apr 28 2021,717564,10658.7
Indiana,Apr 27 2021,716306,10640
Indiana,Apr 26 2021,715468,10627.5
Indiana,Apr 25 2021,714786,10617.4
Indiana,Apr 24 2021,713959,10605.1
Indiana,Apr 23 2021,712858,10588.8
Indiana,Apr 22 2021,711787,10572.8
Indiana,Apr 21 2021,710607,10555.3
Indiana,Apr 20 2021,709464,10538.3
Indiana,Apr 19 2021,708788,10528.3
Indiana,Apr 18 2021,708076,10517.7
Indiana,Apr 17 2021,707120,10503.5
Indiana,Apr 16 2021,705882,10485.1
Indiana,Apr 15 2021,704595,10466
Indiana,Apr 14 2021,703221,10445.6
Indiana,Apr 13 2021,702025,10427.8
Indiana,Apr 12 2021,701073,10413.7
Indiana,Apr 11 2021,700227,10401.1
Indiana,Apr 10 2021,699068,10383.9
Indiana,Apr  9 2021,697710,10363.7
Indiana,Apr  8 2021,696371,10343.9
Indiana,Apr  7 2021,694960,10322.9
Indiana,Apr  6 2021,693775,10305.3
Indiana,Apr  5 2021,693160,10296.2
Indiana,Apr  4 2021,692426,10285.3
Indiana,Apr  3 2021,691462,10270.9
Indiana,Apr  2 2021,690394,10255.1
Indiana,Apr  1 2021,689172,10236.9
Indiana,Mar 31 2021,687937,10218.6
Indiana,Mar 30 2021,686874,10202.8
Indiana,Mar 29 2021,686135,10191.8
Indiana,Mar 28 2021,685403,10180.9
Indiana,Mar 27 2021,684440,10166.6
Indiana,Mar 26 2021,683444,10151.8
Indiana,Mar 25 2021,682324,10135.2
Indiana,Mar 24 2021,681340,10120.6
Indiana,Mar 23 2021,680341,10105.7
Indiana,Mar 22 2021,679646,10095.4
Indiana,Mar 21 2021,679103,10087.4
Indiana,Mar 20 2021,678357,10076.3
Indiana,Mar 19 2021,677419,10062.3
Indiana,Mar 18 2021,676547,10049.4
Indiana,Mar 17 2021,675576,10035
Indiana,Mar 16 2021,674661,10021.4
Indiana,Mar 15 2021,674087,10012.9
Indiana,Mar 14 2021,673661,10006.5
Indiana,Mar 13 2021,672953,9996
Indiana,Mar 12 2021,672104,9983.4
Indiana,Mar 11 2021,671142,9969.1
Indiana,Mar 10 2021,670219,9955.4
Indiana,Mar  9 2021,669350,9942.5
Indiana,Mar  8 2021,668765,9933.8
Indiana,Mar  7 2021,668278,9926.6
Indiana,Mar  6 2021,667519,9915.3
Indiana,Mar  5 2021,666275,9896.8
Indiana,Mar  4 2021,665423,9884.2
Indiana,Mar  3 2021,664475,9870.1
Indiana,Mar  2 2021,663701,9858.6
Indiana,Mar  1 2021,663151,9850.4
Indiana,Feb 28 2021,662598,9842.2
Indiana,Feb 27 2021,661854,9831.1
Indiana,Feb 26 2021,660970,9818
Indiana,Feb 25 2021,660013,9803.8
Indiana,Feb 24 2021,658916,9787.5
Indiana,Feb 23 2021,657898,9772.4
Indiana,Feb 22 2021,657207,9762.1
Indiana,Feb 21 2021,656378,9749.8
Indiana,Feb 20 2021,655485,9736.5
Indiana,Feb 19 2021,654058,9715.3
Indiana,Feb 18 2021,653011,9699.8
Indiana,Feb 17 2021,652242,9688.4
Indiana,Feb 16 2021,651307,9674.5
Indiana,Feb 15 2021,650417,9661.3
Indiana,Feb 14 2021,649628,9649.5
Indiana,Feb 13 2021,648398,9631.3
Indiana,Feb 12 2021,647154,9612.8
Indiana,Feb 11 2021,645723,9591.5
Indiana,Feb 10 2021,644010,9566.1
Indiana,Feb  9 2021,642567,9544.7
Indiana,Feb  8 2021,641425,9527.7
Indiana,Feb  7 2021,640380,9512.2
Indiana,Feb  6 2021,638644,9486.4
Indiana,Feb  5 2021,635816,9444.4
Indiana,Feb  4 2021,634323,9422.2
Indiana,Feb  3 2021,631952,9387
Indiana,Feb  2 2021,630512,9365.6
Indiana,Feb  1 2021,628988,9343
Indiana,Jan 31 2021,627267,9317.4
Indiana,Jan 30 2021,625532,9291.6
Indiana,Jan 29 2021,623186,9256.8
Indiana,Jan 28 2021,620544,9217.5
Indiana,Jan 27 2021,617713,9175.5
Indiana,Jan 26 2021,615471,9142.2
Indiana,Jan 25 2021,613741,9116.5
Indiana,Jan 24 2021,611540,9083.8
Indiana,Jan 23 2021,609008,9046.2
Indiana,Jan 22 2021,605903,9000
Indiana,Jan 21 2021,602402,8948
Indiana,Jan 20 2021,598766,8894
Indiana,Jan 19 2021,595877,8851.1
Indiana,Jan 18 2021,593138,8810.4
Indiana,Jan 17 2021,590628,8773.2
Indiana,Jan 16 2021,587454,8726
Indiana,Jan 15 2021,583553,8668.1
Indiana,Jan 14 2021,578875,8598.6
Indiana,Jan 13 2021,574488,8533.4
Indiana,Jan 12 2021,570834,8479.1
Indiana,Jan 11 2021,567683,8432.3
Indiana,Jan 10 2021,563986,8377.4
Indiana,Jan  9 2021,558881,8301.6
Indiana,Jan  8 2021,552903,8212.8
Indiana,Jan  7 2021,546796,8122.1
Indiana,Jan  6 2021,539514,8013.9
Indiana,Jan  5 2021,533356,7922.4
Indiana,Jan  4 2021,529949,7871.8
Indiana,Jan  3 2021,526320,7817.9
Indiana,Jan  2 2021,523327,7773.5
Indiana,Jan  1 2021,517998,7694.3
Indiana,Dec 31 2020,511698,7600.7
Indiana,Dec 30 2020,505218,7504.5
Indiana,Dec 29 2020,500471,7434
Indiana,Dec 28 2020,496483,7374.7
Indiana,Dec 27 2020,494006,7337.9
Indiana,Dec 26 2020,492174,7310.7
Indiana,Dec 25 2020,488321,7253.5
Indiana,Dec 24 2020,482863,7172.4
Indiana,Dec 23 2020,476655,7080.2
Indiana,Dec 22 2020,471981,7010.8
Indiana,Dec 21 2020,468312,6956.3
Indiana,Dec 20 2020,464435,6898.7
Indiana,Dec 19 2020,457940,6802.2
Indiana,Dec 18 2020,453196,6731.7
Indiana,Dec 17 2020,447235,6643.2
Indiana,Dec 16 2020,440883,6548.9
Indiana,Dec 15 2020,434663,6456.5
Indiana,Dec 14 2020,430410,6393.3
Indiana,Dec 13 2020,425443,6319.5
Indiana,Dec 12 2020,419545,6231.9
Indiana,Dec 11 2020,412144,6122
Indiana,Dec 10 2020,404944,6015
Indiana,Dec  9 2020,398426,5918.2
Indiana,Dec  8 2020,392672,5832.7
Indiana,Dec  7 2020,387287,5752.7
Indiana,Dec  6 2020,381626,5668.7
Indiana,Dec  5 2020,375028,5570.6
Indiana,Dec  4 2020,367338,5456.4
Indiana,Dec  3 2020,359439,5339.1
Indiana,Dec  2 2020,350979,5213.4
Indiana,Dec  1 2020,344382,5115.4
Indiana,Nov 30 2020,338986,5035.3
Indiana,Nov 29 2020,333321,4951.1
Indiana,Nov 28 2020,329017,4887.2
Indiana,Nov 27 2020,324546,4820.8
Indiana,Nov 26 2020,318902,4737
Indiana,Nov 25 2020,312528,4642.3
Indiana,Nov 24 2020,306544,4553.4
Indiana,Nov 23 2020,300918,4469.8
Indiana,Nov 22 2020,295361,4387.3
Indiana,Nov 21 2020,289186,4295.6
Indiana,Nov 20 2020,282313,4193.5
Indiana,Nov 19 2020,275504,4092.3
Indiana,Nov 18 2020,268222,3984.2
Indiana,Nov 17 2020,262207,3894.8
Indiana,Nov 16 2020,256744,3813.7
Indiana,Nov 15 2020,251597,3737.2
Indiana,Nov 14 2020,244887,3637.5
Indiana,Nov 13 2020,236565,3513.9
Indiana,Nov 12 2020,230965,3430.7
Indiana,Nov 11 2020,224374,3332.8
Indiana,Nov 10 2020,219338,3258
Indiana,Nov  9 2020,214509,3186.3
Indiana,Nov  8 2020,210374,3124.9
Indiana,Nov  7 2020,205722,3055.8
Indiana,Nov  6 2020,200823,2983
Indiana,Nov  5 2020,196176,2914
Indiana,Nov  4 2020,191764,2848.5
Indiana,Nov  3 2020,188066,2793.5
Indiana,Nov  2 2020,185185,2750.7
Indiana,Nov  1 2020,182108,2705
Indiana,Oct 31 2020,179358,2664.2
Indiana,Oct 30 2020,175893,2612.7
Indiana,Oct 29 2020,172730,2565.7
Indiana,Oct 28 2020,169112,2512
Indiana,Oct 27 2020,166564,2474.1
Indiana,Oct 26 2020,164581,2444.7
Indiana,Oct 25 2020,162607,2415.4
Indiana,Oct 24 2020,160454,2383.4
Indiana,Oct 23 2020,157713,2342.7
Indiana,Oct 22 2020,155246,2306
Indiana,Oct 21 2020,152396,2263.7
Indiana,Oct 20 2020,150664,2238
Indiana,Oct 19 2020,149166,2215.7
Indiana,Oct 18 2020,147582,2192.2
Indiana,Oct 17 2020,145977,2168.3
Indiana,Oct 16 2020,143495,2131.5
Indiana,Oct 15 2020,141212,2097.6
Indiana,Oct 14 2020,139269,2068.7
Indiana,Oct 13 2020,138104,2051.4
Indiana,Oct 12 2020,136555,2028.4
Indiana,Oct 11 2020,134981,2005
Indiana,Oct 10 2020,133411,1981.7
Indiana,Oct  9 2020,131493,1953.2
Indiana,Oct  8 2020,129677,1926.2
Indiana,Oct  7 2020,128227,1904.7
Indiana,Oct  6 2020,126946,1885.6
Indiana,Oct  5 2020,125976,1871.2
Indiana,Oct  4 2020,125146,1858.9
