Data Table for Total Cases - Iowa
Date generated: Sat Nov 20 2021 18:28:16 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Iowa,Nov 19 2021,513637,16279.7
Iowa,Nov 18 2021,509761,16156.9
Iowa,Nov 17 2021,509761,16156.9
Iowa,Nov 16 2021,508513,16117.3
Iowa,Nov 15 2021,506538,16054.7
Iowa,Nov 14 2021,503564,15960.5
Iowa,Nov 13 2021,503564,15960.5
Iowa,Nov 12 2021,503564,15960.5
Iowa,Nov 11 2021,500474,15862.5
Iowa,Nov 10 2021,500474,15862.5
Iowa,Nov  9 2021,499279,15824.7
Iowa,Nov  8 2021,497648,15773
Iowa,Nov  7 2021,494407,15670.2
Iowa,Nov  6 2021,494407,15670.2
Iowa,Nov  5 2021,494407,15670.2
Iowa,Nov  4 2021,491463,15576.9
Iowa,Nov  3 2021,491463,15576.9
Iowa,Nov  2 2021,491052,15563.9
Iowa,Nov  1 2021,488885,15495.2
Iowa,Oct 31 2021,486132,15408
Iowa,Oct 30 2021,486132,15408
Iowa,Oct 29 2021,486132,15408
Iowa,Oct 28 2021,483736,15332
Iowa,Oct 27 2021,483736,15332
Iowa,Oct 26 2021,483409,15321.7
Iowa,Oct 25 2021,481207,15251.9
Iowa,Oct 24 2021,479153,15186.8
Iowa,Oct 23 2021,479153,15186.8
Iowa,Oct 22 2021,479153,15186.8
Iowa,Oct 21 2021,477932,15148.1
Iowa,Oct 20 2021,476713,15109.4
Iowa,Oct 19 2021,476426,15100.3
Iowa,Oct 18 2021,474216,15030.3
Iowa,Oct 17 2021,473585,15010.3
Iowa,Oct 16 2021,472958,14990.4
Iowa,Oct 15 2021,472331,14970.5
Iowa,Oct 14 2021,471102,14931.6
Iowa,Oct 13 2021,469875,14892.7
Iowa,Oct 12 2021,469519,14881.4
Iowa,Oct 11 2021,467459,14816.1
Iowa,Oct 10 2021,466569,14787.9
Iowa,Oct  9 2021,465683,14759.8
Iowa,Oct  8 2021,464797,14731.7
Iowa,Oct  7 2021,463262,14683.1
Iowa,Oct  6 2021,461729,14634.5
Iowa,Oct  5 2021,461352,14622.6
Iowa,Oct  4 2021,458908,14545.1
Iowa,Oct  3 2021,457797,14509.9
Iowa,Oct  2 2021,456688,14474.7
Iowa,Oct  1 2021,455579,14439.6
Iowa,Sep 30 2021,453818,14383.8
Iowa,Sep 29 2021,452057,14328
Iowa,Sep 28 2021,451492,14310
Iowa,Sep 27 2021,449038,14232.3
Iowa,Sep 26 2021,447914,14196.6
Iowa,Sep 25 2021,446791,14161
Iowa,Sep 24 2021,445668,14125.5
Iowa,Sep 23 2021,443425,14054.4
Iowa,Sep 22 2021,441183,13983.3
Iowa,Sep 21 2021,440680,13967.4
Iowa,Sep 20 2021,437872,13878.4
Iowa,Sep 19 2021,436659,13839.9
Iowa,Sep 18 2021,435449,13801.6
Iowa,Sep 17 2021,434239,13763.2
Iowa,Sep 16 2021,431658,13681.4
Iowa,Sep 15 2021,429078,13599.6
Iowa,Sep 14 2021,428517,13581.9
Iowa,Sep 13 2021,425194,13476.5
Iowa,Sep 12 2021,423850,13433.9
Iowa,Sep 11 2021,422509,13391.4
Iowa,Sep 10 2021,421168,13348.9
Iowa,Sep  9 2021,419160,13285.3
Iowa,Sep  8 2021,417152,13221.6
Iowa,Sep  7 2021,415967,13184.1
Iowa,Sep  6 2021,414784,13146.6
Iowa,Sep  5 2021,413713,13112.6
Iowa,Sep  4 2021,412645,13078.8
Iowa,Sep  3 2021,411577,13044.9
Iowa,Sep  2 2021,409983,12994.4
Iowa,Sep  1 2021,408390,12943.9
Iowa,Aug 31 2021,406568,12886.2
Iowa,Aug 30 2021,404747,12828.5
Iowa,Aug 29 2021,404071,12807
Iowa,Aug 28 2021,403398,12785.7
Iowa,Aug 27 2021,402725,12764.4
Iowa,Aug 26 2021,401403,12722.5
Iowa,Aug 25 2021,400082,12680.6
Iowa,Aug 24 2021,398802,12640
Iowa,Aug 23 2021,397522,12599.5
Iowa,Aug 22 2021,396735,12574.5
Iowa,Aug 21 2021,395951,12549.7
Iowa,Aug 20 2021,395167,12524.8
Iowa,Aug 19 2021,394068,12490
Iowa,Aug 18 2021,392970,12455.2
Iowa,Aug 17 2021,391974,12423.6
Iowa,Aug 16 2021,390978,12392.1
Iowa,Aug 15 2021,390391,12373.4
Iowa,Aug 14 2021,389807,12354.9
Iowa,Aug 13 2021,389223,12336.4
Iowa,Aug 12 2021,388248,12305.5
Iowa,Aug 11 2021,387273,12274.6
Iowa,Aug 10 2021,386414,12247.4
Iowa,Aug  9 2021,385556,12220.2
Iowa,Aug  8 2021,385035,12203.7
Iowa,Aug  7 2021,384516,12187.2
Iowa,Aug  6 2021,383997,12170.8
Iowa,Aug  5 2021,383198,12145.5
Iowa,Aug  4 2021,382401,12120.2
Iowa,Aug  3 2021,381755,12099.7
Iowa,Aug  2 2021,381110,12079.3
Iowa,Aug  1 2021,380671,12065.4
Iowa,Jul 31 2021,380234,12051.5
Iowa,Jul 30 2021,379797,12037.7
Iowa,Jul 29 2021,379356,12023.7
Iowa,Jul 28 2021,378916,12009.7
Iowa,Jul 27 2021,378401,11993.4
Iowa,Jul 26 2021,377886,11977.1
Iowa,Jul 25 2021,377690,11970.9
Iowa,Jul 24 2021,377495,11964.7
Iowa,Jul 23 2021,377300,11958.5
Iowa,Jul 22 2021,377013,11949.4
Iowa,Jul 21 2021,376726,11940.3
Iowa,Jul 20 2021,376461,11931.9
Iowa,Jul 19 2021,376198,11923.6
Iowa,Jul 18 2021,376040,11918.6
Iowa,Jul 17 2021,375883,11913.6
Iowa,Jul 16 2021,375726,11908.6
Iowa,Jul 15 2021,375523,11902.2
Iowa,Jul 14 2021,375321,11895.8
Iowa,Jul 13 2021,375134,11889.9
Iowa,Jul 12 2021,374948,11884
Iowa,Jul 11 2021,374855,11881
Iowa,Jul 10 2021,374763,11878.1
Iowa,Jul  9 2021,374671,11875.2
Iowa,Jul  8 2021,374525,11870.6
Iowa,Jul  7 2021,374381,11866
Iowa,Jul  6 2021,374340,11864.7
