Data Table for Total Cases - Kansas
Date generated: Sat Nov 20 2021 18:28:24 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Kansas,Nov 19 2021,455789,15645
Kansas,Nov 18 2021,452909,15546.2
Kansas,Nov 17 2021,452909,15546.2
Kansas,Nov 16 2021,449813,15439.9
Kansas,Nov 15 2021,449813,15439.9
Kansas,Nov 14 2021,447794,15370.6
Kansas,Nov 13 2021,447794,15370.6
Kansas,Nov 12 2021,447794,15370.6
Kansas,Nov 11 2021,445089,15277.8
Kansas,Nov 10 2021,445089,15277.8
Kansas,Nov  9 2021,442232,15179.7
Kansas,Nov  8 2021,441642,15159.4
Kansas,Nov  7 2021,440303,15113.5
Kansas,Nov  6 2021,440303,15113.5
Kansas,Nov  5 2021,440303,15113.5
Kansas,Nov  4 2021,438196,15041.2
Kansas,Nov  3 2021,438196,15041.2
Kansas,Nov  2 2021,435933,14963.5
Kansas,Nov  1 2021,435933,14963.5
Kansas,Oct 31 2021,434646,14919.3
Kansas,Oct 30 2021,434646,14919.3
Kansas,Oct 29 2021,434646,14919.3
Kansas,Oct 28 2021,432730,14853.5
Kansas,Oct 27 2021,432730,14853.5
Kansas,Oct 26 2021,430293,14769.9
Kansas,Oct 25 2021,430293,14769.9
Kansas,Oct 24 2021,428816,14719.2
Kansas,Oct 23 2021,428816,14719.2
Kansas,Oct 22 2021,428816,14719.2
Kansas,Oct 21 2021,427869,14686.7
Kansas,Oct 20 2021,426923,14654.2
Kansas,Oct 19 2021,425862,14617.8
Kansas,Oct 18 2021,424802,14581.4
Kansas,Oct 17 2021,424294,14564
Kansas,Oct 16 2021,423788,14546.6
Kansas,Oct 15 2021,423282,14529.2
Kansas,Oct 14 2021,422372,14498
Kansas,Oct 13 2021,421462,14466.8
Kansas,Oct 12 2021,420401,14430.3
Kansas,Oct 11 2021,419341,14394
Kansas,Oct 10 2021,418774,14374.5
Kansas,Oct  9 2021,418208,14355.1
Kansas,Oct  8 2021,417642,14335.6
Kansas,Oct  7 2021,416536,14297.7
Kansas,Oct  6 2021,415431,14259.7
Kansas,Oct  5 2021,414275,14220.1
Kansas,Oct  4 2021,413119,14180.4
Kansas,Oct  3 2021,412512,14159.5
Kansas,Oct  2 2021,411907,14138.8
Kansas,Oct  1 2021,411302,14118
Kansas,Sep 30 2021,410118,14077.4
Kansas,Sep 29 2021,408934,14036.7
Kansas,Sep 28 2021,407693,13994.1
Kansas,Sep 27 2021,406453,13951.6
Kansas,Sep 26 2021,405787,13928.7
Kansas,Sep 25 2021,405123,13905.9
Kansas,Sep 24 2021,404459,13883.1
Kansas,Sep 23 2021,403194,13839.7
Kansas,Sep 22 2021,401931,13796.4
Kansas,Sep 21 2021,400650,13752.4
Kansas,Sep 20 2021,399369,13708.4
Kansas,Sep 19 2021,398547,13680.2
Kansas,Sep 18 2021,397727,13652
Kansas,Sep 17 2021,396907,13623.9
Kansas,Sep 16 2021,395301,13568.8
Kansas,Sep 15 2021,393696,13513.7
Kansas,Sep 14 2021,391863,13450.8
Kansas,Sep 13 2021,390031,13387.9
Kansas,Sep 12 2021,389070,13354.9
Kansas,Sep 11 2021,388111,13322
Kansas,Sep 10 2021,387152,13289.1
Kansas,Sep  9 2021,385001,13215.2
Kansas,Sep  8 2021,382850,13141.4
Kansas,Sep  7 2021,381703,13102
Kansas,Sep  6 2021,380558,13062.7
Kansas,Sep  5 2021,379413,13023.4
Kansas,Sep  4 2021,378268,12984.1
Kansas,Sep  3 2021,377123,12944.8
Kansas,Sep  2 2021,375146,12877
Kansas,Sep  1 2021,373171,12809.2
Kansas,Aug 31 2021,371073,12737.1
Kansas,Aug 30 2021,368976,12665.2
Kansas,Aug 29 2021,367907,12628.5
Kansas,Aug 28 2021,366840,12591.8
Kansas,Aug 27 2021,365773,12555.2
Kansas,Aug 26 2021,364047,12496
Kansas,Aug 25 2021,362321,12436.7
Kansas,Aug 24 2021,360581,12377
Kansas,Aug 23 2021,358843,12317.3
Kansas,Aug 22 2021,357915,12285.5
Kansas,Aug 21 2021,356990,12253.7
Kansas,Aug 20 2021,356065,12222
Kansas,Aug 19 2021,354727,12176.1
Kansas,Aug 18 2021,353390,12130.2
Kansas,Aug 17 2021,351886,12078.5
Kansas,Aug 16 2021,350384,12027
Kansas,Aug 15 2021,349564,11998.8
Kansas,Aug 14 2021,348746,11970.8
Kansas,Aug 13 2021,347928,11942.7
Kansas,Aug 12 2021,346432,11891.3
Kansas,Aug 11 2021,344937,11840
Kansas,Aug 10 2021,343566,11793
Kansas,Aug  9 2021,342196,11745.9
Kansas,Aug  8 2021,341305,11715.4
Kansas,Aug  7 2021,340416,11684.8
Kansas,Aug  6 2021,339527,11654.3
Kansas,Aug  5 2021,338438,11616.9
Kansas,Aug  4 2021,337350,11579.6
Kansas,Aug  3 2021,335993,11533
Kansas,Aug  2 2021,334636,11486.4
Kansas,Aug  1 2021,334067,11466.9
Kansas,Jul 31 2021,333500,11447.4
Kansas,Jul 30 2021,332933,11428
Kansas,Jul 29 2021,331932,11393.6
Kansas,Jul 28 2021,330932,11359.3
Kansas,Jul 27 2021,329843,11321.9
Kansas,Jul 26 2021,328755,11284.6
Kansas,Jul 25 2021,328257,11267.5
Kansas,Jul 24 2021,327762,11250.5
Kansas,Jul 23 2021,327267,11233.5
Kansas,Jul 22 2021,326497,11207.1
Kansas,Jul 21 2021,325728,11180.7
Kansas,Jul 20 2021,324957,11154.2
Kansas,Jul 19 2021,324187,11127.8
Kansas,Jul 18 2021,323917,11118.5
Kansas,Jul 17 2021,323651,11109.4
Kansas,Jul 16 2021,323385,11100.2
Kansas,Jul 15 2021,322824,11081
Kansas,Jul 14 2021,322264,11061.8
Kansas,Jul 13 2021,321686,11041.9
Kansas,Jul 12 2021,321109,11022.1
Kansas,Jul 11 2021,320885,11014.4
Kansas,Jul 10 2021,320661,11006.7
Kansas,Jul  9 2021,320437,10999.1
Kansas,Jul  8 2021,320011,10984.4
Kansas,Jul  7 2021,319586,10969.8
Kansas,Jul  6 2021,319367,10962.3
Kansas,Jul  5 2021,319154,10955
Kansas,Jul  4 2021,318941,10947.7
Kansas,Jul  3 2021,318728,10940.4
Kansas,Jul  2 2021,318515,10933.1
Kansas,Jul  1 2021,318310,10926
Kansas,Jun 30 2021,318106,10919
Kansas,Jun 29 2021,317878,10911.2
Kansas,Jun 28 2021,317651,10903.4
Kansas,Jun 27 2021,317534,10899.4
Kansas,Jun 26 2021,317419,10895.5
Kansas,Jun 25 2021,317304,10891.5
Kansas,Jun 24 2021,317160,10886.6
Kansas,Jun 23 2021,317017,10881.7
Kansas,Jun 22 2021,316855,10876.1
Kansas,Jun 21 2021,316695,10870.6
Kansas,Jun 20 2021,316641,10868.8
Kansas,Jun 19 2021,316590,10867
Kansas,Jun 18 2021,316539,10865.3
Kansas,Jun 17 2021,316441,10861.9
Kansas,Jun 16 2021,316343,10858.5
Kansas,Jun 15 2021,316178,10852.9
Kansas,Jun 14 2021,316014,10847.2
Kansas,Jun 13 2021,315931,10844.4
Kansas,Jun 12 2021,315850,10841.6
Kansas,Jun 11 2021,315769,10838.8
Kansas,Jun 10 2021,315634,10834.2
Kansas,Jun  9 2021,315500,10829.6
Kansas,Jun  8 2021,315299,10822.7
Kansas,Jun  7 2021,315099,10815.8
Kansas,Jun  6 2021,314995,10812.3
Kansas,Jun  5 2021,314893,10808.8
Kansas,Jun  4 2021,314791,10805.3
Kansas,Jun  3 2021,314689,10801.8
Kansas,Jun  2 2021,314523,10796.1
Kansas,Jun  1 2021,314417,10792.4
Kansas,May 31 2021,314312,10788.8
Kansas,May 30 2021,314207,10785.2
Kansas,May 29 2021,314102,10781.6
Kansas,May 28 2021,313997,10778
Kansas,May 27 2021,313720,10768.5
Kansas,May 26 2021,313720,10768.5
Kansas,May 25 2021,313496,10760.8
Kansas,May 24 2021,313274,10753.2
Kansas,May 23 2021,313181,10750
Kansas,May 22 2021,313089,10746.8
Kansas,May 21 2021,312997,10743.7
Kansas,May 20 2021,312793,10736.7
Kansas,May 19 2021,312591,10729.7
Kansas,May 18 2021,312332,10720.8
Kansas,May 17 2021,312073,10712
