Data Table for Total Cases - Kentucky
Date generated: Sat Nov 20 2021 18:28:34 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Kentucky,Nov 19 2021,769732,17228.9
Kentucky,Nov 18 2021,768656,17204.8
Kentucky,Nov 17 2021,766830,17164
Kentucky,Nov 16 2021,764686,17116
Kentucky,Nov 15 2021,762940,17076.9
Kentucky,Nov 14 2021,759935,17009.6
Kentucky,Nov 13 2021,759935,17009.6
Kentucky,Nov 12 2021,759935,17009.6
Kentucky,Nov 11 2021,757016,16944.3
Kentucky,Nov 10 2021,757016,16944.3
Kentucky,Nov  9 2021,755121,16901.9
Kentucky,Nov  8 2021,753472,16865
Kentucky,Nov  7 2021,752995,16854.3
Kentucky,Nov  6 2021,752460,16842.3
Kentucky,Nov  5 2021,751453,16819.8
Kentucky,Nov  4 2021,750285,16793.6
Kentucky,Nov  3 2021,749129,16767.8
Kentucky,Nov  2 2021,747825,16738.6
Kentucky,Nov  1 2021,746693,16713.2
Kentucky,Oct 31 2021,746184,16701.8
Kentucky,Oct 30 2021,745640,16689.7
Kentucky,Oct 29 2021,744717,16669
Kentucky,Oct 28 2021,743412,16639.8
Kentucky,Oct 27 2021,742009,16608.4
Kentucky,Oct 26 2021,740568,16576.1
Kentucky,Oct 25 2021,739504,16552.3
Kentucky,Oct 24 2021,739000,16541
Kentucky,Oct 23 2021,738174,16522.6
Kentucky,Oct 22 2021,737087,16498.2
Kentucky,Oct 21 2021,735813,16469.7
Kentucky,Oct 20 2021,734408,16438.3
Kentucky,Oct 19 2021,732890,16404.3
Kentucky,Oct 18 2021,731549,16374.3
Kentucky,Oct 17 2021,730998,16361.9
Kentucky,Oct 16 2021,730283,16345.9
Kentucky,Oct 15 2021,728888,16314.7
Kentucky,Oct 14 2021,727290,16278.9
Kentucky,Oct 13 2021,725262,16233.6
Kentucky,Oct 12 2021,723215,16187.7
Kentucky,Oct 11 2021,721327,16145.5
Kentucky,Oct 10 2021,720543,16127.9
Kentucky,Oct  9 2021,719009,16093.6
Kentucky,Oct  8 2021,717076,16050.3
Kentucky,Oct  7 2021,715393,16012.7
Kentucky,Oct  6 2021,713136,15962.1
Kentucky,Oct  5 2021,710749,15908.7
Kentucky,Oct  4 2021,708429,15856.8
Kentucky,Oct  3 2021,707259,15830.6
Kentucky,Oct  2 2021,706103,15804.7
Kentucky,Oct  1 2021,703880,15755
Kentucky,Sep 30 2021,699931,15666.6
Kentucky,Sep 29 2021,697823,15619.4
Kentucky,Sep 28 2021,694327,15541.1
Kentucky,Sep 27 2021,690060,15445.6
Kentucky,Sep 26 2021,688528,15411.3
Kentucky,Sep 25 2021,686784,15372.3
Kentucky,Sep 24 2021,683692,15303.1
Kentucky,Sep 23 2021,680093,15222.5
Kentucky,Sep 22 2021,676381,15139.4
Kentucky,Sep 21 2021,672329,15048.8
Kentucky,Sep 20 2021,669068,14975.8
Kentucky,Sep 19 2021,667213,14934.2
Kentucky,Sep 18 2021,664315,14869.4
Kentucky,Sep 17 2021,660702,14788.5
Kentucky,Sep 16 2021,655963,14682.4
Kentucky,Sep 15 2021,651271,14577.4
Kentucky,Sep 14 2021,646451,14469.5
Kentucky,Sep 13 2021,641872,14367
Kentucky,Sep 12 2021,639564,14315.4
Kentucky,Sep 11 2021,636223,14240.6
Kentucky,Sep 10 2021,631598,14137.1
Kentucky,Sep  9 2021,626339,14019.4
Kentucky,Sep  8 2021,620640,13891.8
Kentucky,Sep  7 2021,615921,13786.2
Kentucky,Sep  6 2021,613475,13731.4
Kentucky,Sep  5 2021,610799,13671.5
Kentucky,Sep  4 2021,607248,13592
Kentucky,Sep  3 2021,602369,13482.8
Kentucky,Sep  2 2021,596944,13361.4
Kentucky,Sep  1 2021,590802,13223.9
Kentucky,Aug 31 2021,585485,13104.9
Kentucky,Aug 30 2021,580762,12999.2
Kentucky,Aug 29 2021,577939,12936
Kentucky,Aug 28 2021,574305,12854.7
Kentucky,Aug 27 2021,569801,12753.9
Kentucky,Aug 26 2021,564448,12634
Kentucky,Aug 25 2021,558728,12506
Kentucky,Aug 24 2021,553273,12383.9
Kentucky,Aug 23 2021,548879,12285.6
Kentucky,Aug 22 2021,546270,12227.2
Kentucky,Aug 21 2021,543205,12158.6
Kentucky,Aug 20 2021,539305,12071.3
Kentucky,Aug 19 2021,535119,11977.6
Kentucky,Aug 18 2021,530092,11865.1
Kentucky,Aug 17 2021,525948,11772.3
Kentucky,Aug 16 2021,522313,11690.9
Kentucky,Aug 15 2021,520271,11645.2
Kentucky,Aug 14 2021,517636,11586.3
Kentucky,Aug 13 2021,514846,11523.8
Kentucky,Aug 12 2021,511481,11448.5
Kentucky,Aug 11 2021,508036,11371.4
Kentucky,Aug 10 2021,504796,11298.9
Kentucky,Aug  9 2021,502303,11243.1
Kentucky,Aug  8 2021,500820,11209.9
Kentucky,Aug  7 2021,499182,11173.2
Kentucky,Aug  6 2021,496738,11118.5
Kentucky,Aug  5 2021,494061,11058.6
Kentucky,Aug  4 2021,491799,11007.9
Kentucky,Aug  3 2021,489169,10949.1
Kentucky,Aug  2 2021,487214,10905.3
Kentucky,Aug  1 2021,486033,10878.9
Kentucky,Jul 31 2021,484996,10855.7
Kentucky,Jul 30 2021,483444,10820.9
Kentucky,Jul 29 2021,481744,10782.9
Kentucky,Jul 28 2021,480039,10744.7
Kentucky,Jul 27 2021,478448,10709.1
Kentucky,Jul 26 2021,477123,10679.5
Kentucky,Jul 25 2021,476393,10663.1
Kentucky,Jul 24 2021,475827,10650.4
Kentucky,Jul 23 2021,474753,10626.4
Kentucky,Jul 22 2021,473812,10605.3
Kentucky,Jul 21 2021,472832,10583.4
Kentucky,Jul 20 2021,471816,10560.7
Kentucky,Jul 19 2021,470974,10541.8
Kentucky,Jul 18 2021,470607,10533.6
Kentucky,Jul 17 2021,470246,10525.5
Kentucky,Jul 16 2021,469662,10512.5
Kentucky,Jul 15 2021,469092,10499.7
Kentucky,Jul 14 2021,468523,10487
Kentucky,Jul 13 2021,467908,10473.2
Kentucky,Jul 12 2021,467412,10462.1
Kentucky,Jul 11 2021,467215,10457.7
Kentucky,Jul 10 2021,466981,10452.4
Kentucky,Jul  9 2021,466626,10444.5
