Data Table for Total Cases - Louisiana
Date generated: Sat Nov 20 2021 18:28:41 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Louisiana,Nov 19 2021,767330,16506
Louisiana,Nov 18 2021,766849,16495.7
Louisiana,Nov 17 2021,766391,16485.8
Louisiana,Nov 16 2021,765766,16472.4
Louisiana,Nov 15 2021,765296,16462.2
Louisiana,Nov 14 2021,764354,16442
Louisiana,Nov 13 2021,764354,16442
Louisiana,Nov 12 2021,764354,16442
Louisiana,Nov 11 2021,763628,16426.4
Louisiana,Nov 10 2021,763628,16426.4
Louisiana,Nov  9 2021,763133,16415.7
Louisiana,Nov  8 2021,762659,16405.5
Louisiana,Nov  7 2021,761849,16388.1
Louisiana,Nov  6 2021,761849,16388.1
Louisiana,Nov  5 2021,761849,16388.1
Louisiana,Nov  4 2021,761311,16376.5
Louisiana,Nov  3 2021,760691,16363.2
Louisiana,Nov  2 2021,760246,16353.6
Louisiana,Nov  1 2021,760000,16348.3
Louisiana,Oct 31 2021,758471,16315.4
Louisiana,Oct 30 2021,758471,16315.4
Louisiana,Oct 29 2021,758471,16315.4
Louisiana,Oct 28 2021,758230,16310.3
Louisiana,Oct 27 2021,757739,16299.7
Louisiana,Oct 26 2021,756969,16283.1
Louisiana,Oct 25 2021,756509,16273.2
Louisiana,Oct 24 2021,755631,16254.3
Louisiana,Oct 23 2021,755631,16254.3
Louisiana,Oct 22 2021,755631,16254.3
Louisiana,Oct 21 2021,754950,16239.7
Louisiana,Oct 20 2021,754027,16219.8
Louisiana,Oct 19 2021,753532,16209.2
Louisiana,Oct 18 2021,752951,16196.7
Louisiana,Oct 17 2021,752590,16188.9
Louisiana,Oct 16 2021,752232,16181.2
Louisiana,Oct 15 2021,751874,16173.5
Louisiana,Oct 14 2021,751315,16161.5
Louisiana,Oct 13 2021,750473,16143.4
Louisiana,Oct 12 2021,749922,16131.5
Louisiana,Oct 11 2021,748793,16107.3
Louisiana,Oct 10 2021,748303,16096.7
Louisiana,Oct  9 2021,747816,16086.2
Louisiana,Oct  8 2021,747329,16075.8
Louisiana,Oct  7 2021,746542,16058.8
Louisiana,Oct  6 2021,745571,16037.9
Louisiana,Oct  5 2021,744651,16018.2
Louisiana,Oct  4 2021,743631,15996.2
Louisiana,Oct  3 2021,743056,15983.8
Louisiana,Oct  2 2021,742481,15971.5
Louisiana,Oct  1 2021,741906,15959.1
Louisiana,Sep 30 2021,740533,15929.6
Louisiana,Sep 29 2021,739661,15910.8
Louisiana,Sep 28 2021,738613,15888.3
Louisiana,Sep 27 2021,737582,15866.1
Louisiana,Sep 26 2021,736560,15844.1
Louisiana,Sep 25 2021,735542,15822.2
Louisiana,Sep 24 2021,734524,15800.3
Louisiana,Sep 23 2021,733522,15778.8
Louisiana,Sep 22 2021,732005,15746.1
Louisiana,Sep 21 2021,730099,15705.1
Louisiana,Sep 20 2021,728831,15677.9
Louisiana,Sep 19 2021,727765,15654.9
Louisiana,Sep 18 2021,726701,15632
Louisiana,Sep 17 2021,725637,15609.1
Louisiana,Sep 16 2021,723458,15562.3
Louisiana,Sep 15 2021,721795,15526.5
Louisiana,Sep 14 2021,719424,15475.5
Louisiana,Sep 13 2021,717224,15428.2
Louisiana,Sep 12 2021,715674,15394.8
Louisiana,Sep 11 2021,714124,15361.5
Louisiana,Sep 10 2021,712574,15328.1
Louisiana,Sep  9 2021,710401,15281.4
Louisiana,Sep  8 2021,705498,15175.9
Louisiana,Sep  7 2021,702432,15110
Louisiana,Sep  6 2021,701046,15080.2
Louisiana,Sep  5 2021,699664,15050.4
Louisiana,Sep  4 2021,698282,15020.7
Louisiana,Sep  3 2021,696900,14991
Louisiana,Sep  2 2021,694275,14934.5
Louisiana,Sep  1 2021,692176,14889.4
Louisiana,Aug 31 2021,689700,14836.1
Louisiana,Aug 30 2021,687224,14782.8
Louisiana,Aug 29 2021,684748,14729.6
Louisiana,Aug 28 2021,682272,14676.3
Louisiana,Aug 27 2021,679796,14623.1
Louisiana,Aug 26 2021,676368,14549.3
Louisiana,Aug 25 2021,671237,14438.9
Louisiana,Aug 24 2021,664618,14296.6
Louisiana,Aug 23 2021,660804,14214.5
Louisiana,Aug 22 2021,657173,14136.4
Louisiana,Aug 21 2021,653544,14058.4
Louisiana,Aug 20 2021,649915,13980.3
Louisiana,Aug 19 2021,643993,13852.9
Louisiana,Aug 18 2021,638443,13733.5
Louisiana,Aug 17 2021,631837,13591.4
Louisiana,Aug 16 2021,628146,13512
Louisiana,Aug 15 2021,623688,13416.1
Louisiana,Aug 14 2021,619232,13320.3
Louisiana,Aug 13 2021,614776,13224.4
Louisiana,Aug 12 2021,607228,13062.1
Louisiana,Aug 11 2021,601941,12948.3
Louisiana,Aug 10 2021,596534,12832
Louisiana,Aug  9 2021,590446,12701.1
Louisiana,Aug  8 2021,584929,12582.4
Louisiana,Aug  7 2021,579416,12463.8
Louisiana,Aug  6 2021,573903,12345.2
Louisiana,Aug  5 2021,567787,12213.6
Louisiana,Aug  4 2021,562319,12096
Louisiana,Aug  3 2021,557540,11993.2
Louisiana,Aug  2 2021,552787,11891
Louisiana,Aug  1 2021,549083,11811.3
Louisiana,Jul 31 2021,545381,11731.7
Louisiana,Jul 30 2021,541679,11652
Louisiana,Jul 29 2021,536366,11537.7
Louisiana,Jul 28 2021,531952,11442.8
Louisiana,Jul 27 2021,527253,11341.7
Louisiana,Jul 26 2021,520435,11195.1
Louisiana,Jul 25 2021,517903,11140.6
Louisiana,Jul 24 2021,515373,11086.2
Louisiana,Jul 23 2021,512843,11031.7
Louisiana,Jul 22 2021,509716,10964.5
Louisiana,Jul 21 2021,506882,10903.5
Louisiana,Jul 20 2021,501494,10787.6
Louisiana,Jul 19 2021,499932,10754
Louisiana,Jul 18 2021,498601,10725.4
Louisiana,Jul 17 2021,497273,10696.8
Louisiana,Jul 16 2021,495945,10668.3
Louisiana,Jul 15 2021,494340,10633.7
Louisiana,Jul 14 2021,492840,10601.5
Louisiana,Jul 13 2021,490904,10559.8
Louisiana,Jul 12 2021,489951,10539.3
Louisiana,Jul 11 2021,489152,10522.1
Louisiana,Jul 10 2021,488355,10505
Louisiana,Jul  9 2021,487558,10487.8
Louisiana,Jul  8 2021,486589,10467
Louisiana,Jul  7 2021,485803,10450.1
Louisiana,Jul  6 2021,484577,10423.7
Louisiana,Jul  5 2021,484069,10412.8
Louisiana,Jul  4 2021,483566,10402
Louisiana,Jul  3 2021,483063,10391.1
Louisiana,Jul  2 2021,482560,10380.3
Louisiana,Jul  1 2021,482035,10369
Louisiana,Jun 30 2021,481467,10356.8
Louisiana,Jun 29 2021,480876,10344.1
Louisiana,Jun 28 2021,480463,10335.2
Louisiana,Jun 27 2021,480147,10328.4
Louisiana,Jun 26 2021,479834,10321.7
Louisiana,Jun 25 2021,479521,10315
Louisiana,Jun 24 2021,479311,10310.4
Louisiana,Jun 23 2021,478946,10302.6
Louisiana,Jun 22 2021,478464,10292.2
Louisiana,Jun 21 2021,478139,10285.2
Louisiana,Jun 20 2021,477909,10280.3
Louisiana,Jun 19 2021,477681,10275.4
Louisiana,Jun 18 2021,477453,10270.5
Louisiana,Jun 17 2021,477127,10263.5
Louisiana,Jun 16 2021,476792,10256.3
Louisiana,Jun 15 2021,476467,10249.3
Louisiana,Jun 14 2021,475908,10237.2
Louisiana,Jun 13 2021,475722,10233.2
Louisiana,Jun 12 2021,475538,10229.3
Louisiana,Jun 11 2021,475354,10225.3
Louisiana,Jun 10 2021,475126,10220.4
Louisiana,Jun  9 2021,474653,10210.2
Louisiana,Jun  8 2021,473879,10193.6
Louisiana,Jun  7 2021,473777,10191.4
Louisiana,Jun  6 2021,473509,10185.6
Louisiana,Jun  5 2021,473245,10180
Louisiana,Jun  4 2021,472981,10174.3
Louisiana,Jun  3 2021,472617,10166.4
Louisiana,Jun  2 2021,472304,10159.7
Louisiana,Jun  1 2021,471663,10145.9
Louisiana,May 31 2021,471417,10140.6
Louisiana,May 30 2021,471173,10135.4
Louisiana,May 29 2021,470929,10130.1
Louisiana,May 28 2021,470685,10124.9
Louisiana,May 27 2021,470331,10117.3
Louisiana,May 26 2021,469864,10107.2
Louisiana,May 25 2021,469445,10098.2
Louisiana,May 24 2021,468402,10075.8
Louisiana,May 23 2021,468205,10071.5
Louisiana,May 22 2021,468010,10067.3
Louisiana,May 21 2021,467815,10063.1
Louisiana,May 20 2021,467475,10055.8
Louisiana,May 19 2021,467055,10046.8
Louisiana,May 18 2021,466440,10033.6
Louisiana,May 17 2021,465946,10022.9
Louisiana,May 16 2021,465573,10014.9
Louisiana,May 15 2021,465203,10007
Louisiana,May 14 2021,464833,9999
Louisiana,May 13 2021,464412,9989.9
Louisiana,May 12 2021,463997,9981
Louisiana,May 11 2021,463517,9970.7
Louisiana,May 10 2021,462868,9956.7
Louisiana,May  9 2021,462501,9948.8
Louisiana,May  8 2021,462137,9941
Louisiana,May  7 2021,461773,9933.2
Louisiana,May  6 2021,461210,9921.1
Louisiana,May  5 2021,460803,9912.3
Louisiana,May  4 2021,460337,9902.3
Louisiana,May  3 2021,459340,9880.8
Louisiana,May  2 2021,459087,9875.4
Louisiana,May  1 2021,458834,9870
Louisiana,Apr 30 2021,458581,9864.5
Louisiana,Apr 29 2021,457896,9849.8
Louisiana,Apr 28 2021,457326,9837.5
Louisiana,Apr 27 2021,456884,9828
Louisiana,Apr 26 2021,456432,9818.3
Louisiana,Apr 25 2021,456135,9811.9
Louisiana,Apr 24 2021,455838,9805.5
Louisiana,Apr 23 2021,455541,9799.1
Louisiana,Apr 22 2021,455000,9787.5
Louisiana,Apr 21 2021,454377,9774.1
Louisiana,Apr 20 2021,453711,9759.8
Louisiana,Apr 19 2021,453351,9752
Louisiana,Apr 18 2021,452885,9742
Louisiana,Apr 17 2021,452420,9732
Louisiana,Apr 16 2021,451955,9722
Louisiana,Apr 15 2021,451476,9711.7
Louisiana,Apr 14 2021,450673,9694.4
Louisiana,Apr 13 2021,450279,9685.9
Louisiana,Apr 12 2021,449827,9676.2
Louisiana,Apr 11 2021,448838,9654.9
Louisiana,Apr 10 2021,448838,9654.9
Louisiana,Apr  9 2021,448838,9654.9
Louisiana,Apr  8 2021,448104,9639.1
Louisiana,Apr  7 2021,447655,9629.5
Louisiana,Apr  6 2021,446955,9614.4
Louisiana,Apr  5 2021,446737,9609.7
Louisiana,Apr  4 2021,445469,9582.5
Louisiana,Apr  3 2021,445469,9582.5
Louisiana,Apr  2 2021,445469,9582.5
Louisiana,Apr  1 2021,445469,9582.5
Louisiana,Mar 31 2021,444933,9570.9
Louisiana,Mar 30 2021,444414,9559.8
Louisiana,Mar 29 2021,443905,9548.8
Louisiana,Mar 28 2021,443069,9530.8
Louisiana,Mar 27 2021,443069,9530.8
Louisiana,Mar 26 2021,443069,9530.8
Louisiana,Mar 25 2021,442620,9521.2
Louisiana,Mar 24 2021,442221,9512.6
Louisiana,Mar 23 2021,441771,9502.9
Louisiana,Mar 22 2021,441066,9487.8
Louisiana,Mar 21 2021,439737,9459.2
Louisiana,Mar 20 2021,439737,9459.2
Louisiana,Mar 19 2021,439737,9459.2
Louisiana,Mar 18 2021,439543,9455
Louisiana,Mar 17 2021,439002,9443.4
Louisiana,Mar 16 2021,438557,9433.8
Louisiana,Mar 15 2021,437565,9412.4
Louisiana,Mar 14 2021,437393,9408.7
Louisiana,Mar 13 2021,436482,9389.1
Louisiana,Mar 12 2021,436482,9389.1
Louisiana,Mar 11 2021,435935,9377.4
Louisiana,Mar 10 2021,435514,9368.3
Louisiana,Mar  9 2021,434926,9355.7
Louisiana,Mar  8 2021,434289,9342
Louisiana,Mar  7 2021,433785,9331.1
Louisiana,Mar  6 2021,433045,9315.2
Louisiana,Mar  5 2021,433045,9315.2
Louisiana,Mar  4 2021,432527,9304.1
Louisiana,Mar  3 2021,431771,9287.8
Louisiana,Mar  2 2021,431271,9277.1
Louisiana,Mar  1 2021,430504,9260.6
Louisiana,Feb 28 2021,430100,9251.9
Louisiana,Feb 27 2021,428592,9219.4
Louisiana,Feb 26 2021,428592,9219.4
Louisiana,Feb 25 2021,427689,9200
Louisiana,Feb 24 2021,426925,9183.6
Louisiana,Feb 23 2021,426048,9164.7
Louisiana,Feb 22 2021,424644,9134.5
Louisiana,Feb 21 2021,424176,9124.4
Louisiana,Feb 20 2021,422287,9083.8
Louisiana,Feb 19 2021,422287,9083.8
Louisiana,Feb 18 2021,421846,9074.3
Louisiana,Feb 17 2021,421018,9056.5
Louisiana,Feb 16 2021,420394,9043.1
Louisiana,Feb 15 2021,420394,9043.1
Louisiana,Feb 14 2021,419891,9032.3
Louisiana,Feb 13 2021,418585,9004.2
Louisiana,Feb 12 2021,418585,9004.2
Louisiana,Feb 11 2021,417415,8979
Louisiana,Feb 10 2021,414687,8920.3
Louisiana,Feb  9 2021,414354,8913.2
Louisiana,Feb  8 2021,412989,8883.8
Louisiana,Feb  7 2021,411812,8858.5
Louisiana,Feb  6 2021,409861,8816.5
Louisiana,Feb  5 2021,409861,8816.5
Louisiana,Feb  4 2021,408995,8797.9
Louisiana,Feb  3 2021,406235,8738.5
Louisiana,Feb  2 2021,404194,8694.6
Louisiana,Feb  1 2021,401591,8638.6
Louisiana,Jan 31 2021,400626,8617.8
Louisiana,Jan 30 2021,397276,8545.8
Louisiana,Jan 29 2021,397276,8545.8
Louisiana,Jan 28 2021,394909,8494.9
Louisiana,Jan 27 2021,392416,8441.2
Louisiana,Jan 26 2021,388562,8358.3
Louisiana,Jan 25 2021,385942,8302
Louisiana,Jan 24 2021,383862,8257.2
Louisiana,Jan 23 2021,380255,8179.6
Louisiana,Jan 22 2021,380255,8179.6
Louisiana,Jan 21 2021,378318,8138
Louisiana,Jan 20 2021,374582,8057.6
Louisiana,Jan 19 2021,372089,8004
Louisiana,Jan 18 2021,369951,7958
Louisiana,Jan 17 2021,368980,7937.1
Louisiana,Jan 16 2021,364853,7848.3
Louisiana,Jan 15 2021,364853,7848.3
Louisiana,Jan 14 2021,361148,7768.6
Louisiana,Jan 13 2021,355835,7654.4
Louisiana,Jan 12 2021,352939,7592.1
Louisiana,Jan 11 2021,348234,7490.8
Louisiana,Jan 10 2021,346829,7460.6
Louisiana,Jan  9 2021,341431,7344.5
Louisiana,Jan  8 2021,341431,7344.5
Louisiana,Jan  7 2021,338054,7271.9
Louisiana,Jan  6 2021,333524,7174.4
Louisiana,Jan  5 2021,326648,7026.5
Louisiana,Jan  4 2021,322181,6930.4
Louisiana,Jan  3 2021,321058,6906.3
Louisiana,Jan  2 2021,315275,6781.9
Louisiana,Jan  1 2021,315275,6781.9
Louisiana,Dec 31 2020,315275,6781.9
Louisiana,Dec 30 2020,311229,6694.8
Louisiana,Dec 29 2020,304485,6549.8
Louisiana,Dec 28 2020,300539,6464.9
Louisiana,Dec 27 2020,299722,6447.3
Louisiana,Dec 26 2020,296499,6378
Louisiana,Dec 25 2020,296499,6378
Louisiana,Dec 24 2020,296499,6378
Louisiana,Dec 23 2020,293934,6322.8
Louisiana,Dec 22 2020,290960,6258.8
Louisiana,Dec 21 2020,287261,6179.3
Louisiana,Dec 20 2020,286145,6155.3
Louisiana,Dec 19 2020,282434,6075.4
Louisiana,Dec 18 2020,282434,6075.4
Louisiana,Dec 17 2020,279321,6008.5
Louisiana,Dec 16 2020,275545,5927.2
Louisiana,Dec 15 2020,272276,5856.9
Louisiana,Dec 14 2020,269643,5800.3
Louisiana,Dec 13 2020,268613,5778.1
Louisiana,Dec 12 2020,264191,5683
Louisiana,Dec 11 2020,264191,5683
Louisiana,Dec 10 2020,261329,5621.4
Louisiana,Dec  9 2020,258914,5569.5
Louisiana,Dec  8 2020,254562,5475.9
Louisiana,Dec  7 2020,252136,5423.7
Louisiana,Dec  6 2020,251123,5401.9
Louisiana,Dec  5 2020,247177,5317
Louisiana,Dec  4 2020,247177,5317
Louisiana,Dec  3 2020,244078,5250.4
Louisiana,Dec  2 2020,241335,5191.3
Louisiana,Dec  1 2020,237740,5114
Louisiana,Nov 30 2020,232414,4999.4
Louisiana,Nov 29 2020,232245,4995.8
Louisiana,Nov 28 2020,230602,4960.5
Louisiana,Nov 27 2020,230602,4960.5
Louisiana,Nov 26 2020,225638,4853.7
Louisiana,Nov 25 2020,225638,4853.7
Louisiana,Nov 24 2020,224403,4827.1
Louisiana,Nov 23 2020,221160,4757.4
Louisiana,Nov 22 2020,220192,4736.5
Louisiana,Nov 21 2020,216709,4661.6
Louisiana,Nov 20 2020,216709,4661.6
Louisiana,Nov 19 2020,211966,4559.6
Louisiana,Nov 18 2020,209914,4515.5
Louisiana,Nov 17 2020,207685,4467.5
Louisiana,Nov 16 2020,205059,4411
Louisiana,Nov 15 2020,204513,4399.3
Louisiana,Nov 14 2020,201981,4344.8
Louisiana,Nov 13 2020,201981,4344.8
Louisiana,Nov 12 2020,198531,4270.6
Louisiana,Nov 11 2020,194702,4188.2
Louisiana,Nov 10 2020,194702,4188.2
Louisiana,Nov  9 2020,193372,4159.6
Louisiana,Nov  8 2020,192981,4151.2
Louisiana,Nov  7 2020,191715,4124
Louisiana,Nov  6 2020,191715,4124
Louisiana,Nov  5 2020,190845,4105.3
Louisiana,Nov  4 2020,190164,4090.6
Louisiana,Nov  3 2020,189148,4068.8
Louisiana,Nov  2 2020,187995,4044
Louisiana,Nov  1 2020,187720,4038
Louisiana,Oct 31 2020,186649,4015
Louisiana,Oct 30 2020,186649,4015
Louisiana,Oct 29 2020,186216,4005.7
Louisiana,Oct 28 2020,185822,3997.2
Louisiana,Oct 27 2020,184724,3973.6
Louisiana,Oct 26 2020,183802,3953.8
Louisiana,Oct 25 2020,183575,3948.9
Louisiana,Oct 24 2020,182603,3928
Louisiana,Oct 23 2020,182603,3928
Louisiana,Oct 22 2020,181904,3912.9
Louisiana,Oct 21 2020,181132,3896.3
Louisiana,Oct 20 2020,179769,3867
Louisiana,Oct 19 2020,179070,3852
Louisiana,Oct 18 2020,178869,3847.6
Louisiana,Oct 17 2020,177726,3823.1
