Data Table for Total Cases - Maine
Date generated: Sat Nov 20 2021 18:28:46 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Maine,Nov 19 2021,115846,8618.1
Maine,Nov 18 2021,115010,8555.9
Maine,Nov 17 2021,114060,8485.3
Maine,Nov 16 2021,112090,8338.7
Maine,Nov 15 2021,112087,8338.5
Maine,Nov 14 2021,111145,8268.4
Maine,Nov 13 2021,111145,8268.4
Maine,Nov 12 2021,110346,8209
Maine,Nov 11 2021,110344,8208.8
Maine,Nov 10 2021,109592,8152.9
Maine,Nov  9 2021,109591,8152.8
Maine,Nov  8 2021,108710,8087.3
Maine,Nov  7 2021,107772,8017.5
Maine,Nov  6 2021,107772,8017.5
Maine,Nov  5 2021,107737,8014.9
Maine,Nov  4 2021,107074,7965.6
Maine,Nov  3 2021,106469,7920.6
Maine,Nov  2 2021,105121,7820.3
Maine,Nov  1 2021,105117,7820
Maine,Oct 31 2021,104259,7756.1
Maine,Oct 30 2021,104259,7756.1
Maine,Oct 29 2021,103671,7712.4
Maine,Oct 28 2021,103666,7712
Maine,Oct 27 2021,103036,7665.2
Maine,Oct 26 2021,102464,7622.6
Maine,Oct 25 2021,101848,7576.8
Maine,Oct 24 2021,100967,7511.2
Maine,Oct 23 2021,100967,7511.2
Maine,Oct 22 2021,100869,7504
Maine,Oct 21 2021,100381,7467.6
Maine,Oct 20 2021,99806,7424.9
Maine,Oct 19 2021,99252,7383.7
Maine,Oct 18 2021,98604,7335.5
Maine,Oct 17 2021,98164,7302.7
Maine,Oct 16 2021,97725,7270.1
Maine,Oct 15 2021,97677,7266.5
Maine,Oct 14 2021,97181,7229.6
Maine,Oct 13 2021,96630,7188.6
Maine,Oct 12 2021,95828,7128.9
Maine,Oct 11 2021,94940,7062.9
Maine,Oct 10 2021,94941,7062.9
Maine,Oct  9 2021,94948,7063.5
Maine,Oct  8 2021,94884,7058.7
Maine,Oct  7 2021,94347,7018.8
Maine,Oct  6 2021,93881,6984.1
Maine,Oct  5 2021,92664,6893.6
Maine,Oct  4 2021,92365,6871.3
Maine,Oct  3 2021,91916,6837.9
Maine,Oct  2 2021,91468,6804.6
