Data Table for Total Cases - Maryland
Date generated: Sat Nov 20 2021 18:28:51 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Maryland,Nov 19 2021,577013,9544.2
Maryland,Nov 18 2021,575996,9527.4
Maryland,Nov 17 2021,574914,9509.5
Maryland,Nov 16 2021,573835,9491.7
Maryland,Nov 15 2021,573044,9478.6
Maryland,Nov 14 2021,571625,9455.1
Maryland,Nov 13 2021,570806,9441.6
Maryland,Nov 12 2021,570806,9441.6
Maryland,Nov 11 2021,569823,9425.3
Maryland,Nov 10 2021,568914,9410.3
Maryland,Nov  9 2021,567929,9394
Maryland,Nov  8 2021,567085,9380
Maryland,Nov  7 2021,566082,9363.4
Maryland,Nov  6 2021,565355,9351.4
Maryland,Nov  5 2021,565355,9351.4
Maryland,Nov  4 2021,564564,9338.3
Maryland,Nov  3 2021,563696,9323.9
Maryland,Nov  2 2021,562200,9299.2
Maryland,Nov  1 2021,562200,9299.2
Maryland,Oct 31 2021,561270,9283.8
Maryland,Oct 30 2021,560634,9273.3
Maryland,Oct 29 2021,560634,9273.3
Maryland,Oct 28 2021,559763,9258.9
Maryland,Oct 27 2021,558852,9243.8
Maryland,Oct 26 2021,557923,9228.5
Maryland,Oct 25 2021,557192,9216.4
Maryland,Oct 24 2021,556083,9198
Maryland,Oct 23 2021,555366,9186.2
Maryland,Oct 22 2021,555366,9186.2
Maryland,Oct 21 2021,554456,9171.1
Maryland,Oct 20 2021,553593,9156.8
Maryland,Oct 19 2021,552524,9139.2
Maryland,Oct 18 2021,551807,9127.3
Maryland,Oct 17 2021,550550,9106.5
Maryland,Oct 16 2021,550114,9099.3
Maryland,Oct 15 2021,549679,9092.1
Maryland,Oct 14 2021,548743,9076.6
Maryland,Oct 13 2021,547675,9058.9
Maryland,Oct 12 2021,546552,9040.4
Maryland,Oct 11 2021,545439,9022
Maryland,Oct 10 2021,544219,9001.8
Maryland,Oct  9 2021,543552,8990.8
Maryland,Oct  8 2021,542886,8979.7
Maryland,Oct  7 2021,541626,8958.9
Maryland,Oct  6 2021,540451,8939.5
Maryland,Oct  5 2021,539053,8916.3
Maryland,Oct  4 2021,537976,8898.5
Maryland,Oct  3 2021,536249,8870
Maryland,Oct  2 2021,535703,8860.9
Maryland,Oct  1 2021,535157,8851.9
Maryland,Sep 30 2021,533870,8830.6
Maryland,Sep 29 2021,532340,8805.3
Maryland,Sep 28 2021,530861,8780.8
Maryland,Sep 27 2021,529735,8762.2
Maryland,Sep 26 2021,527804,8730.3
Maryland,Sep 25 2021,527247,8721.1
Maryland,Sep 24 2021,526690,8711.8
Maryland,Sep 23 2021,525124,8685.9
Maryland,Sep 22 2021,523760,8663.4
Maryland,Sep 21 2021,522355,8640.1
Maryland,Sep 20 2021,521210,8621.2
Maryland,Sep 19 2021,519097,8586.2
Maryland,Sep 18 2021,518579,8577.7
Maryland,Sep 17 2021,518061,8569.1
Maryland,Sep 16 2021,516784,8548
Maryland,Sep 15 2021,515259,8522.8
Maryland,Sep 14 2021,513929,8500.8
Maryland,Sep 13 2021,512740,8481.1
Maryland,Sep 12 2021,510543,8444.8
Maryland,Sep 11 2021,509968,8435.2
Maryland,Sep 10 2021,509393,8425.7
Maryland,Sep  9 2021,509017,8419.5
Maryland,Sep  8 2021,506464,8377.3
Maryland,Sep  7 2021,505557,8362.3
Maryland,Sep  6 2021,504856,8350.7
Maryland,Sep  5 2021,503034,8320.6
Maryland,Sep  4 2021,502631,8313.9
Maryland,Sep  3 2021,502229,8307.2
Maryland,Sep  2 2021,501035,8287.5
Maryland,Sep  1 2021,499648,8264.5
Maryland,Aug 31 2021,498376,8243.5
Maryland,Aug 30 2021,497002,8220.8
Maryland,Aug 29 2021,494982,8187.4
Maryland,Aug 28 2021,494452,8178.6
Maryland,Aug 27 2021,493923,8169.9
Maryland,Aug 26 2021,492548,8147.1
Maryland,Aug 25 2021,491174,8124.4
Maryland,Aug 24 2021,489957,8104.2
Maryland,Aug 23 2021,488740,8084.1
Maryland,Aug 22 2021,486968,8054.8
Maryland,Aug 21 2021,486473,8046.6
Maryland,Aug 20 2021,485978,8038.4
Maryland,Aug 19 2021,484847,8019.7
Maryland,Aug 18 2021,483641,7999.8
Maryland,Aug 17 2021,482581,7982.2
Maryland,Aug 16 2021,481569,7965.5
Maryland,Aug 15 2021,479952,7938.8
Maryland,Aug 14 2021,479517,7931.6
Maryland,Aug 13 2021,479083,7924.4
Maryland,Aug 12 2021,478067,7907.6
Maryland,Aug 11 2021,477117,7891.9
Maryland,Aug 10 2021,476070,7874.5
Maryland,Aug  9 2021,475184,7859.9
Maryland,Aug  8 2021,473969,7839.8
Maryland,Aug  7 2021,473542,7832.7
Maryland,Aug  6 2021,473116,7825.7
Maryland,Aug  5 2021,472224,7810.9
Maryland,Aug  4 2021,471334,7796.2
Maryland,Aug  3 2021,470605,7784.2
Maryland,Aug  2 2021,469910,7772.7
Maryland,Aug  1 2021,469095,7759.2
Maryland,Jul 31 2021,468821,7754.6
Maryland,Jul 30 2021,468548,7750.1
Maryland,Jul 29 2021,467961,7740.4
Maryland,Jul 28 2021,467435,7731.7
Maryland,Jul 27 2021,466930,7723.4
Maryland,Jul 26 2021,466514,7716.5
Maryland,Jul 25 2021,465949,7707.1
Maryland,Jul 24 2021,465796,7704.6
Maryland,Jul 23 2021,465643,7702.1
Maryland,Jul 22 2021,465326,7696.8
Maryland,Jul 21 2021,465038,7692.1
Maryland,Jul 20 2021,464735,7687.1
Maryland,Jul 19 2021,464491,7683
Maryland,Jul 18 2021,464197,7678.2
Maryland,Jul 17 2021,464114,7676.8
Maryland,Jul 16 2021,464031,7675.4
Maryland,Jul 15 2021,463848,7672.4
Maryland,Jul 14 2021,463665,7669.4
Maryland,Jul 13 2021,463487,7666.4
Maryland,Jul 12 2021,463383,7664.7
Maryland,Jul 11 2021,463186,7661.4
Maryland,Jul 10 2021,463146,7660.8
Maryland,Jul  9 2021,463107,7660.1
Maryland,Jul  8 2021,462971,7657.9
Maryland,Jul  7 2021,462835,7655.6
Maryland,Jul  6 2021,462736,7654
Maryland,Jul  5 2021,462681,7653.1
Maryland,Jul  4 2021,462596,7651.7
Maryland,Jul  3 2021,462565,7651.2
