Data Table for Total Cases - Massachusetts
Date generated: Sat Nov 20 2021 18:28:57 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Massachusetts,Nov 19 2021,890733,12923.2
Massachusetts,Nov 18 2021,887889,12882
Massachusetts,Nov 17 2021,884299,12829.9
Massachusetts,Nov 16 2021,881310,12786.5
Massachusetts,Nov 15 2021,879127,12754.8
Massachusetts,Nov 14 2021,873281,12670
Massachusetts,Nov 13 2021,873281,12670
Massachusetts,Nov 12 2021,873281,12670
Massachusetts,Nov 11 2021,869293,12612.2
Massachusetts,Nov 10 2021,869293,12612.2
Massachusetts,Nov  9 2021,867345,12583.9
Massachusetts,Nov  8 2021,865806,12561.6
Massachusetts,Nov  7 2021,861480,12498.8
Massachusetts,Nov  6 2021,861480,12498.8
Massachusetts,Nov  5 2021,861480,12498.8
Massachusetts,Nov  4 2021,859713,12473.2
Massachusetts,Nov  3 2021,857959,12447.7
Massachusetts,Nov  2 2021,856494,12426.5
Massachusetts,Nov  1 2021,855230,12408.1
Massachusetts,Oct 31 2021,851922,12360.1
Massachusetts,Oct 30 2021,851922,12360.1
Massachusetts,Oct 29 2021,851922,12360.1
Massachusetts,Oct 28 2021,850531,12339.9
Massachusetts,Oct 27 2021,848947,12317
Massachusetts,Oct 26 2021,847512,12296.1
Massachusetts,Oct 25 2021,846044,12274.8
Massachusetts,Oct 24 2021,842652,12225.6
Massachusetts,Oct 23 2021,842652,12225.6
Massachusetts,Oct 22 2021,842652,12225.6
Massachusetts,Oct 21 2021,841198,12204.5
Massachusetts,Oct 20 2021,839817,12184.5
Massachusetts,Oct 19 2021,838347,12163.2
Massachusetts,Oct 18 2021,836302,12133.5
Massachusetts,Oct 17 2021,835303,12119
Massachusetts,Oct 16 2021,834307,12104.6
Massachusetts,Oct 15 2021,833311,12090.1
Massachusetts,Oct 14 2021,831662,12066.2
Massachusetts,Oct 13 2021,829873,12040.2
Massachusetts,Oct 12 2021,828110,12014.6
Massachusetts,Oct 11 2021,826950,11997.8
Massachusetts,Oct 10 2021,825795,11981.1
Massachusetts,Oct  9 2021,824640,11964.3
Massachusetts,Oct  8 2021,823485,11947.5
Massachusetts,Oct  7 2021,821661,11921.1
Massachusetts,Oct  6 2021,819939,11896.1
Massachusetts,Oct  5 2021,818290,11872.2
Massachusetts,Oct  4 2021,816950,11852.7
Massachusetts,Oct  3 2021,815831,11836.5
Massachusetts,Oct  2 2021,814715,11820.3
Massachusetts,Oct  1 2021,813599,11804.1
Massachusetts,Sep 30 2021,811951,11780.2
Massachusetts,Sep 29 2021,810319,11756.5
Massachusetts,Sep 28 2021,808673,11732.6
Massachusetts,Sep 27 2021,807182,11711
Massachusetts,Sep 26 2021,805731,11690
Massachusetts,Sep 25 2021,804280,11668.9
Massachusetts,Sep 24 2021,802829,11647.9
Massachusetts,Sep 23 2021,800909,11620
Massachusetts,Sep 22 2021,798905,11590.9
Massachusetts,Sep 21 2021,796925,11562.2
Massachusetts,Sep 20 2021,795543,11542.1
Massachusetts,Sep 19 2021,794011,11519.9
Massachusetts,Sep 18 2021,792482,11497.7
Massachusetts,Sep 17 2021,790953,11475.6
Massachusetts,Sep 16 2021,788775,11444
Massachusetts,Sep 15 2021,786627,11412.8
Massachusetts,Sep 14 2021,783750,11371.1
Massachusetts,Sep 13 2021,782107,11347.2
Massachusetts,Sep 12 2021,780412,11322.6
Massachusetts,Sep 11 2021,778717,11298
Massachusetts,Sep 10 2021,777022,11273.4
Massachusetts,Sep  9 2021,775149,11246.3
Massachusetts,Sep  8 2021,772742,11211.3
Massachusetts,Sep  7 2021,771267,11189.9
