Data Table for Total Cases - Michigan
Date generated: Sat Nov 20 2021 18:29:04 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Michigan,Nov 19 2021,1408419,14102.7
Michigan,Nov 18 2021,1398662,14005
Michigan,Nov 17 2021,1387938,13897.6
Michigan,Nov 16 2021,1378595,13804.1
Michigan,Nov 15 2021,1370035,13718.4
Michigan,Nov 14 2021,1346868,13486.4
Michigan,Nov 13 2021,1346868,13486.4
Michigan,Nov 12 2021,1346868,13486.4
Michigan,Nov 11 2021,1329089,13308.4
Michigan,Nov 10 2021,1329089,13308.4
Michigan,Nov  9 2021,1325021,13267.6
Michigan,Nov  8 2021,1319724,13214.6
Michigan,Nov  7 2021,1309655,13113.8
Michigan,Nov  6 2021,1309655,13113.8
Michigan,Nov  5 2021,1309655,13113.8
Michigan,Nov  4 2021,1302896,13046.1
Michigan,Nov  3 2021,1297496,12992
Michigan,Nov  2 2021,1290614,12923.1
Michigan,Nov  1 2021,1285518,12872.1
Michigan,Oct 31 2021,1275103,12767.8
Michigan,Oct 30 2021,1275103,12767.8
Michigan,Oct 29 2021,1275103,12767.8
Michigan,Oct 28 2021,1270393,12720.6
Michigan,Oct 27 2021,1265381,12670.5
Michigan,Oct 26 2021,1260058,12617.2
Michigan,Oct 25 2021,1255595,12572.5
Michigan,Oct 24 2021,1247023,12486.6
Michigan,Oct 23 2021,1247023,12486.6
Michigan,Oct 22 2021,1247023,12486.6
Michigan,Oct 21 2021,1242666,12443
Michigan,Oct 20 2021,1237845,12394.7
Michigan,Oct 19 2021,1233905,12355.3
Michigan,Oct 18 2021,1229056,12306.7
Michigan,Oct 17 2021,1225941,12275.5
Michigan,Oct 16 2021,1222828,12244.4
Michigan,Oct 15 2021,1219715,12213.2
Michigan,Oct 14 2021,1214246,12158.4
Michigan,Oct 13 2021,1209726,12113.2
Michigan,Oct 12 2021,1203683,12052.7
Michigan,Oct 11 2021,1198850,12004.3
Michigan,Oct 10 2021,1195574,11971.5
Michigan,Oct  9 2021,1192302,11938.7
Michigan,Oct  8 2021,1189030,11905.9
Michigan,Oct  7 2021,1184114,11856.7
Michigan,Oct  6 2021,1178908,11804.6
Michigan,Oct  5 2021,1173590,11751.3
Michigan,Oct  4 2021,1169238,11707.8
Michigan,Oct  3 2021,1165964,11675
Michigan,Oct  2 2021,1162693,11642.2
Michigan,Oct  1 2021,1159422,11609.5
Michigan,Sep 30 2021,1154648,11561.7
Michigan,Sep 29 2021,1150064,11515.8
Michigan,Sep 28 2021,1145328,11468.4
Michigan,Sep 27 2021,1141370,11428.7
Michigan,Sep 26 2021,1138461,11399.6
Michigan,Sep 25 2021,1135556,11370.5
Michigan,Sep 24 2021,1132651,11341.4
Michigan,Sep 23 2021,1129492,11309.8
Michigan,Sep 22 2021,1125564,11270.5
Michigan,Sep 21 2021,1121357,11228.3
Michigan,Sep 20 2021,1117846,11193.2
Michigan,Sep 19 2021,1115111,11165.8
Michigan,Sep 18 2021,1112377,11138.4
Michigan,Sep 17 2021,1109643,11111
Michigan,Sep 16 2021,1106670,11081.3
Michigan,Sep 15 2021,1102957,11044.1
Michigan,Sep 14 2021,1098520,10999.7
Michigan,Sep 13 2021,1095200,10966.4
Michigan,Sep 12 2021,1092867,10943.1
Michigan,Sep 11 2021,1090534,10919.7
Michigan,Sep 10 2021,1088201,10896.3
Michigan,Sep  9 2021,1084667,10860.9
Michigan,Sep  8 2021,1081179,10826
Michigan,Sep  7 2021,1077871,10792.9
Michigan,Sep  6 2021,1076141,10775.6
Michigan,Sep  5 2021,1074415,10758.3
Michigan,Sep  4 2021,1072689,10741
Michigan,Sep  3 2021,1070963,10723.7
Michigan,Sep  2 2021,1068307,10697.1
Michigan,Sep  1 2021,1065671,10670.7
Michigan,Aug 31 2021,1062664,10640.6
Michigan,Aug 30 2021,1060343,10617.4
Michigan,Aug 29 2021,1058463,10598.6
Michigan,Aug 28 2021,1056586,10579.8
Michigan,Aug 27 2021,1054709,10561
Michigan,Aug 26 2021,1052572,10539.6
Michigan,Aug 25 2021,1050153,10515.4
Michigan,Aug 24 2021,1047265,10486.4
Michigan,Aug 23 2021,1044958,10463.3
Michigan,Aug 22 2021,1043529,10449
Michigan,Aug 21 2021,1042101,10434.7
Michigan,Aug 20 2021,1040673,10420.4
Michigan,Aug 19 2021,1038698,10400.6
Michigan,Aug 18 2021,1035827,10371.9
Michigan,Aug 17 2021,1034363,10357.2
Michigan,Aug 16 2021,1032520,10338.8
Michigan,Aug 15 2021,1031222,10325.8
Michigan,Aug 14 2021,1029926,10312.8
Michigan,Aug 13 2021,1028630,10299.8
Michigan,Aug 12 2021,1026937,10282.9
Michigan,Aug 11 2021,1025003,10263.5
Michigan,Aug 10 2021,1023273,10246.2
Michigan,Aug  9 2021,1021681,10230.3
Michigan,Aug  8 2021,1021587,10229.3
Michigan,Aug  7 2021,1021305,10226.5
Michigan,Aug  6 2021,1020843,10221.9
Michigan,Aug  5 2021,1020141,10214.8
Michigan,Aug  4 2021,1019327,10206.7
Michigan,Aug  3 2021,1018569,10199.1
Michigan,Aug  2 2021,1017675,10190.1
Michigan,Aug  1 2021,1016694,10180.3
Michigan,Jul 31 2021,1016102,10174.4
Michigan,Jul 30 2021,1015474,10168.1
Michigan,Jul 29 2021,1014685,10160.2
Michigan,Jul 28 2021,1013888,10152.2
Michigan,Jul 27 2021,1013033,10143.7
Michigan,Jul 26 2021,1012244,10135.8
Michigan,Jul 25 2021,1011488,10128.2
Michigan,Jul 24 2021,1010971,10123
Michigan,Jul 23 2021,1010463,10117.9
Michigan,Jul 22 2021,1009892,10112.2
Michigan,Jul 21 2021,1009310,10106.4
Michigan,Jul 20 2021,1008723,10100.5
Michigan,Jul 19 2021,1008193,10095.2
Michigan,Jul 18 2021,1007660,10089.9
Michigan,Jul 17 2021,1007343,10086.7
Michigan,Jul 16 2021,1007030,10083.6
Michigan,Jul 15 2021,1006663,10079.9
Michigan,Jul 14 2021,1006327,10076.5
Michigan,Jul 13 2021,1006002,10073.3
Michigan,Jul 12 2021,1005675,10070
Michigan,Jul 11 2021,1005329,10066.5
Michigan,Jul 10 2021,1005121,10064.4
Michigan,Jul  9 2021,1004930,10062.5
Michigan,Jul  8 2021,1004690,10060.1
Michigan,Jul  7 2021,1004466,10057.9
Michigan,Jul  6 2021,1004221,10055.4
Michigan,Jul  5 2021,1003939,10052.6
Michigan,Jul  4 2021,1003712,10050.3
Michigan,Jul  3 2021,1003568,10048.9
Michigan,Jul  2 2021,1003427,10047.5
Michigan,Jul  1 2021,1003216,10045.4
Michigan,Jun 30 2021,1003022,10043.4
Michigan,Jun 29 2021,1002808,10041.3
Michigan,Jun 28 2021,1002611,10039.3
Michigan,Jun 27 2021,1002410,10037.3
Michigan,Jun 26 2021,1002288,10036.1
Michigan,Jun 25 2021,1002181,10035
Michigan,Jun 24 2021,1002041,10033.6
Michigan,Jun 23 2021,1001901,10032.2
Michigan,Jun 22 2021,1001738,10030.6
Michigan,Jun 21 2021,1001591,10029.1
Michigan,Jun 20 2021,1001407,10027.2
Michigan,Jun 19 2021,1001305,10026.2
Michigan,Jun 18 2021,1001174,10024.9
Michigan,Jun 17 2021,1001015,10023.3
Michigan,Jun 16 2021,1000859,10021.8
Michigan,Jun 15 2021,1000675,10019.9
Michigan,Jun 14 2021,1000477,10017.9
Michigan,Jun 13 2021,1000268,10015.8
Michigan,Jun 12 2021,1000137,10014.5
Michigan,Jun 11 2021,999977,10012.9
Michigan,Jun 10 2021,999778,10010.9
Michigan,Jun  9 2021,999577,10008.9
Michigan,Jun  8 2021,999323,10006.4
Michigan,Jun  7 2021,999066,10003.8
Michigan,Jun  6 2021,998767,10000.8
Michigan,Jun  5 2021,998584,9999
Michigan,Jun  4 2021,998347,9996.6
Michigan,Jun  3 2021,998029,9993.4
Michigan,Jun  2 2021,997685,9990
Michigan,Jun  1 2021,997299,9986.1
Michigan,May 31 2021,996763,9980.7
Michigan,May 30 2021,996520,9978.3
Michigan,May 29 2021,996259,9975.7
Michigan,May 28 2021,995930,9972.4
Michigan,May 27 2021,995471,9967.8
Michigan,May 26 2021,994974,9962.8
Michigan,May 25 2021,994375,9956.8
Michigan,May 24 2021,993743,9950.5
Michigan,May 23 2021,992852,9941.6
Michigan,May 22 2021,992343,9936.5
Michigan,May 21 2021,991699,9930
Michigan,May 20 2021,990822,9921.3
Michigan,May 19 2021,989858,9911.6
Michigan,May 18 2021,988738,9900.4
Michigan,May 17 2021,987515,9888.1
Michigan,May 16 2021,986030,9873.3
Michigan,May 15 2021,985129,9864.3
Michigan,May 14 2021,984067,9853.6
Michigan,May 13 2021,982675,9839.7
Michigan,May 12 2021,981206,9825
Michigan,May 11 2021,979556,9808.5
Michigan,May 10 2021,977898,9791.8
Michigan,May  9 2021,975789,9770.7
Michigan,May  8 2021,974489,9757.7
Michigan,May  7 2021,973061,9743.4
Michigan,May  6 2021,971134,9724.1
Michigan,May  5 2021,968953,9702.3
Michigan,May  4 2021,966542,9678.1
Michigan,May  3 2021,964011,9652.8
Michigan,May  2 2021,960942,9622.1
Michigan,May  1 2021,959049,9603.1
Michigan,Apr 30 2021,956837,9581
Michigan,Apr 29 2021,954004,9552.6
Michigan,Apr 28 2021,950868,9521.2
Michigan,Apr 27 2021,947182,9484.3
Michigan,Apr 26 2021,943226,9444.7
Michigan,Apr 25 2021,938478,9397.1
Michigan,Apr 24 2021,935750,9369.8
Michigan,Apr 23 2021,932884,9341.1
Michigan,Apr 22 2021,928950,9301.7
Michigan,Apr 21 2021,924843,9260.6
Michigan,Apr 20 2021,920288,9215
Michigan,Apr 19 2021,915348,9165.5
Michigan,Apr 18 2021,909446,9106.4
Michigan,Apr 17 2021,906069,9072.6
Michigan,Apr 16 2021,902392,9035.8
Michigan,Apr 15 2021,897111,8982.9
Michigan,Apr 14 2021,891313,8924.9
Michigan,Apr 13 2021,884828,8859.9
Michigan,Apr 12 2021,877897,8790.5
Michigan,Apr 11 2021,869782,8709.3
Michigan,Apr 10 2021,865138,8662.8
Michigan,Apr  9 2021,859930,8610.6
Michigan,Apr  8 2021,852921,8540.4
Michigan,Apr  7 2021,845537,8466.5
Michigan,Apr  6 2021,837798,8389
Michigan,Apr  5 2021,829906,8310
Michigan,Apr  4 2021,821541,8226.2
Michigan,Apr  3 2021,816930,8180.1
Michigan,Apr  2 2021,811784,8128.5
Michigan,Apr  1 2021,805607,8066.7
Michigan,Mar 31 2021,798938,7999.9
Michigan,Mar 30 2021,792024,7930.7
Michigan,Mar 29 2021,785211,7862.4
Michigan,Mar 28 2021,777766,7787.9
Michigan,Mar 27 2021,773528,7745.5
Michigan,Mar 26 2021,768951,7699.6
Michigan,Mar 25 2021,763105,7641.1
Michigan,Mar 24 2021,757044,7580.4
Michigan,Mar 23 2021,750930,7519.2
Michigan,Mar 22 2021,745213,7461.9
Michigan,Mar 21 2021,739460,7404.3
Michigan,Mar 20 2021,736091,7370.6
Michigan,Mar 19 2021,732898,7338.6
Michigan,Mar 18 2021,729191,7301.5
Michigan,Mar 17 2021,725720,7266.8
Michigan,Mar 16 2021,722205,7231.6
Michigan,Mar 15 2021,718912,7198.6
Michigan,Mar 14 2021,715465,7164.1
Michigan,Mar 13 2021,713453,7143.9
Michigan,Mar 12 2021,711422,7123.6
Michigan,Mar 11 2021,709077,7100.1
Michigan,Mar 10 2021,706762,7076.9
Michigan,Mar  9 2021,704211,7051.4
Michigan,Mar  8 2021,701989,7029.1
Michigan,Mar  7 2021,699761,7006.8
Michigan,Mar  6 2021,698385,6993
Michigan,Mar  5 2021,696947,6978.6
Michigan,Mar  4 2021,695257,6961.7
Michigan,Mar  3 2021,693656,6945.7
Michigan,Mar  2 2021,691971,6928.8
Michigan,Mar  1 2021,690394,6913
Michigan,Feb 28 2021,688580,6894.9
Michigan,Feb 27 2021,687523,6884.3
Michigan,Feb 26 2021,686502,6874.1
Michigan,Feb 25 2021,685190,6860.9
Michigan,Feb 24 2021,684010,6849.1
Michigan,Feb 23 2021,682707,6836.1
Michigan,Feb 22 2021,681360,6822.6
Michigan,Feb 21 2021,679941,6808.4
Michigan,Feb 20 2021,679032,6799.3
Michigan,Feb 19 2021,678136,6790.3
Michigan,Feb 18 2021,677090,6779.8
Michigan,Feb 17 2021,675908,6768
Michigan,Feb 16 2021,674468,6753.6
Michigan,Feb 15 2021,673310,6742
Michigan,Feb 14 2021,671883,6727.7
Michigan,Feb 13 2021,671056,6719.4
Michigan,Feb 12 2021,670111,6709.9
Michigan,Feb 11 2021,668842,6697.2
Michigan,Feb 10 2021,667512,6683.9
Michigan,Feb  9 2021,665985,6668.6
Michigan,Feb  8 2021,664152,6650.3
Michigan,Feb  7 2021,662403,6632.7
Michigan,Feb  6 2021,661457,6623.3
Michigan,Feb  5 2021,660407,6612.8
Michigan,Feb  4 2021,659196,6600.6
Michigan,Feb  3 2021,657920,6587.9
Michigan,Feb  2 2021,656630,6574.9
Michigan,Feb  1 2021,655301,6561.6
Michigan,Jan 31 2021,653662,6545.2
Michigan,Jan 30 2021,652662,6535.2
Michigan,Jan 29 2021,651502,6523.6
Michigan,Jan 28 2021,650190,6510.5
Michigan,Jan 27 2021,648770,6496.2
Michigan,Jan 26 2021,647078,6479.3
Michigan,Jan 25 2021,645470,6463.2
Michigan,Jan 24 2021,643425,6442.7
Michigan,Jan 23 2021,642230,6430.8
Michigan,Jan 22 2021,640814,6416.6
Michigan,Jan 21 2021,638955,6398
Michigan,Jan 20 2021,637140,6379.8
Michigan,Jan 19 2021,635084,6359.2
Michigan,Jan 18 2021,633020,6338.5
Michigan,Jan 17 2021,630809,6316.4
Michigan,Jan 16 2021,629339,6301.7
Michigan,Jan 15 2021,627792,6286.2
Michigan,Jan 14 2021,625496,6263.2
Michigan,Jan 13 2021,623278,6241
Michigan,Jan 12 2021,621080,6219
Michigan,Jan 11 2021,618799,6196.1
Michigan,Jan 10 2021,616064,6168.7
Michigan,Jan  9 2021,614280,6150.9
Michigan,Jan  8 2021,612293,6131
Michigan,Jan  7 2021,609714,6105.2
Michigan,Jan  6 2021,606972,6077.7
Michigan,Jan  5 2021,604025,6048.2
Michigan,Jan  4 2021,600622,6014.1
Michigan,Jan  3 2021,596641,5974.3
Michigan,Jan  2 2021,594292,5950.7
Michigan,Jan  1 2021,591739,5925.2
Michigan,Dec 31 2020,589728,5905
Michigan,Dec 30 2020,587161,5879.3
Michigan,Dec 29 2020,584027,5848
Michigan,Dec 28 2020,580693,5814.6
Michigan,Dec 27 2020,576755,5775.1
Michigan,Dec 26 2020,574465,5752.2
Michigan,Dec 25 2020,571919,5726.7
Michigan,Dec 24 2020,570566,5713.2
Michigan,Dec 23 2020,568634,5693.8
Michigan,Dec 22 2020,565805,5665.5
Michigan,Dec 21 2020,563086,5638.3
Michigan,Dec 20 2020,559824,5605.6
Michigan,Dec 19 2020,557977,5587.1
Michigan,Dec 18 2020,555870,5566
Michigan,Dec 17 2020,552843,5535.7
Michigan,Dec 16 2020,549913,5506.4
Michigan,Dec 15 2020,546513,5472.3
Michigan,Dec 14 2020,542890,5436
Michigan,Dec 13 2020,538939,5396.5
Michigan,Dec 12 2020,536632,5373.4
Michigan,Dec 11 2020,534021,5347.2
Michigan,Dec 10 2020,530200,5309
Michigan,Dec  9 2020,526372,5270.6
Michigan,Dec  8 2020,521905,5225.9
Michigan,Dec  7 2020,517434,5181.1
Michigan,Dec  6 2020,511894,5125.7
