Data Table for Total Cases - Minnesota
Date generated: Sat Nov 20 2021 18:29:10 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Minnesota,Nov 19 2021,871203,15447.9
Minnesota,Nov 18 2021,866055,15356.6
Minnesota,Nov 17 2021,861235,15271.1
Minnesota,Nov 16 2021,857791,15210.1
Minnesota,Nov 15 2021,846887,15016.7
Minnesota,Nov 14 2021,841625,14923.4
Minnesota,Nov 13 2021,841625,14923.4
Minnesota,Nov 12 2021,841625,14923.4
Minnesota,Nov 11 2021,836787,14837.6
Minnesota,Nov 10 2021,831669,14746.9
Minnesota,Nov  9 2021,826404,14653.5
Minnesota,Nov  8 2021,819239,14526.5
Minnesota,Nov  7 2021,815008,14451.4
Minnesota,Nov  6 2021,815008,14451.4
Minnesota,Nov  5 2021,815008,14451.4
Minnesota,Nov  4 2021,811654,14392
Minnesota,Nov  3 2021,807956,14326.4
Minnesota,Nov  2 2021,805015,14274.2
Minnesota,Nov  1 2021,797984,14149.6
Minnesota,Oct 31 2021,787550,13964.6
Minnesota,Oct 30 2021,787550,13964.6
Minnesota,Oct 29 2021,787550,13964.6
Minnesota,Oct 28 2021,784233,13905.7
Minnesota,Oct 27 2021,781548,13858.1
Minnesota,Oct 26 2021,779749,13826.2
Minnesota,Oct 25 2021,773227,13710.6
Minnesota,Oct 24 2021,770246,13657.7
Minnesota,Oct 23 2021,770246,13657.7
Minnesota,Oct 22 2021,770246,13657.7
Minnesota,Oct 21 2021,768112,13619.9
Minnesota,Oct 20 2021,765761,13578.2
Minnesota,Oct 19 2021,763915,13545.5
Minnesota,Oct 18 2021,758252,13445.1
Minnesota,Oct 17 2021,757301,13428.2
Minnesota,Oct 16 2021,756351,13411.4
Minnesota,Oct 15 2021,755401,13394.5
Minnesota,Oct 14 2021,752060,13335.3
Minnesota,Oct 13 2021,749144,13283.6
Minnesota,Oct 12 2021,746768,13241.4
Minnesota,Oct 11 2021,738843,13100.9
Minnesota,Oct 10 2021,737776,13082
Minnesota,Oct  9 2021,736711,13063.1
Minnesota,Oct  8 2021,735646,13044.2
Minnesota,Oct  7 2021,732001,12979.6
Minnesota,Oct  6 2021,729334,12932.3
Minnesota,Oct  5 2021,725451,12863.4
Minnesota,Oct  4 2021,718327,12737.1
Minnesota,Oct  3 2021,717146,12716.2
Minnesota,Oct  2 2021,715968,12695.3
Minnesota,Oct  1 2021,714790,12674.4
Minnesota,Sep 30 2021,711094,12608.9
Minnesota,Sep 29 2021,708220,12557.9
Minnesota,Sep 28 2021,706158,12521.3
Minnesota,Sep 27 2021,699966,12411.6
Minnesota,Sep 26 2021,699036,12395.1
Minnesota,Sep 25 2021,698109,12378.6
Minnesota,Sep 24 2021,697182,12362.2
Minnesota,Sep 23 2021,694320,12311.4
Minnesota,Sep 22 2021,692029,12270.8
Minnesota,Sep 21 2021,690391,12241.8
Minnesota,Sep 20 2021,684070,12129.7
Minnesota,Sep 19 2021,683249,12115.1
Minnesota,Sep 18 2021,682431,12100.6
Minnesota,Sep 17 2021,681613,12086.1
Minnesota,Sep 16 2021,678978,12039.4
Minnesota,Sep 15 2021,676505,11995.6
Minnesota,Sep 14 2021,673774,11947.1
Minnesota,Sep 13 2021,669176,11865.6
Minnesota,Sep 12 2021,668280,11849.7
Minnesota,Sep 11 2021,667388,11833.9
Minnesota,Sep 10 2021,666496,11818.1
Minnesota,Sep  9 2021,664459,11782
Minnesota,Sep  8 2021,663248,11760.5
Minnesota,Sep  7 2021,657492,11658.4
Minnesota,Sep  6 2021,656972,11649.2
Minnesota,Sep  5 2021,656454,11640
Minnesota,Sep  4 2021,655936,11630.8
Minnesota,Sep  3 2021,655418,11621.6
Minnesota,Sep  2 2021,653288,11583.9
Minnesota,Sep  1 2021,651388,11550.2
Minnesota,Aug 31 2021,649964,11524.9
Minnesota,Aug 30 2021,646094,11456.3
Minnesota,Aug 29 2021,645458,11445
Minnesota,Aug 28 2021,644824,11433.8
