Data Table for Total Cases - Mississippi
Date generated: Sat Nov 20 2021 18:29:15 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Mississippi,Nov 19 2021,510748,17161.4
Mississippi,Nov 18 2021,510322,17147.1
Mississippi,Nov 17 2021,509942,17134.3
Mississippi,Nov 16 2021,509717,17126.7
Mississippi,Nov 15 2021,509275,17111.9
Mississippi,Nov 14 2021,508469,17084.8
Mississippi,Nov 13 2021,508469,17084.8
Mississippi,Nov 12 2021,508469,17084.8
Mississippi,Nov 11 2021,507775,17061.5
Mississippi,Nov 10 2021,507775,17061.5
Mississippi,Nov  9 2021,507476,17051.4
Mississippi,Nov  8 2021,507116,17039.3
Mississippi,Nov  7 2021,506556,17020.5
Mississippi,Nov  6 2021,506556,17020.5
Mississippi,Nov  5 2021,506556,17020.5
Mississippi,Nov  4 2021,506042,17003.2
Mississippi,Nov  3 2021,505661,16990.4
Mississippi,Nov  2 2021,505266,16977.2
Mississippi,Nov  1 2021,504811,16961.9
Mississippi,Oct 31 2021,504318,16945.3
Mississippi,Oct 30 2021,504318,16945.3
Mississippi,Oct 29 2021,504318,16945.3
Mississippi,Oct 28 2021,504009,16934.9
Mississippi,Oct 27 2021,503666,16923.4
Mississippi,Oct 26 2021,503322,16911.9
Mississippi,Oct 25 2021,501652,16855.7
Mississippi,Oct 24 2021,501097,16837.1
Mississippi,Oct 23 2021,501097,16837.1
Mississippi,Oct 22 2021,501097,16837.1
Mississippi,Oct 21 2021,500708,16824
Mississippi,Oct 20 2021,500286,16809.8
Mississippi,Oct 19 2021,500286,16809.8
Mississippi,Oct 18 2021,499838,16794.8
Mississippi,Oct 17 2021,498560,16751.8
Mississippi,Oct 16 2021,498302,16743.2
Mississippi,Oct 15 2021,498046,16734.6
Mississippi,Oct 14 2021,497790,16726
Mississippi,Oct 13 2021,497379,16712.2
Mississippi,Oct 12 2021,496851,16694.4
Mississippi,Oct 11 2021,496132,16670.3
Mississippi,Oct 10 2021,495312,16642.7
Mississippi,Oct  9 2021,494963,16631
Mississippi,Oct  8 2021,494617,16619.4
Mississippi,Oct  7 2021,494271,16607.7
Mississippi,Oct  6 2021,493670,16587.5
Mississippi,Oct  5 2021,492558,16550.2
Mississippi,Oct  4 2021,491724,16522.2
Mississippi,Oct  3 2021,490777,16490.3
Mississippi,Oct  2 2021,490256,16472.8
Mississippi,Oct  1 2021,489736,16455.4
Mississippi,Sep 30 2021,489216,16437.9
Mississippi,Sep 29 2021,488394,16410.3
Mississippi,Sep 28 2021,487293,16373.3
Mississippi,Sep 27 2021,486195,16336.4
Mississippi,Sep 26 2021,484675,16285.3
Mississippi,Sep 25 2021,484084,16265.4
Mississippi,Sep 24 2021,483493,16245.6
Mississippi,Sep 23 2021,482902,16225.7
Mississippi,Sep 22 2021,481397,16175.2
Mississippi,Sep 21 2021,479326,16105.6
Mississippi,Sep 20 2021,477769,16053.3
Mississippi,Sep 19 2021,476100,15997.2
Mississippi,Sep 18 2021,475203,15967
Mississippi,Sep 17 2021,474308,15937
Mississippi,Sep 16 2021,473413,15906.9
Mississippi,Sep 15 2021,471092,15828.9
Mississippi,Sep 14 2021,468498,15741.8
Mississippi,Sep 13 2021,466145,15662.7
Mississippi,Sep 12 2021,464075,15593.1
Mississippi,Sep 11 2021,462820,15551
Mississippi,Sep 10 2021,461566,15508.8
Mississippi,Sep  9 2021,460312,15466.7
Mississippi,Sep  8 2021,458420,15403.1
Mississippi,Sep  7 2021,455282,15297.7
Mississippi,Sep  6 2021,453348,15232.7
Mississippi,Sep  5 2021,452644,15209.1
Mississippi,Sep  4 2021,450715,15144.2
Mississippi,Sep  3 2021,448789,15079.5
Mississippi,Sep  2 2021,446863,15014.8
Mississippi,Sep  1 2021,443511,14902.2
Mississippi,Aug 31 2021,439661,14772.8
Mississippi,Aug 30 2021,436722,14674.1
Mississippi,Aug 29 2021,435611,14636.7
Mississippi,Aug 28 2021,432952,14547.4
Mississippi,Aug 27 2021,430296,14458.1
Mississippi,Aug 26 2021,427640,14368.9
Mississippi,Aug 25 2021,423599,14233.1
Mississippi,Aug 24 2021,420174,14118
Mississippi,Aug 23 2021,416789,14004.3
Mississippi,Aug 22 2021,413498,13893.7
Mississippi,Aug 21 2021,411081,13812.5
Mississippi,Aug 20 2021,408665,13731.3
Mississippi,Aug 19 2021,406249,13650.2
Mississippi,Aug 18 2021,401201,13480.5
Mississippi,Aug 17 2021,396394,13319
Mississippi,Aug 16 2021,392309,13181.8
Mississippi,Aug 15 2021,388986,13070.1
Mississippi,Aug 14 2021,386371,12982.2
Mississippi,Aug 13 2021,383759,12894.5
Mississippi,Aug 12 2021,381147,12806.7
Mississippi,Aug 11 2021,376124,12637.9
Mississippi,Aug 10 2021,371712,12489.7
Mississippi,Aug  9 2021,368549,12383.4
Mississippi,Aug  8 2021,365061,12266.2
Mississippi,Aug  7 2021,362755,12188.7
Mississippi,Aug  6 2021,360452,12111.4
Mississippi,Aug  5 2021,358149,12034
Mississippi,Aug  4 2021,356055,11963.6
Mississippi,Aug  3 2021,352891,11857.3
Mississippi,Aug  2 2021,350070,11762.5
Mississippi,Aug  1 2021,348496,11709.6
Mississippi,Jul 31 2021,346831,11653.7
Mississippi,Jul 30 2021,345168,11597.8
Mississippi,Jul 29 2021,343505,11541.9
Mississippi,Jul 28 2021,341862,11486.7
Mississippi,Jul 27 2021,339954,11422.6
Mississippi,Jul 26 2021,338079,11359.6
Mississippi,Jul 25 2021,336788,11316.2
Mississippi,Jul 24 2021,335584,11275.8
Mississippi,Jul 23 2021,334382,11235.4
Mississippi,Jul 22 2021,333180,11195
Mississippi,Jul 21 2021,331863,11150.8
Mississippi,Jul 20 2021,330664,11110.5
Mississippi,Jul 19 2021,329703,11078.2
Mississippi,Jul 18 2021,328976,11053.7
Mississippi,Jul 17 2021,328252,11029.4
Mississippi,Jul 16 2021,327528,11005.1
Mississippi,Jul 15 2021,326804,10980.8
Mississippi,Jul 14 2021,326270,10962.8
Mississippi,Jul 13 2021,325713,10944.1
Mississippi,Jul 12 2021,325072,10922.6
Mississippi,Jul 11 2021,324816,10914
Mississippi,Jul 10 2021,324563,10905.5
Mississippi,Jul  9 2021,324310,10897
Mississippi,Jul  8 2021,324057,10888.5
Mississippi,Jul  7 2021,323641,10874.5
Mississippi,Jul  6 2021,323162,10858.4
Mississippi,Jul  5 2021,323003,10853.1
Mississippi,Jul  4 2021,322886,10849.1
Mississippi,Jul  3 2021,322777,10845.5
Mississippi,Jul  2 2021,322654,10841.3
Mississippi,Jul  1 2021,322496,10836
Mississippi,Jun 30 2021,322299,10829.4
Mississippi,Jun 29 2021,322114,10823.2
Mississippi,Jun 28 2021,321970,10818.3
Mississippi,Jun 27 2021,321734,10810.4
Mississippi,Jun 26 2021,321559,10804.5
Mississippi,Jun 25 2021,321475,10801.7
Mississippi,Jun 24 2021,321309,10796.1
Mississippi,Jun 23 2021,321122,10789.8
Mississippi,Jun 22 2021,320923,10783.2
Mississippi,Jun 21 2021,320739,10777
Mississippi,Jun 20 2021,320577,10771.5
Mississippi,Jun 19 2021,320486,10768.5
Mississippi,Jun 18 2021,320389,10765.2
Mississippi,Jun 17 2021,320287,10761.8
Mississippi,Jun 16 2021,320172,10757.9
Mississippi,Jun 15 2021,319983,10751.6
Mississippi,Jun 14 2021,319841,10746.8
Mississippi,Jun 13 2021,319695,10741.9
Mississippi,Jun 12 2021,319616,10739.2
Mississippi,Jun 11 2021,319527,10736.3
Mississippi,Jun 10 2021,319400,10732
Mississippi,Jun  9 2021,319280,10728
Mississippi,Jun  8 2021,319119,10722.5
Mississippi,Jun  7 2021,319015,10719.1
Mississippi,Jun  6 2021,318895,10715
Mississippi,Jun  5 2021,318804,10712
Mississippi,Jun  4 2021,318715,10709
Mississippi,Jun  3 2021,318602,10705.2
Mississippi,Jun  2 2021,318447,10700
Mississippi,Jun  1 2021,318311,10695.4
Mississippi,May 31 2021,318110,10688.6
Mississippi,May 30 2021,318043,10686.4
Mississippi,May 29 2021,317955,10683.4
Mississippi,May 28 2021,317873,10680.7
Mississippi,May 27 2021,317718,10675.5
Mississippi,May 26 2021,317590,10671.2
Mississippi,May 25 2021,317434,10665.9
Mississippi,May 24 2021,317254,10659.9
Mississippi,May 23 2021,317051,10653.1
Mississippi,May 22 2021,316963,10650.1
Mississippi,May 21 2021,316821,10645.3
Mississippi,May 20 2021,316688,10640.9
Mississippi,May 19 2021,316525,10635.4
Mississippi,May 18 2021,316318,10628.4
Mississippi,May 17 2021,316131,10622.1
