Data Table for Total Cases - Missouri
Date generated: Sat Nov 20 2021 18:29:20 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Missouri,Nov 19 2021,892349,14539.5
Missouri,Nov 18 2021,890436,14508.3
Missouri,Nov 17 2021,878014,14305.9
Missouri,Nov 16 2021,875947,14272.2
Missouri,Nov 15 2021,874226,14244.2
Missouri,Nov 14 2021,872736,14219.9
Missouri,Nov 13 2021,871996,14207.8
Missouri,Nov 12 2021,871032,14192.1
Missouri,Nov 11 2021,869288,14163.7
Missouri,Nov 10 2021,866018,14110.4
Missouri,Nov  9 2021,866018,14110.4
Missouri,Nov  8 2021,864357,14083.4
Missouri,Nov  7 2021,863024,14061.7
Missouri,Nov  6 2021,862358,14050.8
Missouri,Nov  5 2021,861591,14038.3
Missouri,Nov  4 2021,860112,14014.2
Missouri,Nov  3 2021,858900,13994.5
Missouri,Nov  2 2021,857719,13975.2
Missouri,Nov  1 2021,856382,13953.4
Missouri,Oct 31 2021,855261,13935.2
Missouri,Oct 30 2021,854757,13927
Missouri,Oct 29 2021,854073,13915.8
Missouri,Oct 28 2021,852952,13897.5
Missouri,Oct 27 2021,851860,13879.8
Missouri,Oct 26 2021,849393,13839.6
Missouri,Oct 25 2021,849393,13839.6
Missouri,Oct 24 2021,848416,13823.6
Missouri,Oct 23 2021,847298,13805.4
Missouri,Oct 22 2021,847298,13805.4
Missouri,Oct 21 2021,846111,13786.1
Missouri,Oct 20 2021,844969,13767.5
Missouri,Oct 19 2021,843791,13748.3
Missouri,Oct 18 2021,842590,13728.7
Missouri,Oct 17 2021,841607,13712.7
Missouri,Oct 16 2021,841196,13706
Missouri,Oct 15 2021,840479,13694.3
Missouri,Oct 14 2021,839418,13677
Missouri,Oct 13 2021,837949,13653.1
Missouri,Oct 12 2021,836490,13629.3
Missouri,Oct 11 2021,835160,13607.7
Missouri,Oct 10 2021,834172,13591.6
Missouri,Oct  9 2021,833442,13579.7
Missouri,Oct  8 2021,832672,13567.1
Missouri,Oct  7 2021,831384,13546.1
Missouri,Oct  6 2021,829789,13520.1
Missouri,Oct  5 2021,828231,13494.8
Missouri,Oct  4 2021,826299,13463.3
Missouri,Oct  3 2021,825118,13444
Missouri,Oct  2 2021,824356,13431.6
Missouri,Oct  1 2021,823346,13415.2
Missouri,Sep 30 2021,821622,13387.1
Missouri,Sep 29 2021,819733,13356.3
Missouri,Sep 28 2021,817874,13326
Missouri,Sep 27 2021,815734,13291.1
Missouri,Sep 26 2021,814180,13265.8
Missouri,Sep 25 2021,813321,13251.8
Missouri,Sep 24 2021,812211,13233.7
Missouri,Sep 23 2021,809979,13197.4
Missouri,Sep 22 2021,807992,13165
Missouri,Sep 21 2021,805879,13130.6
Missouri,Sep 20 2021,803750,13095.9
Missouri,Sep 19 2021,801753,13063.3
Missouri,Sep 18 2021,800749,13047
Missouri,Sep 17 2021,799330,13023.9
Missouri,Sep 16 2021,796997,12985.8
Missouri,Sep 15 2021,794471,12944.7
Missouri,Sep 14 2021,791832,12901.7
Missouri,Sep 13 2021,789089,12857
Missouri,Sep 12 2021,786946,12822.1
Missouri,Sep 11 2021,785659,12801.1
Missouri,Sep 10 2021,783886,12772.2
Missouri,Sep  9 2021,781125,12727.2
Missouri,Sep  8 2021,777836,12673.6
Missouri,Sep  7 2021,775406,12634.1
Missouri,Sep  6 2021,772896,12593.2
Missouri,Sep  5 2021,771811,12575.5
Missouri,Sep  4 2021,770528,12554.6
Missouri,Sep  3 2021,769021,12530
Missouri,Sep  2 2021,766500,12488.9
Missouri,Sep  1 2021,763674,12442.9
Missouri,Aug 31 2021,760563,12392.2
Missouri,Aug 30 2021,757665,12345
Missouri,Aug 29 2021,754340,12290.8
Missouri,Aug 28 2021,754054,12286.2
Missouri,Aug 27 2021,752773,12265.3
Missouri,Aug 26 2021,750180,12223
Missouri,Aug 25 2021,747436,12178.3
Missouri,Aug 24 2021,744504,12130.6
Missouri,Aug 23 2021,741788,12086.3
Missouri,Aug 22 2021,739469,12048.5
Missouri,Aug 21 2021,738025,12025
Missouri,Aug 20 2021,736192,11995.1
Missouri,Aug 19 2021,733759,11955.5
Missouri,Aug 18 2021,730985,11910.3
Missouri,Aug 17 2021,727564,11854.5
Missouri,Aug 16 2021,724496,11804.6
Missouri,Aug 15 2021,722399,11770.4
Missouri,Aug 14 2021,721025,11748
Missouri,Aug 13 2021,719278,11719.5
Missouri,Aug 12 2021,716195,11669.3
Missouri,Aug 11 2021,713113,11619.1
Missouri,Aug 10 2021,709533,11560.8
Missouri,Aug  9 2021,705320,11492.1
Missouri,Aug  8 2021,702924,11453.1
Missouri,Aug  7 2021,701602,11431.5
Missouri,Aug  6 2021,699834,11402.7
Missouri,Aug  5 2021,697069,11357.7
Missouri,Aug  4 2021,693812,11304.6
Missouri,Aug  3 2021,689866,11240.3
Missouri,Aug  2 2021,685378,11167.2
Missouri,Aug  1 2021,682738,11124.2
Missouri,Jul 31 2021,681518,11104.3
Missouri,Jul 30 2021,679581,11072.7
