Data Table for Total Cases - Montana
Date generated: Sat Nov 20 2021 18:29:25 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Montana,Nov 19 2021,188013,17591.4
Montana,Nov 18 2021,187530,17546.2
Montana,Nov 17 2021,186802,17478.1
Montana,Nov 16 2021,186207,17422.4
Montana,Nov 15 2021,185176,17326
Montana,Nov 14 2021,184394,17252.8
Montana,Nov 13 2021,184394,17252.8
Montana,Nov 12 2021,184394,17252.8
Montana,Nov 11 2021,183213,17142.3
Montana,Nov 10 2021,183213,17142.3
Montana,Nov  9 2021,182468,17072.6
Montana,Nov  8 2021,181350,16968
Montana,Nov  7 2021,180452,16884
Montana,Nov  6 2021,180452,16884
Montana,Nov  5 2021,180452,16884
Montana,Nov  4 2021,179770,16820.1
Montana,Nov  3 2021,178980,16746.2
Montana,Nov  2 2021,178114,16665.2
Montana,Nov  1 2021,176976,16558.7
Montana,Oct 31 2021,175847,16453.1
Montana,Oct 30 2021,175847,16453.1
Montana,Oct 29 2021,175847,16453.1
Montana,Oct 28 2021,175070,16380.4
Montana,Oct 27 2021,174087,16288.4
Montana,Oct 26 2021,173104,16196.4
Montana,Oct 25 2021,171981,16091.4
Montana,Oct 24 2021,170567,15959.1
Montana,Oct 23 2021,170567,15959.1
Montana,Oct 22 2021,170567,15959.1
Montana,Oct 21 2021,169489,15858.2
Montana,Oct 20 2021,168513,15766.9
Montana,Oct 19 2021,167268,15650.4
Montana,Oct 18 2021,165941,15526.2
Montana,Oct 17 2021,165515,15486.4
Montana,Oct 16 2021,165092,15446.8
Montana,Oct 15 2021,164669,15407.2
Montana,Oct 14 2021,163527,15300.4
Montana,Oct 13 2021,162240,15180
Montana,Oct 12 2021,160896,15054.2
Montana,Oct 11 2021,160342,15002.4
Montana,Oct 10 2021,159788,14950.5
Montana,Oct  9 2021,159234,14898.7
Montana,Oct  8 2021,158680,14846.9
Montana,Oct  7 2021,157372,14724.5
Montana,Oct  6 2021,156079,14603.5
Montana,Oct  5 2021,154739,14478.1
Montana,Oct  4 2021,153479,14360.2
Montana,Oct  3 2021,152985,14314
Montana,Oct  2 2021,152495,14268.2
Montana,Oct  1 2021,152005,14222.3
Montana,Sep 30 2021,151033,14131.4
Montana,Sep 29 2021,149824,14018.3
Montana,Sep 28 2021,148490,13893.4
Montana,Sep 27 2021,147287,13780.9
Montana,Sep 26 2021,146869,13741.8
Montana,Sep 25 2021,146452,13702.8
Montana,Sep 24 2021,146035,13663.7
Montana,Sep 23 2021,145000,13566.9
Montana,Sep 22 2021,143826,13457.1
Montana,Sep 21 2021,142513,13334.2
Montana,Sep 20 2021,141339,13224.4
Montana,Sep 19 2021,140796,13173.5
Montana,Sep 18 2021,140254,13122.8
Montana,Sep 17 2021,139712,13072.1
Montana,Sep 16 2021,138493,12958.1
Montana,Sep 15 2021,137389,12854.8
Montana,Sep 14 2021,136175,12741.2
Montana,Sep 13 2021,134935,12625.2
Montana,Sep 12 2021,134527,12587
Montana,Sep 11 2021,134121,12549
Montana,Sep 10 2021,133715,12511
Montana,Sep  9 2021,132750,12420.7
Montana,Sep  8 2021,131752,12327.3
Montana,Sep  7 2021,130705,12229.4
Montana,Sep  6 2021,130399,12200.8
Montana,Sep  5 2021,130095,12172.3
Montana,Sep  4 2021,129791,12143.9
Montana,Sep  3 2021,129487,12115.4
Montana,Sep  2 2021,128835,12054.4
Montana,Sep  1 2021,128098,11985.5
Montana,Aug 31 2021,127227,11904
Montana,Aug 30 2021,126338,11820.8
Montana,Aug 29 2021,126096,11798.1
Montana,Aug 28 2021,125856,11775.7
Montana,Aug 27 2021,125616,11753.2
Montana,Aug 26 2021,124910,11687.2
Montana,Aug 25 2021,124278,11628
Montana,Aug 24 2021,123674,11571.5
Montana,Aug 23 2021,122964,11505.1
Montana,Aug 22 2021,122748,11484.9
Montana,Aug 21 2021,122533,11464.8
Montana,Aug 20 2021,122318,11444.7
Montana,Aug 19 2021,121849,11400.8
Montana,Aug 18 2021,121382,11357.1
Montana,Aug 17 2021,120946,11316.3
Montana,Aug 16 2021,120325,11258.2
Montana,Aug 15 2021,120170,11243.7
Montana,Aug 14 2021,120017,11229.4
Montana,Aug 13 2021,119864,11215.1
Montana,Aug 12 2021,119519,11182.8
Montana,Aug 11 2021,119123,11145.7
Montana,Aug 10 2021,118754,11111.2
Montana,Aug  9 2021,118270,11065.9
Montana,Aug  8 2021,118140,11053.7
Montana,Aug  7 2021,118011,11041.7
Montana,Aug  6 2021,117882,11029.6
Montana,Aug  5 2021,117610,11004.2
Montana,Aug  4 2021,117328,10977.8
Montana,Aug  3 2021,117033,10950.2
Montana,Aug  2 2021,116634,10912.8
Montana,Aug  1 2021,116542,10904.2
Montana,Jul 31 2021,116454,10896
Montana,Jul 30 2021,116366,10887.8
Montana,Jul 29 2021,116143,10866.9
Montana,Jul 28 2021,115904,10844.5
Montana,Jul 27 2021,115665,10822.2
Montana,Jul 26 2021,115406,10797.9
Montana,Jul 25 2021,115355,10793.2
Montana,Jul 24 2021,115305,10788.5
Montana,Jul 23 2021,115255,10783.8
Montana,Jul 22 2021,115143,10773.3
Montana,Jul 21 2021,115002,10760.1
Montana,Jul 20 2021,114899,10750.5
Montana,Jul 19 2021,114742,10735.8
Montana,Jul 18 2021,114715,10733.3
Montana,Jul 17 2021,114689,10730.9
Montana,Jul 16 2021,114663,10728.4
Montana,Jul 15 2021,114576,10720.3
Montana,Jul 14 2021,114508,10713.9
Montana,Jul 13 2021,114415,10705.2
Montana,Jul 12 2021,114325,10696.8
Montana,Jul 11 2021,114296,10694.1
Montana,Jul 10 2021,114268,10691.5
Montana,Jul  9 2021,114240,10688.8
Montana,Jul  8 2021,114189,10684.1
Montana,Jul  7 2021,114102,10675.9
Montana,Jul  6 2021,113951,10661.8
Montana,Jul  5 2021,113927,10659.6
Montana,Jul  4 2021,113909,10657.9
Montana,Jul  3 2021,113891,10656.2
Montana,Jul  2 2021,113873,10654.5
Montana,Jul  1 2021,113821,10649.6
Montana,Jun 30 2021,113755,10643.5
Montana,Jun 29 2021,113690,10637.4
Montana,Jun 28 2021,113577,10626.8
Montana,Jun 27 2021,113559,10625.1
Montana,Jun 26 2021,113544,10623.7
Montana,Jun 25 2021,113529,10622.3
Montana,Jun 24 2021,113471,10616.9
Montana,Jun 23 2021,113403,10610.5
Montana,Jun 22 2021,113341,10604.7
Montana,Jun 21 2021,113225,10593.9
Montana,Jun 20 2021,113203,10591.8
Montana,Jun 19 2021,113185,10590.1
Montana,Jun 18 2021,113167,10588.4
Montana,Jun 17 2021,113092,10581.4
Montana,Jun 16 2021,113021,10574.8
Montana,Jun 15 2021,112949,10568.1
Montana,Jun 14 2021,112850,10558.8
Montana,Jun 13 2021,112819,10555.9
Montana,Jun 12 2021,112790,10553.2
Montana,Jun 11 2021,112761,10550.5
Montana,Jun 10 2021,112690,10543.8
Montana,Jun  9 2021,112591,10534.6
Montana,Jun  8 2021,112518,10527.7
Montana,Jun  7 2021,112381,10514.9
Montana,Jun  6 2021,112338,10510.9
Montana,Jun  5 2021,112299,10507.2
Montana,Jun  4 2021,112260,10503.6
Montana,Jun  3 2021,112129,10491.3
Montana,Jun  2 2021,112002,10479.4
Montana,Jun  1 2021,111844,10464.7
Montana,May 31 2021,111829,10463.3
Montana,May 30 2021,111809,10461.4
Montana,May 29 2021,111785,10459.1
Montana,May 28 2021,111718,10452.9
Montana,May 27 2021,111623,10444
Montana,May 26 2021,111454,10428.2
Montana,May 25 2021,111377,10421
Montana,May 24 2021,111224,10406.7
Montana,May 23 2021,111203,10404.7
Montana,May 22 2021,111168,10401.4
Montana,May 21 2021,111161,10400.8
Montana,May 20 2021,111025,10388
Montana,May 19 2021,110992,10384.9
Montana,May 18 2021,110861,10372.7
Montana,May 17 2021,110723,10359.8
Montana,May 16 2021,110685,10356.2
Montana,May 15 2021,110644,10352.4
Montana,May 14 2021,110560,10344.5
Montana,May 13 2021,110429,10332.3
Montana,May 12 2021,110317,10321.8
Montana,May 11 2021,110107,10302.1
Montana,May 10 2021,109935,10286
Montana,May  9 2021,109924,10285
Montana,May  8 2021,109889,10281.7
Montana,May  7 2021,109737,10267.5
Montana,May  6 2021,109588,10253.6
Montana,May  5 2021,109455,10241.1
Montana,May  4 2021,109315,10228
Montana,May  3 2021,109092,10207.2
Montana,May  2 2021,109030,10201.4
Montana,May  1 2021,108985,10197.2
Montana,Apr 30 2021,108817,10181.4
Montana,Apr 29 2021,108663,10167
Montana,Apr 28 2021,108489,10150.8
Montana,Apr 27 2021,108287,10131.9
Montana,Apr 26 2021,108111,10115.4
Montana,Apr 25 2021,108097,10114.1
Montana,Apr 24 2021,108048,10109.5
Montana,Apr 23 2021,107873,10093.1
Montana,Apr 22 2021,107718,10078.6
Montana,Apr 21 2021,107537,10061.7
Montana,Apr 20 2021,107379,10046.9
Montana,Apr 19 2021,107202,10030.3
Montana,Apr 18 2021,107145,10025
Montana,Apr 17 2021,107089,10019.8
Montana,Apr 16 2021,106941,10005.9
Montana,Apr 15 2021,106823,9994.9
Montana,Apr 14 2021,106631,9976.9
Montana,Apr 13 2021,106426,9957.7
Montana,Apr 12 2021,106253,9941.5
Montana,Apr 11 2021,106183,9935
Montana,Apr 10 2021,106142,9931.2
Montana,Apr  9 2021,105974,9915.4
Montana,Apr  8 2021,105750,9894.5
Montana,Apr  7 2021,105526,9873.5
Montana,Apr  6 2021,105333,9855.5
Montana,Apr  5 2021,105142,9837.6
Montana,Apr  4 2021,105142,9837.6
Montana,Apr  3 2021,105037,9827.8
Montana,Apr  2 2021,104853,9810.5
Montana,Apr  1 2021,104725,9798.6
Montana,Mar 31 2021,104552,9782.4
Montana,Mar 30 2021,104321,9760.8
Montana,Mar 29 2021,104163,9746
Montana,Mar 28 2021,104128,9742.7
Montana,Mar 27 2021,104097,9739.8
Montana,Mar 26 2021,103980,9728.9
Montana,Mar 25 2021,103830,9714.8
Montana,Mar 24 2021,103666,9699.5
Montana,Mar 23 2021,103452,9679.5
Montana,Mar 22 2021,103098,9646.3
Montana,Mar 21 2021,103060,9642.8
Montana,Mar 20 2021,102966,9634
Montana,Mar 19 2021,102768,9615.5
Montana,Mar 18 2021,102616,9601.2
Montana,Mar 17 2021,102484,9588.9
Montana,Mar 16 2021,102344,9575.8
Montana,Mar 15 2021,101933,9537.3
Montana,Mar 14 2021,101760,9521.2
Montana,Mar 13 2021,101726,9518
Montana,Mar 12 2021,101556,9502.1
Montana,Mar 11 2021,101424,9489.7
Montana,Mar 10 2021,101243,9472.8
Montana,Mar  9 2021,101093,9458.7
Montana,Mar  8 2021,100959,9446.2
Montana,Mar  7 2021,100914,9442
Montana,Mar  6 2021,100842,9435.3
Montana,Mar  5 2021,100656,9417.9
Montana,Mar  4 2021,100531,9406.2
Montana,Mar  3 2021,100351,9389.3
Montana,Mar  2 2021,100158,9371.3
Montana,Mar  1 2021,100003,9356.8
Montana,Feb 28 2021,99954,9352.2
Montana,Feb 27 2021,99837,9341.2
Montana,Feb 26 2021,99613,9320.3
Montana,Feb 25 2021,99445,9304.6
Montana,Feb 24 2021,99242,9285.6
Montana,Feb 23 2021,99040,9266.7
Montana,Feb 22 2021,98810,9245.1
Montana,Feb 21 2021,98779,9242.2
Montana,Feb 20 2021,98641,9229.3
Montana,Feb 19 2021,98377,9204.6
Montana,Feb 18 2021,98100,9178.7
Montana,Feb 17 2021,97900,9160
Montana,Feb 16 2021,97666,9138.1
Montana,Feb 15 2021,97539,9126.2
Montana,Feb 14 2021,97401,9113.3
Montana,Feb 13 2021,97297,9103.6
Montana,Feb 12 2021,97063,9081.7
Montana,Feb 11 2021,96842,9061
Montana,Feb 10 2021,96595,9037.9
Montana,Feb  9 2021,96288,9009.2
Montana,Feb  8 2021,95914,8974.2
Montana,Feb  7 2021,95790,8962.6
Montana,Feb  6 2021,95717,8955.7
Montana,Feb  5 2021,95458,8931.5
Montana,Feb  4 2021,95111,8899
Montana,Feb  3 2021,94810,8870.9
Montana,Feb  2 2021,94384,8831
Montana,Feb  1 2021,94070,8801.6
Montana,Jan 31 2021,93949,8790.3
Montana,Jan 30 2021,93762,8772.8
Montana,Jan 29 2021,93246,8724.5
Montana,Jan 28 2021,92934,8695.4
Montana,Jan 27 2021,92531,8657.6
Montana,Jan 26 2021,92160,8622.9
Montana,Jan 25 2021,91816,8590.7
Montana,Jan 24 2021,91652,8575.4
Montana,Jan 23 2021,91410,8552.8
Montana,Jan 22 2021,91049,8519
Montana,Jan 21 2021,90649,8481.6
Montana,Jan 20 2021,90255,8444.7
Montana,Jan 19 2021,89864,8408.1
Montana,Jan 18 2021,89576,8381.2
Montana,Jan 17 2021,89393,8364
Montana,Jan 16 2021,89056,8332.5
Montana,Jan 15 2021,88635,8293.1
Montana,Jan 14 2021,88110,8244
Montana,Jan 13 2021,87653,8201.2
Montana,Jan 12 2021,87077,8147.3
Montana,Jan 11 2021,86653,8107.7
Montana,Jan 10 2021,86324,8076.9
Montana,Jan  9 2021,86102,8056.1
Montana,Jan  8 2021,85568,8006.2
Montana,Jan  7 2021,84750,7929.6
Montana,Jan  6 2021,84060,7865.1
Montana,Jan  5 2021,83378,7801.2
Montana,Jan  4 2021,82664,7734.4
Montana,Jan  3 2021,82381,7708
Montana,Jan  2 2021,81944,7667.1
Montana,Jan  1 2021,81555,7630.7
Montana,Dec 31 2020,81555,7630.7
Montana,Dec 30 2020,81300,7606.8
Montana,Dec 29 2020,80426,7525
Montana,Dec 28 2020,79999,7485.1
Montana,Dec 27 2020,79780,7464.6
Montana,Dec 26 2020,79433,7432.1
Montana,Dec 25 2020,78929,7385
Montana,Dec 24 2020,78929,7385
Montana,Dec 23 2020,78522,7346.9
Montana,Dec 22 2020,77947,7293.1
Montana,Dec 21 2020,77324,7234.8
Montana,Dec 20 2020,77170,7220.4
Montana,Dec 19 2020,76619,7168.8
Montana,Dec 18 2020,75992,7110.2
Montana,Dec 17 2020,75483,7062.6
Montana,Dec 16 2020,74644,6984.1
Montana,Dec 15 2020,74040,6927.5
Montana,Dec 14 2020,73303,6858.6
Montana,Dec 13 2020,73303,6858.6
Montana,Dec 12 2020,72644,6796.9
Montana,Dec 11 2020,71870,6724.5
Montana,Dec 10 2020,70892,6633
Montana,Dec  9 2020,70133,6562
Montana,Dec  8 2020,69346,6488.3
Montana,Dec  7 2020,68591,6417.7
Montana,Dec  6 2020,67875,6350.7
Montana,Dec  5 2020,67069,6275.3
Montana,Dec  4 2020,66436,6216.1
