Data Table for Total Cases - Nebraska
Date generated: Sat Nov 20 2021 18:29:31 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Nebraska,Nov 19 2021,302567,15641.3
Nebraska,Nov 18 2021,301436,15582.9
Nebraska,Nov 17 2021,300348,15526.6
Nebraska,Nov 16 2021,299149,15464.6
Nebraska,Nov 15 2021,298082,15409.5
Nebraska,Nov 14 2021,296106,15307.3
Nebraska,Nov 13 2021,296106,15307.3
Nebraska,Nov 12 2021,296106,15307.3
Nebraska,Nov 11 2021,295244,15262.8
Nebraska,Nov 10 2021,294247,15211.2
Nebraska,Nov  9 2021,292990,15146.2
Nebraska,Nov  8 2021,292032,15096.7
Nebraska,Nov  7 2021,289282,14954.5
Nebraska,Nov  6 2021,289282,14954.5
Nebraska,Nov  5 2021,289282,14954.5
Nebraska,Nov  4 2021,289282,14954.5
Nebraska,Nov  3 2021,288257,14901.6
Nebraska,Nov  2 2021,287345,14854.4
Nebraska,Nov  1 2021,286373,14804.2
Nebraska,Oct 31 2021,284766,14721.1
Nebraska,Oct 30 2021,284766,14721.1
Nebraska,Oct 29 2021,284766,14721.1
Nebraska,Oct 28 2021,283153,14637.7
Nebraska,Oct 27 2021,283153,14637.7
Nebraska,Oct 26 2021,282287,14592.9
Nebraska,Oct 25 2021,281689,14562
Nebraska,Oct 24 2021,279450,14446.3
Nebraska,Oct 23 2021,279450,14446.3
Nebraska,Oct 22 2021,279450,14446.3
Nebraska,Oct 21 2021,279450,14446.3
Nebraska,Oct 20 2021,278976,14421.8
Nebraska,Oct 19 2021,278174,14380.3
Nebraska,Oct 18 2021,276814,14310
Nebraska,Oct 17 2021,276659,14302
Nebraska,Oct 16 2021,276507,14294.1
Nebraska,Oct 15 2021,276355,14286.3
Nebraska,Oct 14 2021,275694,14252.1
Nebraska,Oct 13 2021,274993,14215.9
Nebraska,Oct 12 2021,274254,14177.7
Nebraska,Oct 11 2021,273416,14134.4
Nebraska,Oct 10 2021,273067,14116.3
Nebraska,Oct  9 2021,272721,14098.4
Nebraska,Oct  8 2021,272375,14080.5
Nebraska,Oct  7 2021,271550,14037.9
Nebraska,Oct  6 2021,270724,13995.2
Nebraska,Oct  5 2021,269862,13950.6
Nebraska,Oct  4 2021,269019,13907
Nebraska,Oct  3 2021,268625,13886.7
Nebraska,Oct  2 2021,268233,13866.4
Nebraska,Oct  1 2021,267841,13846.1
Nebraska,Sep 30 2021,267079,13806.8
Nebraska,Sep 29 2021,266449,13774.2
Nebraska,Sep 28 2021,265516,13726
Nebraska,Sep 27 2021,264840,13691
Nebraska,Sep 26 2021,264248,13660.4
Nebraska,Sep 25 2021,263657,13629.9
Nebraska,Sep 24 2021,263066,13599.3
Nebraska,Sep 23 2021,262475,13568.8
Nebraska,Sep 22 2021,261763,13531.9
Nebraska,Sep 21 2021,261080,13496.6
Nebraska,Sep 20 2021,260199,13451.1
Nebraska,Sep 19 2021,259596,13419.9
Nebraska,Sep 18 2021,258993,13388.7
Nebraska,Sep 17 2021,258390,13357.6
Nebraska,Sep 16 2021,257787,13326.4
Nebraska,Sep 15 2021,256906,13280.9
Nebraska,Sep 14 2021,255611,13213.9
Nebraska,Sep 13 2021,254976,13181.1
Nebraska,Sep 12 2021,254344,13148.4
Nebraska,Sep 11 2021,253712,13115.7
Nebraska,Sep 10 2021,253080,13083.1
Nebraska,Sep  9 2021,252159,13035.5
Nebraska,Sep  8 2021,251219,12986.9
Nebraska,Sep  7 2021,250264,12937.5
Nebraska,Sep  6 2021,249108,12877.7
Nebraska,Sep  5 2021,248661,12854.6
Nebraska,Sep  4 2021,248214,12831.5
Nebraska,Sep  3 2021,247767,12808.4
Nebraska,Sep  2 2021,247320,12785.3
Nebraska,Sep  1 2021,246202,12727.5
Nebraska,Aug 31 2021,245065,12668.7
Nebraska,Aug 30 2021,244175,12622.7
Nebraska,Aug 29 2021,243056,12564.9
Nebraska,Aug 28 2021,242818,12552.6
Nebraska,Aug 27 2021,242438,12532.9
Nebraska,Aug 26 2021,241614,12490.3
Nebraska,Aug 25 2021,240759,12446.1
Nebraska,Aug 24 2021,239997,12406.7
Nebraska,Aug 23 2021,239064,12358.5
Nebraska,Aug 22 2021,238268,12317.4
Nebraska,Aug 21 2021,237990,12303
Nebraska,Aug 20 2021,237702,12288.1
Nebraska,Aug 19 2021,236749,12238.8
Nebraska,Aug 18 2021,236325,12216.9
Nebraska,Aug 17 2021,235679,12183.5
Nebraska,Aug 16 2021,235067,12151.9
Nebraska,Aug 15 2021,234398,12117.3
Nebraska,Aug 14 2021,234223,12108.3
Nebraska,Aug 13 2021,234020,12097.8
Nebraska,Aug 12 2021,233414,12066.4
Nebraska,Aug 11 2021,232927,12041.3
Nebraska,Aug 10 2021,232425,12015.3
Nebraska,Aug  9 2021,231936,11990
Nebraska,Aug  8 2021,231396,11962.1
Nebraska,Aug  7 2021,231248,11954.5
Nebraska,Aug  6 2021,231097,11946.7
Nebraska,Aug  5 2021,230658,11924
Nebraska,Aug  4 2021,230277,11904.3
Nebraska,Aug  3 2021,229864,11882.9
Nebraska,Aug  2 2021,229471,11862.6
Nebraska,Aug  1 2021,229030,11839.8
Nebraska,Jul 31 2021,228894,11832.8
Nebraska,Jul 30 2021,228800,11827.9
Nebraska,Jul 29 2021,228489,11811.8
Nebraska,Jul 28 2021,228138,11793.7
Nebraska,Jul 27 2021,227905,11781.6
Nebraska,Jul 26 2021,227630,11767.4
Nebraska,Jul 25 2021,227308,11750.8
Nebraska,Jul 24 2021,227240,11747.3
Nebraska,Jul 23 2021,227142,11742.2
Nebraska,Jul 22 2021,226936,11731.5
Nebraska,Jul 21 2021,226706,11719.7
Nebraska,Jul 20 2021,226536,11710.9
Nebraska,Jul 19 2021,226386,11703.1
Nebraska,Jul 18 2021,226246,11695.9
Nebraska,Jul 17 2021,226181,11692.5
Nebraska,Jul 16 2021,226107,11688.7
Nebraska,Jul 15 2021,225941,11680.1
Nebraska,Jul 14 2021,225814,11673.5
Nebraska,Jul 13 2021,225714,11668.4
Nebraska,Jul 12 2021,225585,11661.7
Nebraska,Jul 11 2021,225484,11656.5
Nebraska,Jul 10 2021,225454,11654.9
Nebraska,Jul  9 2021,225415,11652.9
Nebraska,Jul  8 2021,225307,11647.3
Nebraska,Jul  7 2021,225205,11642.1
Nebraska,Jul  6 2021,225120,11637.7
Nebraska,Jul  5 2021,225019,11632.4
Nebraska,Jul  4 2021,224991,11631
Nebraska,Jul  3 2021,224966,11629.7
Nebraska,Jul  2 2021,224938,11628.3
Nebraska,Jul  1 2021,224828,11622.6
Nebraska,Jun 30 2021,224691,11615.5
Nebraska,Jun 29 2021,224627,11612.2
