Data Table for Total Cases - Nevada
Date generated: Sat Nov 20 2021 18:29:36 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Nevada,Nov 19 2021,464633,15084.7
Nevada,Nov 18 2021,463976,15063.4
Nevada,Nov 17 2021,463265,15040.3
Nevada,Nov 16 2021,462535,15016.6
Nevada,Nov 15 2021,461616,14986.8
Nevada,Nov 14 2021,459878,14930.3
Nevada,Nov 13 2021,459878,14930.3
Nevada,Nov 12 2021,459878,14930.3
Nevada,Nov 11 2021,458491,14885.3
Nevada,Nov 10 2021,458491,14885.3
Nevada,Nov  9 2021,457834,14864
Nevada,Nov  8 2021,457039,14838.2
Nevada,Nov  7 2021,455163,14777.3
Nevada,Nov  6 2021,455163,14777.3
Nevada,Nov  5 2021,455163,14777.3
Nevada,Nov  4 2021,454319,14749.9
Nevada,Nov  3 2021,453297,14716.7
Nevada,Nov  2 2021,452450,14689.2
Nevada,Nov  1 2021,451500,14658.3
Nevada,Oct 31 2021,449322,14587.6
Nevada,Oct 30 2021,449322,14587.6
Nevada,Oct 29 2021,449322,14587.6
Nevada,Oct 28 2021,449322,14587.6
Nevada,Oct 27 2021,448636,14565.4
Nevada,Oct 26 2021,447897,14541.4
Nevada,Oct 25 2021,447173,14517.9
Nevada,Oct 24 2021,445677,14469.3
Nevada,Oct 23 2021,445677,14469.3
Nevada,Oct 22 2021,445677,14469.3
Nevada,Oct 21 2021,444855,14442.6
Nevada,Oct 20 2021,444136,14419.3
Nevada,Oct 19 2021,443420,14396
Nevada,Oct 18 2021,442420,14363.6
Nevada,Oct 17 2021,441951,14348.3
Nevada,Oct 16 2021,441486,14333.2
Nevada,Oct 15 2021,441021,14318.1
Nevada,Oct 14 2021,440500,14301.2
Nevada,Oct 13 2021,439793,14278.3
Nevada,Oct 12 2021,439065,14254.6
Nevada,Oct 11 2021,438093,14223.1
Nevada,Oct 10 2021,437476,14203
Nevada,Oct  9 2021,436860,14183
Nevada,Oct  8 2021,436244,14163
Nevada,Oct  7 2021,435499,14138.9
Nevada,Oct  6 2021,434754,14114.7
Nevada,Oct  5 2021,424326,13776.1
Nevada,Oct  4 2021,424200,13772
Nevada,Oct  3 2021,423575,13751.7
Nevada,Oct  2 2021,422952,13731.5
Nevada,Oct  1 2021,422329,13711.3
Nevada,Sep 30 2021,421319,13678.5
Nevada,Sep 29 2021,420179,13641.5
Nevada,Sep 28 2021,419379,13615.5
Nevada,Sep 27 2021,418477,13586.2
Nevada,Sep 26 2021,417816,13564.8
Nevada,Sep 25 2021,417156,13543.3
Nevada,Sep 24 2021,416496,13521.9
Nevada,Sep 23 2021,415424,13487.1
Nevada,Sep 22 2021,414371,13452.9
Nevada,Sep 21 2021,413547,13426.2
Nevada,Sep 20 2021,412317,13386.2
Nevada,Sep 19 2021,411578,13362.2
Nevada,Sep 18 2021,410841,13338.3
Nevada,Sep 17 2021,410104,13314.4
Nevada,Sep 16 2021,408733,13269.9
Nevada,Sep 15 2021,407258,13222
Nevada,Sep 14 2021,406212,13188
Nevada,Sep 13 2021,404851,13143.8
Nevada,Sep 12 2021,403867,13111.9
Nevada,Sep 11 2021,402884,13080
Nevada,Sep 10 2021,401901,13048.1
Nevada,Sep  9 2021,400349,12997.7
Nevada,Sep  8 2021,399234,12961.5
Nevada,Sep  7 2021,397788,12914.5
Nevada,Sep  6 2021,396989,12888.6
Nevada,Sep  5 2021,396191,12862.7
Nevada,Sep  4 2021,395393,12836.8
Nevada,Sep  3 2021,394595,12810.9
Nevada,Sep  2 2021,393188,12765.2
Nevada,Sep  1 2021,392052,12728.3
Nevada,Aug 31 2021,390600,12681.2
Nevada,Aug 30 2021,389358,12640.9
Nevada,Aug 29 2021,388425,12610.6
Nevada,Aug 28 2021,387492,12580.3
Nevada,Aug 27 2021,386559,12550
Nevada,Aug 26 2021,385272,12508.2
Nevada,Aug 25 2021,384135,12471.3
Nevada,Aug 24 2021,382773,12427.1
Nevada,Aug 23 2021,381766,12394.4
Nevada,Aug 22 2021,380744,12361.2
Nevada,Aug 21 2021,379722,12328
Nevada,Aug 20 2021,378700,12294.8
Nevada,Aug 19 2021,377493,12255.6
Nevada,Aug 18 2021,376080,12209.8
Nevada,Aug 17 2021,374651,12163.4
Nevada,Aug 16 2021,373649,12130.8
Nevada,Aug 15 2021,372808,12103.5
Nevada,Aug 14 2021,371967,12076.2
Nevada,Aug 13 2021,371126,12048.9
Nevada,Aug 12 2021,369846,12007.4
Nevada,Aug 11 2021,368625,11967.7
Nevada,Aug 10 2021,367709,11938
Nevada,Aug  9 2021,366584,11901.5
Nevada,Aug  8 2021,365580,11868.9
Nevada,Aug  7 2021,364577,11836.3
Nevada,Aug  6 2021,363574,11803.8
Nevada,Aug  5 2021,362275,11761.6
Nevada,Aug  4 2021,361140,11724.7
Nevada,Aug  3 2021,360147,11692.5
Nevada,Aug  2 2021,358932,11653
Nevada,Aug  1 2021,358087,11625.6
Nevada,Jul 31 2021,357244,11598.2
