Data Table for Total Cases - New Hampshire
Date generated: Sat Nov 20 2021 18:29:42 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
New Hampshire,Nov 19 2021,150813,11091.5
New Hampshire,Nov 18 2021,149827,11019
New Hampshire,Nov 17 2021,148718,10937.5
New Hampshire,Nov 16 2021,147652,10859.1
New Hampshire,Nov 15 2021,146834,10798.9
New Hampshire,Nov 14 2021,144626,10636.5
New Hampshire,Nov 13 2021,144626,10636.5
New Hampshire,Nov 12 2021,144626,10636.5
New Hampshire,Nov 11 2021,142469,10477.9
New Hampshire,Nov 10 2021,142469,10477.9
New Hampshire,Nov  9 2021,141707,10421.8
New Hampshire,Nov  8 2021,141317,10393.2
New Hampshire,Nov  7 2021,139324,10246.6
New Hampshire,Nov  6 2021,139324,10246.6
New Hampshire,Nov  5 2021,139324,10246.6
New Hampshire,Nov  4 2021,138511,10186.8
New Hampshire,Nov  3 2021,137778,10132.9
New Hampshire,Nov  2 2021,137156,10087.1
New Hampshire,Nov  1 2021,136775,10059.1
New Hampshire,Oct 31 2021,134517,9893.1
New Hampshire,Oct 30 2021,134517,9893.1
New Hampshire,Oct 29 2021,134517,9893.1
New Hampshire,Oct 28 2021,132441,9740.4
New Hampshire,Oct 27 2021,132441,9740.4
New Hampshire,Oct 26 2021,132441,9740.4
New Hampshire,Oct 25 2021,132441,9740.4
New Hampshire,Oct 24 2021,131790,9692.5
New Hampshire,Oct 23 2021,131790,9692.5
New Hampshire,Oct 22 2021,131790,9692.5
New Hampshire,Oct 21 2021,131255,9653.2
New Hampshire,Oct 20 2021,130615,9606.1
New Hampshire,Oct 19 2021,130040,9563.8
New Hampshire,Oct 18 2021,129663,9536.1
New Hampshire,Oct 17 2021,129123,9496.4
New Hampshire,Oct 16 2021,128585,9456.8
New Hampshire,Oct 15 2021,128047,9417.2
New Hampshire,Oct 14 2021,127421,9371.2
New Hampshire,Oct 13 2021,126773,9323.5
New Hampshire,Oct 12 2021,126229,9283.5
New Hampshire,Oct 11 2021,124845,9181.7
New Hampshire,Oct 10 2021,124632,9166.1
New Hampshire,Oct  9 2021,124420,9150.5
New Hampshire,Oct  8 2021,124208,9134.9
New Hampshire,Oct  7 2021,123562,9087.4
New Hampshire,Oct  6 2021,122934,9041.2
New Hampshire,Oct  5 2021,122450,9005.6
New Hampshire,Oct  4 2021,122054,8976.5
New Hampshire,Oct  3 2021,121623,8944.8
New Hampshire,Oct  2 2021,121193,8913.1
New Hampshire,Oct  1 2021,120763,8881.5
New Hampshire,Sep 30 2021,120268,8845.1
New Hampshire,Sep 29 2021,119720,8804.8
New Hampshire,Sep 28 2021,119068,8756.9
New Hampshire,Sep 27 2021,118706,8730.2
New Hampshire,Sep 26 2021,118288,8699.5
New Hampshire,Sep 25 2021,117871,8668.8
New Hampshire,Sep 24 2021,117454,8638.2
New Hampshire,Sep 23 2021,116710,8583.4
New Hampshire,Sep 22 2021,115957,8528.1
New Hampshire,Sep 21 2021,115612,8502.7
New Hampshire,Sep 20 2021,115401,8487.2
New Hampshire,Sep 19 2021,115040,8460.6
New Hampshire,Sep 18 2021,114681,8434.2
New Hampshire,Sep 17 2021,114322,8407.8
New Hampshire,Sep 16 2021,113903,8377
New Hampshire,Sep 15 2021,113291,8332
New Hampshire,Sep 14 2021,112747,8292
New Hampshire,Sep 13 2021,112326,8261
New Hampshire,Sep 12 2021,111921,8231.2
New Hampshire,Sep 11 2021,111516,8201.4
New Hampshire,Sep 10 2021,111111,8171.7
New Hampshire,Sep  9 2021,110779,8147.2
New Hampshire,Sep  8 2021,110256,8108.8
New Hampshire,Sep  7 2021,109716,8069.1
New Hampshire,Sep  6 2021,109463,8050.5
New Hampshire,Sep  5 2021,109213,8032.1
New Hampshire,Sep  4 2021,108963,8013.7
New Hampshire,Sep  3 2021,108713,7995.3
New Hampshire,Sep  2 2021,108319,7966.3
New Hampshire,Sep  1 2021,108021,7944.4
New Hampshire,Aug 31 2021,107689,7920
New Hampshire,Aug 30 2021,107474,7904.2
New Hampshire,Aug 29 2021,107157,7880.9
New Hampshire,Aug 28 2021,106841,7857.6
New Hampshire,Aug 27 2021,106525,7834.4
New Hampshire,Aug 26 2021,106205,7810.9
New Hampshire,Aug 25 2021,105883,7787.2
New Hampshire,Aug 24 2021,105589,7765.5
New Hampshire,Aug 23 2021,105302,7744.4
New Hampshire,Aug 22 2021,105057,7726.4
New Hampshire,Aug 21 2021,104814,7708.5
New Hampshire,Aug 20 2021,104571,7690.7
New Hampshire,Aug 19 2021,104263,7668
New Hampshire,Aug 18 2021,103989,7647.9
New Hampshire,Aug 17 2021,103733,7629
New Hampshire,Aug 16 2021,103462,7609.1
New Hampshire,Aug 15 2021,103275,7595.4
New Hampshire,Aug 14 2021,103088,7581.6
