Data Table for Total Cases - New Jersey
Date generated: Sat Nov 20 2021 18:29:48 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
New Jersey,Nov 19 2021,1228167,13827.3
New Jersey,Nov 18 2021,1225928,13802.1
New Jersey,Nov 17 2021,1223455,13774.2
New Jersey,Nov 16 2021,1221507,13752.3
New Jersey,Nov 15 2021,1219768,13732.7
New Jersey,Nov 14 2021,1218406,13717.4
New Jersey,Nov 13 2021,1216705,13698.3
New Jersey,Nov 12 2021,1215067,13679.8
New Jersey,Nov 11 2021,1213246,13659.3
New Jersey,Nov 10 2021,1211423,13638.8
New Jersey,Nov  9 2021,1210085,13623.7
New Jersey,Nov  8 2021,1208321,13603.9
New Jersey,Nov  7 2021,1207469,13594.3
New Jersey,Nov  6 2021,1206543,13583.8
New Jersey,Nov  5 2021,1205140,13568.1
New Jersey,Nov  4 2021,1203755,13552.5
New Jersey,Nov  3 2021,1202251,13535.5
New Jersey,Nov  2 2021,1200953,13520.9
New Jersey,Nov  1 2021,1199738,13507.2
New Jersey,Oct 31 2021,1198917,13498
New Jersey,Oct 30 2021,1197702,13484.3
New Jersey,Oct 29 2021,1196472,13470.5
New Jersey,Oct 28 2021,1195166,13455.8
New Jersey,Oct 27 2021,1193201,13433.6
New Jersey,Oct 26 2021,1191912,13419.1
New Jersey,Oct 25 2021,1190439,13402.5
New Jersey,Oct 24 2021,1189496,13391.9
New Jersey,Oct 23 2021,1188709,13383.1
New Jersey,Oct 22 2021,1187569,13370.2
New Jersey,Oct 21 2021,1185863,13351
New Jersey,Oct 20 2021,1184395,13334.5
New Jersey,Oct 19 2021,1183289,13322
New Jersey,Oct 18 2021,1182051,13308.1
New Jersey,Oct 17 2021,1181284,13299.5
New Jersey,Oct 16 2021,1180388,13289.4
New Jersey,Oct 15 2021,1178936,13273
New Jersey,Oct 14 2021,1177553,13257.5
New Jersey,Oct 13 2021,1175915,13239
New Jersey,Oct 12 2021,1174169,13219.4
New Jersey,Oct 11 2021,1172527,13200.9
New Jersey,Oct 10 2021,1171573,13190.1
New Jersey,Oct  9 2021,1170140,13174
New Jersey,Oct  8 2021,1168312,13153.4
New Jersey,Oct  7 2021,1166443,13132.4
New Jersey,Oct  6 2021,1164378,13109.1
New Jersey,Oct  5 2021,1162526,13088.3
New Jersey,Oct  4 2021,1160878,13069.7
New Jersey,Oct  3 2021,1159632,13055.7
New Jersey,Oct  2 2021,1158178,13039.3
New Jersey,Oct  1 2021,1156243,13017.5
New Jersey,Sep 30 2021,1154570,12998.7
New Jersey,Sep 29 2021,1152243,12972.5
New Jersey,Sep 28 2021,1150246,12950
New Jersey,Sep 27 2021,1148358,12928.8
New Jersey,Sep 26 2021,1147199,12915.7
New Jersey,Sep 25 2021,1146089,12903.2
New Jersey,Sep 24 2021,1143855,12878.1
New Jersey,Sep 23 2021,1141619,12852.9
New Jersey,Sep 22 2021,1139367,12827.5
New Jersey,Sep 21 2021,1137016,12801.1
New Jersey,Sep 20 2021,1134851,12776.7
New Jersey,Sep 19 2021,1133228,12758.4
New Jersey,Sep 18 2021,1131319,12736.9
New Jersey,Sep 17 2021,1128696,12707.4
New Jersey,Sep 16 2021,1126322,12680.7
New Jersey,Sep 15 2021,1123364,12647.4
New Jersey,Sep 14 2021,1121089,12621.8
New Jersey,Sep 13 2021,1119051,12598.8
New Jersey,Sep 12 2021,1117506,12581.4
New Jersey,Sep 11 2021,1115659,12560.6
New Jersey,Sep 10 2021,1113165,12532.6
New Jersey,Sep  9 2021,1110501,12502.6
New Jersey,Sep  8 2021,1108291,12477.7
New Jersey,Sep  7 2021,1104793,12438.3
New Jersey,Sep  6 2021,1104439,12434.3
New Jersey,Sep  5 2021,1102488,12412.3
New Jersey,Sep  4 2021,1100774,12393
New Jersey,Sep  3 2021,1098526,12367.7
New Jersey,Sep  2 2021,1096791,12348.2
New Jersey,Sep  1 2021,1094249,12319.6
New Jersey,Aug 31 2021,1091966,12293.9
New Jersey,Aug 30 2021,1089838,12269.9
New Jersey,Aug 29 2021,1088330,12252.9
New Jersey,Aug 28 2021,1086480,12232.1
New Jersey,Aug 27 2021,1084546,12210.3
New Jersey,Aug 26 2021,1081954,12181.2
New Jersey,Aug 25 2021,1079900,12158
New Jersey,Aug 24 2021,1077787,12134.2
New Jersey,Aug 23 2021,1075930,12113.3
New Jersey,Aug 22 2021,1074306,12095.1
New Jersey,Aug 21 2021,1072856,12078.7
New Jersey,Aug 20 2021,1070698,12054.4
New Jersey,Aug 19 2021,1067758,12021.3
New Jersey,Aug 18 2021,1065736,11998.6
New Jersey,Aug 17 2021,1064059,11979.7
New Jersey,Aug 16 2021,1062238,11959.2
New Jersey,Aug 15 2021,1060934,11944.5
New Jersey,Aug 14 2021,1059660,11930.2
New Jersey,Aug 13 2021,1057096,11901.3
New Jersey,Aug 12 2021,1055252,11880.5
New Jersey,Aug 11 2021,1053398,11859.7
New Jersey,Aug 10 2021,1051712,11840.7
New Jersey,Aug  9 2021,1050083,11822.3
New Jersey,Aug  8 2021,1049222,11812.6
New Jersey,Aug  7 2021,1048053,11799.5
New Jersey,Aug  6 2021,1046514,11782.2
New Jersey,Aug  5 2021,1045168,11767
New Jersey,Aug  4 2021,1043702,11750.5
New Jersey,Aug  3 2021,1042472,11736.7
New Jersey,Aug  2 2021,1041159,11721.9
New Jersey,Aug  1 2021,1040281,11712
New Jersey,Jul 31 2021,1039353,11701.5
New Jersey,Jul 30 2021,1038171,11688.2
New Jersey,Jul 29 2021,1037052,11675.6
New Jersey,Jul 28 2021,1035975,11663.5
New Jersey,Jul 27 2021,1035027,11652.8
New Jersey,Jul 26 2021,1034233,11643.9
New Jersey,Jul 25 2021,1033712,11638
New Jersey,Jul 24 2021,1033116,11631.3
New Jersey,Jul 23 2021,1032255,11621.6
New Jersey,Jul 22 2021,1031346,11611.4
New Jersey,Jul 21 2021,1030600,11603
New Jersey,Jul 20 2021,1029901,11595.1
New Jersey,Jul 19 2021,1029243,11587.7
New Jersey,Jul 18 2021,1028931,11584.2
New Jersey,Jul 17 2021,1028503,11579.4
New Jersey,Jul 16 2021,1027954,11573.2
New Jersey,Jul 15 2021,1027460,11567.6
New Jersey,Jul 14 2021,1027014,11562.6
New Jersey,Jul 13 2021,1026649,11558.5
New Jersey,Jul 12 2021,1026286,11554.4
New Jersey,Jul 11 2021,1026071,11552
New Jersey,Jul 10 2021,1025788,11548.8
New Jersey,Jul  9 2021,1025477,11545.3
New Jersey,Jul  8 2021,1025079,11540.8
New Jersey,Jul  7 2021,1024748,11537.1
New Jersey,Jul  6 2021,1024465,11533.9
New Jersey,Jul  5 2021,1024311,11532.2
New Jersey,Jul  4 2021,1024225,11531.2
New Jersey,Jul  3 2021,1024113,11530
New Jersey,Jul  2 2021,1023923,11527.8
New Jersey,Jul  1 2021,1023613,11524.3
New Jersey,Jun 30 2021,1023395,11521.9
New Jersey,Jun 29 2021,1023200,11519.7
New Jersey,Jun 28 2021,1022978,11517.2
New Jersey,Jun 27 2021,1022830,11515.5
New Jersey,Jun 26 2021,1022680,11513.8
New Jersey,Jun 25 2021,1022443,11511.2
New Jersey,Jun 24 2021,1022094,11507.2
New Jersey,Jun 23 2021,1021822,11504.2
New Jersey,Jun 22 2021,1021554,11501.2
