Data Table for Total Cases - New Mexico
Date generated: Sat Nov 20 2021 18:29:55 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
New Mexico,Nov 19 2021,301937,14399.7
New Mexico,Nov 18 2021,300101,14312.1
New Mexico,Nov 17 2021,298313,14226.9
New Mexico,Nov 16 2021,296790,14154.2
New Mexico,Nov 15 2021,295767,14105.4
New Mexico,Nov 14 2021,292078,13929.5
New Mexico,Nov 13 2021,292078,13929.5
New Mexico,Nov 12 2021,292078,13929.5
New Mexico,Nov 11 2021,288557,13761.6
New Mexico,Nov 10 2021,288557,13761.6
New Mexico,Nov  9 2021,287221,13697.9
New Mexico,Nov  8 2021,286086,13643.7
New Mexico,Nov  7 2021,282742,13484.3
New Mexico,Nov  6 2021,282742,13484.3
New Mexico,Nov  5 2021,282742,13484.3
New Mexico,Nov  4 2021,281282,13414.6
New Mexico,Nov  3 2021,279670,13337.8
New Mexico,Nov  2 2021,278509,13282.4
New Mexico,Nov  1 2021,277835,13250.2
New Mexico,Oct 31 2021,275209,13125
New Mexico,Oct 30 2021,275209,13125
New Mexico,Oct 29 2021,275209,13125
New Mexico,Oct 28 2021,274155,13074.7
New Mexico,Oct 27 2021,272855,13012.7
New Mexico,Oct 26 2021,271898,12967.1
New Mexico,Oct 25 2021,271212,12934.4
New Mexico,Oct 24 2021,268891,12823.7
New Mexico,Oct 23 2021,268891,12823.7
New Mexico,Oct 22 2021,268891,12823.7
New Mexico,Oct 21 2021,267909,12776.9
New Mexico,Oct 20 2021,266777,12722.9
New Mexico,Oct 19 2021,266148,12692.9
New Mexico,Oct 18 2021,265632,12668.3
New Mexico,Oct 17 2021,265005,12638.4
New Mexico,Oct 16 2021,264380,12608.6
New Mexico,Oct 15 2021,263755,12578.8
New Mexico,Oct 14 2021,262954,12540.6
New Mexico,Oct 13 2021,262078,12498.8
New Mexico,Oct 12 2021,261370,12465
New Mexico,Oct 11 2021,260761,12436
New Mexico,Oct 10 2021,260155,12407.1
New Mexico,Oct  9 2021,259549,12378.2
New Mexico,Oct  8 2021,258943,12349.3
New Mexico,Oct  7 2021,257970,12302.9
New Mexico,Oct  6 2021,256947,12254.1
New Mexico,Oct  5 2021,256115,12214.4
New Mexico,Oct  4 2021,255577,12188.7
New Mexico,Oct  3 2021,254989,12160.7
New Mexico,Oct  2 2021,254402,12132.7
New Mexico,Oct  1 2021,253815,12104.7
New Mexico,Sep 30 2021,253024,12067
