Data Table for Total Cases - New York (excludes NYC)*
Date generated: Sat Nov 20 2021 18:30:02 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
New York,Nov 19 2021,1515921,13712.8
New York,Nov 18 2021,1509904,13658.3
New York,Nov 17 2021,1503387,13599.4
New York,Nov 16 2021,1498463,13554.8
New York,Nov 15 2021,1494504,13519
New York,Nov 14 2021,1490979,13487.1
New York,Nov 13 2021,1486783,13449.2
New York,Nov 12 2021,1481688,13403.1
New York,Nov 11 2021,1476679,13357.8
New York,Nov 10 2021,1471378,13309.8
New York,Nov  9 2021,1467214,13272.2
New York,Nov  8 2021,1463956,13242.7
New York,Nov  7 2021,1461262,13218.3
New York,Nov  6 2021,1457547,13184.7
New York,Nov  5 2021,1453696,13149.9
New York,Nov  4 2021,1449814,13114.8
New York,Nov  3 2021,1446157,13081.7
New York,Nov  2 2021,1442927,13052.5
New York,Nov  1 2021,1440632,13031.7
New York,Oct 31 2021,1438453,13012
New York,Oct 30 2021,1435659,12986.7
New York,Oct 29 2021,1432516,12958.3
New York,Oct 28 2021,1428328,12920.4
New York,Oct 27 2021,1425129,12891.5
New York,Oct 26 2021,1421629,12859.8
New York,Oct 25 2021,1419988,12845
New York,Oct 24 2021,1417633,12823.7
New York,Oct 23 2021,1415481,12804.2
New York,Oct 22 2021,1412017,12772.9
New York,Oct 21 2021,1409282,12748.1
New York,Oct 20 2021,1406104,12719.4
New York,Oct 19 2021,1402567,12687.4
New York,Oct 18 2021,1400717,12670.7
New York,Oct 17 2021,1398401,12649.7
New York,Oct 16 2021,1395252,12621.2
New York,Oct 15 2021,1391234,12584.9
New York,Oct 14 2021,1386927,12545.9
New York,Oct 13 2021,1383582,12515.7
New York,Oct 12 2021,1380063,12483.8
New York,Oct 11 2021,1377715,12462.6
New York,Oct 10 2021,1373932,12428.4
New York,Oct  9 2021,1371855,12409.6
New York,Oct  8 2021,1368316,12377.6
New York,Oct  7 2021,1363979,12338.3
New York,Oct  6 2021,1360301,12305.1
New York,Oct  5 2021,1356030,12266.4
New York,Oct  4 2021,1353306,12241.8
New York,Oct  3 2021,1351472,12225.2
New York,Oct  2 2021,1348076,12194.5
New York,Oct  1 2021,1344740,12164.3
New York,Sep 30 2021,1340812,12128.8
New York,Sep 29 2021,1337434,12098.2
New York,Sep 28 2021,1333608,12063.6
New York,Sep 27 2021,1330887,12039
New York,Sep 26 2021,1328061,12013.4
New York,Sep 25 2021,1325098,11986.6
New York,Sep 24 2021,1321300,11952.3
New York,Sep 23 2021,1316837,11911.9
New York,Sep 22 2021,1313543,11882.1
New York,Sep 21 2021,1310574,11855.2
New York,Sep 20 2021,1306963,11822.6
New York,Sep 19 2021,1304800,11803
New York,Sep 18 2021,1301280,11771.2
New York,Sep 17 2021,1297994,11741.4
New York,Sep 16 2021,1294121,11706.4
New York,Sep 15 2021,1289383,11663.5
New York,Sep 14 2021,1286202,11634.8
New York,Sep 13 2021,1283649,11611.7
New York,Sep 12 2021,1281351,11590.9
New York,Sep 11 2021,1277616,11557.1
New York,Sep 10 2021,1274025,11524.6
New York,Sep  9 2021,1269961,11487.9
New York,Sep  8 2021,1266531,11456.8
New York,Sep  7 2021,1264076,11434.6
New York,Sep  6 2021,1261814,11414.2
New York,Sep  5 2021,1259355,11391.9
New York,Sep  4 2021,1256486,11366
New York,Sep  3 2021,1253112,11335.4
New York,Sep  2 2021,1249321,11301.2
New York,Sep  1 2021,1246065,11271.7
New York,Aug 31 2021,1243236,11246.1
New York,Aug 30 2021,1240856,11224.6
New York,Aug 29 2021,1238214,11200.7
New York,Aug 28 2021,1235297,11174.3
New York,Aug 27 2021,1232380,11147.9
New York,Aug 26 2021,1228157,11109.7
New York,Aug 25 2021,1224985,11081
New York,Aug 24 2021,1222592,11059.4
New York,Aug 23 2021,1220826,11043.4
New York,Aug 22 2021,1218532,11022.6
New York,Aug 21 2021,1216034,11000
New York,Aug 20 2021,1213128,10973.8
New York,Aug 19 2021,1210346,10948.6
New York,Aug 18 2021,1207588,10923.6
New York,Aug 17 2021,1204930,10899.6
New York,Aug 16 2021,1202885,10881.1
New York,Aug 15 2021,1200816,10862.4
New York,Aug 14 2021,1198595,10842.3
New York,Aug 13 2021,1196273,10821.3
New York,Aug 12 2021,1193699,10798
New York,Aug 11 2021,1191255,10775.9
New York,Aug 10 2021,1189064,10756.1
New York,Aug  9 2021,1187342,10740.5
New York,Aug  8 2021,1185661,10725.3
New York,Aug  7 2021,1183888,10709.3
New York,Aug  6 2021,1181447,10687.2
New York,Aug  5 2021,1179682,10671.2
New York,Aug  4 2021,1177993,10655.9
New York,Aug  3 2021,1176467,10642.1
New York,Aug  2 2021,1174979,10628.7
New York,Aug  1 2021,1174038,10620.2
New York,Jul 31 2021,1172784,10608.8
New York,Jul 30 2021,1171416,10596.4
New York,Jul 29 2021,1170157,10585
New York,Jul 28 2021,1168983,10574.4
New York,Jul 27 2021,1168038,10565.9
New York,Jul 26 2021,1167263,10558.9
New York,Jul 25 2021,1166710,10553.9
New York,Jul 24 2021,1165798,10545.6
New York,Jul 23 2021,1165058,10538.9
New York,Jul 22 2021,1164284,10531.9
New York,Jul 21 2021,1163634,10526
New York,Jul 20 2021,1163052,10520.8
New York,Jul 19 2021,1162577,10516.5
New York,Jul 18 2021,1162215,10513.2
New York,Jul 17 2021,1161724,10508.8
New York,Jul 16 2021,1161322,10505.1
New York,Jul 15 2021,1160945,10501.7
New York,Jul 14 2021,1160539,10498
New York,Jul 13 2021,1160203,10495
New York,Jul 12 2021,1159918,10492.4
New York,Jul 11 2021,1159695,10490.4
New York,Jul 10 2021,1159441,10488.1
New York,Jul  9 2021,1159186,10485.8
New York,Jul  8 2021,1158865,10482.9
New York,Jul  7 2021,1158647,10480.9
New York,Jul  6 2021,1158474,10479.4
