Data Table for Total Cases - New York City*
Date generated: Sat Nov 20 2021 18:30:08 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
New York City,Nov 19 2021,1143390,13613.8
New York City,Nov 18 2021,1143390,13613.8
New York City,Nov 17 2021,1141746,13594.2
New York City,Nov 16 2021,1140192,13575.7
New York City,Nov 15 2021,1138785,13559
New York City,Nov 14 2021,1137569,13544.5
New York City,Nov 13 2021,1135743,13522.8
New York City,Nov 12 2021,1135743,13522.8
New York City,Nov 11 2021,1134159,13503.9
New York City,Nov 10 2021,1133005,13490.2
New York City,Nov  9 2021,1131647,13474
New York City,Nov  8 2021,1130586,13461.4
New York City,Nov  7 2021,1129466,13448
New York City,Nov  6 2021,1127911,13429.5
New York City,Nov  5 2021,1127911,13429.5
New York City,Nov  4 2021,1126570,13413.5
New York City,Nov  3 2021,1125633,13402.4
New York City,Nov  2 2021,1124596,13390
New York City,Nov  1 2021,1123702,13379.4
New York City,Oct 31 2021,1121595,13354.3
New York City,Oct 30 2021,1121595,13354.3
New York City,Oct 29 2021,1121595,13354.3
New York City,Oct 28 2021,1119298,13327
New York City,Oct 27 2021,1119298,13327
New York City,Oct 26 2021,1118153,13313.3
New York City,Oct 25 2021,1117403,13304.4
New York City,Oct 24 2021,1116472,13293.3
New York City,Oct 23 2021,1114016,13264.1
New York City,Oct 22 2021,1114016,13264.1
New York City,Oct 21 2021,1114016,13264.1
New York City,Oct 20 2021,1113102,13253.2
New York City,Oct 19 2021,1111966,13239.7
New York City,Oct 18 2021,1110505,13222.3
New York City,Oct 17 2021,1108751,13201.4
New York City,Oct 16 2021,1107919,13191.5
New York City,Oct 15 2021,1107088,13181.6
New York City,Oct 14 2021,1106257,13171.7
New York City,Oct 13 2021,1104231,13147.6
New York City,Oct 12 2021,1102988,13132.8
New York City,Oct 11 2021,1101811,13118.8
New York City,Oct 10 2021,1100866,13107.5
New York City,Oct  9 2021,1099568,13092
New York City,Oct  8 2021,1098270,13076.6
New York City,Oct  7 2021,1096972,13061.1
New York City,Oct  6 2021,1095648,13045.4
New York City,Oct  5 2021,1093719,13022.4
New York City,Oct  4 2021,1091612,12997.3
New York City,Oct  3 2021,1090226,12980.8
New York City,Oct  2 2021,1088782,12963.6
New York City,Oct  1 2021,1087339,12946.4
New York City,Sep 30 2021,1085896,12929.3
New York City,Sep 29 2021,1083975,12906.4
New York City,Sep 28 2021,1082638,12890.5
New York City,Sep 27 2021,1081308,12874.6
New York City,Sep 26 2021,1079831,12857
New York City,Sep 25 2021,1078285,12838.6
New York City,Sep 24 2021,1076741,12820.3
New York City,Sep 23 2021,1075197,12801.9
New York City,Sep 22 2021,1073442,12781
New York City,Sep 21 2021,1071854,12762.1
New York City,Sep 20 2021,1070072,12740.9
New York City,Sep 19 2021,1068263,12719.3
New York City,Sep 18 2021,1066526,12698.6
New York City,Sep 17 2021,1064790,12678
New York City,Sep 16 2021,1063054,12657.3
New York City,Sep 15 2021,1060926,12632
New York City,Sep 14 2021,1058825,12606.9
New York City,Sep 13 2021,1056839,12583.3
New York City,Sep 12 2021,1055289,12564.8
New York City,Sep 11 2021,1053597,12544.7
New York City,Sep 10 2021,1051906,12524.6
New York City,Sep  9 2021,1050215,12504.4
New York City,Sep  8 2021,1047994,12478
New York City,Sep  7 2021,1045821,12452.1
New York City,Sep  6 2021,1044721,12439
New York City,Sep  5 2021,1043623,12425.9
New York City,Sep  4 2021,1042123,12408.1
New York City,Sep  3 2021,1040624,12390.2
New York City,Sep  2 2021,1039125,12372.4
New York City,Sep  1 2021,1036970,12346.7
New York City,Aug 31 2021,1035185,12325.5
New York City,Aug 30 2021,1033429,12304.6
New York City,Aug 29 2021,1031905,12286.4
New York City,Aug 28 2021,1030167,12265.7
New York City,Aug 27 2021,1028429,12245
New York City,Aug 26 2021,1026691,12224.3
New York City,Aug 25 2021,1024558,12198.9
New York City,Aug 24 2021,1022481,12174.2
New York City,Aug 23 2021,1020456,12150.1
New York City,Aug 22 2021,1018844,12130.9
New York City,Aug 21 2021,1017208,12111.4
New York City,Aug 20 2021,1015574,12092
New York City,Aug 19 2021,1013114,12062.7
New York City,Aug 18 2021,1011311,12041.2
New York City,Aug 17 2021,1008938,12013
New York City,Aug 16 2021,1006712,11986.5
New York City,Aug 15 2021,1005132,11967.6
New York City,Aug 14 2021,1003176,11944.4
New York City,Aug 13 2021,1001223,11921.1
New York City,Aug 12 2021,999270,11897.8
New York City,Aug 11 2021,997238,11873.7
New York City,Aug 10 2021,995080,11848
New York City,Aug  9 2021,992005,11811.3
New York City,Aug  8 2021,990757,11796.5
New York City,Aug  7 2021,989054,11776.2
New York City,Aug  6 2021,987353,11756
New York City,Aug  5 2021,985652,11735.7
New York City,Aug  4 2021,983767,11713.3
New York City,Aug  3 2021,981792,11689.7
New York City,Aug  2 2021,980129,11669.9
New York City,Aug  1 2021,978539,11651
New York City,Jul 31 2021,977211,11635.2
New York City,Jul 30 2021,975883,11619.4
New York City,Jul 29 2021,974555,11603.6
New York City,Jul 28 2021,973129,11586.6
New York City,Jul 27 2021,971662,11569.1
New York City,Jul 26 2021,970468,11554.9
New York City,Jul 25 2021,969460,11542.9
New York City,Jul 24 2021,968490,11531.4
New York City,Jul 23 2021,967522,11519.8
New York City,Jul 22 2021,966554,11508.3
New York City,Jul 21 2021,965450,11495.2
New York City,Jul 20 2021,964556,11484.5
New York City,Jul 19 2021,963916,11476.9
New York City,Jul 18 2021,963065,11466.8
New York City,Jul 17 2021,962468,11459.7
New York City,Jul 16 2021,961875,11452.6
New York City,Jul 15 2021,961282,11445.5
New York City,Jul 14 2021,960649,11438
New York City,Jul 13 2021,960250,11433.3
