Data Table for Total Cases - North Carolina
Date generated: Sat Nov 20 2021 18:30:13 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
North Carolina,Nov 19 2021,1514879,14443.8
North Carolina,Nov 18 2021,1512478,14420.9
North Carolina,Nov 17 2021,1510086,14398.1
North Carolina,Nov 16 2021,1507915,14377.4
North Carolina,Nov 15 2021,1506576,14364.6
North Carolina,Nov 14 2021,1501801,14319.1
North Carolina,Nov 13 2021,1501801,14319.1
North Carolina,Nov 12 2021,1501801,14319.1
North Carolina,Nov 11 2021,1497677,14279.8
North Carolina,Nov 10 2021,1497677,14279.8
North Carolina,Nov  9 2021,1495521,14259.2
North Carolina,Nov  8 2021,1494278,14247.4
North Carolina,Nov  7 2021,1489653,14203.3
North Carolina,Nov  6 2021,1489653,14203.3
North Carolina,Nov  5 2021,1489653,14203.3
North Carolina,Nov  4 2021,1487656,14184.2
North Carolina,Nov  3 2021,1485455,14163.3
North Carolina,Nov  2 2021,1483678,14146.3
North Carolina,Nov  1 2021,1482464,14134.7
North Carolina,Oct 31 2021,1477514,14087.5
North Carolina,Oct 30 2021,1477514,14087.5
North Carolina,Oct 29 2021,1477514,14087.5
North Carolina,Oct 28 2021,1475148,14065
North Carolina,Oct 27 2021,1472655,14041.2
North Carolina,Oct 26 2021,1470495,14020.6
North Carolina,Oct 25 2021,1469155,14007.8
North Carolina,Oct 24 2021,1463410,13953.1
North Carolina,Oct 23 2021,1463410,13953.1
North Carolina,Oct 22 2021,1463410,13953.1
North Carolina,Oct 21 2021,1460801,13928.2
North Carolina,Oct 20 2021,1457798,13899.6
North Carolina,Oct 19 2021,1455188,13874.7
North Carolina,Oct 18 2021,1453814,13861.6
North Carolina,Oct 17 2021,1451503,13839.5
North Carolina,Oct 16 2021,1449192,13817.5
North Carolina,Oct 15 2021,1446881,13795.5
North Carolina,Oct 14 2021,1443699,13765.1
North Carolina,Oct 13 2021,1439938,13729.3
North Carolina,Oct 12 2021,1436699,13698.4
North Carolina,Oct 11 2021,1434551,13677.9
North Carolina,Oct 10 2021,1431386,13647.7
North Carolina,Oct  9 2021,1428224,13617.6
North Carolina,Oct  8 2021,1425062,13587.4
North Carolina,Oct  7 2021,1420984,13548.6
North Carolina,Oct  6 2021,1417203,13512.5
North Carolina,Oct  5 2021,1413605,13478.2
North Carolina,Oct  4 2021,1410902,13452.4
North Carolina,Oct  3 2021,1407339,13418.5
North Carolina,Oct  2 2021,1403778,13384.5
North Carolina,Oct  1 2021,1400217,13350.6
North Carolina,Sep 30 2021,1395254,13303.2
North Carolina,Sep 29 2021,1390489,13257.8
North Carolina,Sep 28 2021,1385700,13212.1
North Carolina,Sep 27 2021,1382231,13179.1
North Carolina,Sep 26 2021,1377735,13136.2
North Carolina,Sep 25 2021,1373239,13093.3
North Carolina,Sep 24 2021,1368743,13050.5
North Carolina,Sep 23 2021,1362938,12995.1
North Carolina,Sep 22 2021,1356985,12938.3
North Carolina,Sep 21 2021,1356970,12938.2
North Carolina,Sep 20 2021,1354561,12915.2
North Carolina,Sep 19 2021,1352684,12897.3
North Carolina,Sep 18 2021,1350089,12872.6
North Carolina,Sep 17 2021,1344974,12823.8
North Carolina,Sep 16 2021,1339209,12768.9
North Carolina,Sep 15 2021,1332998,12709.6
North Carolina,Sep 14 2021,1326055,12643.4
North Carolina,Sep 13 2021,1317111,12558.2
North Carolina,Sep 12 2021,1314074,12529.2
North Carolina,Sep 11 2021,1310397,12494.2
North Carolina,Sep 10 2021,1303504,12428.4
North Carolina,Sep  9 2021,1295860,12355.5
North Carolina,Sep  8 2021,1286615,12267.4
North Carolina,Sep  7 2021,1275511,12161.5
North Carolina,Sep  6 2021,1272328,12131.2
North Carolina,Sep  5 2021,1268984,12099.3
North Carolina,Sep  4 2021,1265050,12061.8
North Carolina,Sep  3 2021,1257972,11994.3
North Carolina,Sep  2 2021,1250013,11918.4
North Carolina,Sep  1 2021,1242089,11842.9
