Data Table for Total Cases - North Dakota
Date generated: Sat Nov 20 2021 18:30:18 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
North Dakota,Nov 19 2021,158338,20777.6
North Dakota,Nov 18 2021,157851,20713.7
North Dakota,Nov 17 2021,157381,20652
North Dakota,Nov 16 2021,156740,20567.9
North Dakota,Nov 15 2021,156114,20485.7
North Dakota,Nov 14 2021,155154,20359.8
North Dakota,Nov 13 2021,154950,20333
North Dakota,Nov 12 2021,154950,20333
North Dakota,Nov 11 2021,154451,20267.5
North Dakota,Nov 10 2021,154049,20214.8
North Dakota,Nov  9 2021,153425,20132.9
North Dakota,Nov  8 2021,152782,20048.5
North Dakota,Nov  7 2021,151840,19924.9
North Dakota,Nov  6 2021,151644,19899.2
North Dakota,Nov  5 2021,151644,19899.2
North Dakota,Nov  4 2021,151041,19820
North Dakota,Nov  3 2021,150467,19744.7
North Dakota,Nov  2 2021,149856,19664.5
North Dakota,Nov  1 2021,149207,19579.4
North Dakota,Oct 31 2021,148394,19472.7
North Dakota,Oct 30 2021,148091,19432.9
North Dakota,Oct 29 2021,148091,19432.9
North Dakota,Oct 28 2021,147571,19364.7
North Dakota,Oct 27 2021,147053,19296.7
North Dakota,Oct 26 2021,146387,19209.3
North Dakota,Oct 25 2021,145744,19125
North Dakota,Oct 24 2021,144748,18994.3
North Dakota,Oct 23 2021,144559,18969.5
North Dakota,Oct 22 2021,144559,18969.5
North Dakota,Oct 21 2021,144088,18907.6
North Dakota,Oct 20 2021,143521,18833.2
North Dakota,Oct 19 2021,142985,18762.9
North Dakota,Oct 18 2021,142407,18687.1
North Dakota,Oct 17 2021,141484,18565.9
North Dakota,Oct 16 2021,141376,18551.8
North Dakota,Oct 15 2021,141268,18537.6
North Dakota,Oct 14 2021,140746,18469.1
North Dakota,Oct 13 2021,140186,18395.6
North Dakota,Oct 12 2021,139563,18313.9
North Dakota,Oct 11 2021,138902,18227.1
North Dakota,Oct 10 2021,137951,18102.3
North Dakota,Oct  9 2021,137814,18084.4
North Dakota,Oct  8 2021,137678,18066.5
North Dakota,Oct  7 2021,137126,17994.1
North Dakota,Oct  6 2021,136433,17903.1
North Dakota,Oct  5 2021,135728,17810.6
North Dakota,Oct  4 2021,134922,17704.9
North Dakota,Oct  3 2021,133785,17555.7
North Dakota,Oct  2 2021,133652,17538.2
North Dakota,Oct  1 2021,133519,17520.8
North Dakota,Sep 30 2021,132808,17427.5
North Dakota,Sep 29 2021,132158,17342.2
North Dakota,Sep 28 2021,131399,17242.6
North Dakota,Sep 27 2021,130574,17134.3
North Dakota,Sep 26 2021,129472,16989.7
North Dakota,Sep 25 2021,129330,16971.1
North Dakota,Sep 24 2021,129189,16952.6
North Dakota,Sep 23 2021,128552,16869
North Dakota,Sep 22 2021,127912,16785
North Dakota,Sep 21 2021,127283,16702.4
North Dakota,Sep 20 2021,126642,16618.3
North Dakota,Sep 19 2021,125797,16507.4
North Dakota,Sep 18 2021,125697,16494.3
North Dakota,Sep 17 2021,125598,16481.3
North Dakota,Sep 16 2021,125110,16417.3
North Dakota,Sep 15 2021,124620,16353
North Dakota,Sep 14 2021,124047,16277.8
North Dakota,Sep 13 2021,123104,16154.1
North Dakota,Sep 12 2021,122559,16082.5
North Dakota,Sep 11 2021,122454,16068.8
North Dakota,Sep 10 2021,122351,16055.3
North Dakota,Sep  9 2021,121849,15989.4
North Dakota,Sep  8 2021,121217,15906.4
North Dakota,Sep  7 2021,120602,15825.7
North Dakota,Sep  6 2021,119963,15741.9
North Dakota,Sep  5 2021,119556,15688.5
North Dakota,Sep  4 2021,119469,15677.1
North Dakota,Sep  3 2021,119383,15665.8
North Dakota,Sep  2 2021,118931,15606.5
North Dakota,Sep  1 2021,118491,15548.7
North Dakota,Aug 31 2021,117955,15478.4
North Dakota,Aug 30 2021,117497,15418.3
North Dakota,Aug 29 2021,116838,15331.8
North Dakota,Aug 28 2021,116751,15320.4
