Data Table for Total Cases - Ohio
Date generated: Sat Nov 20 2021 18:30:25 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Ohio,Nov 19 2021,1633480,13974.4
Ohio,Nov 18 2021,1627051,13919.4
Ohio,Nov 17 2021,1620436,13862.8
Ohio,Nov 16 2021,1614054,13808.2
Ohio,Nov 15 2021,1608415,13760
Ohio,Nov 14 2021,1604488,13726.4
Ohio,Nov 13 2021,1600860,13695.3
Ohio,Nov 12 2021,1596171,13655.2
Ohio,Nov 11 2021,1590792,13609.2
Ohio,Nov 10 2021,1585798,13566.5
Ohio,Nov  9 2021,1580271,13519.2
Ohio,Nov  8 2021,1575319,13476.8
Ohio,Nov  7 2021,1572197,13450.1
Ohio,Nov  6 2021,1567834,13412.8
Ohio,Nov  5 2021,1565043,13388.9
Ohio,Nov  4 2021,1560695,13351.7
Ohio,Nov  3 2021,1556208,13313.3
Ohio,Nov  2 2021,1551705,13274.8
Ohio,Nov  1 2021,1547788,13241.3
Ohio,Oct 31 2021,1545327,13220.2
Ohio,Oct 30 2021,1542911,13199.6
Ohio,Oct 29 2021,1539490,13170.3
Ohio,Oct 28 2021,1536005,13140.5
Ohio,Oct 27 2021,1531815,13104.6
Ohio,Oct 26 2021,1527976,13071.8
Ohio,Oct 25 2021,1524169,13039.2
Ohio,Oct 24 2021,1521844,13019.3
Ohio,Oct 23 2021,1519304,12997.6
Ohio,Oct 22 2021,1515838,12968
Ohio,Oct 21 2021,1511760,12933.1
Ohio,Oct 20 2021,1507676,12898.1
Ohio,Oct 19 2021,1503102,12859
Ohio,Oct 18 2021,1499485,12828.1
Ohio,Oct 17 2021,1496675,12804
Ohio,Oct 16 2021,1494160,12782.5
Ohio,Oct 15 2021,1490451,12750.8
Ohio,Oct 14 2021,1485514,12708.5
Ohio,Oct 13 2021,1480371,12664.5
Ohio,Oct 12 2021,1474723,12616.2
Ohio,Oct 11 2021,1470267,12578.1
Ohio,Oct 10 2021,1467331,12553
Ohio,Oct  9 2021,1461932,12506.8
Ohio,Oct  8 2021,1458747,12479.5
Ohio,Oct  7 2021,1452096,12422.7
Ohio,Oct  6 2021,1445786,12368.7
Ohio,Oct  5 2021,1439490,12314.8
Ohio,Oct  4 2021,1433957,12267.5
Ohio,Oct  3 2021,1429745,12231.4
Ohio,Oct  2 2021,1426300,12202
Ohio,Oct  1 2021,1420206,12149.8
Ohio,Sep 30 2021,1413972,12096.5
Ohio,Sep 29 2021,1407442,12040.6
Ohio,Sep 28 2021,1400979,11985.3
Ohio,Sep 27 2021,1393696,11923
Ohio,Sep 26 2021,1390015,11891.5
Ohio,Sep 25 2021,1385749,11855.1
Ohio,Sep 24 2021,1380370,11809
Ohio,Sep 23 2021,1373275,11748.3
Ohio,Sep 22 2021,1365800,11684.4
Ohio,Sep 21 2021,1358918,11625.5
Ohio,Sep 20 2021,1352104,11567.2
Ohio,Sep 19 2021,1347205,11525.3
Ohio,Sep 18 2021,1342777,11487.4
Ohio,Sep 17 2021,1336061,11430
Ohio,Sep 16 2021,1327614,11357.7
Ohio,Sep 15 2021,1319265,11286.3
Ohio,Sep 14 2021,1311518,11220
Ohio,Sep 13 2021,1304193,11157.3
Ohio,Sep 12 2021,1298625,11109.7
Ohio,Sep 11 2021,1294162,11071.5
Ohio,Sep 10 2021,1285757,10999.6
Ohio,Sep  9 2021,1276738,10922.5
Ohio,Sep  8 2021,1268841,10854.9
Ohio,Sep  7 2021,1262018,10796.5
Ohio,Sep  6 2021,1257142,10754.8
Ohio,Sep  5 2021,1253198,10721.1
Ohio,Sep  4 2021,1247637,10673.5
Ohio,Sep  3 2021,1241268,10619
