Data Table for Total Cases - Oklahoma
Date generated: Sat Nov 20 2021 18:30:31 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Oklahoma,Nov 19 2021,659585,16668.9
Oklahoma,Nov 18 2021,658600,16644
Oklahoma,Nov 17 2021,657630,16619.5
Oklahoma,Nov 16 2021,656574,16592.8
Oklahoma,Nov 15 2021,655857,16574.7
Oklahoma,Nov 14 2021,653624,16518.3
Oklahoma,Nov 13 2021,653624,16518.3
Oklahoma,Nov 12 2021,653624,16518.3
Oklahoma,Nov 11 2021,652735,16495.8
Oklahoma,Nov 10 2021,651692,16469.5
Oklahoma,Nov  9 2021,650693,16444.2
Oklahoma,Nov  8 2021,650273,16433.6
Oklahoma,Nov  7 2021,648791,16396.2
Oklahoma,Nov  6 2021,648791,16396.2
Oklahoma,Nov  5 2021,648791,16396.2
Oklahoma,Nov  4 2021,648213,16381.5
Oklahoma,Nov  3 2021,647637,16367
Oklahoma,Nov  2 2021,646136,16329.1
Oklahoma,Nov  1 2021,646136,16329.1
Oklahoma,Oct 31 2021,644684,16292.4
Oklahoma,Oct 30 2021,644684,16292.4
Oklahoma,Oct 29 2021,644684,16292.4
Oklahoma,Oct 28 2021,643978,16274.5
Oklahoma,Oct 27 2021,642362,16233.7
Oklahoma,Oct 26 2021,642362,16233.7
Oklahoma,Oct 25 2021,639720,16166.9
Oklahoma,Oct 24 2021,639720,16166.9
Oklahoma,Oct 23 2021,639720,16166.9
Oklahoma,Oct 22 2021,639720,16166.9
Oklahoma,Oct 21 2021,638957,16147.6
Oklahoma,Oct 20 2021,637908,16121.1
Oklahoma,Oct 19 2021,636760,16092.1
Oklahoma,Oct 18 2021,635865,16069.5
Oklahoma,Oct 17 2021,634914,16045.5
Oklahoma,Oct 16 2021,633967,16021.5
Oklahoma,Oct 15 2021,633020,15997.6
Oklahoma,Oct 14 2021,631874,15968.6
Oklahoma,Oct 13 2021,630694,15938.8
Oklahoma,Oct 12 2021,629512,15908.9
Oklahoma,Oct 11 2021,628298,15878.3
Oklahoma,Oct 10 2021,627474,15857.4
Oklahoma,Oct  9 2021,626654,15836.7
Oklahoma,Oct  8 2021,625834,15816
Oklahoma,Oct  7 2021,624113,15772.5
Oklahoma,Oct  6 2021,622393,15729
Oklahoma,Oct  5 2021,620834,15689.6
Oklahoma,Oct  4 2021,619738,15661.9
Oklahoma,Oct  3 2021,618742,15636.8
Oklahoma,Oct  2 2021,617748,15611.6
