Data Table for Total Cases - Oregon
Date generated: Sat Nov 20 2021 18:30:37 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Oregon,Nov 19 2021,384062,9105.9
Oregon,Nov 18 2021,382990,9080.5
Oregon,Nov 17 2021,381842,9053.2
Oregon,Nov 16 2021,380866,9030.1
Oregon,Nov 15 2021,380092,9011.8
Oregon,Nov 14 2021,378174,8966.3
Oregon,Nov 13 2021,378174,8966.3
Oregon,Nov 12 2021,378174,8966.3
Oregon,Nov 11 2021,376372,8923.6
Oregon,Nov 10 2021,376372,8923.6
Oregon,Nov  9 2021,375357,8899.5
Oregon,Nov  8 2021,374253,8873.3
Oregon,Nov  7 2021,372137,8823.1
Oregon,Nov  6 2021,372137,8823.1
Oregon,Nov  5 2021,372137,8823.1
Oregon,Nov  4 2021,371001,8796.2
Oregon,Nov  3 2021,369815,8768.1
Oregon,Nov  2 2021,368694,8741.5
Oregon,Nov  1 2021,367610,8715.8
Oregon,Oct 31 2021,365053,8655.2
Oregon,Oct 30 2021,365053,8655.2
Oregon,Oct 29 2021,365053,8655.2
Oregon,Oct 28 2021,363673,8622.5
Oregon,Oct 27 2021,362561,8596.1
Oregon,Oct 26 2021,361240,8564.8
Oregon,Oct 25 2021,359733,8529.1
Oregon,Oct 24 2021,357526,8476.7
Oregon,Oct 23 2021,357526,8476.7
Oregon,Oct 22 2021,357526,8476.7
Oregon,Oct 21 2021,356061,8442
Oregon,Oct 20 2021,354681,8409.3
Oregon,Oct 19 2021,353368,8378.1
Oregon,Oct 18 2021,352026,8346.3
Oregon,Oct 17 2021,350938,8320.5
Oregon,Oct 16 2021,349852,8294.8
Oregon,Oct 15 2021,348766,8269
Oregon,Oct 14 2021,347616,8241.8
Oregon,Oct 13 2021,346480,8214.8
Oregon,Oct 12 2021,345344,8187.9
Oregon,Oct 11 2021,343993,8155.9
Oregon,Oct 10 2021,343033,8133.1
Oregon,Oct  9 2021,342073,8110.3
Oregon,Oct  8 2021,341113,8087.6
Oregon,Oct  7 2021,339556,8050.7
Oregon,Oct  6 2021,338130,8016.9
Oregon,Oct  5 2021,336598,7980.5
Oregon,Oct  4 2021,334971,7942
Oregon,Oct  3 2021,333883,7916.2
Oregon,Oct  2 2021,332796,7890.4
Oregon,Oct  1 2021,331709,7864.6
Oregon,Sep 30 2021,330054,7825.4
Oregon,Sep 29 2021,328184,7781
Oregon,Sep 28 2021,326191,7733.8
