Data Table for Total Cases - Pennsylvania
Date generated: Sat Nov 20 2021 18:30:48 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Pennsylvania,Nov 19 2021,1674328,13078.7
Pennsylvania,Nov 18 2021,1666724,13019.3
Pennsylvania,Nov 17 2021,1660087,12967.4
Pennsylvania,Nov 16 2021,1654063,12920.4
Pennsylvania,Nov 15 2021,1648285,12875.2
Pennsylvania,Nov 14 2021,1644848,12848.4
Pennsylvania,Nov 13 2021,1640096,12811.3
Pennsylvania,Nov 12 2021,1618870,12645.5
Pennsylvania,Nov 11 2021,1613315,12602.1
Pennsylvania,Nov 10 2021,1608022,12560.7
Pennsylvania,Nov  9 2021,1601086,12506.5
Pennsylvania,Nov  8 2021,1597065,12475.1
Pennsylvania,Nov  7 2021,1593811,12449.7
Pennsylvania,Nov  6 2021,1590139,12421
Pennsylvania,Nov  5 2021,1585476,12384.6
Pennsylvania,Nov  4 2021,1580346,12344.5
Pennsylvania,Nov  3 2021,1575184,12304.2
Pennsylvania,Nov  2 2021,1571365,12274.4
Pennsylvania,Nov  1 2021,1567703,12245.8
Pennsylvania,Oct 31 2021,1564939,12224.2
Pennsylvania,Oct 30 2021,1561825,12199.9
Pennsylvania,Oct 29 2021,1557459,12165.8
Pennsylvania,Oct 28 2021,1552953,12130.6
Pennsylvania,Oct 27 2021,1548641,12096.9
Pennsylvania,Oct 26 2021,1544463,12064.2
Pennsylvania,Oct 25 2021,1540721,12035
Pennsylvania,Oct 24 2021,1538296,12016.1
Pennsylvania,Oct 23 2021,1534882,11989.4
Pennsylvania,Oct 22 2021,1530309,11953.7
Pennsylvania,Oct 21 2021,1525813,11918.6
Pennsylvania,Oct 20 2021,1520815,11879.5
Pennsylvania,Oct 19 2021,1517231,11851.5
Pennsylvania,Oct 18 2021,1513332,11821.1
Pennsylvania,Oct 17 2021,1510430,11798.4
Pennsylvania,Oct 16 2021,1506609,11768.6
Pennsylvania,Oct 15 2021,1502124,11733.5
Pennsylvania,Oct 14 2021,1496399,11688.8
Pennsylvania,Oct 13 2021,1491146,11647.8
Pennsylvania,Oct 12 2021,1486134,11608.6
Pennsylvania,Oct 11 2021,1482236,11578.2
Pennsylvania,Oct 10 2021,1479364,11555.7
Pennsylvania,Oct  9 2021,1475457,11525.2
Pennsylvania,Oct  8 2021,1469847,11481.4
Pennsylvania,Oct  7 2021,1464264,11437.8
