Data Table for Total Cases - Puerto Rico
Date generated: Sat Nov 20 2021 18:30:53 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Puerto Rico,Nov 19 2021,187321,5865.3
Puerto Rico,Nov 18 2021,187096,5858.3
Puerto Rico,Nov 17 2021,186905,5852.3
Puerto Rico,Nov 16 2021,186771,5848.1
Puerto Rico,Nov 15 2021,186619,5843.4
Puerto Rico,Nov 14 2021,186543,5841
Puerto Rico,Nov 13 2021,186450,5838.1
Puerto Rico,Nov 12 2021,186450,5838.1
Puerto Rico,Nov 11 2021,186186,5829.8
Puerto Rico,Nov 10 2021,185581,5810.9
Puerto Rico,Nov  9 2021,185449,5806.7
Puerto Rico,Nov  8 2021,185337,5803.2
Puerto Rico,Nov  7 2021,185243,5800.3
Puerto Rico,Nov  6 2021,185176,5798.2
Puerto Rico,Nov  5 2021,184998,5792.6
Puerto Rico,Nov  4 2021,184854,5788.1
Puerto Rico,Nov  3 2021,184731,5784.2
Puerto Rico,Nov  2 2021,184589,5779.8
Puerto Rico,Nov  1 2021,184471,5776.1
Puerto Rico,Oct 31 2021,184456,5775.6
Puerto Rico,Oct 30 2021,184404,5774
Puerto Rico,Oct 29 2021,184318,5771.3
Puerto Rico,Oct 28 2021,184199,5767.6
Puerto Rico,Oct 27 2021,184048,5762.9
Puerto Rico,Oct 26 2021,183921,5758.9
Puerto Rico,Oct 25 2021,183835,5756.2
Puerto Rico,Oct 24 2021,183811,5755.4
Puerto Rico,Oct 23 2021,183755,5753.7
Puerto Rico,Oct 22 2021,183621,5749.5
Puerto Rico,Oct 21 2021,183495,5745.5
Puerto Rico,Oct 20 2021,183363,5741.4
Puerto Rico,Oct 19 2021,183253,5738
Puerto Rico,Oct 18 2021,183133,5734.2
Puerto Rico,Oct 17 2021,183119,5733.8
Puerto Rico,Oct 16 2021,183047,5731.5
Puerto Rico,Oct 15 2021,182909,5727.2
Puerto Rico,Oct 14 2021,182805,5723.9
Puerto Rico,Oct 13 2021,182589,5717.2
Puerto Rico,Oct 12 2021,182504,5714.5
Puerto Rico,Oct 11 2021,182336,5709.3
Puerto Rico,Oct 10 2021,182320,5708.7
Puerto Rico,Oct  9 2021,182145,5703.3
Puerto Rico,Oct  8 2021,182036,5699.9
Puerto Rico,Oct  7 2021,181923,5696.3
Puerto Rico,Oct  6 2021,181790,5692.2
Puerto Rico,Oct  5 2021,181588,5685.8
Puerto Rico,Oct  4 2021,181461,5681.9
Puerto Rico,Oct  3 2021,181403,5680
