Data Table for Total Cases - Rhode Island
Date generated: Sat Nov 20 2021 18:31:42 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Rhode Island,Nov 19 2021,186387,17594.3
Rhode Island,Nov 18 2021,185799,17538.8
Rhode Island,Nov 17 2021,185308,17492.4
Rhode Island,Nov 16 2021,184837,17448
Rhode Island,Nov 15 2021,184299,17397.2
Rhode Island,Nov 14 2021,184028,17371.6
Rhode Island,Nov 13 2021,183686,17339.3
Rhode Island,Nov 12 2021,183300,17302.9
Rhode Island,Nov 11 2021,182982,17272.9
Rhode Island,Nov 10 2021,182547,17231.8
Rhode Island,Nov  9 2021,182212,17200.2
Rhode Island,Nov  8 2021,181876,17168.5
Rhode Island,Nov  7 2021,181654,17147.5
Rhode Island,Nov  6 2021,181458,17129
Rhode Island,Nov  5 2021,181184,17103.1
Rhode Island,Nov  4 2021,180855,17072.1
Rhode Island,Nov  3 2021,180535,17041.9
Rhode Island,Nov  2 2021,180242,17014.2
Rhode Island,Nov  1 2021,179990,16990.4
Rhode Island,Oct 31 2021,179863,16978.4
Rhode Island,Oct 30 2021,179684,16961.5
Rhode Island,Oct 29 2021,179439,16938.4
Rhode Island,Oct 28 2021,179194,16915.3
Rhode Island,Oct 27 2021,178975,16894.6
Rhode Island,Oct 26 2021,178691,16867.8
Rhode Island,Oct 25 2021,178479,16847.8
Rhode Island,Oct 24 2021,178377,16838.2
Rhode Island,Oct 23 2021,178240,16825.2
Rhode Island,Oct 22 2021,178024,16804.8
Rhode Island,Oct 21 2021,177809,16784.6
Rhode Island,Oct 20 2021,177574,16762.4
Rhode Island,Oct 19 2021,177320,16738.4
Rhode Island,Oct 18 2021,177102,16717.8
Rhode Island,Oct 17 2021,176949,16703.4
Rhode Island,Oct 16 2021,176753,16684.9
Rhode Island,Oct 15 2021,176448,16656.1
Rhode Island,Oct 14 2021,176142,16627.2
Rhode Island,Oct 13 2021,175833,16598
Rhode Island,Oct 12 2021,175539,16570.3
Rhode Island,Oct 11 2021,175290,16546.8
Rhode Island,Oct 10 2021,175090,16527.9
Rhode Island,Oct  9 2021,174859,16506.1
Rhode Island,Oct  8 2021,174533,16475.3
Rhode Island,Oct  7 2021,174280,16451.4
Rhode Island,Oct  6 2021,173962,16421.4
Rhode Island,Oct  5 2021,173631,16390.2
Rhode Island,Oct  4 2021,173372,16365.7
Rhode Island,Oct  3 2021,173212,16350.6
Rhode Island,Oct  2 2021,172992,16329.8
Rhode Island,Oct  1 2021,172721,16304.3
Rhode Island,Sep 30 2021,172396,16273.6
Rhode Island,Sep 29 2021,172031,16239.1
Rhode Island,Sep 28 2021,171744,16212
Rhode Island,Sep 27 2021,171416,16181.1
Rhode Island,Sep 26 2021,171207,16161.3
Rhode Island,Sep 25 2021,170975,16139.4
Rhode Island,Sep 24 2021,170648,16108.6
Rhode Island,Sep 23 2021,170288,16074.6
Rhode Island,Sep 22 2021,169942,16041.9
Rhode Island,Sep 21 2021,169618,16011.4
Rhode Island,Sep 20 2021,169252,15976.8
Rhode Island,Sep 19 2021,168997,15952.7
Rhode Island,Sep 18 2021,168697,15924.4
Rhode Island,Sep 17 2021,168344,15891.1
Rhode Island,Sep 16 2021,167981,15856.8
Rhode Island,Sep 15 2021,167613,15822.1
Rhode Island,Sep 14 2021,167259,15788.7
Rhode Island,Sep 13 2021,166795,15744.9
Rhode Island,Sep 12 2021,166557,15722.4
Rhode Island,Sep 11 2021,166234,15691.9
Rhode Island,Sep 10 2021,165857,15656.3
Rhode Island,Sep  9 2021,165438,15616.8
Rhode Island,Sep  8 2021,165063,15581.4
Rhode Island,Sep  7 2021,164630,15540.5
Rhode Island,Sep  6 2021,164488,15527.1
Rhode Island,Sep  5 2021,164275,15507
Rhode Island,Sep  4 2021,164058,15486.5
Rhode Island,Sep  3 2021,163699,15452.6
Rhode Island,Sep  2 2021,163339,15418.6
Rhode Island,Sep  1 2021,162968,15383.6
Rhode Island,Aug 31 2021,162619,15350.7
Rhode Island,Aug 30 2021,162273,15318
Rhode Island,Aug 29 2021,162088,15300.5
Rhode Island,Aug 28 2021,161852,15278.3
Rhode Island,Aug 27 2021,161477,15242.9
Rhode Island,Aug 26 2021,161090,15206.3
Rhode Island,Aug 25 2021,160697,15169.2
Rhode Island,Aug 24 2021,160334,15135
Rhode Island,Aug 23 2021,160084,15111.4
Rhode Island,Aug 22 2021,159950,15098.7
Rhode Island,Aug 21 2021,159735,15078.4
Rhode Island,Aug 20 2021,159427,15049.4
Rhode Island,Aug 19 2021,159091,15017.6
Rhode Island,Aug 18 2021,158736,14984.1
Rhode Island,Aug 17 2021,158394,14951.8
Rhode Island,Aug 16 2021,158022,14916.7
Rhode Island,Aug 15 2021,157858,14901.2
Rhode Island,Aug 14 2021,157625,14879.3
Rhode Island,Aug 13 2021,157308,14849.3
Rhode Island,Aug 12 2021,156941,14814.7
Rhode Island,Aug 11 2021,156632,14785.5
Rhode Island,Aug 10 2021,156318,14755.9
Rhode Island,Aug  9 2021,156105,14735.8
Rhode Island,Aug  8 2021,155969,14722.9
Rhode Island,Aug  7 2021,155773,14704.4
Rhode Island,Aug  6 2021,155539,14682.3
Rhode Island,Aug  5 2021,155250,14655.1
Rhode Island,Aug  4 2021,155014,14632.8
Rhode Island,Aug  3 2021,154716,14604.7
Rhode Island,Aug  2 2021,154508,14585
Rhode Island,Aug  1 2021,154417,14576.4
Rhode Island,Jul 31 2021,154258,14561.4
Rhode Island,Jul 30 2021,154058,14542.5
Rhode Island,Jul 29 2021,153848,14522.7
Rhode Island,Jul 28 2021,153653,14504.3
Rhode Island,Jul 27 2021,153470,14487
Rhode Island,Jul 26 2021,153354,14476.1
Rhode Island,Jul 25 2021,153290,14470
Rhode Island,Jul 24 2021,153200,14461.5
Rhode Island,Jul 23 2021,153094,14451.5
Rhode Island,Jul 22 2021,153004,14443
Rhode Island,Jul 21 2021,152911,14434.3
Rhode Island,Jul 20 2021,152808,14424.5
Rhode Island,Jul 19 2021,152730,14417.2
Rhode Island,Jul 18 2021,152703,14414.6
Rhode Island,Jul 17 2021,152656,14410.2
Rhode Island,Jul 16 2021,152600,14404.9
Rhode Island,Jul 15 2021,152549,14400.1
Rhode Island,Jul 14 2021,152499,14395.4
Rhode Island,Jul 13 2021,152453,14391
Rhode Island,Jul 12 2021,152412,14387.2
Rhode Island,Jul 11 2021,152390,14385.1
Rhode Island,Jul 10 2021,152359,14382.2
Rhode Island,Jul  9 2021,152339,14380.3
Rhode Island,Jul  8 2021,152310,14377.5
Rhode Island,Jul  7 2021,152283,14375
Rhode Island,Jul  6 2021,152249,14371.8
Rhode Island,Jul  5 2021,152237,14370.6
Rhode Island,Jul  4 2021,152232,14370.2
Rhode Island,Jul  3 2021,152215,14368.6
Rhode Island,Jul  2 2021,152184,14365.6
Rhode Island,Jul  1 2021,152160,14363.4
Rhode Island,Jun 30 2021,152146,14362.1
Rhode Island,Jun 29 2021,152125,14360.1
Rhode Island,Jun 28 2021,152114,14359
Rhode Island,Jun 27 2021,152106,14358.3
Rhode Island,Jun 26 2021,152088,14356.6
Rhode Island,Jun 25 2021,152068,14354.7
Rhode Island,Jun 24 2021,152050,14353
Rhode Island,Jun 23 2021,152035,14351.6
Rhode Island,Jun 22 2021,152005,14348.7
Rhode Island,Jun 21 2021,151989,14347.2
Rhode Island,Jun 20 2021,151977,14346.1
Rhode Island,Jun 19 2021,151957,14344.2
Rhode Island,Jun 18 2021,151943,14342.9
Rhode Island,Jun 17 2021,151916,14340.3
Rhode Island,Jun 16 2021,151892,14338.1
Rhode Island,Jun 15 2021,151867,14335.7
Rhode Island,Jun 14 2021,151843,14333.5
Rhode Island,Jun 13 2021,151837,14332.9
Rhode Island,Jun 12 2021,151808,14330.1
Rhode Island,Jun 11 2021,151784,14327.9
Rhode Island,Jun 10 2021,151764,14326
Rhode Island,Jun  9 2021,151724,14322.2
Rhode Island,Jun  8 2021,151687,14318.7
Rhode Island,Jun  7 2021,151665,14316.6
Rhode Island,Jun  6 2021,151656,14315.8
Rhode Island,Jun  5 2021,151633,14313.6
Rhode Island,Jun  4 2021,151599,14310.4
Rhode Island,Jun  3 2021,151545,14305.3
Rhode Island,Jun  2 2021,151514,14302.4
Rhode Island,Jun  1 2021,151473,14298.5
Rhode Island,May 31 2021,151465,14297.8
Rhode Island,May 30 2021,151447,14296.1
Rhode Island,May 29 2021,151416,14293.1
Rhode Island,May 28 2021,151370,14288.8
Rhode Island,May 27 2021,151332,14285.2
Rhode Island,May 26 2021,151250,14277.5
Rhode Island,May 25 2021,151177,14270.6
Rhode Island,May 24 2021,151108,14264.1
Rhode Island,May 23 2021,151069,14260.4
Rhode Island,May 22 2021,151026,14256.3
Rhode Island,May 21 2021,150939,14248.1
Rhode Island,May 20 2021,150836,14238.4
Rhode Island,May 19 2021,150750,14230.3
Rhode Island,May 18 2021,150623,14218.3
Rhode Island,May 17 2021,150526,14209.1
Rhode Island,May 16 2021,150464,14203.3
Rhode Island,May 15 2021,150362,14193.7
Rhode Island,May 14 2021,150257,14183.7
Rhode Island,May 13 2021,150114,14170.2
Rhode Island,May 12 2021,149956,14155.3
