Data Table for Total Cases - South Carolina
Date generated: Sat Nov 20 2021 18:31:57 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
South Carolina,Nov 19 2021,911640,17706.2
South Carolina,Nov 18 2021,910703,17688
South Carolina,Nov 17 2021,909905,17672.5
South Carolina,Nov 16 2021,909308,17660.9
South Carolina,Nov 15 2021,908858,17652.1
South Carolina,Nov 14 2021,908319,17641.7
South Carolina,Nov 13 2021,907549,17626.7
South Carolina,Nov 12 2021,906934,17614.8
South Carolina,Nov 11 2021,906031,17597.2
South Carolina,Nov 10 2021,905296,17583
South Carolina,Nov  9 2021,904797,17573.3
South Carolina,Nov  8 2021,904417,17565.9
South Carolina,Nov  7 2021,903921,17556.2
South Carolina,Nov  6 2021,903284,17543.9
South Carolina,Nov  5 2021,902455,17527.8
South Carolina,Nov  4 2021,901597,17511.1
South Carolina,Nov  3 2021,900811,17495.8
South Carolina,Nov  2 2021,900269,17485.3
South Carolina,Nov  1 2021,899843,17477
South Carolina,Oct 31 2021,899332,17467.1
South Carolina,Oct 30 2021,898577,17452.5
South Carolina,Oct 29 2021,897684,17435.1
South Carolina,Oct 28 2021,896683,17415.7
South Carolina,Oct 27 2021,895912,17400.7
South Carolina,Oct 26 2021,895192,17386.7
South Carolina,Oct 25 2021,894592,17375.1
South Carolina,Oct 24 2021,893858,17360.8
South Carolina,Oct 23 2021,892978,17343.7
South Carolina,Oct 22 2021,892092,17326.5
South Carolina,Oct 21 2021,890963,17304.6
South Carolina,Oct 20 2021,890005,17286
South Carolina,Oct 19 2021,889049,17267.4
South Carolina,Oct 18 2021,888402,17254.8
South Carolina,Oct 17 2021,887426,17235.9
South Carolina,Oct 16 2021,886225,17212.6
South Carolina,Oct 15 2021,884913,17187.1
South Carolina,Oct 14 2021,883503,17159.7
South Carolina,Oct 13 2021,882113,17132.7
South Carolina,Oct 12 2021,881155,17114.1
South Carolina,Oct 11 2021,880166,17094.9
South Carolina,Oct 10 2021,878893,17070.1
South Carolina,Oct  9 2021,877430,17041.7
South Carolina,Oct  8 2021,875600,17006.2
South Carolina,Oct  7 2021,873763,16970.5
South Carolina,Oct  6 2021,871860,16933.5
South Carolina,Oct  5 2021,870374,16904.7
South Carolina,Oct  4 2021,869023,16878.4
South Carolina,Oct  3 2021,867437,16847.6
South Carolina,Oct  2 2021,865021,16800.7
South Carolina,Oct  1 2021,862183,16745.6
South Carolina,Sep 30 2021,859328,16690.1
South Carolina,Sep 29 2021,857147,16647.8
South Carolina,Sep 28 2021,855101,16608.1
South Carolina,Sep 27 2021,853271,16572.5
South Carolina,Sep 26 2021,850992,16528.2
South Carolina,Sep 25 2021,848035,16470.8
South Carolina,Sep 24 2021,844851,16409
South Carolina,Sep 23 2021,841258,16339.2
South Carolina,Sep 22 2021,838002,16275.9
South Carolina,Sep 21 2021,835543,16228.2
South Carolina,Sep 20 2021,833337,16185.3
South Carolina,Sep 19 2021,830380,16127.9
