Data Table for Total Cases - South Dakota
Date generated: Sat Nov 20 2021 18:32:03 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
South Dakota,Nov 19 2021,162375,18354.5
South Dakota,Nov 18 2021,161960,18307.6
South Dakota,Nov 17 2021,161474,18252.7
South Dakota,Nov 16 2021,160992,18198.2
South Dakota,Nov 15 2021,160088,18096
South Dakota,Nov 14 2021,159343,18011.8
South Dakota,Nov 13 2021,159343,18011.8
South Dakota,Nov 12 2021,159343,18011.8
South Dakota,Nov 11 2021,158822,17952.9
South Dakota,Nov 10 2021,158822,17952.9
South Dakota,Nov  9 2021,158267,17890.2
South Dakota,Nov  8 2021,157396,17791.7
South Dakota,Nov  7 2021,156995,17746.4
South Dakota,Nov  6 2021,156995,17746.4
South Dakota,Nov  5 2021,156995,17746.4
South Dakota,Nov  4 2021,156564,17697.7
South Dakota,Nov  3 2021,156123,17647.8
South Dakota,Nov  2 2021,155603,17589
South Dakota,Nov  1 2021,154885,17507.9
South Dakota,Oct 31 2021,154482,17462.3
South Dakota,Oct 30 2021,154482,17462.3
South Dakota,Oct 29 2021,154482,17462.3
South Dakota,Oct 28 2021,154086,17417.6
South Dakota,Oct 27 2021,153774,17382.3
South Dakota,Oct 26 2021,153321,17331.1
South Dakota,Oct 25 2021,152603,17249.9
South Dakota,Oct 24 2021,152308,17216.6
South Dakota,Oct 23 2021,152308,17216.6
South Dakota,Oct 22 2021,152308,17216.6
South Dakota,Oct 21 2021,151971,17178.5
South Dakota,Oct 20 2021,151554,17131.3
South Dakota,Oct 19 2021,151088,17078.7
South Dakota,Oct 18 2021,150350,16995.2
South Dakota,Oct 17 2021,150230,16981.7
South Dakota,Oct 16 2021,150113,16968.5
South Dakota,Oct 15 2021,149996,16955.2
South Dakota,Oct 14 2021,149678,16919.3
South Dakota,Oct 13 2021,149337,16880.7
South Dakota,Oct 12 2021,148249,16757.8
South Dakota,Oct 11 2021,148141,16745.5
South Dakota,Oct 10 2021,148034,16733.5
South Dakota,Oct  9 2021,147927,16721.4
South Dakota,Oct  8 2021,147820,16709.3
South Dakota,Oct  7 2021,147469,16669.6
South Dakota,Oct  6 2021,146995,16616
South Dakota,Oct  5 2021,146594,16570.7
South Dakota,Oct  4 2021,145839,16485.3
South Dakota,Oct  3 2021,145716,16471.4
South Dakota,Oct  2 2021,145595,16457.8
South Dakota,Oct  1 2021,145474,16444.1
South Dakota,Sep 30 2021,145018,16392.5
South Dakota,Sep 29 2021,144546,16339.2
South Dakota,Sep 28 2021,143995,16276.9
South Dakota,Sep 27 2021,143183,16185.1
South Dakota,Sep 26 2021,143054,16170.5
South Dakota,Sep 25 2021,142927,16156.2
South Dakota,Sep 24 2021,142800,16141.8
South Dakota,Sep 23 2021,142330,16088.7
South Dakota,Sep 22 2021,141745,16022.6
South Dakota,Sep 21 2021,141141,15954.3
South Dakota,Sep 20 2021,140402,15870.7
South Dakota,Sep 19 2021,140252,15853.8
South Dakota,Sep 18 2021,140104,15837.1
South Dakota,Sep 17 2021,139956,15820.3
South Dakota,Sep 16 2021,139412,15758.8
South Dakota,Sep 15 2021,138860,15696.4
South Dakota,Sep 14 2021,138292,15632.2
South Dakota,Sep 13 2021,137300,15520.1
South Dakota,Sep 12 2021,137122,15500
South Dakota,Sep 11 2021,136947,15480.2
South Dakota,Sep 10 2021,136772,15460.4
South Dakota,Sep  9 2021,136157,15390.9
South Dakota,Sep  8 2021,135538,15320.9
South Dakota,Sep  7 2021,135229,15286
South Dakota,Sep  6 2021,134922,15251.3
South Dakota,Sep  5 2021,134615,15216.6
South Dakota,Sep  4 2021,134308,15181.9
South Dakota,Sep  3 2021,133855,15130.7
South Dakota,Sep  2 2021,133372,15076.1
South Dakota,Sep  1 2021,132837,15015.6
South Dakota,Aug 31 2021,132259,14950.3
South Dakota,Aug 30 2021,131239,14835
South Dakota,Aug 29 2021,131082,14817.2
South Dakota,Aug 28 2021,130929,14799.9
South Dakota,Aug 27 2021,130776,14782.6
South Dakota,Aug 26 2021,130337,14733
South Dakota,Aug 25 2021,129866,14679.8
South Dakota,Aug 24 2021,129411,14628.3
South Dakota,Aug 23 2021,128626,14539.6
South Dakota,Aug 22 2021,128515,14527.1
South Dakota,Aug 21 2021,128405,14514.6
South Dakota,Aug 20 2021,128295,14502.2
South Dakota,Aug 19 2021,127991,14467.8
South Dakota,Aug 18 2021,127696,14434.5
South Dakota,Aug 17 2021,127320,14392
South Dakota,Aug 16 2021,126925,14347.3
South Dakota,Aug 15 2021,126864,14340.4
South Dakota,Aug 14 2021,126805,14333.8
South Dakota,Aug 13 2021,126746,14327.1
South Dakota,Aug 12 2021,126607,14311.4
South Dakota,Aug 11 2021,126454,14294.1
South Dakota,Aug 10 2021,126330,14280.1
South Dakota,Aug  9 2021,126207,14266.2
South Dakota,Aug  8 2021,126084,14252.3
South Dakota,Aug  7 2021,125961,14238.4
South Dakota,Aug  6 2021,125838,14224.5
South Dakota,Aug  5 2021,125715,14210.6
South Dakota,Aug  4 2021,125592,14196.7
South Dakota,Aug  3 2021,125534,14190.1
South Dakota,Aug  2 2021,125481,14184.1
South Dakota,Aug  1 2021,125428,14178.1
South Dakota,Jul 31 2021,125375,14172.1
South Dakota,Jul 30 2021,125322,14166.1
South Dakota,Jul 29 2021,125269,14160.1
South Dakota,Jul 28 2021,125216,14154.2
South Dakota,Jul 27 2021,125176,14149.6
South Dakota,Jul 26 2021,125138,14145.3
South Dakota,Jul 25 2021,125100,14141
South Dakota,Jul 24 2021,125062,14136.7
South Dakota,Jul 23 2021,125024,14132.5
South Dakota,Jul 22 2021,124986,14128.2
South Dakota,Jul 21 2021,124948,14123.9
South Dakota,Jul 20 2021,124918,14120.5
South Dakota,Jul 19 2021,124894,14117.8
South Dakota,Jul 18 2021,124870,14115
South Dakota,Jul 17 2021,124846,14112.3
South Dakota,Jul 16 2021,124822,14109.6
South Dakota,Jul 15 2021,124798,14106.9
South Dakota,Jul 14 2021,124774,14104.2
South Dakota,Jul 13 2021,124731,14099.3
South Dakota,Jul 12 2021,124716,14097.6
South Dakota,Jul 11 2021,124701,14095.9
South Dakota,Jul 10 2021,124686,14094.2
South Dakota,Jul  9 2021,124671,14092.5
South Dakota,Jul  8 2021,124656,14090.9
South Dakota,Jul  7 2021,124641,14089.2
South Dakota,Jul  6 2021,124626,14087.5
South Dakota,Jul  5 2021,124615,14086.2
South Dakota,Jul  4 2021,124604,14085
South Dakota,Jul  3 2021,124593,14083.7
South Dakota,Jul  2 2021,124582,14082.5
South Dakota,Jul  1 2021,124561,14080.1
South Dakota,Jun 30 2021,124536,14077.3
South Dakota,Jun 29 2021,124521,14075.6
South Dakota,Jun 28 2021,124512,14074.6
South Dakota,Jun 27 2021,124504,14073.7
South Dakota,Jun 26 2021,124498,14073
South Dakota,Jun 25 2021,124492,14072.3
South Dakota,Jun 24 2021,124478,14070.7
South Dakota,Jun 23 2021,124468,14069.6
South Dakota,Jun 22 2021,124446,14067.1
South Dakota,Jun 21 2021,124411,14063.2
South Dakota,Jun 20 2021,124405,14062.5
South Dakota,Jun 19 2021,124401,14062
South Dakota,Jun 18 2021,124397,14061.6
South Dakota,Jun 17 2021,124393,14061.1
South Dakota,Jun 16 2021,124382,14059.9
South Dakota,Jun 15 2021,124377,14059.3
South Dakota,Jun 14 2021,124366,14058.1
South Dakota,Jun 13 2021,124356,14056.9
South Dakota,Jun 12 2021,124343,14055.5
South Dakota,Jun 11 2021,124339,14055
South Dakota,Jun 10 2021,124335,14054.6
South Dakota,Jun  9 2021,124314,14052.2
South Dakota,Jun  8 2021,124302,14050.8
South Dakota,Jun  7 2021,124273,14047.6
South Dakota,Jun  6 2021,124267,14046.9
South Dakota,Jun  5 2021,124264,14046.5
South Dakota,Jun  4 2021,124261,14046.2
South Dakota,Jun  3 2021,124242,14044.1
South Dakota,Jun  2 2021,124227,14042.4
South Dakota,Jun  1 2021,124209,14040.3
South Dakota,May 31 2021,124191,14038.3
South Dakota,May 30 2021,124180,14037
South Dakota,May 29 2021,124171,14036
South Dakota,May 28 2021,124162,14035
South Dakota,May 27 2021,124105,14028.6
South Dakota,May 26 2021,124071,14024.7
South Dakota,May 25 2021,124023,14019.3
South Dakota,May 24 2021,123942,14010.1
South Dakota,May 23 2021,123931,14008.9
South Dakota,May 22 2021,123921,14007.8
South Dakota,May 21 2021,123911,14006.6
South Dakota,May 20 2021,123877,14002.8
South Dakota,May 19 2021,123822,13996.6
South Dakota,May 18 2021,123784,13992.3
South Dakota,May 17 2021,123686,13981.2
South Dakota,May 16 2021,123670,13979.4
South Dakota,May 15 2021,123657,13977.9
South Dakota,May 14 2021,123644,13976.5
South Dakota,May 13 2021,123599,13971.4
South Dakota,May 12 2021,123518,13962.2
South Dakota,May 11 2021,123435,13952.8
South Dakota,May 10 2021,123310,13938.7
South Dakota,May  9 2021,123283,13935.7
South Dakota,May  8 2021,123258,13932.8
South Dakota,May  7 2021,123233,13930
South Dakota,May  6 2021,123157,13921.4
South Dakota,May  5 2021,123073,13911.9
South Dakota,May  4 2021,122974,13900.7
South Dakota,May  3 2021,122745,13874.8
South Dakota,May  2 2021,122716,13871.6
South Dakota,May  1 2021,122688,13868.4
South Dakota,Apr 30 2021,122660,13865.2
South Dakota,Apr 29 2021,122532,13850.8
South Dakota,Apr 28 2021,122398,13835.6
South Dakota,Apr 27 2021,122228,13816.4
South Dakota,Apr 26 2021,122080,13799.7
South Dakota,Apr 25 2021,122033,13794.4
South Dakota,Apr 24 2021,121986,13789
South Dakota,Apr 23 2021,121850,13773.7
South Dakota,Apr 22 2021,121651,13751.2
South Dakota,Apr 21 2021,121517,13736
South Dakota,Apr 20 2021,121360,13718.3
South Dakota,Apr 19 2021,121189,13699
South Dakota,Apr 18 2021,121123,13691.5
South Dakota,Apr 17 2021,121056,13683.9
South Dakota,Apr 16 2021,120856,13661.3
South Dakota,Apr 15 2021,120613,13633.8
South Dakota,Apr 14 2021,120379,13607.4
South Dakota,Apr 13 2021,120154,13582
South Dakota,Apr 12 2021,119892,13552.3
South Dakota,Apr 11 2021,119705,13531.2
South Dakota,Apr 10 2021,119705,13531.2
South Dakota,Apr  9 2021,119467,13504.3
South Dakota,Apr  8 2021,119197,13473.8
South Dakota,Apr  7 2021,118975,13448.7
South Dakota,Apr  6 2021,118680,13415.3
South Dakota,Apr  5 2021,118517,13396.9
South Dakota,Apr  4 2021,118361,13379.3
South Dakota,Apr  3 2021,118361,13379.3
South Dakota,Apr  2 2021,118186,13359.5
South Dakota,Apr  1 2021,117989,13337.2
South Dakota,Mar 31 2021,117759,13311.2
South Dakota,Mar 30 2021,117495,13281.4
South Dakota,Mar 29 2021,117336,13263.4
South Dakota,Mar 28 2021,117244,13253
South Dakota,Mar 27 2021,117081,13234.6
South Dakota,Mar 26 2021,116833,13206.6
South Dakota,Mar 25 2021,116624,13182.9
South Dakota,Mar 24 2021,116370,13154.2
South Dakota,Mar 23 2021,116100,13123.7
South Dakota,Mar 22 2021,115972,13109.2
South Dakota,Mar 21 2021,115867,13097.4
South Dakota,Mar 20 2021,115723,13081.1
South Dakota,Mar 19 2021,115518,13057.9
South Dakota,Mar 18 2021,115203,13022.3
South Dakota,Mar 17 2021,114966,12995.5
South Dakota,Mar 16 2021,114791,12975.7
South Dakota,Mar 15 2021,114649,12959.7
South Dakota,Mar 14 2021,114623,12956.7
South Dakota,Mar 13 2021,114493,12942
South Dakota,Mar 12 2021,114347,12925.5
South Dakota,Mar 11 2021,114163,12904.7
South Dakota,Mar 10 2021,113962,12882
South Dakota,Mar  9 2021,113753,12858.4
South Dakota,Mar  8 2021,113596,12840.7
South Dakota,Mar  7 2021,113589,12839.9
South Dakota,Mar  6 2021,113378,12816
South Dakota,Mar  5 2021,113229,12799.2
South Dakota,Mar  4 2021,113065,12780.6
South Dakota,Mar  3 2021,112833,12754.4
South Dakota,Mar  2 2021,112652,12733.9
South Dakota,Mar  1 2021,112470,12713.4
South Dakota,Feb 28 2021,112427,12708.5
South Dakota,Feb 27 2021,112293,12693.4
South Dakota,Feb 26 2021,112107,12672.3
South Dakota,Feb 25 2021,111964,12656.2
South Dakota,Feb 24 2021,111808,12638.5
South Dakota,Feb 23 2021,111546,12608.9
South Dakota,Feb 22 2021,111334,12585
South Dakota,Feb 21 2021,111304,12581.6
South Dakota,Feb 20 2021,111165,12565.9
South Dakota,Feb 19 2021,111018,12549.2
South Dakota,Feb 18 2021,110871,12532.6
South Dakota,Feb 17 2021,110685,12511.6
South Dakota,Feb 16 2021,110593,12501.2
