Data Table for Total Cases - Tennessee
Date generated: Sat Nov 20 2021 18:32:10 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Tennessee,Nov 19 2021,1303830,19092.1
Tennessee,Nov 18 2021,1302201,19068.2
Tennessee,Nov 17 2021,1300452,19042.6
Tennessee,Nov 16 2021,1298767,19017.9
Tennessee,Nov 15 2021,1297472,18999
Tennessee,Nov 14 2021,1296738,18988.2
Tennessee,Nov 13 2021,1295982,18977.1
Tennessee,Nov 12 2021,1294769,18959.4
Tennessee,Nov 11 2021,1293546,18941.5
Tennessee,Nov 10 2021,1292057,18919.7
Tennessee,Nov  9 2021,1290110,18891.2
Tennessee,Nov  8 2021,1288956,18874.3
Tennessee,Nov  7 2021,1288408,18866.2
Tennessee,Nov  6 2021,1287746,18856.5
Tennessee,Nov  5 2021,1286638,18840.3
Tennessee,Nov  4 2021,1285678,18826.3
Tennessee,Nov  3 2021,1284406,18807.6
Tennessee,Nov  2 2021,1283284,18791.2
Tennessee,Nov  1 2021,1282014,18772.6
Tennessee,Oct 31 2021,1281575,18766.2
Tennessee,Oct 30 2021,1280939,18756.9
Tennessee,Oct 29 2021,1279816,18740.4
Tennessee,Oct 28 2021,1278730,18724.5
Tennessee,Oct 27 2021,1277306,18703.7
Tennessee,Oct 26 2021,1276063,18685.5
Tennessee,Oct 25 2021,1275034,18670.4
Tennessee,Oct 24 2021,1274445,18661.8
Tennessee,Oct 23 2021,1273652,18650.2
Tennessee,Oct 22 2021,1272314,18630.6
Tennessee,Oct 21 2021,1270619,18605.7
Tennessee,Oct 20 2021,1268985,18581.8
Tennessee,Oct 19 2021,1267088,18554
Tennessee,Oct 18 2021,1265484,18530.6
Tennessee,Oct 17 2021,1264909,18522.1
Tennessee,Oct 16 2021,1264068,18509.8
Tennessee,Oct 15 2021,1262288,18483.8
Tennessee,Oct 14 2021,1260226,18453.6
Tennessee,Oct 13 2021,1258138,18423
Tennessee,Oct 12 2021,1255879,18389.9
Tennessee,Oct 11 2021,1253268,18351.7
Tennessee,Oct 10 2021,1252468,18340
Tennessee,Oct  9 2021,1251080,18319.6
Tennessee,Oct  8 2021,1248702,18284.8
Tennessee,Oct  7 2021,1246184,18247.9
Tennessee,Oct  6 2021,1243734,18212.1
Tennessee,Oct  5 2021,1240639,18166.8
Tennessee,Oct  4 2021,1237518,18121
Tennessee,Oct  3 2021,1236350,18103.9
Tennessee,Oct  2 2021,1234705,18079.9
Tennessee,Oct  1 2021,1231251,18029.3
Tennessee,Sep 30 2021,1227946,17980.9
Tennessee,Sep 29 2021,1223807,17920.3
Tennessee,Sep 28 2021,1220219,17867.7
Tennessee,Sep 27 2021,1216876,17818.8
Tennessee,Sep 26 2021,1214751,17787.7
Tennessee,Sep 25 2021,1212879,17760.3
Tennessee,Sep 24 2021,1208986,17703.3
Tennessee,Sep 23 2021,1203411,17621.6
Tennessee,Sep 22 2021,1199324,17561.8
Tennessee,Sep 21 2021,1194613,17492.8
Tennessee,Sep 20 2021,1189981,17425
Tennessee,Sep 19 2021,1188313,17400.5
Tennessee,Sep 18 2021,1184322,17342.1
Tennessee,Sep 17 2021,1177548,17242.9
Tennessee,Sep 16 2021,1171207,17150.1
Tennessee,Sep 15 2021,1166663,17083.5
Tennessee,Sep 14 2021,1159282,16975.4
Tennessee,Sep 13 2021,1153673,16893.3
Tennessee,Sep 12 2021,1150227,16842.8
Tennessee,Sep 11 2021,1138912,16677.2
Tennessee,Sep 10 2021,1123828,16456.3
Tennessee,Sep  9 2021,1118659,16380.6
Tennessee,Sep  8 2021,1114173,16314.9
Tennessee,Sep  7 2021,1108828,16236.6
Tennessee,Sep  6 2021,1095775,16045.5
Tennessee,Sep  5 2021,1084391,15878.8
Tennessee,Sep  4 2021,1075324,15746
Tennessee,Sep  3 2021,1070533,15675.9
Tennessee,Sep  2 2021,1063971,15579.8
Tennessee,Sep  1 2021,1060686,15531.7
Tennessee,Aug 31 2021,1051253,15393.6
Tennessee,Aug 30 2021,1041383,15249
Tennessee,Aug 29 2021,1034962,15155
Tennessee,Aug 28 2021,1028774,15064.4
Tennessee,Aug 27 2021,1020923,14949.4
Tennessee,Aug 26 2021,1013444,14839.9
Tennessee,Aug 25 2021,1006862,14743.5
Tennessee,Aug 24 2021,1002279,14676.4
Tennessee,Aug 23 2021,997125,14601
Tennessee,Aug 22 2021,993067,14541.5
Tennessee,Aug 21 2021,983259,14397.9
Tennessee,Aug 20 2021,976868,14304.3
Tennessee,Aug 19 2021,969726,14199.8
Tennessee,Aug 18 2021,963209,14104.3
Tennessee,Aug 17 2021,957805,14025.2
Tennessee,Aug 16 2021,954097,13970.9
Tennessee,Aug 15 2021,951319,13930.2
Tennessee,Aug 14 2021,946451,13858.9
