Data Table for Total Cases - Texas
Date generated: Sat Nov 20 2021 18:32:15 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Texas,Nov 19 2021,4286622,14783.6
Texas,Nov 18 2021,4282152,14768.1
Texas,Nov 17 2021,4277364,14751.6
Texas,Nov 16 2021,4272442,14734.7
Texas,Nov 15 2021,4268082,14719.6
Texas,Nov 14 2021,4266698,14714.8
Texas,Nov 13 2021,4266084,14712.7
Texas,Nov 12 2021,4262152,14699.2
Texas,Nov 11 2021,4259194,14689
Texas,Nov 10 2021,4255280,14675.5
Texas,Nov  9 2021,4251485,14662.4
Texas,Nov  8 2021,4245949,14643.3
Texas,Nov  7 2021,4244349,14637.8
Texas,Nov  6 2021,4243143,14633.6
Texas,Nov  5 2021,4240146,14623.3
Texas,Nov  4 2021,4236624,14611.1
Texas,Nov  3 2021,4233278,14599.6
Texas,Nov  2 2021,4228433,14582.9
Texas,Nov  1 2021,4223527,14566
Texas,Oct 31 2021,4222311,14561.8
Texas,Oct 30 2021,4221582,14559.2
Texas,Oct 29 2021,4217243,14544.3
Texas,Oct 28 2021,4211838,14525.6
Texas,Oct 27 2021,4207272,14509.9
Texas,Oct 26 2021,4202317,14492.8
Texas,Oct 25 2021,4196041,14471.2
Texas,Oct 24 2021,4194151,14464.6
Texas,Oct 23 2021,4192541,14459.1
Texas,Oct 22 2021,4188319,14444.5
Texas,Oct 21 2021,4182835,14425.6
Texas,Oct 20 2021,4178148,14409.5
Texas,Oct 19 2021,4172288,14389.2
Texas,Oct 18 2021,4165022,14364.2
Texas,Oct 17 2021,4162747,14356.3
Texas,Oct 16 2021,4162041,14353.9
Texas,Oct 15 2021,4156151,14333.6
Texas,Oct 14 2021,4149312,14310
Texas,Oct 13 2021,4142962,14288.1
Texas,Oct 12 2021,4133381,14255.1
Texas,Oct 11 2021,4123515,14221
Texas,Oct 10 2021,4120845,14211.8
Texas,Oct  9 2021,4119056,14205.7
Texas,Oct  8 2021,4113124,14185.2
Texas,Oct  7 2021,4104149,14154.2
Texas,Oct  6 2021,4095261,14123.6
Texas,Oct  5 2021,4081849,14077.3
Texas,Oct  4 2021,4071599,14042
Texas,Oct  3 2021,4068619,14031.7
Texas,Oct  2 2021,4065735,14021.8
Texas,Oct  1 2021,4057845,13994.6
Texas,Sep 30 2021,4046932,13956.9
Texas,Sep 29 2021,4035920,13918.9
Texas,Sep 28 2021,4023240,13875.2
Texas,Sep 27 2021,4008025,13822.7
Texas,Sep 26 2021,4002111,13802.3
Texas,Sep 25 2021,3996847,13784.2
Texas,Sep 24 2021,3984407,13741.3
