Data Table for Total Cases - Utah
Date generated: Sat Nov 20 2021 18:32:20 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Utah,Nov 19 2021,582929,18182.7
Utah,Nov 18 2021,581165,18127.7
Utah,Nov 17 2021,579376,18071.9
Utah,Nov 16 2021,577247,18005.4
Utah,Nov 15 2021,576009,17966.8
Utah,Nov 14 2021,571507,17826.4
Utah,Nov 13 2021,571507,17826.4
Utah,Nov 12 2021,571507,17826.4
Utah,Nov 11 2021,567665,17706.6
Utah,Nov 10 2021,567665,17706.6
Utah,Nov  9 2021,566134,17658.8
Utah,Nov  8 2021,564576,17610.2
Utah,Nov  7 2021,560604,17486.3
Utah,Nov  6 2021,560604,17486.3
Utah,Nov  5 2021,560604,17486.3
Utah,Nov  4 2021,558730,17427.9
Utah,Nov  3 2021,556463,17357.2
Utah,Nov  2 2021,554311,17290
Utah,Nov  1 2021,553061,17251
Utah,Oct 31 2021,549882,17151.9
Utah,Oct 30 2021,549882,17151.9
Utah,Oct 29 2021,549882,17151.9
Utah,Oct 28 2021,548072,17095.4
Utah,Oct 27 2021,546213,17037.4
Utah,Oct 26 2021,544145,16972.9
Utah,Oct 25 2021,542531,16922.6
Utah,Oct 24 2021,538895,16809.2
Utah,Oct 23 2021,538895,16809.2
Utah,Oct 22 2021,538895,16809.2
Utah,Oct 21 2021,537276,16758.7
Utah,Oct 20 2021,534936,16685.7
Utah,Oct 19 2021,533526,16641.7
Utah,Oct 18 2021,532183,16599.8
Utah,Oct 17 2021,531171,16568.2
Utah,Oct 16 2021,530159,16536.7
Utah,Oct 15 2021,529147,16505.1
Utah,Oct 14 2021,527654,16458.5
Utah,Oct 13 2021,526401,16419.5
Utah,Oct 12 2021,524556,16361.9
Utah,Oct 11 2021,523463,16327.8
Utah,Oct 10 2021,522372,16293.8
Utah,Oct  9 2021,521281,16259.8
Utah,Oct  8 2021,520190,16225.7
Utah,Oct  7 2021,518553,16174.7
Utah,Oct  6 2021,516748,16118.4
Utah,Oct  5 2021,514773,16056.8
Utah,Oct  4 2021,513509,16017.3
Utah,Oct  3 2021,512409,15983
Utah,Oct  2 2021,511309,15948.7
Utah,Oct  1 2021,510209,15914.4
Utah,Sep 30 2021,508494,15860.9
Utah,Sep 29 2021,506790,15807.8
Utah,Sep 28 2021,505004,15752
Utah,Sep 27 2021,503874,15716.8
Utah,Sep 26 2021,502814,15683.7
Utah,Sep 25 2021,501756,15650.7
Utah,Sep 24 2021,500698,15617.7
Utah,Sep 23 2021,499026,15565.6
Utah,Sep 22 2021,497428,15515.7
Utah,Sep 21 2021,495704,15462
Utah,Sep 20 2021,494378,15420.6
Utah,Sep 19 2021,493247,15385.3
Utah,Sep 18 2021,492116,15350
Utah,Sep 17 2021,490985,15314.8
Utah,Sep 16 2021,489236,15260.2
Utah,Sep 15 2021,487351,15201.4
Utah,Sep 14 2021,485466,15142.6
Utah,Sep 13 2021,484192,15102.9
Utah,Sep 12 2021,482787,15059.1
Utah,Sep 11 2021,481383,15015.3
Utah,Sep 10 2021,479979,14971.5
Utah,Sep  9 2021,477790,14903.2
Utah,Sep  8 2021,475625,14835.7
Utah,Sep  7 2021,474086,14787.7
Utah,Sep  6 2021,472921,14751.3
Utah,Sep  5 2021,471757,14715
Utah,Sep  4 2021,470593,14678.7
Utah,Sep  3 2021,469429,14642.4
Utah,Sep  2 2021,467794,14591.4
Utah,Sep  1 2021,466107,14538.8
Utah,Aug 31 2021,464422,14486.2
Utah,Aug 30 2021,463204,14448.2
Utah,Aug 29 2021,462093,14413.6
Utah,Aug 28 2021,460984,14379
Utah,Aug 27 2021,459875,14344.4
Utah,Aug 26 2021,458589,14304.3
Utah,Aug 25 2021,457098,14257.8
Utah,Aug 24 2021,455513,14208.3
Utah,Aug 23 2021,454373,14172.8
Utah,Aug 22 2021,453467,14144.5
Utah,Aug 21 2021,452561,14116.2
Utah,Aug 20 2021,451655,14088
Utah,Aug 19 2021,450539,14053.2
Utah,Aug 18 2021,449259,14013.3
Utah,Aug 17 2021,447771,13966.8
Utah,Aug 16 2021,446808,13936.8
Utah,Aug 15 2021,445999,13911.6
Utah,Aug 14 2021,445192,13886.4
Utah,Aug 13 2021,444385,13861.2
Utah,Aug 12 2021,443488,13833.2
Utah,Aug 11 2021,442245,13794.5
Utah,Aug 10 2021,441131,13759.7
Utah,Aug  9 2021,440497,13739.9
Utah,Aug  8 2021,439823,13718.9
Utah,Aug  7 2021,439151,13698
Utah,Aug  6 2021,438479,13677
Utah,Aug  5 2021,437585,13649.1
Utah,Aug  4 2021,436489,13614.9
Utah,Aug  3 2021,435439,13582.2
Utah,Aug  2 2021,434711,13559.5
Utah,Aug  1 2021,433963,13536.1
Utah,Jul 31 2021,433215,13512.8
Utah,Jul 30 2021,432467,13489.5
Utah,Jul 29 2021,431256,13451.7
Utah,Jul 28 2021,430143,13417
Utah,Jul 27 2021,429300,13390.7
Utah,Jul 26 2021,428687,13371.6
Utah,Jul 25 2021,428119,13353.9
Utah,Jul 24 2021,427552,13336.2
Utah,Jul 23 2021,426985,13318.5
Utah,Jul 22 2021,426418,13300.8
Utah,Jul 21 2021,425603,13275.4
Utah,Jul 20 2021,424730,13248.1
Utah,Jul 19 2021,424171,13230.7
Utah,Jul 18 2021,423653,13214.6
Utah,Jul 17 2021,423136,13198.4
Utah,Jul 16 2021,422619,13182.3
Utah,Jul 15 2021,421950,13161.4
Utah,Jul 14 2021,421257,13139.8
