Data Table for Total Cases - Vermont
Date generated: Sat Nov 20 2021 18:32:26 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Vermont,Nov 19 2021,43024,6895
Vermont,Nov 18 2021,42591,6825.6
Vermont,Nov 17 2021,42099,6746.8
Vermont,Nov 16 2021,41880,6711.7
Vermont,Nov 15 2021,41880,6711.7
Vermont,Nov 14 2021,40805,6539.4
Vermont,Nov 13 2021,40805,6539.4
Vermont,Nov 12 2021,40805,6539.4
Vermont,Nov 11 2021,40328,6462.9
Vermont,Nov 10 2021,39587,6344.2
Vermont,Nov  9 2021,39587,6344.2
Vermont,Nov  8 2021,39587,6344.2
Vermont,Nov  7 2021,38586,6183.8
Vermont,Nov  6 2021,38586,6183.8
Vermont,Nov  5 2021,38586,6183.8
Vermont,Nov  4 2021,37783,6055.1
Vermont,Nov  3 2021,37783,6055.1
Vermont,Nov  2 2021,37619,6028.8
Vermont,Nov  1 2021,37474,6005.6
Vermont,Oct 31 2021,36655,5874.3
Vermont,Oct 30 2021,36655,5874.3
Vermont,Oct 29 2021,36655,5874.3
Vermont,Oct 28 2021,36655,5874.3
Vermont,Oct 27 2021,36348,5825.1
Vermont,Oct 26 2021,36208,5802.7
Vermont,Oct 25 2021,36123,5789
Vermont,Oct 24 2021,35284,5654.6
Vermont,Oct 23 2021,35284,5654.6
Vermont,Oct 22 2021,35284,5654.6
Vermont,Oct 21 2021,35284,5654.6
Vermont,Oct 20 2021,34985,5606.7
Vermont,Oct 19 2021,34891,5591.6
Vermont,Oct 18 2021,34752,5569.3
Vermont,Oct 17 2021,34514,5531.2
Vermont,Oct 16 2021,34280,5493.7
Vermont,Oct 15 2021,34046,5456.2
Vermont,Oct 14 2021,33812,5418.7
Vermont,Oct 13 2021,33681,5397.7
Vermont,Oct 12 2021,33384,5350.1
Vermont,Oct 11 2021,33273,5332.3
Vermont,Oct 10 2021,33062,5298.5
Vermont,Oct  9 2021,32853,5265
Vermont,Oct  8 2021,32644,5231.5
Vermont,Oct  7 2021,32399,5192.2
Vermont,Oct  6 2021,32206,5161.3
Vermont,Oct  5 2021,32014,5130.5
Vermont,Oct  4 2021,31939,5118.5
Vermont,Oct  3 2021,31766,5090.8
Vermont,Oct  2 2021,31594,5063.2
Vermont,Oct  1 2021,31422,5035.7
Vermont,Sep 30 2021,31253,5008.6
Vermont,Sep 29 2021,31042,4974.8
Vermont,Sep 28 2021,30953,4960.5
Vermont,Sep 27 2021,30793,4934.9
Vermont,Sep 26 2021,30637,4909.9
Vermont,Sep 25 2021,30481,4884.9
Vermont,Sep 24 2021,30325,4859.9
Vermont,Sep 23 2021,30114,4826
Vermont,Sep 22 2021,29982,4804.9
Vermont,Sep 21 2021,29851,4783.9
Vermont,Sep 20 2021,29568,4738.5
Vermont,Sep 19 2021,29376,4707.8
Vermont,Sep 18 2021,29186,4677.3
Vermont,Sep 17 2021,28996,4646.9
Vermont,Sep 16 2021,28481,4564.3
Vermont,Sep 15 2021,28455,4560.2
Vermont,Sep 14 2021,28360,4545
Vermont,Sep 13 2021,28267,4530
Vermont,Sep 12 2021,28083,4500.6
Vermont,Sep 11 2021,27902,4471.6
Vermont,Sep 10 2021,27721,4442.5
Vermont,Sep  9 2021,27540,4413.5
Vermont,Sep  8 2021,27414,4393.3
Vermont,Sep  7 2021,27365,4385.5
Vermont,Sep  6 2021,27317,4377.8
Vermont,Sep  5 2021,27127,4347.4
Vermont,Sep  4 2021,26941,4317.5
Vermont,Sep  3 2021,26755,4287.7
Vermont,Sep  2 2021,26664,4273.2
Vermont,Sep  1 2021,26560,4256.5
Vermont,Aug 31 2021,26457,4240
Vermont,Aug 30 2021,26268,4209.7
Vermont,Aug 29 2021,26138,4188.9
Vermont,Aug 28 2021,26009,4168.2
Vermont,Aug 27 2021,25880,4147.5
Vermont,Aug 26 2021,25751,4126.8
Vermont,Aug 25 2021,25618,4105.5
Vermont,Aug 24 2021,25496,4086
Vermont,Aug 23 2021,25376,4066.7
Vermont,Aug 22 2021,25267,4049.3
Vermont,Aug 21 2021,25163,4032.6
Vermont,Aug 20 2021,25059,4015.9
Vermont,Aug 19 2021,24955,3999.3
Vermont,Aug 18 2021,24837,3980.4
Vermont,Aug 17 2021,24721,3961.8
Vermont,Aug 16 2021,24605,3943.2
Vermont,Aug 15 2021,24523,3930
Vermont,Aug 14 2021,24442,3917.1
Vermont,Aug 13 2021,24361,3904.1
Vermont,Aug 12 2021,24280,3891.1
Vermont,Aug 11 2021,24152,3870.6
Vermont,Aug 10 2021,24024,3850.1
Vermont,Aug  9 2021,23941,3836.8
Vermont,Aug  8 2021,23865,3824.6
Vermont,Aug  7 2021,23790,3812.6
Vermont,Aug  6 2021,23715,3800.5
Vermont,Aug  5 2021,23640,3788.5
Vermont,Aug  4 2021,23458,3759.4
Vermont,Aug  3 2021,23435,3755.7
Vermont,Aug  2 2021,23413,3752.1
Vermont,Aug  1 2021,23357,3743.2
Vermont,Jul 31 2021,23305,3734.8
Vermont,Jul 30 2021,23253,3726.5
Vermont,Jul 29 2021,23201,3718.2
Vermont,Jul 28 2021,23188,3716.1
Vermont,Jul 27 2021,23176,3714.2
Vermont,Jul 26 2021,23144,3709
Vermont,Jul 25 2021,23120,3705.2
Vermont,Jul 24 2021,23103,3702.5
Vermont,Jul 23 2021,23086,3699.7
Vermont,Jul 22 2021,23069,3697
Vermont,Jul 21 2021,23052,3694.3
Vermont,Jul 20 2021,23001,3686.1
Vermont,Jul 19 2021,22985,3683.6
Vermont,Jul 18 2021,22969,3681
Vermont,Jul 17 2021,22959,3679.4
Vermont,Jul 16 2021,22949,3677.8
Vermont,Jul 15 2021,22939,3676.2
Vermont,Jul 14 2021,22929,3674.6
Vermont,Jul 13 2021,22916,3672.5
Vermont,Jul 12 2021,22890,3668.3
Vermont,Jul 11 2021,22881,3666.9
Vermont,Jul 10 2021,22876,3666.1
Vermont,Jul  9 2021,22871,3665.3
Vermont,Jul  8 2021,22866,3664.5
Vermont,Jul  7 2021,22856,3662.9
Vermont,Jul  6 2021,22848,3661.6
Vermont,Jul  5 2021,22841,3660.5
Vermont,Jul  4 2021,22837,3659.8
Vermont,Jul  3 2021,22835,3659.5
Vermont,Jul  2 2021,22833,3659.2
Vermont,Jul  1 2021,22831,3658.9
Vermont,Jun 30 2021,22824,3657.8
Vermont,Jun 29 2021,22822,3657.4
Vermont,Jun 28 2021,22815,3656.3
Vermont,Jun 27 2021,22812,3655.8
Vermont,Jun 26 2021,22808,3655.2
Vermont,Jun 25 2021,22805,3654.7
Vermont,Jun 24 2021,22801,3654.1
Vermont,Jun 23 2021,22794,3652.9
Vermont,Jun 22 2021,22788,3652
Vermont,Jun 21 2021,22787,3651.8
Vermont,Jun 20 2021,22785,3651.5
Vermont,Jun 19 2021,22785,3651.5
Vermont,Jun 18 2021,22783,3651.2
Vermont,Jun 17 2021,22780,3650.7
Vermont,Jun 16 2021,22772,3649.4
Vermont,Jun 15 2021,22764,3648.1
Vermont,Jun 14 2021,22757,3647
Vermont,Jun 13 2021,22756,3646.9
Vermont,Jun 12 2021,22750,3645.9
Vermont,Jun 11 2021,22749,3645.7
Vermont,Jun 10 2021,22742,3644.6
Vermont,Jun  9 2021,22732,3643
Vermont,Jun  8 2021,22728,3642.4
Vermont,Jun  7 2021,22715,3640.3
Vermont,Jun  6 2021,22711,3639.6
Vermont,Jun  5 2021,22701,3638
Vermont,Jun  4 2021,22687,3635.8
Vermont,Jun  3 2021,22673,3633.6
Vermont,Jun  2 2021,22667,3632.6
Vermont,Jun  1 2021,22659,3631.3
Vermont,May 31 2021,22657,3631
Vermont,May 30 2021,22644,3628.9
Vermont,May 29 2021,22634,3627.3
Vermont,May 28 2021,22624,3625.7
Vermont,May 27 2021,22617,3624.6
Vermont,May 26 2021,22598,3621.5
Vermont,May 25 2021,22579,3618.5
Vermont,May 24 2021,22571,3617.2
Vermont,May 23 2021,22551,3614
Vermont,May 22 2021,22529,3610.5
Vermont,May 21 2021,22509,3607.3
Vermont,May 20 2021,22475,3601.8
Vermont,May 19 2021,22441,3596.4
Vermont,May 18 2021,22393,3588.7
Vermont,May 17 2021,22361,3583.6
Vermont,May 16 2021,22333,3579.1
Vermont,May 15 2021,22308,3575.1
Vermont,May 14 2021,22250,3565.8
Vermont,May 13 2021,22196,3557.1
Vermont,May 12 2021,22118,3544.6
Vermont,May 11 2021,22091,3540.3
Vermont,May 10 2021,22026,3529.9
Vermont,May  9 2021,21989,3523.9
Vermont,May  8 2021,21965,3520.1
Vermont,May  7 2021,21903,3510.2
Vermont,May  6 2021,21809,3495.1
Vermont,May  5 2021,21752,3486
Vermont,May  4 2021,21698,3477.3
Vermont,May  3 2021,21664,3471.9
Vermont,May  2 2021,21637,3467.5
Vermont,May  1 2021,21556,3454.5
Vermont,Apr 30 2021,21472,3441.1
Vermont,Apr 29 2021,21357,3422.7
Vermont,Apr 28 2021,21271,3408.9
Vermont,Apr 27 2021,21225,3401.5
Vermont,Apr 26 2021,21167,3392.2
Vermont,Apr 25 2021,21135,3387.1
Vermont,Apr 24 2021,21040,3371.9
Vermont,Apr 23 2021,20975,3361.4
Vermont,Apr 22 2021,20894,3348.5
Vermont,Apr 21 2021,20820,3336.6
Vermont,Apr 20 2021,20745,3324.6
Vermont,Apr 19 2021,20696,3316.7
Vermont,Apr 18 2021,20605,3302.1
Vermont,Apr 17 2021,20455,3278.1
Vermont,Apr 16 2021,20391,3267.8
Vermont,Apr 15 2021,20262,3247.2
Vermont,Apr 14 2021,20094,3220.2
Vermont,Apr 13 2021,20002,3205.5
Vermont,Apr 12 2021,19931,3194.1
Vermont,Apr 11 2021,19819,3176.2
Vermont,Apr 10 2021,19603,3141.6
Vermont,Apr  9 2021,19466,3119.6
Vermont,Apr  8 2021,19310,3094.6
Vermont,Apr  7 2021,19087,3058.9
Vermont,Apr  6 2021,19043,3051.8
Vermont,Apr  5 2021,18913,3031
Vermont,Apr  4 2021,18798,3012.6
Vermont,Apr  3 2021,18581,2977.8
Vermont,Apr  2 2021,18421,2952.1
Vermont,Apr  1 2021,18226,2920.9
Vermont,Mar 31 2021,17968,2879.5
Vermont,Mar 30 2021,17792,2851.3
Vermont,Mar 29 2021,17718,2839.5
Vermont,Mar 28 2021,17551,2812.7
Vermont,Mar 27 2021,17319,2775.5
Vermont,Mar 26 2021,17204,2757.1
Vermont,Mar 25 2021,16956,2717.4
Vermont,Mar 24 2021,16758,2685.6
Vermont,Mar 23 2021,16662,2670.2
Vermont,Mar 22 2021,16568,2655.2
Vermont,Mar 21 2021,16486,2642
Vermont,Mar 20 2021,16329,2616.9
Vermont,Mar 19 2021,16151,2588.3
Vermont,Mar 18 2021,16004,2564.8
Vermont,Mar 17 2021,15862,2542
Vermont,Mar 16 2021,15812,2534
Vermont,Mar 15 2021,15750,2524.1
Vermont,Mar 14 2021,15670,2511.3
Vermont,Mar 13 2021,15491,2482.6
Vermont,Mar 12 2021,15408,2469.3
Vermont,Mar 11 2021,15287,2449.9
Vermont,Mar 10 2021,15165,2430.3
Vermont,Mar  9 2021,15092,2418.6
Vermont,Mar  8 2021,15003,2404.4
Vermont,Mar  7 2021,14902,2388.2
Vermont,Mar  6 2021,14784,2369.3
Vermont,Mar  5 2021,14665,2350.2
Vermont,Mar  4 2021,14525,2327.8
Vermont,Mar  3 2021,14410,2309.3
Vermont,Mar  2 2021,14209,2277.1
Vermont,Mar  1 2021,14140,2266.1
Vermont,Feb 28 2021,14044,2250.7
Vermont,Feb 27 2021,13954,2236.3
Vermont,Feb 26 2021,13830,2216.4
Vermont,Feb 25 2021,13725,2199.6
Vermont,Feb 24 2021,13664,2189.8
Vermont,Feb 23 2021,13587,2177.4
Vermont,Feb 22 2021,13506,2164.5
Vermont,Feb 21 2021,13414,2149.7
Vermont,Feb 20 2021,13279,2128.1
Vermont,Feb 19 2021,13173,2111.1
Vermont,Feb 18 2021,13087,2097.3
Vermont,Feb 17 2021,12968,2078.2
Vermont,Feb 16 2021,12893,2066.2
Vermont,Feb 15 2021,12833,2056.6
Vermont,Feb 14 2021,12706,2036.3
