Data Table for Total Cases - Virgin Islands
Date generated: Sat Nov 20 2021 18:32:31 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Virgin Islands,Nov 19 2021,7439,6998.8
Virgin Islands,Nov 18 2021,7427,6987.5
Virgin Islands,Nov 17 2021,7397,6959.3
Virgin Islands,Nov 16 2021,7380,6943.3
Virgin Islands,Nov 15 2021,7370,6933.9
Virgin Islands,Nov 14 2021,7357,6921.6
Virgin Islands,Nov 13 2021,7357,6921.6
Virgin Islands,Nov 12 2021,7344,6909.4
Virgin Islands,Nov 11 2021,7329,6895.3
Virgin Islands,Nov 10 2021,7329,6895.3
Virgin Islands,Nov  9 2021,7306,6873.6
Virgin Islands,Nov  8 2021,7303,6870.8
Virgin Islands,Nov  7 2021,7290,6858.6
Virgin Islands,Nov  6 2021,7290,6858.6
Virgin Islands,Nov  5 2021,7275,6844.5
Virgin Islands,Nov  4 2021,7260,6830.4
Virgin Islands,Nov  3 2021,7251,6821.9
Virgin Islands,Nov  2 2021,7233,6805
Virgin Islands,Nov  1 2021,7206,6779.6
Virgin Islands,Oct 31 2021,7206,6779.6
Virgin Islands,Oct 30 2021,7204,6777.7
Virgin Islands,Oct 29 2021,7204,6777.7
Virgin Islands,Oct 28 2021,7186,6760.7
Virgin Islands,Oct 27 2021,7172,6747.6
Virgin Islands,Oct 26 2021,7154,6730.6
Virgin Islands,Oct 25 2021,7145,6722.2
Virgin Islands,Oct 24 2021,7134,6711.8
Virgin Islands,Oct 23 2021,7134,6711.8
Virgin Islands,Oct 22 2021,7126,6704.3
Virgin Islands,Oct 21 2021,7118,6696.8
Virgin Islands,Oct 20 2021,7099,6678.9
Virgin Islands,Oct 19 2021,7085,6665.7
Virgin Islands,Oct 18 2021,7079,6660.1
Virgin Islands,Oct 17 2021,7076,6657.3
Virgin Islands,Oct 16 2021,7074,6655.4
Virgin Islands,Oct 15 2021,7045,6628.1
Virgin Islands,Oct 14 2021,7020,6604.6
Virgin Islands,Oct 13 2021,6978,6565.1
Virgin Islands,Oct 12 2021,6965,6552.8
Virgin Islands,Oct 11 2021,6960,6548.1
Virgin Islands,Oct 10 2021,6955,6543.4
Virgin Islands,Oct  9 2021,6950,6538.7
Virgin Islands,Oct  8 2021,6925,6515.2
Virgin Islands,Oct  7 2021,6916,6506.7
Virgin Islands,Oct  6 2021,6885,6477.6
Virgin Islands,Oct  5 2021,6873,6466.3
Virgin Islands,Oct  4 2021,6841,6436.2
Virgin Islands,Oct  3 2021,6826,6422.1
Virgin Islands,Oct  2 2021,6811,6407.9
Virgin Islands,Oct  1 2021,6786,6384.4
Virgin Islands,Sep 30 2021,6758,6358.1
Virgin Islands,Sep 29 2021,6721,6323.3
Virgin Islands,Sep 28 2021,6699,6302.6
Virgin Islands,Sep 27 2021,6679,6283.8
Virgin Islands,Sep 26 2021,6655,6261.2
Virgin Islands,Sep 25 2021,6631,6238.6
Virgin Islands,Sep 24 2021,6620,6228.2
Virgin Islands,Sep 23 2021,6589,6199.1
Virgin Islands,Sep 22 2021,6557,6169
Virgin Islands,Sep 21 2021,6516,6130.4
Virgin Islands,Sep 20 2021,6489,6105
Virgin Islands,Sep 19 2021,6473,6089.9
Virgin Islands,Sep 18 2021,6458,6075.8
Virgin Islands,Sep 17 2021,6439,6058
Virgin Islands,Sep 16 2021,6374,5996.8
Virgin Islands,Sep 15 2021,6351,5975.2
Virgin Islands,Sep 14 2021,6298,5925.3
Virgin Islands,Sep 13 2021,6289,5916.8
Virgin Islands,Sep 12 2021,6269,5898
Virgin Islands,Sep 11 2021,6250,5880.1
Virgin Islands,Sep 10 2021,6214,5846.3
Virgin Islands,Sep  9 2021,6182,5816.2
Virgin Islands,Sep  8 2021,6102,5740.9
Virgin Islands,Sep  7 2021,6071,5711.7
Virgin Islands,Sep  6 2021,6056,5697.6
Virgin Islands,Sep  5 2021,6041,5683.5
Virgin Islands,Sep  4 2021,6026,5669.4
Virgin Islands,Sep  3 2021,5973,5619.5
Virgin Islands,Sep  2 2021,5961,5608.2
Virgin Islands,Sep  1 2021,5934,5582.8
