Data Table for Total Cases - Virginia
Date generated: Sat Nov 20 2021 18:32:37 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Virginia,Nov 19 2021,955099,11189.7
Virginia,Nov 18 2021,953460,11170.5
Virginia,Nov 17 2021,951698,11149.9
Virginia,Nov 16 2021,949803,11127.7
Virginia,Nov 15 2021,947271,11098
Virginia,Nov 14 2021,944138,11061.3
Virginia,Nov 13 2021,944138,11061.3
Virginia,Nov 12 2021,944138,11061.3
Virginia,Nov 11 2021,942837,11046
Virginia,Nov 10 2021,941371,11028.9
Virginia,Nov  9 2021,939783,11010.3
Virginia,Nov  8 2021,938376,10993.8
Virginia,Nov  7 2021,934928,10953.4
Virginia,Nov  6 2021,934928,10953.4
Virginia,Nov  5 2021,934928,10953.4
Virginia,Nov  4 2021,933542,10937.1
Virginia,Nov  3 2021,932173,10921.1
Virginia,Nov  2 2021,930679,10903.6
Virginia,Nov  1 2021,929244,10886.8
Virginia,Oct 31 2021,926179,10850.9
Virginia,Oct 30 2021,926179,10850.9
Virginia,Oct 29 2021,926179,10850.9
Virginia,Oct 28 2021,924771,10834.4
Virginia,Oct 27 2021,923125,10815.1
Virginia,Oct 26 2021,921630,10797.6
Virginia,Oct 25 2021,919999,10778.5
Virginia,Oct 24 2021,916504,10737.5
Virginia,Oct 23 2021,916504,10737.5
Virginia,Oct 22 2021,916504,10737.5
Virginia,Oct 21 2021,914755,10717
Virginia,Oct 20 2021,913100,10697.7
Virginia,Oct 19 2021,911321,10676.8
Virginia,Oct 18 2021,909499,10655.5
Virginia,Oct 17 2021,907763,10635.1
Virginia,Oct 16 2021,906030,10614.8
Virginia,Oct 15 2021,904297,10594.5
Virginia,Oct 14 2021,902938,10578.6
Virginia,Oct 13 2021,900581,10551
Virginia,Oct 12 2021,897979,10520.5
Virginia,Oct 11 2021,895619,10492.8
Virginia,Oct 10 2021,893975,10473.6
Virginia,Oct  9 2021,892333,10454.3
Virginia,Oct  8 2021,890691,10435.1
Virginia,Oct  7 2021,888159,10405.4
Virginia,Oct  6 2021,885323,10372.2
Virginia,Oct  5 2021,882437,10338.4
Virginia,Oct  4 2021,878518,10292.5
Virginia,Oct  3 2021,876621,10270.3
Virginia,Oct  2 2021,874727,10248.1
Virginia,Oct  1 2021,872833,10225.9
Virginia,Sep 30 2021,869328,10184.8
Virginia,Sep 29 2021,866776,10154.9
Virginia,Sep 28 2021,863645,10118.2
Virginia,Sep 27 2021,860494,10081.3
Virginia,Sep 26 2021,858091,10053.2
Virginia,Sep 25 2021,855689,10025
Virginia,Sep 24 2021,853287,9996.9
Virginia,Sep 23 2021,849865,9956.8
Virginia,Sep 22 2021,846979,9923
