Data Table for Total Cases - Washington
Date generated: Sat Nov 20 2021 18:32:45 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Washington,Nov 19 2021,762118,10008.3
Washington,Nov 18 2021,760482,9986.8
Washington,Nov 17 2021,758483,9960.5
Washington,Nov 16 2021,756310,9932
Washington,Nov 15 2021,755011,9914.9
Washington,Nov 14 2021,750477,9855.4
Washington,Nov 13 2021,750477,9855.4
Washington,Nov 12 2021,750477,9855.4
Washington,Nov 11 2021,746354,9801.2
Washington,Nov 10 2021,746354,9801.2
Washington,Nov  9 2021,744364,9775.1
Washington,Nov  8 2021,742919,9756.1
Washington,Nov  7 2021,737698,9687.6
Washington,Nov  6 2021,737698,9687.6
Washington,Nov  5 2021,737698,9687.6
Washington,Nov  4 2021,735881,9663.7
Washington,Nov  3 2021,733535,9632.9
Washington,Nov  2 2021,731904,9611.5
Washington,Nov  1 2021,730108,9587.9
Washington,Oct 31 2021,725435,9526.5
Washington,Oct 30 2021,725435,9526.5
Washington,Oct 29 2021,725435,9526.5
Washington,Oct 28 2021,722839,9492.4
Washington,Oct 27 2021,719500,9448.6
Washington,Oct 26 2021,717924,9427.9
Washington,Oct 25 2021,716315,9406.8
Washington,Oct 24 2021,710511,9330.5
Washington,Oct 23 2021,710511,9330.5
Washington,Oct 22 2021,710511,9330.5
Washington,Oct 21 2021,708032,9298
Washington,Oct 20 2021,704878,9256.6
Washington,Oct 19 2021,702425,9224.4
Washington,Oct 18 2021,700569,9200
Washington,Oct 17 2021,698718,9175.7
Washington,Oct 16 2021,696867,9151.4
Washington,Oct 15 2021,695016,9127.1
Washington,Oct 14 2021,692337,9091.9
Washington,Oct 13 2021,689484,9054.4
Washington,Oct 12 2021,686417,9014.1
Washington,Oct 11 2021,684532,8989.4
Washington,Oct 10 2021,682351,8960.7
Washington,Oct  9 2021,680173,8932.1
Washington,Oct  8 2021,677995,8903.5
Washington,Oct  7 2021,675695,8873.3
Washington,Oct  6 2021,672782,8835.1
Washington,Oct  5 2021,670207,8801.3
Washington,Oct  4 2021,667834,8770.1
Washington,Oct  3 2021,665524,8739.8
Washington,Oct  2 2021,663217,8709.5
Washington,Oct  1 2021,660910,8679.2
Washington,Sep 30 2021,657626,8636.1
Washington,Sep 29 2021,654710,8597.8
Washington,Sep 28 2021,652011,8562.3
Washington,Sep 27 2021,649284,8526.5
Washington,Sep 26 2021,646354,8488
Washington,Sep 25 2021,643425,8449.6
Washington,Sep 24 2021,640496,8411.1
