Data Table for Total Cases - West Virginia
Date generated: Sat Nov 20 2021 18:32:50 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
West Virginia,Nov 19 2021,287612,16048.5
West Virginia,Nov 18 2021,286249,15972.4
West Virginia,Nov 17 2021,285135,15910.2
West Virginia,Nov 16 2021,284165,15856.1
West Virginia,Nov 15 2021,283561,15822.4
West Virginia,Nov 14 2021,283075,15795.3
West Virginia,Nov 13 2021,282405,15757.9
West Virginia,Nov 12 2021,281865,15727.8
West Virginia,Nov 11 2021,280727,15664.3
West Virginia,Nov 10 2021,279694,15606.6
West Virginia,Nov  9 2021,278837,15558.8
West Virginia,Nov  8 2021,278578,15544.4
West Virginia,Nov  7 2021,278171,15521.7
West Virginia,Nov  6 2021,277133,15463.7
West Virginia,Nov  5 2021,276267,15415.4
West Virginia,Nov  4 2021,275396,15366.8
West Virginia,Nov  3 2021,274508,15317.3
West Virginia,Nov  2 2021,273659,15269.9
West Virginia,Nov  1 2021,273030,15234.8
West Virginia,Oct 31 2021,272532,15207
West Virginia,Oct 30 2021,271871,15170.1
West Virginia,Oct 29 2021,270984,15120.6
West Virginia,Oct 28 2021,270082,15070.3
West Virginia,Oct 27 2021,269131,15017.2
West Virginia,Oct 26 2021,268112,14960.4
West Virginia,Oct 25 2021,267398,14920.5
West Virginia,Oct 24 2021,266521,14871.6
West Virginia,Oct 23 2021,265879,14835.8
West Virginia,Oct 22 2021,265006,14787.1
West Virginia,Oct 21 2021,264002,14731
West Virginia,Oct 20 2021,262902,14669.7
West Virginia,Oct 19 2021,261890,14613.2
West Virginia,Oct 18 2021,261133,14571
West Virginia,Oct 17 2021,260444,14532.5
West Virginia,Oct 16 2021,259585,14484.6
West Virginia,Oct 15 2021,258413,14419.2
West Virginia,Oct 14 2021,257042,14342.7
West Virginia,Oct 13 2021,255778,14272.2
West Virginia,Oct 12 2021,254648,14209.1
West Virginia,Oct 11 2021,253895,14167.1
West Virginia,Oct 10 2021,253138,14124.8
West Virginia,Oct  9 2021,252067,14065.1
West Virginia,Oct  8 2021,250800,13994.4
West Virginia,Oct  7 2021,249331,13912.4
West Virginia,Oct  6 2021,247806,13827.3
West Virginia,Oct  5 2021,246408,13749.3
West Virginia,Oct  4 2021,245544,13701.1
West Virginia,Oct  3 2021,244698,13653.9
West Virginia,Oct  2 2021,243671,13596.6
West Virginia,Oct  1 2021,242104,13509.2
West Virginia,Sep 30 2021,240459,13417.4
West Virginia,Sep 29 2021,238498,13307.9
West Virginia,Sep 28 2021,237002,13224.5
West Virginia,Sep 27 2021,236662,13205.5
West Virginia,Sep 26 2021,234802,13101.7
West Virginia,Sep 25 2021,233426,13024.9
West Virginia,Sep 24 2021,231668,12926.8
West Virginia,Sep 23 2021,228983,12777
West Virginia,Sep 22 2021,227506,12694.6
West Virginia,Sep 21 2021,225772,12597.9
West Virginia,Sep 20 2021,224435,12523.2
West Virginia,Sep 19 2021,223117,12449.7
West Virginia,Sep 18 2021,221513,12360.2
West Virginia,Sep 17 2021,219439,12244.5
West Virginia,Sep 16 2021,217119,12115
West Virginia,Sep 15 2021,214984,11995.9
