Data Table for Total Cases - Wisconsin
Date generated: Sat Nov 20 2021 18:32:55 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Wisconsin,Nov 19 2021,945715,16242.6
Wisconsin,Nov 18 2021,941550,16171.1
Wisconsin,Nov 17 2021,937212,16096.6
Wisconsin,Nov 16 2021,932930,16023
Wisconsin,Nov 15 2021,928290,15943.3
Wisconsin,Nov 14 2021,921221,15821.9
Wisconsin,Nov 13 2021,921221,15821.9
Wisconsin,Nov 12 2021,921221,15821.9
Wisconsin,Nov 11 2021,917469,15757.5
Wisconsin,Nov 10 2021,913237,15684.8
Wisconsin,Nov  9 2021,909159,15614.8
Wisconsin,Nov  8 2021,905245,15547.5
Wisconsin,Nov  7 2021,899647,15451.4
Wisconsin,Nov  6 2021,899647,15451.4
Wisconsin,Nov  5 2021,899647,15451.4
Wisconsin,Nov  4 2021,896366,15395
Wisconsin,Nov  3 2021,893028,15337.7
Wisconsin,Nov  2 2021,890607,15296.1
Wisconsin,Nov  1 2021,887242,15238.3
Wisconsin,Oct 31 2021,882457,15156.2
Wisconsin,Oct 30 2021,882457,15156.2
Wisconsin,Oct 29 2021,882457,15156.2
Wisconsin,Oct 28 2021,879785,15110.3
Wisconsin,Oct 27 2021,877220,15066.2
Wisconsin,Oct 26 2021,874942,15027.1
Wisconsin,Oct 25 2021,872025,14977
Wisconsin,Oct 24 2021,867512,14899.5
Wisconsin,Oct 23 2021,867512,14899.5
Wisconsin,Oct 22 2021,867512,14899.5
Wisconsin,Oct 21 2021,865100,14858
Wisconsin,Oct 20 2021,862503,14813.4
Wisconsin,Oct 19 2021,859993,14770.3
Wisconsin,Oct 18 2021,858050,14737
Wisconsin,Oct 17 2021,856628,14712.5
Wisconsin,Oct 16 2021,855207,14688.1
Wisconsin,Oct 15 2021,852662,14644.4
Wisconsin,Oct 14 2021,849922,14597.4
Wisconsin,Oct 13 2021,847006,14547.3
Wisconsin,Oct 12 2021,844102,14497.4
Wisconsin,Oct 11 2021,840810,14440.9
Wisconsin,Oct 10 2021,838891,14407.9
Wisconsin,Oct  9 2021,836974,14375
Wisconsin,Oct  8 2021,835057,14342.1
Wisconsin,Oct  7 2021,831493,14280.8
Wisconsin,Oct  6 2021,828280,14225.7
Wisconsin,Oct  5 2021,825538,14178.6
Wisconsin,Oct  4 2021,820739,14096.1
Wisconsin,Oct  3 2021,818555,14058.6
Wisconsin,Oct  2 2021,816371,14021.1
Wisconsin,Oct  1 2021,814187,13983.6
Wisconsin,Sep 30 2021,810164,13914.5
Wisconsin,Sep 29 2021,807455,13868
Wisconsin,Sep 28 2021,804082,13810.1
Wisconsin,Sep 27 2021,800507,13748.7
Wisconsin,Sep 26 2021,798274,13710.3
Wisconsin,Sep 25 2021,796042,13672
Wisconsin,Sep 24 2021,793810,13633.6
Wisconsin,Sep 23 2021,790569,13578
Wisconsin,Sep 22 2021,787097,13518.3
Wisconsin,Sep 21 2021,783831,13462.3
Wisconsin,Sep 20 2021,779767,13392.5
Wisconsin,Sep 19 2021,777134,13347.2
Wisconsin,Sep 18 2021,774503,13302
Wisconsin,Sep 17 2021,771872,13256.9
Wisconsin,Sep 16 2021,768318,13195.8
Wisconsin,Sep 15 2021,764338,13127.5
Wisconsin,Sep 14 2021,760401,13059.8
Wisconsin,Sep 13 2021,757913,13017.1
Wisconsin,Sep 12 2021,756598,12994.5
Wisconsin,Sep 11 2021,755285,12972
Wisconsin,Sep 10 2021,753972,12949.4
Wisconsin,Sep  9 2021,751195,12901.7
Wisconsin,Sep  8 2021,749100,12865.8
Wisconsin,Sep  7 2021,746566,12822.2
Wisconsin,Sep  6 2021,745707,12807.5
Wisconsin,Sep  5 2021,744215,12781.9
Wisconsin,Sep  4 2021,742725,12756.3
Wisconsin,Sep  3 2021,741235,12730.7
Wisconsin,Sep  2 2021,738935,12691.2
Wisconsin,Sep  1 2021,736263,12645.3
Wisconsin,Aug 31 2021,733940,12605.4
Wisconsin,Aug 30 2021,731409,12561.9
Wisconsin,Aug 29 2021,730055,12538.7
Wisconsin,Aug 28 2021,728704,12515.5
Wisconsin,Aug 27 2021,727353,12492.2
Wisconsin,Aug 26 2021,724717,12447
Wisconsin,Aug 25 2021,722453,12408.1
