Data Table for Total Cases - Wyoming
Date generated: Sat Nov 20 2021 18:33:01 GMT-0500 (Eastern Standard Time)
State,Date,Total Cases,Total Case Rate per 100k
Wyoming,Nov 19 2021,109318,18888.3
Wyoming,Nov 18 2021,109083,18847.7
Wyoming,Nov 17 2021,108658,18774.3
Wyoming,Nov 16 2021,108413,18732
Wyoming,Nov 15 2021,108103,18678.4
Wyoming,Nov 14 2021,107483,18571.3
Wyoming,Nov 13 2021,107483,18571.3
Wyoming,Nov 12 2021,107483,18571.3
Wyoming,Nov 11 2021,106698,18435.7
Wyoming,Nov 10 2021,106698,18435.7
Wyoming,Nov  9 2021,106287,18364.6
Wyoming,Nov  8 2021,105990,18313.3
Wyoming,Nov  7 2021,105318,18197.2
Wyoming,Nov  6 2021,105318,18197.2
Wyoming,Nov  5 2021,105318,18197.2
Wyoming,Nov  4 2021,104940,18131.9
Wyoming,Nov  3 2021,104403,18039.1
Wyoming,Nov  2 2021,103989,17967.6
Wyoming,Nov  1 2021,103622,17904.2
Wyoming,Oct 31 2021,102926,17783.9
Wyoming,Oct 30 2021,102926,17783.9
Wyoming,Oct 29 2021,102926,17783.9
Wyoming,Oct 28 2021,102403,17693.5
Wyoming,Oct 27 2021,101912,17608.7
Wyoming,Oct 26 2021,101424,17524.4
Wyoming,Oct 25 2021,101083,17465.5
Wyoming,Oct 24 2021,100174,17308.4
Wyoming,Oct 23 2021,100174,17308.4
Wyoming,Oct 22 2021,100174,17308.4
Wyoming,Oct 21 2021,99662,17219.9
Wyoming,Oct 20 2021,99007,17106.8
Wyoming,Oct 19 2021,98567,17030.8
Wyoming,Oct 18 2021,98165,16961.3
Wyoming,Oct 17 2021,97821,16901.9
Wyoming,Oct 16 2021,97479,16842.8
Wyoming,Oct 15 2021,97137,16783.7
Wyoming,Oct 14 2021,96664,16701.9
Wyoming,Oct 13 2021,96059,16597.4
Wyoming,Oct 12 2021,95620,16521.6
Wyoming,Oct 11 2021,95137,16438.1
Wyoming,Oct 10 2021,94857,16389.7
Wyoming,Oct  9 2021,94580,16341.9
Wyoming,Oct  8 2021,94303,16294
Wyoming,Oct  7 2021,93764,16200.9
Wyoming,Oct  6 2021,93083,16083.2
Wyoming,Oct  5 2021,92517,15985.4
Wyoming,Oct  4 2021,91979,15892.5
Wyoming,Oct  3 2021,91709,15845.8
Wyoming,Oct  2 2021,91439,15799.1
Wyoming,Oct  1 2021,91169,15752.5
Wyoming,Sep 30 2021,90602,15654.5
Wyoming,Sep 29 2021,89965,15544.5
Wyoming,Sep 28 2021,89430,15452
Wyoming,Sep 27 2021,88935,15366.5
Wyoming,Sep 26 2021,88576,15304.5
Wyoming,Sep 25 2021,88221,15243.1
Wyoming,Sep 24 2021,87866,15181.8
Wyoming,Sep 23 2021,87351,15092.8
Wyoming,Sep 22 2021,86594,14962
Wyoming,Sep 21 2021,86052,14868.4
Wyoming,Sep 20 2021,85499,14772.8
Wyoming,Sep 19 2021,84984,14683.8
Wyoming,Sep 18 2021,84471,14595.2
Wyoming,Sep 17 2021,83958,14506.6
Wyoming,Sep 16 2021,83643,14452.1
Wyoming,Sep 15 2021,82897,14323.2
Wyoming,Sep 14 2021,82463,14248.2
Wyoming,Sep 13 2021,81825,14138
Wyoming,Sep 12 2021,81429,14069.6
Wyoming,Sep 11 2021,81036,14001.7
Wyoming,Sep 10 2021,80643,13933.8
Wyoming,Sep  9 2021,79830,13793.3
Wyoming,Sep  8 2021,79297,13701.2
Wyoming,Sep  7 2021,78495,13562.6
Wyoming,Sep  6 2021,78169,13506.3
Wyoming,Sep  5 2021,77848,13450.8
Wyoming,Sep  4 2021,77527,13395.4
Wyoming,Sep  3 2021,77206,13339.9
Wyoming,Sep  2 2021,76602,13235.6
Wyoming,Sep  1 2021,76007,13132.8
Wyoming,Aug 31 2021,75136,12982.3
Wyoming,Aug 30 2021,74756,12916.6
Wyoming,Aug 29 2021,74325,12842.1
Wyoming,Aug 28 2021,73896,12768
Wyoming,Aug 27 2021,73467,12693.9
Wyoming,Aug 26 2021,72995,12612.3
Wyoming,Aug 25 2021,72528,12531.6
Wyoming,Aug 24 2021,72069,12452.3
Wyoming,Aug 23 2021,71562,12364.7
Wyoming,Aug 22 2021,71263,12313.1
Wyoming,Aug 21 2021,70967,12261.9
Wyoming,Aug 20 2021,70671,12210.8
Wyoming,Aug 19 2021,70150,12120.8
Wyoming,Aug 18 2021,69844,12067.9
Wyoming,Aug 17 2021,69356,11983.6
Wyoming,Aug 16 2021,68944,11912.4
Wyoming,Aug 15 2021,68718,11873.3
Wyoming,Aug 14 2021,68495,11834.8
Wyoming,Aug 13 2021,68272,11796.3
Wyoming,Aug 12 2021,67957,11741.8
